股票代码,股票简称,所属概念,历史涨停原因类别,所属行业,code
000001,,高股息精选;证金持股;跨境支付(CIPS);深股通;融资融券,,银行-银行-股份制银行,000001
000002,,租售同权;物业管理;证金持股;冰雪产业;超级品牌;养老概念;装配式建筑;冷链物流;体育产业;同花顺漂亮100;智能物流;空间计算;粤港澳大湾区;机器人概念;深股通;融资融券,,房地产-房地产-住宅开发,000002
000004,,ST板块;电力物联网;储能;人脸识别;互联网金融;粤港澳大湾区;手机游戏;工业互联网;物联网;人工智能;车联网(车路协同);云计算;网络安全;鸿蒙概念;数据安全;信创;东数西算(算力);华为概念;抖音概念(字节概念);5G,,计算机-软件开发-横向通用软件,000004
000006,,深圳国企改革;新型城镇化;粤港澳大湾区;物业管理;国企改革;证金持股;深股通;融资融券,地产开发+城中村改造+深圳国资,房地产-房地产-住宅开发,000006
000007,,粤港澳大湾区;物业管理,汽车销售+医药器械+物业租赁,商贸零售-零售-商业物业经营,000007
000008,,职业教育;高铁;PPP概念;国企改革;一带一路;智能物流;智慧城市;央企国企改革;腾讯概念;机器人概念;华为概念;锂电池概念;深股通;融资融券,,机械设备-轨交设备-轨交设备Ⅲ,000008
000009,,石墨电极;动力电池回收;钠离子电池;土地流转;农机;物业管理;金属回收;石墨烯;金属钴;固态电池;一带一路;锂电池概念;创投;氢能源;小金属概念;金属镍;宁德时代概念;燃料电池;黄金概念;硅能源;储能;粤港澳大湾区;减速器;机器人概念;新能源汽车;军工;比亚迪概念;充电桩;人形机器人;3D打印;高压快充;液冷服务器;深股通;融资融券;无线充电,,电力设备-电池-电池化学品,000009
000010,,ST板块;新型城镇化;PPP概念;水利;煤炭概念;抽水蓄能;东数西算(算力),庭外重组+一季报扭亏+建筑工程+市政工程+算力+市政基建,建筑装饰-建筑装饰-装饰园林,000010
000011,,深圳国企改革;物业管理;化债概念(AMC概念);新型城镇化;国企改革;一带一路;粤港澳大湾区;深股通,,房地产-房地产-房地产服务,000011
000012,,特斯拉概念;建筑节能;汽车电子;硅能源;消费电子概念;军工;光伏概念;一带一路;OLED;光伏建筑一体化;雄安新区;深股通;融资融券,UTG柔性玻璃+光伏玻璃+消费电子+电子玻璃+光伏,建筑材料-建筑材料-玻璃玻纤,000012
000014,,物业管理;深圳国企改革;国企改革;粤港澳大湾区;智能家居;股权转让(并购重组),,房地产-房地产-住宅开发,000014
000016,,网约车;ST板块;PPP概念;智能家居;星闪概念;创投;海峡两岸;MicroLED概念;污水处理;家用电器;鸿蒙概念;工业互联网;人工智能;DeepSeek概念;智能穿戴;国企改革;MiniLED;腾讯概念;无线耳机;消费电子概念;央企国企改革;5G;PCB概念;芯片概念;存储芯片;股权转让(并购重组),华润保壳预期+PCB+存储芯片+华润保壳+半导体+央企+央企华润+保壳预期,家用电器-白色家电-冰洗,000016
000017,,两轮车;粤港澳大湾区;2025年报预增;锂电池概念;黄金概念;智能穿戴,,纺织服饰-服装家纺-饰品,000017
000019,,粮食概念;预制菜;国企改革;冷链物流;深圳国企改革;一带一路;数字乡村;深股通,,农林牧渔-农产品加工-粮油加工,000019
000020,,物业管理;粤港澳大湾区,,电子-光学光电子-面板,000020
000021,,存储芯片;先进封装;第三代半导体;共封装光学(CPO);芯片概念;汽车电子;超级电容;无人机;物联网;新能源汽车;智能电网;储能;机器人概念;虚拟电厂;人民币贬值受益;深股通;区块链;数字经济;医疗器械概念;智能物流;央企国企改革;国企改革;融资融券,存储芯片+先进封装+央企,电子-消费电子-消费电子零部件及组装,000021
000025,,物业管理;深圳国企改革;国企改革;粤港澳大湾区;黄金概念;深股通;融资融券,物业租赁+深圳国资+黄金珠宝,综合-综合-综合Ⅲ,000025
000026,,减速器;商业航天;人形机器人;机器人概念;智能穿戴;央企国企改革;国企改革;深股通,拟收购长空齿轮+激光器零部件+Lumentum合作+精密减速器+精密制造+央企,纺织服饰-服装家纺-饰品,000026
000027,,超超临界发电;绿色电力;碳交易;虚拟电厂;风电;光伏建筑一体化;碳中和;天然气;储能;特高压;充电桩;新疆振兴;固废处理;氢能源;国企改革;参股券商;数据中心(AIDC);PPP概念;算力租赁;深圳国企改革;垃圾分类;DeepSeek概念;创投;粤港澳大湾区;华为概念;深股通;融资融券,,公用事业-电力-火电,000027
000028,,医药电商;医美概念;冷链物流;国企改革;医疗器械概念;智能医疗;央企国企改革;智能物流;2025年报预增;深股通;融资融券,,医药生物-医药商业-医药流通,000028
000029,,深圳国企改革;粤港澳大湾区;物业管理;国企改革;深股通;融资融券,权益分派+房地产+深圳国资+新房成交激增,房地产-房地产-住宅开发,000029
000030,,飞行汽车(eVTOL);长安汽车概念;华为汽车;汽车热管理;低空经济;参股保险;小米汽车;车联网(车路协同);换电概念;动力电池回收;无人驾驶;新能源汽车;国企改革;比亚迪概念;宁德时代概念;小米概念;储能;证金持股;智能座舱;锂电池概念;汽车电子;深股通;融资融券,,汽车-汽车零部件-底盘与发动机系统,000030
000031,,物业管理;新型城镇化;国企改革;证金持股;央企国企改革;粤港澳大湾区;深股通;融资融券,,房地产-房地产-商业地产,000031
000032,,中芯国际概念;可控核聚变;算力租赁;数据安全;国产操作系统;东数西算(算力);商业航天;云计算;数据确权;国资云;智谱AI;信创;华为鲲鹏;智慧政务;数据中心(AIDC);芯片概念;安防;低空经济;数字乡村;AI智能体;数据要素;智慧城市;阿里巴巴概念;专精特新;DeepSeek概念;AI语料;人工智能;抖音概念(字节概念);粤港澳大湾区;AI应用;柔性屏(折叠屏);智能医疗;数字孪生;碳中和;工业互联网;元宇宙;数字经济;高铁;绿色电力;央企国企改革;国企改革;乡村振兴;体育产业;融资融券;深股通,半导体洁净室+中国电子云增资+AI算力,建筑装饰-建筑装饰-专业工程,000032
000034,,算力租赁;华为昇腾;云计算;智谱AI;东数西算(算力);数据安全;网络安全;华为鲲鹏;信创;抖音概念(字节概念);阿里巴巴概念;腾讯概念;数据中心(AIDC);ChatGPT概念;鸿蒙概念;AI智能体;AI PC;区块链;AI应用;液冷服务器;物联网;华为概念;英伟达概念;DeepSeek概念;华为海思概念股;数字孪生;人工智能;低空经济;消费电子概念;芯片概念;无人驾驶;机器人概念;存储芯片;乡村振兴;深股通;融资融券,,计算机-IT服务-IT服务Ⅲ,000034
000035,,碳交易;生物质能发电;绿色电力;风电;固废处理;垃圾分类;氢能源;储能;一带一路;人工智能;机器人概念;深股通;融资融券,,环保-环境治理-固废治理,000035
000036,,盐湖提锂;锂电池概念;物业管理;碳中和;深股通;融资融券,盐湖提锂+收购修订+地产开发,房地产-房地产-住宅开发,000036
000037,,固废处理;核电;储能;粤港澳大湾区;2025年报预增,电力+储能+综合能源服务+一季报扭亏+综合能源,公用事业-电力-火电,000037
000039,,风电;可燃冰;核电;储能;数据中心(AIDC);氢能源;海工装备;雄安新区;粤港澳大湾区;一带一路;物联网;智谱AI;人工智能;统一大市场;工业互联网;商业航天;DeepSeek概念;冷链物流;AI应用;智能物流;天然气;航运概念;参股券商;机器视觉;机器人概念;无人驾驶;同花顺出海50;深股通;融资融券,模块化数据中心+商业航天+氢能,机械设备-通用设备-金属制品,000039
000042,,物业管理;粤港澳大湾区;深股通;融资融券,,房地产-房地产-住宅开发,000042
000045,,粤港澳大湾区;虚拟现实;深圳国企改革;国企改革;OLED;深股通,,电子-光学光电子-面板,000045
000048,,养鸡;猪肉;文化传媒概念;乡村振兴;物业管理;IP经济(谷子经济);粤港澳大湾区;机器人概念;人形机器人;融资融券;深股通,猪价反弹+机器人+生猪养殖+养鸡,农林牧渔-养殖业-生猪养殖,000048
000049,,钠离子电池;固态电池;锂电池概念;储能;人民币贬值受益;粤港澳大湾区;比亚迪概念;智能家居;新能源汽车;物联网;机器人概念;无线耳机;华为手机;小米概念;无人机;华为概念;消费电子概念;苹果概念;人形机器人;智能穿戴;同花顺果指数;AI眼镜;5G;深股通;融资融券;先进封装,,电力设备-电池-锂电池,000049
000050,,电子纸;MicroLED概念;柔性屏(折叠屏);智能座舱;虚拟现实;智能穿戴;汽车电子;MiniLED;小米概念;苹果概念;消费电子概念;华为概念;智能家居;OLED;碳中和;芯片概念;国企改革;央企国企改革;深股通;融资融券,玻璃基封装+Micro-LED+央企,电子-光学光电子-面板,000050
000055,,装配式建筑;房屋检测;物业管理;乡村振兴;建筑节能;AI应用;数字经济;DeepSeek概念;光伏建筑一体化;一带一路;粤港澳大湾区;绿色电力;高铁;光伏概念;融资融券,,建筑材料-建筑材料-其他建材,000055
000056,,租售同权;物业管理;ST板块;智能物流;物联网;固态电池;芯片概念,债务化解+功率半导体+物业管理+债务化解预期+双主业+退市博弈,商贸零售-零售-商业物业经营,000056
000058,,物业管理;深圳国企改革;国企改革;创投;电子竞技;光伏建筑一体化;绿色电力;2025年报预增;华为概念;卫星导航;商业航天;光伏概念;深股通;融资融券,,商贸零售-零售-商业物业经营,000058
000059,,煤化工概念;化肥;石墨电极;国企改革;央企国企改革;深股通;融资融券,,石油石化-石油加工贸易-石油加工,000059
000060,,金属锌;金属铅;金属钴;金属铜;金属镍;黄金概念;小金属概念;金属回收;DeepSeek概念;国企改革;深股通;融资融券;期货概念,锗产品+铅锌铜+广东国资+万侯矿项目+一季报增长,有色金属-工业金属-铅锌,000060
000061,,农村电商;统一大市场;农业种植;证金持股;乡村振兴;冷链物流;国企改革;深圳国企改革;农机;区块链;食品安全;粤港澳大湾区;2026一季报预增;深股通;融资融券,,商贸零售-零售-商业物业经营,000061
000062,,华为海思概念股;存储芯片;共封装光学(CPO);芯片概念;第三代半导体;6G概念;2026一季报预增;汽车电子;传感器;华为昇腾;东数西算(算力);华为概念;比亚迪概念;新能源汽车;粤港澳大湾区;人形机器人;机器人概念;腾讯概念;智慧城市;2025年报预增;人民币贬值受益;AI智能体;互联网金融;创投;雄安新区;深股通;融资融券;证金持股,存储芯片+华为昇腾+分销龙头+一季报增长,电子-其他电子-其他电子Ⅲ,000062
000063,,光纤概念;6G概念;汽车芯片;液冷服务器;芯片概念;5G;消费电子概念;太赫兹;汽车电子;AI手机;AI眼镜;智能穿戴;卫星导航;商业航天;数据中心(AIDC);中国AI 50;比亚迪概念;东数西算(算力);虚拟现实;量子科技;新能源汽车;无人机;星闪概念;物联网;人形机器人;低空经济;粤港澳大湾区;储能;机器人概念;海峡两岸;车联网(车路协同);网络安全;国产操作系统;抖音概念(字节概念);智慧城市;腾讯概念;元宇宙;百度概念;人工智能;多模态AI;AI智能体;水利;数字经济;DeepSeek概念;ChatGPT概念;区块链;AI应用;智能医疗;乡村振兴;深股通;融资融券;同花顺漂亮100;证金持股,,通信-通信设备-通信网络设备及器件,000063
000065,,超超临界发电;煤炭概念;水利;绿色电力;虚拟电厂;新型城镇化;同花顺中特估100;央企国企改革;风电;一带一路;国企改革;智能物流;人民币贬值受益;无人机;新能源汽车;深股通;融资融券,,建筑装饰-建筑装饰-专业工程,000065
000066,,东数西算(算力);AI PC;中国AI 50;智能电网;数据中心(AIDC);数据安全;网络安全;信创;华为鲲鹏;国产操作系统;百度概念;量子科技;区块链;液冷服务器;卫星导航;5G;智慧城市;华为概念;车联网(车路协同);数字经济;DeepSeek概念;人工智能;芯片概念;商业航天;海工装备;军工;消费电子概念;军民融合;汽车电子;粤港澳大湾区;锂电池概念;央企国企改革;国企改革;钠离子电池;深股通;中字头股票;融资融券,CPU+AI服务器电源+央企+国产算力+信创,计算机-计算机设备-其他计算机设备,000066
000068,,PPP概念;智慧城市;创投;国企改革;粤港澳大湾区;锂电池概念,,环保-环境治理-综合环境治理,000068
000069,,物业管理;特色小镇;冰雪产业;参股券商;旅游概念;IP经济(谷子经济);新型城镇化;国企改革;体育产业;NFT概念;央企国企改革;DeepSeek概念;粤港澳大湾区;深股通;融资融券,,社会服务-旅游及酒店-旅游综合,000069
000070,,光纤概念;F5G概念;共封装光学(CPO);6G概念;5G;成飞概念;特高压;卫星导航;数据中心(AIDC);传感器;东数西算(算力);军工;无人机;大飞机;深圳国企改革;智慧灯杆;高铁;光伏概念;军工信息化;华为概念;智能电网;低空经济;算力租赁;国资云;粤港澳大湾区;智慧城市;抖音概念(字节概念);阿里巴巴概念;腾讯概念;信创;一带一路;百度概念;人工智能;创投;国企改革;绿色电力;物业管理;深股通;摘帽,光纤光缆+CPO+算力租赁+深圳国资,通信-通信设备-通信线缆及配套,000070
000078,,医药电商;仿制药一致性评价;维生素;流感;创新药;ST板块;冷链物流;医疗器械概念;粤港澳大湾区,创新药+医药全产业链+ST板块+医药流通+股权转让,医药生物-医药商业-医药流通,000078
000088,,航运概念;统一大市场;冷链物流;国企改革;深圳国企改革;雄安新区;中俄贸易概念;粤港澳大湾区;深股通;融资融券;华为概念,,交通运输-港口航运-港口,000088
000089,,证金持股;跨境电商;国企改革;深圳国企改革;粤港澳大湾区;深股通;融资融券;华为概念,,交通运输-机场航运-机场,000089
000090,,租售同权;物业管理;深圳国企改革;新型城镇化;国企改革;人工智能;粤港澳大湾区;数字孪生;机器人概念;深股通;融资融券,城中村改造+地产+董事长变更+深圳国资,房地产-房地产-住宅开发,000090
000096,,国企改革;国资云;虚拟电厂;粤港澳大湾区;东数西算(算力);数据中心(AIDC);深股通,,石油石化-石油加工贸易-油品石化贸易,000096
000099,,旅游概念;数字经济;飞行汽车(eVTOL);低空经济;同花顺新质50;国企改革;军工;无人机;华为概念;粤港澳大湾区;卫星导航;风电;融资融券;深股通;中字头股票,低空经济+海上油气直升机+央企,交通运输-机场航运-航空运输,000099
000100,,MicroLED概念;柔性屏(折叠屏);MiniLED;AI眼镜;OLED;小米概念;消费电子概念;硅能源;比亚迪概念;虚拟现实;光伏概念;AI PC;芯片概念;华为概念;工业互联网;2025年报预增;粤港澳大湾区;绿色电力;参股银行;深股通;融资融券;超级品牌,面板+回购+一季报增长,电子-光学光电子-面板,000100
000151,,固废处理;污水处理;中俄贸易概念;京津冀一体化;国企改革;碳中和;央企国企改革;一带一路;储能;人民币贬值受益;光伏概念;融资融券;股权转让(并购重组);中字头股票,成套设备出口+储能+央企+一带一路,商贸零售-贸易-贸易Ⅲ,000151
000153,,维生素;流感;仿制药一致性评价;眼科医疗;代糖概念;参股银行;创投,,医药生物-化学制药-化学制剂,000153
000155,,盐湖提锂;磷化工;小金属概念;固废处理;绿色电力;西部大开发;锂电池概念;国企改革;风电;储能;深股通;融资融券,,公用事业-电力-新能源发电,000155
000156,,短剧游戏;文化传媒概念;虚拟数字人;IP经济(谷子经济);AI应用;AIGC概念;AI智能体;旅游概念;DeepSeek概念;养老概念;多模态AI;数字乡村;智慧政务;腾讯概念;阿里巴巴概念;抖音概念(字节概念);数字经济;人工智能;智慧城市;乡村振兴;网络安全;信创;车联网(车路协同);国企改革;算力租赁;物联网;虚拟现实;智能家居;东数西算(算力);机器人概念;智能音箱;5G;深股通;融资融券;低空经济,,传媒-文化传媒-电视广播,000156
000157,,农机;雅下水电概念;新型工业化;高端装备;水利;工业互联网;机器人概念;一带一路;人形机器人;无人驾驶;燃料电池;高股息精选;人民币贬值受益;人工智能;乡村振兴;无人机;氢能源;百度概念;物联网;绿色电力;深股通;融资融券;东数西算(算力);固态电池,,机械设备-工程机械-工程机械Ⅲ,000157
000158,,华为盘古;智谱AI;智慧政务;ERP概念;华为鲲鹏;云计算;华为昇腾;数据安全;信创;网络安全;数据确权;鸿蒙概念;AI应用;区块链;百度概念;抖音概念(字节概念);国资云;腾讯概念;阿里巴巴概念;互联网金融;算力租赁;DeepSeek概念;智慧城市;车联网(车路协同);数字经济;人工智能;东数西算(算力);华为概念;工业互联网;京津冀一体化;数据中心(AIDC);充电桩;参股银行;国企改革;物业管理;冷链物流;绿色电力;深股通;融资融券,华为合作+AI应用+算力+分红除权,计算机-IT服务-IT服务Ⅲ,000158
000159,,新疆振兴;乡村振兴;西部大开发;一带一路;光伏概念;特高压;融资融券,光伏支架+油品批发,电力设备-光伏设备-光伏辅材,000159
000166,,期货概念;证金持股;国企改革;西部大开发;新疆振兴;深股通;融资融券;2025年报预增,,非银金融-证券-证券Ⅲ,000166
000301,,环氧丙烷;POE胶膜;煤化工概念;碳纤维;同花顺漂亮100;锂电池概念;工业互联网;光伏概念;深股通;融资融券,,石油石化-石油加工贸易-石油加工,000301
000333,,超级品牌;高股息精选;证金持股;同花顺漂亮100;同花顺出海50;净水概念;空气能热泵;深股通;融资融券;家用电器;一带一路;智能家居;汽车热管理;工业互联网;机器人概念;AI智能体;人形机器人;物联网;储能;华为概念;智能电网;液冷服务器;芯片概念;数据中心(AIDC);MCU芯片,,家用电器-白色家电-空调,000333
000338,,汽车电子;同花顺出海50;数据中心(AIDC);无人驾驶;高端装备;比亚迪概念;新能源汽车;储能;燃料电池;车联网(车路协同);人民币贬值受益;深股通;融资融券;智能物流;农机;氢能源;AI智能体;DeepSeek概念;锂电池概念;固态电池;国企改革;同花顺漂亮100;高股息精选;证金持股,订单需求饱满+数据中心+SOFC+山东国资,汽车-汽车零部件-底盘与发动机系统,000338
000400,,电力物联网;虚拟电厂;柔性直流输电;智能电网;抽水蓄能;特高压;鸿蒙概念;充电桩;DeepSeek概念;换电概念;央企国企改革;高压快充;储能;数据中心(AIDC);可控核聚变;新疆振兴;一带一路;国企改革;氢能源;光伏概念;高端装备;无线充电;新能源汽车;人形机器人;深股通;融资融券,,电力设备-电网设备-电气自控设备,000400
000401,,水泥概念;化债概念(AMC概念);国企改革;绿色电力;雄安新区;京津冀一体化;固废处理;深股通;融资融券;核电,,建筑材料-建筑材料-水泥,000401
000402,,特色小镇;物业管理;装配式建筑;参股券商;京津冀一体化;国企改革;碳交易;证金持股;碳中和;深股通;融资融券,一季度扭亏为盈+房地产+北京国资+一季度扭亏+减债,房地产-房地产-住宅开发,000402
000403,,肝炎概念;国企改革;DeepSeek概念;股权转让(并购重组);深股通;融资融券,血液制品+回购+股权转让+国资,医药生物-生物制品-血液制品,000403
000404,,家用电器;汽车热管理;冷链物流;智能家居;国企改革;高股息精选;新能源汽车;锂电池概念;融资融券;深股通,,家用电器-白色家电-家电零部件,000404
000407,,页岩气;天然气;俄乌冲突概念;地下管网;新型城镇化;合成生物;股权转让(并购重组),,公用事业-燃气-燃气Ⅲ,000407
000408,,金属铜;黄金概念;小金属概念;盐湖提锂;化肥;锂电池概念;西部大开发;国企改革;融资融券;深股通,,基础化工-农化制品-钾肥,000408
000409,,华为盘古;鸿蒙概念;ERP概念;ChatGPT概念;多模态AI;空间计算;AI智能体;AI应用;国产操作系统;数据要素;云计算;时空大数据;网络安全;华为昇腾;数字孪生;数字经济;物联网;DeepSeek概念;人工智能;腾讯概念;工业互联网;新型工业化;华为概念;机器人概念;东数西算(算力);军民融合;智能电网;卫星导航;数据中心(AIDC);国企改革;智能穿戴;5G;光伏概念;煤化工概念;深股通,采掘机械机器人+AI能源+采煤+山东国资,计算机-IT服务-IT服务Ⅲ,000409
000410,,职业教育;工业互联网;工业母机;新型工业化;高端装备;国企改革;央企国企改革;商业航天;股权转让(并购重组);融资融券;深股通,,机械设备-通用设备-机床工具,000410
000411,,医药电商;减肥药;医美概念;冷链物流;跨境电商;医疗器械概念;国企改革;共同富裕示范区;数字经济;股权转让(并购重组);深股通,,医药生物-医药商业-医药流通,000411
000415,,参股保险;人民币贬值受益;雄安新区;西部大开发;低空经济;飞行汽车(eVTOL);新疆振兴;深股通;融资融券,,非银金融-多元金融-多元金融Ⅲ,000415
000417,,互联网金融;AI应用;虚拟数字人;人工智能;跨境电商;养老概念;创投;乡村振兴;农村电商;充电桩;冷链物流;统一大市场;啤酒概念;参股银行;国企改革;黄金概念;证金持股;融资融券,间接投资长鑫科技+合肥国资+零售+农批+区域零售,商贸零售-零售-百货零售,000417
000419,,物业管理;旅游概念;参股保险;参股银行;国企改革;互联网金融;股权转让(并购重组),,商贸零售-零售-百货零售,000419
000420,,碳纤维;风电;大飞机;飞行汽车(eVTOL);国企改革;无人机;低空经济;体育产业;冰雪产业;融资融券;深股通,,基础化工-化学纤维-粘胶,000420
000421,,天然气;旅游概念;物业管理;国企改革;文化传媒概念;网约车;创投;互联网金融;虚拟电厂;换电概念;动力电池回收;充电桩,,综合-综合-综合Ⅲ,000421
000422,,化肥;煤化工概念;磷化工;氟化工概念;煤炭概念;可降解塑料;乡村振兴;国企改革;光刻胶;宁德时代概念;华为概念;股权转让(并购重组);融资融券;深股通,,基础化工-农化制品-磷肥及磷化工,000422
000423,,超级品牌;高股息精选;预制菜;农业种植;旅游概念;国企改革;乡村振兴;央企国企改革;深股通;融资融券;数字经济;华为概念,,医药生物-中药-中药Ⅲ,000423
000425,,同花顺出海50;雅下水电概念;农机;工业互联网;高端装备;一带一路;机器人概念;无人驾驶;国企改革;深股通;融资融券;氢能源;军工,挖掘机涨价+新能源+矿山机械+国企改革,机械设备-工程机械-工程机械Ⅲ,000425
000426,,金属铅;金属锌;黄金概念;金属铜;金属镍;金属钴;小金属概念;西部大开发;深股通;融资融券;俄乌冲突概念,,有色金属-贵金属-贵金属Ⅲ,000426
000428,,预制菜;物业管理;职业教育;国企改革;股权转让(并购重组);融资融券,,社会服务-旅游及酒店-酒店,000428
000429,,高股息精选;参股券商;国企改革;绿色电力;深股通;粤港澳大湾区;充电桩;融资融券,,交通运输-公路铁路运输-高速公路,000429
000430,,旅游概念;国企改革;摘帽,,社会服务-旅游及酒店-自然景点,000430
000488,,期货概念;参股银行;ST板块;区块链;国企改革;碳交易;污水处理;碳中和,,轻工制造-造纸-造纸Ⅲ,000488
000498,,高股息精选;同花顺中特估100;PPP概念;国企改革;装配式建筑;水利;一带一路;绿色电力;高铁;智慧城市;腾讯概念;深股通;融资融券,,建筑装饰-建筑装饰-基础建设,000498
000501,,免税店;预制菜;白酒概念;冰雪产业;网红经济;IP经济(谷子经济);物业管理;参股银行;露营经济;跨境电商;文化传媒概念;国企改革;电子竞技;创投;一带一路;数字经济;人工智能;黄金概念;低空经济;深股通;融资融券,,商贸零售-零售-百货零售,000501
000503,,家庭医生;养老概念;数据确权;数字经济;DRG/DIP;数据要素;AI应用;人工智能;智能医疗;国企改革;AI智能体;央企国企改革;华为概念;深股通;融资融券,,计算机-软件开发-垂直应用软件,000503
000504,,细胞免疫治疗;CRO概念;污水处理;国企改革;动力电池回收;锂电池概念;智慧灯杆;股权转让(并购重组);摘帽,,医药生物-医疗服务-其他医疗服务,000504
000505,,粮食概念;转基因;海南自贸区;网红经济;国企改革;京津冀一体化;一带一路;融资融券,,农林牧渔-农产品加工-粮油加工,000505
000506,,黄金概念;金属铜;小金属概念;一带一路;股权转让(并购重组);人民币贬值受益;国企改革;深股通,黄金+一季报扭亏+国企,有色金属-贵金属-贵金属Ⅲ,000506
000507,,绿色电力;航运概念;光伏建筑一体化;统一大市场;天然气;国企改革;广东自贸区;风电;一带一路;横琴新区;粤港澳大湾区;深股通,,交通运输-港口航运-港口,000507
000509,,工业母机;网络安全;信创;人民币贬值受益;碳交易;碳中和;国企改革;西部大开发,PCB钻针设备+工业母机+国资股权转让+湖北国资+拟定增+PCB钻针+CCER+显示器,电子-光学光电子-面板,000509
000510,,金属铜;小金属概念;石墨烯;芯片概念;化债概念(AMC概念);西部大开发,石英砂+锡钨钽+氯碱化工+减持终止+钽锡钨铌+栗木矿复产+氯碱龙头,基础化工-化学原料-氯碱,000510
000513,,生物疫苗;创新药;仿制药一致性评价;重组蛋白;减肥药;流感;辅助生殖;猴痘概念;宠物经济;基因测序;智能医疗;横琴新区;DeepSeek概念;AI应用;深股通;融资融券;AI智能体,,医药生物-化学制药-化学制剂,000513
000514,,物业管理;国企改革;西部大开发,,房地产-房地产-住宅开发,000514
000516,,高压氧舱;民营医院;毛发医疗;养老概念;三胎概念;医美概念;细胞免疫治疗;辅助生殖;智能医疗;旅游概念;西部大开发;脑机接口;DeepSeek概念;人工智能;阿里巴巴概念;机器人概念;华为概念;深股通;融资融券,,医药生物-医疗服务-医院,000516
000517,,物业管理;建筑节能;长三角一体化;深股通;融资融券,房地产开发+长三角深耕+以旧换新,房地产-房地产-住宅开发,000517
000518,,医疗器械概念;肝炎概念;新型城镇化;摘帽,地天板+摘帽+生物医药+园林绿化+申请撤销退市风险警示+营收增长,医药生物-生物制品-其他生物制品,000518
000519,,培育钻石;太赫兹;芯片概念;商业航天;军工;军民融合;无人机;央企国企改革;新能源汽车;国企改革;冷链物流;同花顺中特估100;石墨电极;中字头股票;深股通;融资融券,,国防军工-军工装备-地面兵装,000519
000520,,统一大市场;航运概念;一带一路,干散货航运+镍矿运输+一季度扭亏,交通运输-港口航运-航运,000520
000521,,高股息精选;净水概念;国企改革;冷链物流;垃圾分类;医疗器械概念;一带一路;家用电器;空气能热泵;智能家居;DeepSeek概念;人工智能;血氧仪;鸿蒙概念;工业互联网;小米概念;量子科技;深股通;融资融券,,家用电器-白色家电-冰洗,000521
000523,,广东自贸区;物业管理;代糖概念;国企改革;啤酒概念;创投;粤港澳大湾区;工业互联网;股权转让(并购重组);深股通,,食品饮料-饮料制造-软饮料,000523
000524,,免税店;NFT概念;旅游概念;IP经济(谷子经济);冰雪产业;预制菜;养老概念;广东自贸区;体育产业;AI应用;物业管理;露营经济;乡村振兴;AI智能体;DeepSeek概念;人工智能;国企改革;粤港澳大湾区;低空经济;股权转让(并购重组);深股通;融资融券,,社会服务-旅游及酒店-旅游综合,000524
000525,,草甘膦;农村电商;合成生物;乡村振兴;NMN概念;国企改革;深股通;股权转让(并购重组),,基础化工-农化制品-农药,000525
000526,,在线教育;职业教育;体育产业;人工智能;DeepSeek概念;福建自贸区;海峡两岸;民营医院;低空经济;深股通,,社会服务-教育-教育Ⅲ,000526
000528,,雅下水电概念;农机;智能物流;中俄贸易概念;新型城镇化;水利;DeepSeek概念;人工智能;一带一路;新型工业化;国企改革;高端装备;机器人概念;西部大开发;无人驾驶;海工装备;新疆振兴;碳纤维;风电;核电;深股通;融资融券,,机械设备-工程机械-工程机械Ⅲ,000528
000529,,预制菜;养鸡;猪肉;冷链物流;国企改革;广东自贸区;创投;粤港澳大湾区,,食品饮料-食品加工制造-肉制品,000529
000530,,无人零售;空气能热泵;数字经济;体育产业;独角兽概念;中俄贸易概念;数据中心(AIDC);海工装备;碳中和;冰雪产业;储能;军工;比亚迪概念;核电;液冷服务器;统一大市场;军民融合;冷链物流;氢能源;汽车热管理;融资融券,,机械设备-通用设备-制冷空调设备,000530
000531,,绿色电力;虚拟电厂;储能;化债概念(AMC概念);氢能源;国企改革;粤港澳大湾区;燃料电池;锂电池概念;2026一季报预增;2025年报预增;无人驾驶;融资融券;深股通,,公用事业-电力-火电,000531
000532,,石墨烯;横琴新区;粤港澳大湾区;锂电池概念;创投;污水处理;独角兽概念;国企改革;参股券商;深股通,电容器+创投+珠海国资,非银金融-多元金融-多元金融Ⅲ,000532
000533,,百度概念;智能电网;阿里巴巴概念;东数西算(算力);抽水蓄能;数字经济;风电;充电桩;数据中心(AIDC);超超临界发电;水利;核电;储能;海工装备;光伏概念;粤港澳大湾区;可控核聚变;比亚迪概念;中芯国际概念;深股通;融资融券,干式变压器+数据中心+储能+核电,电力设备-电网设备-输变电设备,000533
000534,,航空发动机;大飞机;无人机;军工;低空经济;创新药;深股通;融资融券,燃气轮机叶片+高温合金+微生态活菌,医药生物-生物制品-其他生物制品,000534
000536,,MicroLED概念;MiniLED;新能源汽车;华为概念;海峡两岸;消费电子概念;华为手机;福建自贸区;OLED;国企改革;芯片概念;深股通;融资融券,显示面板+车载显示+福建国资+被动减持处置+诉讼回款,电子-光学光电子-面板,000536
000537,,绿色电力;风电;光热发电;储能;新疆振兴;央企国企改革;国企改革;京津冀一体化;深股通;融资融券,,公用事业-电力-新能源发电,000537
000538,,超级品牌;高股息精选;医药电商;证金持股;创新药;同花顺漂亮100;医美概念;工业大麻;参股券商;西部大开发;深股通;融资融券;华为概念,,医药生物-中药-中药Ⅲ,000538
