code,所属概念,股票代码,所属概念数量,market_code
920117,光刻胶;新股与次新股;融资融券;高端装备;专精特新,920117.BJ,7,151
920305,,920305.BJ,0,151
920701,专精特新;智能穿戴;融资融券;消费电子概念;华为概念;小米概念,920701.BJ,6,151
920367,仿制药一致性评价;人工智能;机器人概念;AI应用;医药电商;融资融券;维生素;流感;华为鲲鹏;智能医疗;创新药,920367.BJ,11,151
300968,智能音箱;智能家居;虚拟现实;小米概念;华为概念;MR(混合现实);新型烟草(电子烟);机器人概念;智能穿戴;无人机;粤港澳大湾区;人民币贬值受益;卫星导航;AI手机;一带一路;消费电子概念;AI眼镜;商业航天;柔性屏(折叠屏);富士康概念;医美概念;深股通;融资融券,300968.SZ,23,33
301176,PCB概念;MiniLED;锂电池概念;汽车电子;融资融券,301176.SZ,5,33
300805,AIGC概念;拼多多概念;AI应用;AI智能体;阿里巴巴概念;跨境电商;网约车;华为概念;新能源汽车,300805.SZ,9,33
688166,重组蛋白;减肥药;仿制药一致性评价;创新药;细胞免疫治疗;流感;合成生物;创投;沪股通;融资融券,688166.SH,10,17
300591,网红经济;跨境电商;露营经济;三胎概念;人工智能;粤港澳大湾区;军民融合;军工;腾讯概念,300591.SZ,9,33
301257,CRO概念;细胞免疫治疗;减肥药;创新药;肝炎概念;智能医疗;DeepSeek概念;AI智能体;融资融券,301257.SZ,9,33
300426,短剧游戏;NFT概念;文化传媒概念;IP经济(谷子经济);AIGC概念;AI应用;抖音概念(字节概念);阿里巴巴概念;DeepSeek概念;人工智能;国企改革,300426.SZ,11,33
300638,移动支付;阿里巴巴概念;AI智能体;区块链;车联网(车路协同);人工智能;DeepSeek概念;物联网;工业互联网;东数西算(算力);智能电网;虚拟电厂;低空经济;机器人概念;海峡两岸;机器视觉;智能座舱;人形机器人;卫星导航;粤港澳大湾区;商业航天;新能源汽车;比亚迪概念;人民币贬值受益;毫米波雷达;专精特新;5G;汽车电子;AI眼镜;消费电子概念;WiFi 6;宠物经济;股权转让(并购重组);深股通;融资融券,300638.SZ,35,33
301520,仿制药一致性评价;创新药;CRO概念;减肥药;食品安全;DeepSeek概念;融资融券,301520.SZ,7,33
688775,芯片概念;虚拟现实;人工智能;粤港澳大湾区;消费电子概念;语音技术;无人机;人民币贬值受益;机器人概念;跨境电商;融资融券,688775.SH,11,17
920190,乡村振兴;智能穿戴;跨境电商;融资融券;电子竞技;消费电子概念;星闪概念;无线耳机;多模态AI;信创;人工智能;WiFi 6;IP经济(谷子经济);DeepSeek概念;AI眼镜;AI智能体;AIGC概念;AI PC,920190.BJ,18,151
920023,ST板块;西部大开发;土地流转;创投;农业种植;乡村振兴,920023.BJ,6,151
688619,信创;人脸识别;网络安全;多模态AI;机器视觉;安防;物联网;虚拟现实;智慧城市;智慧灯杆;AI应用;量子科技;机器人概念;专精特新;人工智能;军工;海峡两岸;智能医疗;海工装备;土壤修复;福建自贸区;融资融券,688619.SH,22,17
688255,新型工业化;人形机器人;机器人概念;传感器;比亚迪概念;2026一季报预增;2026中报预增;融资融券,688255.SH,8,17
920821,融资融券;虚拟现实;消费电子概念;汽车电子;新能源汽车;共封装光学(CPO);传感器;人民币贬值受益;专精特新;PCB概念;AI眼镜,920821.BJ,11,151
300622,IP经济(谷子经济);阿里巴巴概念;虚拟现实;粤港澳大湾区;华为概念;小米概念;眼科医疗;智能穿戴;消费电子概念;AI眼镜;深股通,300622.SZ,11,33
300231,算力租赁;云计算;华为昇腾;东数西算(算力);网络安全;信创;阿里巴巴概念;抖音概念(字节概念);数据中心(AIDC);数据要素;智慧城市;华为概念;互联网金融;人工智能;京津冀一体化;参股银行;深股通,300231.SZ,17,33
300255,创新药;减肥药;医美概念;深股通;雄安新区;融资融券,300255.SZ,6,33
920218,可降解塑料;专精特新;新股与次新股;融资融券,920218.BJ,4,151
920478,融资融券;创新药;CRO概念,920478.BJ,3,151
301139,ST板块;AI应用;数字乡村;数字经济;数据要素;车联网(车路协同);京津冀一体化;人工智能;智慧城市;机器人概念;西部大开发;算力租赁;华为概念;东数西算(算力);充电桩;储能;光伏概念;5G,301139.SZ,18,33
300587,锂电池概念;固态电池;专精特新;高铁;机器人概念;液冷服务器;融资融券;深股通,300587.SZ,8,33
000566,猴痘概念;肝炎概念;民营医院;维生素;细胞免疫治疗;流感;海南自贸区;仿制药一致性评价;创新药;医疗器械概念;参股银行;国企改革;创投;央企国企改革;脑机接口;深股通;融资融券,000566.SZ,17,33
000676,NFT概念;Web3.0;小红书概念;快手概念;虚拟数字人;网络游戏;文化传媒概念;财税数字化;互联网金融;区块链;ChatGPT概念;拼多多概念;智慧政务;网红经济;数字经济;元宇宙;独角兽概念;AI智能体;鸿蒙概念;百度概念;数字货币;抖音概念(字节概念);腾讯概念;阿里巴巴概念;人工智能;创投;虚拟现实;华为概念;智能音箱;小米概念;深股通;2026中报预增;融资融券,000676.SZ,33,33
688314,牙科医疗;医美概念;医疗器械概念;西部大开发;PEEK材料;3D打印;专精特新;融资融券,688314.SH,8,17
600491,PPP概念;装配式建筑;房屋检测;光伏建筑一体化;新型城镇化;ST板块;水利;长三角一体化,600491.SH,8,22
002775,旅游概念;新型城镇化;雄安新区;创投;土壤修复;PPP概念;乡村振兴;国企改革;一带一路;粤港澳大湾区;雅下水电概念;绿色电力;充电桩;储能;虚拟电厂,002775.SZ,15,33
002632,消费电子概念;智能穿戴;液冷服务器;虚拟现实;AI眼镜;华为概念;无人机;安防;新能源汽车;光伏概念;元宇宙;石墨烯;锂电池概念;固态电池;中俄贸易概念;共同富裕示范区;深股通,002632.SZ,17,33
002731,ST板块;三胎概念;IP经济(谷子经济);黄金概念;锂电池概念,002731.SZ,5,33
603567,流感;智能医疗;医药电商;仿制药一致性评价;黑龙江自贸区;创新药;沪股通;融资融券,603567.SH,8,17
600785,IP经济(谷子经济);统一大市场;西部大开发;粮食概念;抖音概念(字节概念);智能物流,600785.SH,6,17
603716,细胞免疫治疗;创新药;生物疫苗;智能医疗;养老概念;DRG/DIP;医疗器械概念;脑机接口;AI应用;鸿蒙概念;DeepSeek概念;人工智能;固废处理;数据安全;网络安全;信创;华为概念;沪股通,603716.SH,18,17
603108,华为盘古;AI智能体;AI应用;AIGC概念;DeepSeek概念;人工智能;智能医疗;华为概念;创投;医疗器械概念;猴痘概念;国企改革;幽门螺杆菌概念;沪股通;融资融券,603108.SH,15,17
002173,高压氧舱;脑机接口;华为昇腾;智能医疗;人工智能;DeepSeek概念;医疗器械概念;养老概念;医美概念;共同富裕示范区;眼科医疗;民营医院;三胎概念;深股通;融资融券,002173.SZ,15,33
000920,盐湖提锂;芯片概念;液冷服务器;央企国企改革;净水概念;西部大开发;污水处理;参股银行;国企改革;参股券商;深股通,000920.SZ,11,33
002045,NFT概念;元宇宙;智慧政务;家用电器;人工智能;创投;人民币贬值受益;百度概念;ChatGPT概念;智能家居;智能音箱;虚拟现实;粤港澳大湾区;新能源汽车;无人机;华为概念;储能;锂电池概念;新型烟草(电子烟);宁德时代概念;智能穿戴;固态电池;无线耳机;消费电子概念;AI眼镜;苹果概念;PCB概念;深股通;融资融券,002045.SZ,29,33
600664,流感;医药电商;维生素;仿制药一致性评价;肝炎概念;创新药;黑龙江自贸区;三胎概念;养老概念;跨境电商;DeepSeek概念;沪股通;融资融券;冷链物流;民营医院,600664.SH,15,17
002739,IP经济(谷子经济);文化传媒概念;短剧游戏;网络游戏;手机游戏;京津冀一体化;足球概念;小红书概念;数据确权;鸿蒙概念;腾讯概念;阿里巴巴概念;抖音概念(字节概念);华为概念;深股通;融资融券,002739.SZ,16,33
002365,维生素;医药电商;宠物经济;三胎概念;跨境电商;一带一路;人民币贬值受益;证金持股;氢能源;石墨烯;深股通;2026中报预增,002365.SZ,12,33
603327,华为概念;MR(混合现实);西部大开发;国企改革;小米概念;柔性屏(折叠屏);比亚迪概念;新能源汽车;金属回收;特斯拉概念;储能;锂电池概念;消费电子概念;宁德时代概念;5G;苹果概念;AI眼镜;AI手机;2026中报预增;沪股通,603327.SH,20,17
000829,深圳国企改革;Web3.0;数据确权;拼多多概念;鸿蒙概念;百度概念;独角兽概念;人工智能;抖音概念(字节概念);一带一路;华为汽车;AI智能体;腾讯概念;创投;虚拟现实;华为概念;粤港澳大湾区;国企改革;新型烟草(电子烟);AI手机;智能穿戴;消费电子概念;苹果概念;华为手机;深股通;融资融券,000829.SZ,26,33
000014,物业管理;深圳国企改革;国企改革;粤港澳大湾区;智能家居;股权转让(并购重组),000014.SZ,6,33
001230,车联网(车路协同);无人驾驶;智慧城市;数字经济;人工智能;物联网;专精特新;机器人概念;新能源汽车;DeepSeek概念;数据中心(AIDC);污水处理;垃圾分类;新型城镇化;固废处理;PPP概念,001230.SZ,16,33
603407,注册制次新股;小金属概念;牙科医疗;比亚迪概念;新股与次新股;融资融券,603407.SH,6,17
600602,算力租赁;云计算;东数西算(算力);信创;智慧政务;国资云;腾讯概念;阿里巴巴概念;数据中心(AIDC);数据要素;区块链;AI智能体;智慧城市;液冷服务器;物联网;数字孪生;数字经济;华为概念;DeepSeek概念;人工智能;职业教育;智能医疗;军工;食品安全;PPP概念;国企改革;上海国企改革;沪股通;融资融券,600602.SH,29,17
000677,ST板块;京津冀一体化;低空经济;军工;航空发动机,000677.SZ,5,33
002350,智能电网;数据中心(AIDC);特高压;虚拟电厂;高压快充;充电桩;风电;光伏概念;光伏建筑一体化;超级电容;储能;绿色电力;阿里巴巴概念;高端装备;氢能源;燃料电池;京津冀一体化;雄安新区;中俄贸易概念;俄乌冲突概念;深股通;融资融券,002350.SZ,22,33
002881,电力物联网;AI智能体;鸿蒙概念;移动支付;物联网;车联网(车路协同);人工智能;机器视觉;人形机器人;DeepSeek概念;东数西算(算力);工业互联网;智能座舱;华为概念;机器人概念;华为汽车;卫星导航;毫米波雷达;无人驾驶;比亚迪概念;商业航天;无人机;新能源汽车;专精特新;创投;AI眼镜;5G;消费电子概念;MCU芯片;芯片概念;华为海思概念股;深股通;融资融券,002881.SZ,33,33
603496,算力租赁;云计算;华为昇腾;国产操作系统;数据安全;华为鲲鹏;网络安全;信创;东数西算(算力);鸿蒙概念;智慧城市;数据中心(AIDC);AI应用;数字孪生;DeepSeek概念;液冷服务器;人工智能;物联网;华为概念;智能医疗;智能电网;军民融合;军工;工业互联网;专精特新;5G;机器人概念;新型工业化;创投;光伏概念;融资融券;沪股通,603496.SH,32,17
600436,超级品牌;证金持股;创新药;肝炎概念;同花顺漂亮100;国企改革;沪股通;融资融券;海峡两岸;专精特新,600436.SH,10,17
001365,注册制次新股;两轮车;一带一路;长安汽车概念;工业互联网;低空经济;储能;机器人概念;国企改革;比亚迪概念;新能源汽车;无人驾驶;人形机器人;宁德时代概念;智能座舱;汽车电子;无线充电;PCB概念;新股与次新股;融资融券,001365.SZ,20,33
601595,上海国企改革;IP经济(谷子经济);网络游戏;手机游戏;文化传媒概念;乡村振兴;国企改革;抖音概念(字节概念);沪股通,601595.SH,9,17
603178,减速器;汽车热管理;飞行汽车(eVTOL);机器人概念;低空经济;长安汽车概念;共同富裕示范区;数字经济;无人驾驶;华为汽车;新能源汽车;比亚迪概念;融资融券;沪股通,603178.SH,14,17
603580,海峡两岸;消费电子概念;人民币贬值受益;摘帽,603580.SH,4,17
000504,细胞免疫治疗;CRO概念;污水处理;国企改革;动力电池回收;锂电池概念;智慧灯杆;股权转让(并购重组);摘帽,000504.SZ,9,33
002829,军工信息化;卫星导航;百度概念;低空经济;传感器;小米汽车;数字孪生;商业航天;无人机;安防;人形机器人;军民融合;人工智能;小米概念;军工;无人驾驶;机器人概念;专精特新;新能源汽车;智能物流;海工装备;光纤概念;深股通,002829.SZ,23,33
688302,创新药;西部大开发;沪股通;融资融券,688302.SH,4,17
002760,数据中心(AIDC);军工;海工装备;金属回收;金属锌;股权转让(并购重组),002760.SZ,6,33
600203,智能音箱;智能穿戴;无线耳机;华为手机;柔性屏(折叠屏);汽车电子;消费电子概念;小米概念;智能家居;MiniLED;智能座舱;5G;卫星导航;华为概念;海峡两岸;智慧灯杆;机器人概念;无人机;福建自贸区;抖音概念(字节概念);国企改革;2026中报预增;芯片概念;融资融券;沪股通,600203.SH,25,17
600611,网约车;百度概念;云计算;算力租赁;互联网金融;无人驾驶;低空经济;东数西算(算力);旅游概念;数据中心(AIDC);创投;参股券商;物业管理;沪股通;融资融券,600611.SH,15,17
000892,短剧游戏;IP经济(谷子经济);文化传媒概念;虚拟数字人;AIGC概念;AI应用;AI智能体;人工智能;西部大开发;深股通,000892.SZ,10,33
001258,绿色电力;光热发电;风电;碳中和;充电桩;新疆振兴;储能;特高压;国企改革;西部大开发;2026中报预增;深股通,001258.SZ,12,33
600162,物业管理;沪股通;融资融券;京津冀一体化;养老概念;民营医院;粤港澳大湾区,600162.SH,7,17
000639,NMN概念;ST板块;网红经济;维生素;体育产业;跨境电商;阿里巴巴概念,000639.SZ,7,33
002127,网红经济;跨境电商;ChatGPT概念;三胎概念;露营经济;IP经济(谷子经济);文化传媒概念;AI应用;AI智能体;短剧游戏;创投;DeepSeek概念;抖音概念(字节概念);长三角一体化;华为概念;深股通;2026中报预增;融资融券,002127.SZ,18,33
002726,预制菜;猪肉;ST板块,002726.SZ,3,33
002788,医药电商;冷链物流;养老概念;医疗器械概念;智能医疗;福建自贸区;海峡两岸;人工智能;医美概念;深股通,002788.SZ,10,33
600187,ST板块;PPP概念;空气能热泵;污水处理;黑龙江自贸区;独角兽概念;储能;股权转让(并购重组),600187.SH,8,22
600721,青蒿素;肝炎概念;物业管理;流感;细胞免疫治疗;创新药;合成生物;CRO概念;减肥药;新疆振兴;国企改革;西部大开发;股权转让(并购重组),600721.SH,13,17
688208,人形机器人;传感器;机器人概念;无人驾驶;汽车电子;毫米波雷达;高压快充;新能源汽车;专精特新;华为概念;无人机;充电桩;AI智能体;人民币贬值受益;AI应用;储能;人工智能;DeepSeek概念;跨境电商;沪股通;融资融券,688208.SH,21,17
688399,专精特新;基因测序;猴痘概念;医疗器械概念;智能医疗;肝炎概念;维生素;流感;医药电商;沪股通;融资融券,688399.SH,11,17
920876,融资融券;鸿蒙概念;芯片概念;移动支付;物联网;消费电子概念;机器人概念;智能家居;智慧政务;数字经济;安防;在线教育;信创;人工智能;专精特新;AI PC;5G,920876.BJ,17,151
601199,PPP概念;水利;污水处理;绿色电力;参股银行;国企改革;智慧城市;沪股通;融资融券;地下管网,601199.SH,10,17
