股票代码,code,所属概念数量,所属概念,market_code
301080.SZ,301080,10,重组蛋白;细胞免疫治疗;猴痘概念;人民币贬值受益;人工智能;专精特新;智能医疗;创新药;深股通;融资融券,33
688073.SH,688073,3,人民币贬值受益;沪股通;融资融券,17
301357.SZ,301357,11,军民融合;军工信息化;西部大开发;军工;专精特新;低空经济;无人机;飞行汽车(eVTOL);卫星导航;深股通;融资融券,33
300862.SZ,300862,12,传感器;商业航天;专精特新;毫米波雷达;华为概念;智慧城市;芯片概念;军工;PM2.5;碳中和;PPP概念;融资融券,33
301051.SZ,301051,6,柔性屏(折叠屏);智能穿戴;消费电子概念;储能;深股通;融资融券,33
688137.SH,688137,7,重组蛋白;CRO概念;细胞免疫治疗;流感;合成生物;专精特新;融资融券,17
688203.SH,688203,5,可降解塑料;专精特新;国企改革;3D打印;融资融券,17
688130.SH,688130,7,芯片概念;智能家居;血氧仪;储能;物联网;机器人概念;融资融券,17
920699.BJ,920699,5,融资融券;比亚迪概念;华为概念;家用电器;东数西算(算力),151
301552.SZ,301552,13,军民融合;军工;血氧仪;低空经济;专精特新;比亚迪概念;新能源汽车;小米汽车;特斯拉概念;医疗器械概念;华为概念;小米概念;融资融券,33
300062.SZ,300062,15,智能电网;充电桩;储能;绿色电力;高压快充;光伏概念;高铁;福建自贸区;一带一路;海峡两岸;锂电池概念;宁德时代概念;机器人概念;新能源汽车;深股通,33
688114.SH,688114,11,基因测序;脑机接口;智能医疗;AI智能体;合成生物;机器人概念;医疗器械概念;AI应用;重组蛋白;沪股通;融资融券,17
301336.SZ,301336,8,露营经济;人工智能;智能家居;小米汽车;华为概念;西部大开发;小米概念;融资融券,33
301239.SZ,301239,6,眼科医疗;民营医院;西部大开发;智能医疗;深股通;融资融券,33
301328.SZ,301328,17,汽车电子;铜缆高速连接;毫米波雷达;智能座舱;光伏概念;比亚迪概念;新能源汽车;人形机器人;数据中心(AIDC);无人驾驶;机器人概念;低空经济;粤港澳大湾区;海峡两岸;储能;深股通;融资融券,33
301067.SZ,301067,10,铜缆高速连接;无线充电;卫星导航;无人机;消费电子概念;AI眼镜;低空经济;粤港澳大湾区;机器人概念;融资融券,33
688084.SH,688084,6,无人机;军工;高端装备;机器人概念;沪股通;融资融券,17
688395.SH,688395,6,新型工业化;专精特新;机器人概念;新能源汽车;储能;融资融券,17
301279.SZ,301279,5,减速器;人形机器人;共同富裕示范区;绿色电力;融资融券,33
688046.SH,688046,4,专精特新;DeepSeek概念;沪股通;融资融券,17
688082.SH,688082,7,存储芯片;先进封装;中芯国际概念;第三代半导体;芯片概念;沪股通;融资融券,17
688793.SH,688793,23,电子竞技;虚拟数字人;中俄贸易概念;家用电器;IP经济(谷子经济);新疆振兴;语音技术;智能家居;跨境电商;人工智能;养老概念;DeepSeek概念;粤港澳大湾区;一带一路;脑机接口;专精特新;腾讯概念;海峡两岸;医疗器械概念;新能源汽车;传感器;智能穿戴;融资融券,17
300828.SZ,300828,16,汽车热管理;比亚迪概念;新能源汽车;光伏概念;液冷服务器;机器人概念;数据中心(AIDC);5G;医疗器械概念;一带一路;储能;充电桩;京津冀一体化;风电;国企改革;股权转让(并购重组),33
300892.SZ,300892,5,乳业;网红经济;三胎概念;啤酒概念;融资融券,33
300152.SZ,300152,12,土壤修复;PPP概念;雄安新区;ST板块;净水概念;创投;碳中和;污水处理;PM2.5;燃料电池;氢能源;生物质能发电,33
920179.BJ,920179,6,股权转让(并购重组);融资融券;芯片概念;光伏概念;中芯国际概念;专精特新,151
920870.BJ,920870,7,第三代半导体;高端装备;风电;融资融券;新型工业化;工业母机;专精特新,151
