code,所属概念,market_code,所属概念数量,股票代码
301531,注册制次新股;新股与次新股;融资融券,33,3,301531.SZ
603407,注册制次新股;新股与次新股;融资融券,17,3,603407.SH
920699,融资融券;比亚迪概念;华为概念;家用电器;东数西算(算力),151,5,920699.BJ
920125,消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,151,8,920125.BJ
920186,存储芯片;量子科技;5G;中字头股票;国家大基金持股;中芯国际概念;第三代半导体;芯片概念;专精特新;新股与次新股;融资融券;国企改革;2026一季报预增,151,13,920186.BJ
688189,流感;仿制药一致性评价;创新药;数字经济;国企改革;融资融券,17,6,688189.SH
688551,芯片概念;光伏概念;专精特新;储能;华为概念;比亚迪概念;新能源汽车;低空经济;宁德时代概念;燃料电池;固态电池;氢能源;融资融券,17,13,688551.SH
688603,先进封装;PCB概念;芯片概念;沪股通;融资融券,17,5,688603.SH
688328,MiniLED;电子纸;柔性屏(折叠屏);存储芯片;先进封装;共封装光学(CPO);消费电子概念;OLED;智能穿戴;AI眼镜;芯片概念;MR(混合现实);虚拟现实;第三代半导体;新型工业化;专精特新;华为概念;机器视觉;小米概念;机器人概念;新能源汽车;锂电池概念;融资融券,17,23,688328.SH
688146,光刻机;中船系;氟化工概念;中芯国际概念;国家大基金持股;固态电池;芯片概念;锂电池概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票,17,13,688146.SH
300302,存储芯片;东数西算(算力);云计算;数据安全;数据中心;信创;芯片概念;卫星导航;国产操作系统;专精特新;军工信息化;军工;深股通;融资融券,33,14,300302.SZ
688766,存储芯片;MCU芯片;芯片概念;汽车电子;华为概念;小米概念;融资融券;沪股通,17,8,688766.SH
301188,医疗器械概念;回购增持再贷款概念;融资融券,33,3,301188.SZ
688545,国家大基金持股;存储芯片;中芯国际概念;芯片概念;光刻胶;独角兽概念;国企改革;磷化工;沪股通;融资融券,17,10,688545.SH
688618,光纤概念;智慧灯杆;高铁;WiFi 6;水利;安防;专精特新;海工装备;无人驾驶;5G;物联网;智能物流;车联网(车路协同);新型工业化;网络安全;智能电网;智慧城市;机器人概念;数字经济;工业互联网;人工智能;华为概念;一带一路;星闪概念;DeepSeek概念;芯片概念;充电桩;换电概念;粤港澳大湾区;风电;储能;融资融券,17,32,688618.SH
300604,国家大基金持股;存储芯片;芯片概念;专精特新;2025年报预增;海峡两岸;融资融券;深股通,33,8,300604.SZ
300736,华为概念;区块链;苹果概念,33,3,300736.SZ
688350,专精特新;污水处理;盐湖提锂;氢能源;融资融券,17,5,688350.SH
300616,空间计算;AI智能体;智能家居;AIGC概念;人工智能;IP经济(谷子经济);虚拟现实;海峡两岸;智能物流;养老概念;机器人概念;MR(混合现实);小红书概念,33,13,300616.SZ
300449,数字水印;知识产权保护;人脸识别;网络安全;AI智能体;车联网(车路协同);安防;智慧城市;人工智能;东数西算(算力);华为概念;垃圾分类;军工;股权转让(并购重组),33,14,300449.SZ
300142,生物疫苗;流感;创新药;合成生物;西部大开发;深股通;融资融券,33,7,300142.SZ
300536,芯片概念;东数西算(算力);算力租赁;新型城镇化;垃圾分类;PPP概念;摘帽,33,7,300536.SZ
920156,机器人概念;储能;2026一季报预增;专精特新;新股与次新股;融资融券,151,6,920156.BJ
688008,存储芯片;中芯国际概念;芯片概念;消费电子概念;数据中心;数据安全;人工智能;2025年报预增;人民币贬值受益;沪股通;融资融券,17,11,688008.SH
688123,存储芯片;汽车芯片;中芯国际概念;芯片概念;无线耳机;AI眼镜;智能座舱;智能穿戴;汽车电子;消费电子概念;小米概念;数据中心;华为概念;专精特新;比亚迪概念;特斯拉概念;新型烟草(电子烟);人民币贬值受益;沪股通;融资融券,17,20,688123.SH
301308,存储芯片;AI PC;EDR概念;国家大基金持股;AI手机;先进封装;数据中心;信创;数据安全;华为鲲鹏;芯片概念;消费电子概念;智能穿戴;华为概念;AI眼镜;小米概念;智能座舱;专精特新;2025年报预增;小米汽车;机器人概念;人民币贬值受益;深股通;融资融券,33,24,301308.SZ
300730,DRG/DIP;云办公;家庭医生;网络安全;电子身份证;华为鲲鹏;智慧政务;数据安全;信创;数据要素;数字乡村;智能医疗;财税数字化;AI应用;区块链;智慧城市;物联网;数字经济;数字孪生;食品安全;人工智能;互联网金融;百度概念;华为概念;工业互联网;机器视觉;东数西算(算力);数据中心;军工;芯片概念,33,30,300730.SZ
688234,第三代半导体;芯片概念;AI眼镜;华为概念;专精特新;新能源汽车;智能电网;沪股通;融资融券,17,9,688234.SH
688693,汽车芯片;第三代半导体;芯片概念;专精特新;新能源汽车;无人机;充电桩;智能电网;融资融券,17,9,688693.SH
688416,存储芯片;MCU芯片;芯片概念;中芯国际概念;消费电子概念;小米概念;语音技术;人工智能;回购增持再贷款概念;融资融券,17,10,688416.SH
688627,存储芯片;OLED;芯片概念;MicroLED概念;专精特新;东数西算(算力);粤港澳大湾区;机器人概念;沪股通;融资融券,17,10,688627.SH
688066,军工信息化;ST板块;空间计算;时空大数据;卫星导航;MR(混合现实);商业航天;数据要素;无人机;低空经济;智慧城市;军工;AI智能体;AI应用;数字孪生;人工智能;华为昇腾;DeepSeek概念;云计算;华为概念;水利;雄安新区;碳中和;钙钛矿电池,22,24,688066.SH
300746,建筑节能;水利;新型城镇化;智慧城市;装配式建筑;数字经济;污水处理;机器人概念;垃圾分类;数据要素;DeepSeek概念;无人驾驶;氢能源;天然气;股权转让(并购重组),33,15,300746.SZ
