market_code,所属概念数量,所属概念,股票代码,code
33,18,商业航天;稀土永磁;芯片概念;汽车热管理;减速器;风电;人形机器人;数据中心;光伏概念;华为概念;机器人概念;新能源汽车;比亚迪概念;海峡两岸;储能;充电桩;冷链物流;融资融券,301226.SZ,301226
33,12,汽车热管理;特高压;柔性直流输电;智能电网;储能;宁德时代概念;新能源汽车;专精特新;注册制次新股;锂电池概念;新股与次新股;融资融券,301680.SZ,301680
33,11,注册制次新股;汽车热管理;宁德时代概念;锂电池概念;储能;新能源汽车;专精特新;华为概念;深股通;新股与次新股;融资融券,301667.SZ,301667
17,12,碳纤维;大飞机;飞行汽车(eVTOL);低空经济;风电;氢能源;专精特新;机器人概念;国企改革;沪股通;中字头股票;融资融券,688295.SH,688295
151,7,华为汽车;新能源汽车;比亚迪概念;华为概念;专精特新;新股与次新股;融资融券,920086.BJ,920086
151,7,多模态AI;物联网;AI应用;AI智能体;新股与次新股;融资融券;人民币贬值受益,920036.BJ,920036
33,21,存储芯片;汽车芯片;芯片概念;算力租赁;东数西算(算力);AI眼镜;消费电子概念;智能穿戴;时空大数据;华为昇腾;华为鲲鹏;智慧城市;粤港澳大湾区;人民币贬值受益;DeepSeek概念;虚拟数字人;知识产权保护;国企改革;跨境电商;深股通;融资融券,300042.SZ,300042
17,6,特钢概念;国企改革;回购增持再贷款概念;股权转让(并购重组);沪股通;融资融券,600569.SH,600569
33,14,BC电池;TOPCON电池;HJT电池;硅能源;光伏概念;碳中和;储能;军工;军民融合;智慧城市;机器人概念;人形机器人;华为概念;智能电网,300345.SZ,300345
17,6,信托概念;互联网金融;参股券商;物业管理;沪股通;融资融券,600643.SH,600643
33,10,磷化工;化肥;生态农业;农村电商;水泥概念;土壤修复;乡村振兴;锂电池概念;国企改革;深股通,002470.SZ,002470
17,9,碳交易;绿色电力;超超临界发电;碳中和;风电;氢能源;国企改革;央企国企改革;海工装备,600396.SH,600396
33,11,绿色电力;光伏建筑一体化;储能;碳中和;盐湖提锂;锂电池概念;AI手机;化肥;染料;深股通;融资融券,002256.SZ,002256
17,9,流感;肝炎概念;猴痘概念;幽门螺杆菌概念;宠物经济;医疗器械概念;创投;沪股通;融资融券,603387.SH,603387
17,16,煤化工概念;化肥;天然气;消毒剂;氢能源;国企改革;回购增持再贷款概念;一带一路;燃料电池;储能;光伏概念;机器人概念;磷化工;股权转让(并购重组);沪股通;融资融券,600691.SH,600691
17,16,铜缆高速连接;F5G概念;5G;液冷服务器;消费电子概念;汽车电子;数据中心;新能源汽车;华为概念;东数西算(算力);机器人概念;光伏概念;储能;充电桩;融资融券;沪股通,605277.SH,605277
33,21,智能电网;抽水蓄能;超超临界发电;风电;充电桩;核电;可控核聚变;光伏概念;储能;数据中心;海工装备;水利;东数西算(算力);阿里巴巴概念;百度概念;数字经济;比亚迪概念;粤港澳大湾区;中芯国际概念;深股通;融资融券,000533.SZ,000533
17,8,PCB概念;风电;长三角一体化;绿色电力;家用电器;2025年报预增;虚拟电厂;东数西算(算力),603685.SH,603685
17,8,核电;新型工业化;海工装备;氢能源;中俄贸易概念;一带一路;固废处理;天然气,605167.SH,605167
17,7,C2M概念;福建自贸区;智能家居;人形机器人;机器人概念;人民币贬值受益;沪股通,603992.SH,603992
