股票代码,market_code,所属概念,所属概念数量,code
605389.SH,17,减速器;专精特新;机器人概念;高端装备;光伏概念;海工装备;国企改革;沪股通;股权转让(并购重组),9,605389
301193.SZ,33,3D打印;可降解塑料;人民币贬值受益;跨境电商;一带一路;融资融券,6,301193
688339.SH,17,燃料电池;储能;专精特新;氢能源;京津冀一体化;股权转让(并购重组);沪股通;融资融券,8,688339
920078.BJ,151,商业航天;核污染防治;专精特新;新股与次新股;融资融券,5,920078
920108.BJ,151,机器人概念;一带一路;小米概念;家用电器;融资融券,5,920108
600330.SH,17,PCB概念;第三代半导体;先进封装;5G;OLED;MicroLED概念;毫米波雷达;芯片概念;汽车电子;AI眼镜;商业航天;无线充电;卫星导航;数据中心;智能穿戴;光伏概念;量子科技;军工;新能源汽车;高端装备;储能;充电桩;锂电池概念;长三角一体化;智能物流;创投;固废处理;乡村振兴;融资融券;沪股通,30,600330
688147.SH,17,存储芯片;先进封装;OLED;中芯国际概念;BC电池;第三代半导体;汽车芯片;钙钛矿电池;芯片概念;TOPCON电池;HJT电池;专精特新;高端装备;光伏概念;回购增持再贷款概念;沪股通;融资融券,17,688147
002281.SZ,33,F5G概念;共封装光学(CPO);光纤概念;液冷服务器;6G概念;5G;芯片概念;数据中心;东数西算(算力);量子科技;华为概念;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;央企国企改革;国企改革;深股通;融资融券;股权转让(并购重组),20,002281
000042.SZ,33,物业管理;粤港澳大湾区;深股通;融资融券,4,000042
301310.SZ,33,军工;飞行汽车(eVTOL);可控核聚变;铜缆高速连接;核电;专精特新;新能源汽车;人形机器人;高压快充;比亚迪概念;机器人概念;充电桩;宁德时代概念;储能;光伏概念;创投;深股通;融资融券,18,301310
603195.SH,17,超级品牌;同花顺漂亮100;露营经济;高股息精选;家用电器;抖音概念(字节概念);腾讯概念;智能家居;回购增持再贷款概念;充电桩;储能;华为概念;无线充电;沪股通;融资融券,15,603195
002943.SZ,33,HJT电池;TOPCON电池;光伏概念;第三代半导体;稀土永磁;比亚迪概念;工业母机;芯片概念;AI眼镜;智能穿戴;深股通;融资融券,12,002943
301198.SZ,33,比亚迪概念;华为概念;智能物流;跨境电商;特斯拉概念;融资融券,6,301198
688115.SH,17,WiFi 6;虚拟现实;芯片概念;苹果概念;机器视觉;新型工业化;华为概念;军工;数字孪生;工业互联网;股权转让(并购重组);融资融券,12,688115
688173.SH,17,汽车芯片;芯片概念;AI眼镜;AI手机;智能穿戴;消费电子概念;智能座舱;汽车电子;小米概念;传感器;无线充电;华为概念;专精特新;智能家居;东数西算(算力);机器人概念;粤港澳大湾区;人民币贬值受益;锂电池概念;股权转让(并购重组);沪股通;融资融券,22,688173
301362.SZ,33,PCB概念;C2M概念;专精特新;一带一路;生态农业;人民币贬值受益;高股息精选;融资融券,8,301362
688127.SH,17,光刻机;共封装光学(CPO);同花顺果指数;苹果概念;芯片概念;消费电子概念;5G;智能穿戴;华为概念;2025年报预增;人民币贬值受益;一带一路;沪股通;融资融券,14,688127
002025.SZ,33,铜缆高速连接;共封装光学(CPO);光纤概念;卫星导航;5G;液冷服务器;商业航天;数据中心;大飞机;军工;同花顺新质50;小米概念;华为概念;机器视觉;比亚迪概念;低空经济;新能源汽车;核电;智能物流;央企国企改革;西部大开发;国企改革;深股通;融资融券,24,002025
000880.SZ,33,中国AI 50;数据中心;海工装备;国企改革;融资融券;深股通,6,000880
301092.SZ,33,盐湖提锂;净水概念;稀土永磁;专精特新;核污染防治;污水处理;减肥药;核电;超超临界发电;融资融券,10,301092
002135.SZ,33,装配式建筑;新型城镇化;PPP概念;雄安新区;体育产业;养老概念;一带一路;光伏建筑一体化;乡村振兴;储能;绿色电力;光伏概念;可控核聚变;低空经济;深股通;融资融券,16,002135
688387.SH,17,卫星导航;6G概念;商业航天;低空经济;网络安全;东数西算(算力);5G;车联网(车路协同);芯片概念;AI应用;机器视觉;人工智能;物联网;DeepSeek概念;专精特新;工业互联网;央企国企改革;国企改革;沪股通;融资融券,20,688387
300835.SZ,33,消费电子概念;数据中心;稀土永磁;专精特新;新能源汽车;光伏概念;深股通,7,300835
688302.SH,17,创新药;西部大开发;沪股通;融资融券,4,688302
300751.SZ,33,钙钛矿电池;HJT电池;光伏概念;MicroLED概念;第三代半导体;OLED;MiniLED;新型工业化;高端装备;先进封装;芯片概念;锂电池概念;存储芯片;回购增持再贷款概念;融资融券;深股通,16,300751
301322.SZ,33,芯片概念;新能源汽车;中芯国际概念;人民币贬值受益;动力电池回收;融资融券,6,301322
688757.SH,17,存储芯片;先进封装;芯片概念;光刻胶;新能源汽车;沪股通;融资融券,7,688757
920181.BJ,151,芯片概念;专精特新;新股与次新股;融资融券,4,920181
688090.SH,17,机器视觉;新型工业化;传感器;专精特新;芯片概念;比亚迪概念;新能源汽车;机器人概念;AI应用;数字孪生;人工智能;融资融券,12,688090
688508.SH,17,国家大基金持股;汽车芯片;中芯国际概念;第三代半导体;芯片概念;数据中心;2025年报预增;专精特新;人形机器人;高压快充;无人机;机器人概念;充电桩;DeepSeek概念;人工智能;智能电网;沪股通;融资融券,18,688508
688253.SH,17,重组蛋白;辅助生殖;阿尔茨海默概念;幽门螺杆菌概念;猴痘概念;流感;医药电商;肝炎概念;智能医疗;沪股通;融资融券,11,688253
603657.SH,17,家用电器;机器人概念;专精特新;小米概念,4,603657
300558.SZ,33,重组蛋白;细胞免疫治疗;创新药;眼科医疗;基因测序;智能医疗;深股通;融资融券,8,300558
301049.SZ,33,医疗废物处理;固废处理;汽车拆解概念;动力电池回收;锂电池概念;储能;金属回收;融资融券,8,301049
301232.SZ,33,航空发动机;商业航天;大飞机;无人机;低空经济;3D打印;核电;专精特新;工业互联网;机器人概念;风电;融资融券,12,301232
688270.SH,22,军工信息化;卫星导航;6G概念;商业航天;军民融合;军工;无人机;芯片概念;2025年报预增;ST板块,10,688270
603050.SH,17,智能电网;高压快充;虚拟电厂;充电桩;储能;光伏概念;雄安新区;金属回收;京津冀一体化;特斯拉概念;绿色电力;沪股通;融资融券,13,603050
301356.SZ,33,人民币贬值受益;3D打印;参股银行;融资融券,4,301356
002353.SZ,33,同花顺出海50;数据中心;核电;页岩气;海工装备;高端装备;一带一路;储能;天然气;中俄贸易概念;动力电池回收;锂电池概念;深股通;融资融券;回购增持再贷款概念;污水处理;土壤修复,17,002353
688069.SH,17,专精特新;数字孪生;人工智能;光伏概念;储能;水利;氢能源;碳中和;碳交易;融资融券,10,688069
