code,所属概念数量,market_code,所属概念,股票代码
300006,13,33,细胞免疫治疗;辅助生殖;创新药;医药电商;眼科医疗;仿制药一致性评价;幽门螺杆菌概念;肝炎概念;医疗器械概念;知识产权保护;西部大开发;国企改革;融资融券,300006.SZ
688485,3,17,专精特新;京津冀一体化;融资融券,688485.SH
300626,7,33,特斯拉概念;机器人概念;新能源汽车;家用电器;军工;医药电商;国企改革,300626.SZ
688146,13,17,光刻机;中芯国际概念;国家大基金持股;氟化工概念;中船系;芯片概念;固态电池;锂电池概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票,688146.SH
688226,14,17,共封装光学(CPO);数据中心;特斯拉概念;智能电网;东数西算(算力);专精特新;华为概念;储能;光伏概念;风电;钠离子电池;HJT电池;沪股通;融资融券,688226.SH
300608,47,33,华为欧拉;云办公;算力租赁;云计算;华为鲲鹏;电子身份证;数据安全;Web3.0;智慧政务;财税数字化;信创;6G概念;东数西算(算力);多模态AI;数据确权;鸿蒙概念;人脸识别;AI智能体;虚拟数字人;在线教育;AIGC概念;区块链;数据要素;5G;数据中心;语音技术;华为概念;车联网(车路协同);智慧城市;DeepSeek概念;数字经济;互联网金融;人工智能;物联网;数字孪生;卫星导航;智能医疗;职业教育;消费电子概念;C2M概念;工业互联网;AI应用;低空经济;机器人概念;乡村振兴;雄安新区;股权转让(并购重组),300608.SZ
300812,15,33,共封装光学(CPO);先进封装;第三代半导体;MicroLED概念;OLED;柔性屏(折叠屏);MiniLED;MR(混合现实);芯片概念;消费电子概念;工业母机;商业航天;专精特新;华为概念;医疗器械概念,300812.SZ
688205,9,17,F5G概念;共封装光学(CPO);5G;芯片概念;数据中心;东数西算(算力);专精特新;沪股通;融资融券,688205.SH
688195,19,17,共封装光学(CPO);光纤概念;光刻机;AI眼镜;芯片概念;量子科技;数据中心;商业航天;专精特新;无人驾驶;华为概念;卫星导航;福建自贸区;海峡两岸;医疗器械概念;独角兽概念;沪股通;股权转让(并购重组);融资融券,688195.SH
300400,16,33,先进封装;富士康概念;MicroLED概念;OLED;第三代半导体;PCB概念;柔性屏(折叠屏);MiniLED;消费电子概念;芯片概念;机器视觉;新型工业化;比亚迪概念;华为概念;人工智能;深股通,300400.SZ
688307,14,17,光刻机;智能穿戴;机器视觉;智能座舱;专精特新;海峡两岸;无人驾驶;无人机;虚拟现实;华为概念;机器人概念;安防;人工智能;融资融券,688307.SH
688628,8,17,芯片概念;人民币贬值受益;PM2.5;光伏概念;核污染防治;AI智能体;DeepSeek概念;融资融券,688628.SH
688677,5,17,医疗器械概念;专精特新;人民币贬值受益;融资融券;沪股通,688677.SH
688079,18,17,MicroLED概念;光刻机;先进封装;第三代半导体;MR(混合现实);富士康概念;苹果概念;AI眼镜;消费电子概念;芯片概念;5G;智能穿戴;虚拟现实;传感器;华为概念;专精特新;无人机;融资融券,688079.SH
300620,19,33,光纤概念;共封装光学(CPO);5G;芯片概念;3D打印;数据中心;量子科技;商业航天;无人驾驶;卫星导航;海工装备;2025年报预增;粤港澳大湾区;一带一路;横琴新区;国企改革;股权转让(并购重组);深股通;融资融券,300620.SZ
300632,35,33,MiniLED;脑机接口;先进封装;PET铜箔;柔性屏(折叠屏);第三代半导体;AI眼镜;OLED;富士康概念;智能穿戴;PCB概念;芯片概念;5G;消费电子概念;汽车电子;医美概念;无线耳机;传感器;无人驾驶;无人机;福建自贸区;比亚迪概念;鸿蒙概念;机器人概念;人形机器人;海峡两岸;固态电池;人民币贬值受益;充电桩;家用电器;锂电池概念;养老概念;储能;一带一路;消毒剂,300632.SZ
300757,22,33,共封装光学(CPO);光纤概念;BC电池;富士康概念;华为海思概念股;苹果概念;芯片概念;英伟达概念;TOPCON电池;HJT电池;数据中心;新能源汽车;高端装备;新型工业化;量子科技;光伏概念;商业航天;华为概念;工业互联网;股权转让(并购重组);融资融券;深股通,300757.SZ
