market_code,所属概念,股票代码,所属概念数量,code
151,新股与次新股;融资融券,920126.BJ,2,920126
33,5G;专精特新;军工;医疗器械概念;融资融券;深股通,301566.SZ,6,301566
33,PCB概念;华为手机;5G;消费电子概念;汽车电子;特高压;光伏概念;华为概念;风电;工业互联网;绿色电力;数字经济;一带一路;西部大开发;国企改革;深股通;融资融券,301526.SZ,17,301526
33,超级电容;共封装光学(CPO);芯片概念;华为海思概念股;5G;传感器;商业航天;华为概念;军工;海工装备;大飞机;深股通;融资融券,300726.SZ,13,300726
33,光伏概念;专精特新;融资融券,301373.SZ,3,301373
33,共封装光学(CPO);光纤概念;F5G概念;铜缆高速连接;芯片概念;5G;传感器;数据中心(AIDC);人民币贬值受益;融资融券;深股通,300570.SZ,11,300570
33,光纤概念;共封装光学(CPO);F5G概念;铜缆高速连接;5G;芯片概念;数据中心(AIDC);专精特新;机器视觉;华为概念;2025年报预增;机器人概念;长三角一体化;抖音概念(字节概念);融资融券;深股通,300548.SZ,16,300548
17,共封装光学(CPO);科创次新股;PCB概念;PET铜箔;注册制次新股;固态电池;锂电池概念;比亚迪概念;核电;军工;华为概念;氢能源;西部大开发;国企改革;新股与次新股;融资融券,688813.SH,16,688813
17,PCB概念;先进封装;芯片概念;沪股通;融资融券,688603.SH,5,688603
17,光纤概念;共封装光学(CPO);光刻机;存储芯片;先进封装;OLED;MicroLED概念;芯片概念;消费电子概念;可控核聚变;3D打印;MR(混合现实);智能座舱;无人驾驶;机器视觉;虚拟现实;医美概念;西部大开发;沪股通;融资融券,688167.SH,20,688167
17,先进封装;存储芯片;芯片概念;共封装光学(CPO);光刻胶;新能源汽车;沪股通;融资融券,688757.SH,8,688757
33,PCB概念;MiniLED;锂电池概念;汽车电子;融资融券,301176.SZ,5,301176
33,PET铜箔;PCB概念;固态电池;宁德时代概念;5G;锂电池概念;比亚迪概念;储能;国企改革;深股通;融资融券,301217.SZ,11,301217
17,MicroLED概念;先进封装;共封装光学(CPO);第三代半导体;OLED;存储芯片;华为海思概念股;柔性屏(折叠屏);光纤概念;PCB概念;芯片概念;BC电池;PET铜箔;钙钛矿电池;3D打印;商业航天;专精特新;光伏概念;华为概念;高端装备;碳纤维;宁德时代概念;固态电池;锂电池概念;融资融券,688170.SH,25,688170
33,先进封装;第三代半导体;核污染防治;新能源汽车;核电;军工;氢能源;无人驾驶;无人机;低空经济;深股通,300489.SZ,11,300489
17,芯片概念;传感器;机器视觉;比亚迪概念;专精特新;新型工业化;新能源汽车;机器人概念;数字孪生;人工智能;AI应用;融资融券,688090.SH,12,688090
33,MiniLED;苹果概念;共封装光学(CPO);消费电子概念;智能穿戴;机器人概念;碳纤维;粤港澳大湾区;数字经济;可降解塑料;一带一路;融资融券,301387.SZ,12,301387
33,共封装光学(CPO);光纤概念;芯片概念;5G;3D打印;量子科技;数据中心(AIDC);商业航天;2026一季报预增;卫星导航;无人驾驶;海工装备;2025年报预增;横琴新区;粤港澳大湾区;一带一路;国企改革;股权转让(并购重组);深股通;融资融券,300620.SZ,20,300620
33,PCB概念;专精特新;人民币贬值受益;C2M概念;一带一路;生态农业;高股息精选;融资融券,301362.SZ,8,301362
33,光纤概念;消费电子概念;新型烟草(电子烟);专精特新;PEEK材料;新能源汽车;海峡两岸;储能;机器人概念;家用电器;福建自贸区;医疗器械概念;养老概念;三胎概念;宠物经济;深股通;融资融券,301196.SZ,17,301196
33,华为鲲鹏;智慧政务;时空大数据;网络安全;信创;数据安全;人脸识别;AI应用;数据要素;安防;智慧城市;数字经济;人工智能;DeepSeek概念;独角兽概念;新疆振兴;机器视觉;西部大开发;专精特新;东数西算(算力);华为概念;股权转让(并购重组),300588.SZ,22,300588
17,PCB概念;2026一季报预增;工业母机;专精特新;融资融券,688257.SH,5,688257
33,露营经济;三胎概念;足球概念;跨境电商;冰雪产业;体育产业;MicroLED概念;柔性屏(折叠屏);AI眼镜;MiniLED;OLED;机器人概念;消费电子概念;智能穿戴;芯片概念;京津冀一体化;商业航天;汽车芯片;MCU芯片;融资融券;深股通,300005.SZ,21,300005
17,中芯国际概念;存储芯片;芯片概念;硅能源;绿色电力;沪股通;融资融券,688432.SH,7,688432
33,三胎概念;IP经济(谷子经济);体育产业;融资融券,301276.SZ,4,301276
33,共封装光学(CPO);光纤概念;消费电子概念;5G;小米概念;数据中心(AIDC);华为概念;燃料电池;深股通;证金持股;融资融券,300408.SZ,11,300408
17,PET铜箔;PCB概念;先进封装;华为手机;消费电子概念;稀土永磁;5G;小米概念;专精特新;华为概念;融资融券,688020.SH,11,688020
151,AI应用;手机游戏;数据要素;DeepSeek概念;人民币贬值受益;电力物联网;互联网金融;乡村振兴;智慧城市;水利;融资融券;储能;车联网(车路协同);云办公;数字乡村,920790.BJ,15,920790
151,融资融券;氢能源;光伏概念;碳中和;国企改革;硅能源;芯片概念,920402.BJ,7,920402
33,柔性屏(折叠屏);芯片概念;苹果概念;消费电子概念;智能穿戴;汽车电子;液冷服务器;小米概念;碳纤维;虚拟现实;比亚迪概念;华为概念;光伏概念;新能源汽车;特斯拉概念;东数西算(算力);脑机接口;粤港澳大湾区;宁德时代概念;抖音概念(字节概念);储能;创投;深股通;融资融券,300976.SZ,24,300976
17,共封装光学(CPO);芯片概念;液冷服务器;商业航天;新能源汽车;人形机器人;光伏概念;机器人概念;无人机;高铁;核电;低空经济;锂电池概念;2025年报预增;风电;共同富裕示范区;绿色电力;融资融券,688379.SH,18,688379
33,富士康概念;消费电子概念;智能穿戴;传感器;小米概念;英伟达概念;新能源汽车;高压快充;无人机;华为概念;机器人概念;海峡两岸;粤港澳大湾区;家用电器;深股通;融资融券,301458.SZ,16,301458
151,数据中心(AIDC);2025年报预增;粤港澳大湾区;无人驾驶;光纤概念;新股与次新股;融资融券;共封装光学(CPO);人民币贬值受益,920045.BJ,9,920045
17,光纤概念;消费电子概念;汽车电子;华为概念;无人驾驶;融资融券,688260.SH,6,688260
