market_code,所属概念,股票代码,code,所属概念数量
151,,920305.BJ,920305,0
151,西部大开发;融资融券;农业种植;医药电商,920266.BJ,920266,4
17,重组蛋白;减肥药;仿制药一致性评价;创新药;细胞免疫治疗;流感;合成生物;创投;沪股通;融资融券,688166.SH,688166,10
17,创新药;沪股通;融资融券,688192.SH,688192,3
33,仿制药一致性评价;创新药;CRO概念;减肥药;食品安全;DeepSeek概念;融资融券,301520.SZ,301520,7
33,短剧游戏;文化传媒概念;国企改革;深股通,300528.SZ,300528,4
33,细胞免疫治疗;重组蛋白;创新药;CRO概念;智能医疗;AI应用;DeepSeek概念;人民币贬值受益;深股通;股权转让(并购重组);融资融券,300149.SZ,300149,11
33,算力租赁;云计算;华为昇腾;东数西算(算力);网络安全;信创;阿里巴巴概念;抖音概念(字节概念);数据中心(AIDC);数据要素;智慧城市;华为概念;互联网金融;人工智能;京津冀一体化;参股银行;深股通,300231.SZ,300231,17
33,燃料电池;新型城镇化;污水处理;固废处理;PPP概念;CRO概念;绿色电力;合成生物;股权转让(并购重组),300692.SZ,300692,9
17,专精特新;DeepSeek概念;沪股通;融资融券,688046.SH,688046,4
17,AI手机;消费电子概念;卫星导航;商业航天;无人机;大飞机;3D打印;人形机器人;军工;飞行汽车(eVTOL);低空经济;机器人概念;航空发动机;核电;西部大开发;沪股通;融资融券,688333.SH,688333,17
33,细胞免疫治疗;重组蛋白;CRO概念;创新药;仿制药一致性评价;眼科医疗;股权转让(并购重组),300683.SZ,300683,7
17,3D打印;商业航天;专精特新;碳纤维;高端装备;机器人概念;低空经济;飞行汽车(eVTOL);沪股通;融资融券,688433.SH,688433,10
17,辅助生殖;融资融券,688265.SH,688265,2
17,CRO概念;细胞免疫治疗;创新药;减肥药;肝炎概念;仿制药一致性评价;宠物经济;智能医疗;人工智能;华为盘古;专精特新;股权转让(并购重组);融资融券;沪股通,688621.SH,688621,14
33,创新药;减肥药;医美概念;深股通;雄安新区;融资融券,300255.SZ,300255,6
33,创新药;细胞免疫治疗;重组蛋白;眼科医疗;辅助生殖;深股通;融资融券,300204.SZ,300204,7
33,物业管理;语音技术;互联网金融;数据安全;网络安全;人脸识别;AI应用;信创;区块链;百度概念;人工智能;粤港澳大湾区;物联网;深股通;摘帽;股权转让(并购重组),300561.SZ,300561,16
17,创新药;减肥药;肝炎概念;猴痘概念;医药电商;智能医疗;AI应用;中俄贸易概念;DeepSeek概念;粤港澳大湾区;沪股通;融资融券,688321.SH,688321,12
33,互联网金融;数字货币;虚拟数字人;专精特新;绿色电力;芯片概念;存储芯片;深股通,300551.SZ,300551,8
151,仿制药一致性评价;人工智能;机器人概念;AI应用;医药电商;融资融券;维生素;流感;华为鲲鹏;智能医疗;创新药,920367.BJ,920367,11
17,科创次新股;CRO概念;基因测序;注册制次新股;智能医疗;人民币贬值受益;AI智能体;沪股通;新股与次新股;融资融券,688796.SH,688796,10
33,减肥药;创新药;生物疫苗;维生素;融资融券;深股通,300765.SZ,300765,6
33,ST板块;养老概念;安防;乡村振兴;新型工业化;无人驾驶;人脸识别;PPP概念;机器人概念;网络游戏;车联网(车路协同);军民融合;人工智能;智慧城市;机器视觉;手机游戏;数据要素;低空经济;时空大数据;军工;无人机;粤港澳大湾区;抖音概念(字节概念);5G;数据中心(AIDC),300044.SZ,300044,25
33,ERP概念;跨境电商;AI应用;人工智能;DeepSeek概念;人民币贬值受益;智能物流;深股通;融资融券,301381.SZ,301381,9
151,AI应用;医药电商;重组蛋白;融资融券;合成生物;医美概念;医疗器械概念;创新药;专精特新,920982.BJ,920982,9
17,创新药;仿制药一致性评价;肝炎概念;幽门螺杆菌概念;合成生物;专精特新;沪股通;融资融券,688799.SH,688799,8
151,芯片概念;核电;绿色电力;医疗器械概念;鸿蒙概念;高端装备;食品安全;融资融券;宠物经济;储能;人工智能;专精特新,920476.BJ,920476,12
17,重组蛋白;创新药;阿尔茨海默概念;肝炎概念;猴痘概念;流感;智能医疗;医疗器械概念;食品安全;京津冀一体化;人工智能;沪股通;融资融券,688068.SH,688068,13
33,云办公;海峡两岸;福建自贸区;信创;腾讯概念;工业互联网;AI应用;人民币贬值受益;高股息精选;深股通;融资融券,300628.SZ,300628,11
33,食品安全;DeepSeek概念;光伏概念;高压快充;商业航天;2026中报预增;融资融券,301062.SZ,301062,7
33,新型城镇化;污水处理;土壤修复;水利;乡村振兴;智慧城市;人工智能;低空经济;安防;国企改革;数据要素;数字孪生;AI智能体;风电;华为鲲鹏;数据中心(AIDC);东数西算(算力);股权转让(并购重组),300635.SZ,300635,18
17,维生素;合成生物;可降解塑料;人工智能;同花顺新质50;融资融券;沪股通,688639.SH,688639,7
33,股权转让(并购重组);生态农业;绿色电力;土壤修复;风电;PPP概念;固废处理;乡村振兴;京津冀一体化;雄安新区;汽车拆解概念;国企改革;储能;污水处理;新型城镇化;水利;金属回收;深股通,002310.SZ,002310,18
17,化肥;煤化工概念;煤炭概念;民营医院;阿尔茨海默概念;乡村振兴;仿制药一致性评价;西部大开发;医疗器械概念;创投;沪股通,600227.SH,600227,11
33,雄安新区;DeepSeek概念;碳中和;固废处理;风电;国企改革;华为概念;PM2.5;超超临界发电;央企国企改革;储能;光伏概念,300105.SZ,300105,12
33,拼多多概念;互联网金融;数字经济;网红经济;跨境电商;三胎概念;人民币贬值受益;无线耳机;深股通,002640.SZ,002640,9
33,网约车;ST板块;PPP概念;智能家居;星闪概念;创投;海峡两岸;MicroLED概念;污水处理;家用电器;鸿蒙概念;工业互联网;人工智能;DeepSeek概念;智能穿戴;国企改革;MiniLED;腾讯概念;无线耳机;消费电子概念;央企国企改革;5G;PCB概念;芯片概念;存储芯片;股权转让(并购重组),000016.SZ,000016,26
17,民营医院;预制菜;高压氧舱;养老概念;乡村振兴;净水概念;智能医疗;污水处理;创投;白酒概念;融资融券,600257.SH,600257,11
33,人造肉;工业大麻;一带一路;预制菜;绿色电力;区块链;军民融合;海峡两岸;高股息精选;深股通;融资融券,002303.SZ,002303,11
33,特钢概念;国企改革;雄安新区;京津冀一体化;DeepSeek概念;创投;机器人概念;特斯拉概念;人形机器人;新能源汽车;深股通;AI智能体;工业互联网;智能物流;风电;融资融券,000959.SZ,000959,16
17,流感;医药电商;维生素;仿制药一致性评价;肝炎概念;创新药;黑龙江自贸区;三胎概念;养老概念;跨境电商;DeepSeek概念;沪股通;融资融券;冷链物流;民营医院,600664.SH,600664,15
33,新型城镇化;水利;地下管网;PPP概念;雅下水电概念;储能;人形机器人;光伏概念;锂电池概念;绿色电力;深股通;融资融券,002062.SZ,002062,12
33,猴痘概念;肝炎概念;民营医院;维生素;细胞免疫治疗;流感;海南自贸区;仿制药一致性评价;创新药;医疗器械概念;参股银行;国企改革;创投;央企国企改革;脑机接口;深股通;融资融券,000566.SZ,000566,17
33,光伏建筑一体化;绿色电力;TOPCON电池;碳中和;风电;国企改革;海工装备;钙钛矿电池;高铁;一带一路;智能电网;充电桩;光伏概念;储能;军民融合;军工;锂电池概念;深股通;华为概念;新能源汽车;5G;比亚迪概念;融资融券,002309.SZ,002309,23
17,网红经济;三胎概念;跨境电商;长三角一体化;抖音概念(字节概念);2026中报预增,603839.SH,603839,6
33,算力租赁;5G;腾讯概念;抖音概念(字节概念);阿里巴巴概念;华为概念;百度概念;小米概念;互联网金融,000889.SZ,000889,9
33,维生素;流感;仿制药一致性评价;创新药;医美概念;宠物经济;消毒剂;医疗器械概念;黑龙江自贸区,002900.SZ,002900,9
17,青蒿素;肝炎概念;物业管理;流感;细胞免疫治疗;创新药;合成生物;CRO概念;减肥药;新疆振兴;国企改革;西部大开发;股权转让(并购重组),600721.SH,600721,13
17,预制菜;冷链物流,605089.SH,605089,2
17,海峡两岸;消费电子概念;人民币贬值受益;摘帽,603580.SH,603580,4
17,高铁;高端装备;光伏概念;水利;一带一路;储能;核电;创投;地下管网;雄安新区;风电;京津冀一体化;新疆振兴;水泥概念;绿色电力;沪股通;融资融券,603969.SH,603969,17
17,减肥药;CRO概念;流感;肝炎概念;宠物经济;合成生物;辅助生殖;人民币贬值受益;机器人概念;沪股通;融资融券,603538.SH,603538,11
22,ST板块;烟草;新型烟草(电子烟);储能,603429.SH,603429,4
