股票代码,所属概念数量,所属概念,market_code,code
301666.SZ,7,注册制次新股;新股与次新股;融资融券;英伟达概念;数据中心;存储芯片;专精特新,33,301666
603293.SH,10,毫米波雷达;汽车芯片;汽车电子;无人驾驶;新能源汽车;小米汽车;MCU芯片;注册制次新股;新股与次新股;融资融券,17,603293
920177.BJ,2,新股与次新股;融资融券,151,920177
920249.BJ,41,抖音概念(字节概念);汽车芯片;无人驾驶;智能物流;电力物联网;机器人概念;光伏概念;智能穿戴;数字经济;物联网;医疗器械概念;汽车电子;鸿蒙概念;智能家居;传感器;智慧灯杆;芯片概念;汽车热管理;存储芯片;消费电子概念;车联网(车路协同);先进封装;充电桩;星闪概念;工业互联网;百度概念;人脸识别;融资融券;智能座舱;华为海思概念股;华为概念;人形机器人;阿里巴巴概念;安防;一带一路;DeepSeek概念;WiFi 6;两轮车;人工智能;AI智能体;5G,151,920249
300027.SZ,14,短剧游戏;文化传媒概念;虚拟数字人;IP经济(谷子经济);抖音概念(字节概念);元宇宙;腾讯概念;阿里巴巴概念;网红经济;旅游概念;数字经济;特色小镇;深股通;融资融券,33,300027
300798.SZ,4,染料;算力租赁;东数西算(算力);AI智能体,33,300798
301148.SZ,8,核污染防治;海峡两岸;专精特新;福建自贸区;核电;新型城镇化;污水处理;融资融券,33,301148
688227.SH,17,军工;芯片概念;东数西算(算力);华为概念;算力租赁;云计算;信创;华为欧拉;人工智能;智慧政务;AI智能体;数据要素;DeepSeek概念;区块链;数字经济;互联网金融;融资融券,17,688227
301603.SZ,13,工业母机;PCB概念;柔性屏(折叠屏);新型工业化;新能源汽车;人形机器人;专精特新;机器人概念;2025年报预增;军工;粤港澳大湾区;深股通;融资融券,33,301603
301396.SZ,31,算力租赁;财税数字化;云计算;东数西算(算力);多模态AI;ChatGPT概念;信创;智慧政务;腾讯概念;AI智能体;空间计算;数据中心;数据要素;MR(混合现实);DeepSeek概念;华为概念;安防;智慧城市;AI应用;人工智能;数字经济;物联网;智能医疗;职业教育;专精特新;智能物流;乡村振兴;旅游概念;新型城镇化;深股通;融资融券,33,301396
688668.SH,13,铜缆高速连接;英伟达概念;液冷服务器;光纤概念;5G;机器视觉;商业航天;比亚迪概念;新能源汽车;2025年报预增;长安汽车概念;融资融券;沪股通,17,688668
300905.SZ,7,染料;光刻胶;专精特新;3D打印;足球概念;深股通;融资融券,33,300905
300736.SZ,3,苹果概念;华为概念;区块链,33,300736
688287.SH,10,商业航天;军民融合;军工;安防;ST板块;无人机;低空经济;智慧城市;人工智能;专精特新,22,688287
