所属概念,code,所属概念数量,market_code,股票代码
,920305,0,151,920305.BJ
仿制药一致性评价;创新药;CRO概念;减肥药;食品安全;DeepSeek概念;融资融券,301520,7,33,301520.SZ
算力租赁;东数西算(算力);丙烯酸;数据中心(AIDC);液冷服务器;DeepSeek概念;专精特新;新疆振兴,300214,8,33,300214.SZ
流感;医药电商;三胎概念;创新药;医疗器械概念;中俄贸易概念;食品安全;西部大开发;参股券商;国企改革;专精特新;股权转让(并购重组),300534,12,33,300534.SZ
航空发动机;海工装备;人民币贬值受益;低空经济;风电;西部大开发;融资融券;核电;无人机;商业航天;中俄贸易概念,920943,11,151,920943.BJ
军工;可控核聚变;核电;铜缆高速连接;飞行汽车(eVTOL);专精特新;宁德时代概念;新能源汽车;机器人概念;创投;比亚迪概念;人形机器人;高压快充;充电桩;储能;光伏概念;深股通;融资融券,301310,18,33,301310.SZ
流感;三胎概念;肝炎概念;仿制药一致性评价;医药电商;禽流感;医疗器械概念;创新药;创投;深股通;融资融券,300039,11,33,300039.SZ
创新药;沪股通;融资融券,688176,3,17,688176.SH
净水概念;盐湖提锂;核污染防治;减肥药;专精特新;污水处理;稀土永磁;核电;超超临界发电;芯片概念;深股通;融资融券,301092,12,33,301092.SZ
西部大开发;融资融券;医药电商;农业种植,920266,4,151,920266.BJ
,000004,0,37,000004.SZ
流感;仿制药一致性评价;合成生物;幽门螺杆菌概念;创新药;CRO概念;减肥药;深股通;融资融券,301277,9,33,301277.SZ
流感;医药电商;维生素;仿制药一致性评价;肝炎概念;创新药;黑龙江自贸区;三胎概念;养老概念;跨境电商;DeepSeek概念;沪股通;融资融券,600664,13,17,600664.SH
存储芯片;芯片概念;专精特新;股权转让(并购重组);沪股通;融资融券,688206,6,17,688206.SH
跨境电商;C2M概念;鸿蒙概念;人民币贬值受益;智能家居;沪股通,603313,6,17,603313.SH
医药电商;仿制药一致性评价;维生素;流感;创新药;ST板块;冷链物流;医疗器械概念;粤港澳大湾区,000078,9,33,000078.SZ
创新药;医药电商;细胞免疫治疗;毛发医疗;高股息精选;国企改革;深股通;2026中报预增;股权转让(并购重组),000989,9,33,000989.SZ
国企改革;国产航母;西部大开发;海工装备;军工;商业航天,600992,6,17,600992.SH
盐湖提锂;芯片概念;液冷服务器;央企国企改革;净水概念;西部大开发;污水处理;参股银行;国企改革;参股券商;深股通,000920,11,33,000920.SZ
上海国企改革;装配式建筑;房屋检测;一带一路;新型城镇化;低空经济;数字孪生;人工智能;创投;水利;建筑节能;地下管网;数字经济;PPP概念;雄安新区;乡村振兴;参股券商;国企改革;碳中和;融资融券;沪股通,600629,21,17,600629.SH
天然气;氢能源;国企改革;绿色电力;一带一路;股权转让(并购重组);专精特新;融资融券,603318,8,17,603318.SH
股权转让(并购重组);金属回收;深股通;融资融券,002379,4,33,002379.SZ
阿尔茨海默概念;仿制药一致性评价;流感;民营医院;创新药;CRO概念;西部大开发,603669,7,17,603669.SH
家用电器;空气能热泵;国企改革;机器人概念;新能源汽车;无人机;传感器,603677,7,17,603677.SH
专精特新;光伏概念;职业教育,603065,3,17,603065.SH
装配式建筑;建筑节能;新型城镇化;光伏建筑一体化;股权转让(并购重组);融资融券,603137,6,17,603137.SH
人造肉;网红经济;宠物经济;共同富裕示范区,003030,4,33,003030.SZ
工业母机;人形机器人;新型工业化;无人机;机器人概念;新能源汽车;工业互联网;福建自贸区;数字经济;物联网;智能家居;海峡两岸;消费电子概念;汽车电子;储能;芯片概念;MCU芯片;存储芯片,603933,18,17,603933.SH
仿制药一致性评价;创新药;流感;禽流感;国企改革;专精特新;沪股通;股权转让(并购重组),600513,8,17,600513.SH
俄乌冲突概念;煤化工概念;天然气;新疆振兴;航运概念;氢能源;商业航天;粤港澳大湾区;智能物流;绿色电力;芯片概念;融资融券;沪股通,605090,13,17,605090.SH
光刻胶;芯片概念;专精特新;环氧丙烷;融资融券,603120,5,17,603120.SH
ST板块;生物疫苗;肝炎概念;创新药;重组蛋白;CRO概念,002581,6,33,002581.SZ
物业管理;体育产业;水泥概念;参股银行;禽流感;参股券商;医药电商;生物疫苗;国企改革;创新药;医疗器械概念;煤炭概念;沪股通;融资融券;股权转让(并购重组),600881,15,17,600881.SH
电力物联网;鸿蒙概念;人工智能;电子身份证;物联网;工业互联网;智能电网;算力租赁;中俄贸易概念;机器人概念;华为概念;核电;新型工业化;风电;特高压;专精特新;传感器;芯片概念;PCB概念;多模态AI;深股通;融资融券,001388,22,33,001388.SZ
眼科医疗;医疗器械概念;国企改革,600671,3,17,600671.SH
华为欧拉;电子身份证;智慧政务;数据安全;华为鲲鹏;云计算;财税数字化;信创;国产操作系统;数字经济;网络安全;智慧城市;阿里巴巴概念;人工智能;DeepSeek概念;水利;中国AI 50;京津冀一体化;机器人概念;华为概念;数据中心(AIDC);AI PC;低空经济;乡村振兴;商业航天;国企改革;央企国企改革;中字头股票;沪股通;融资融券,600536,30,17,600536.SH
碳纤维;高端装备;专精特新;2026中报预增;融资融券,001395,5,33,001395.SZ
仿制药一致性评价;肝炎概念;创新药;医药电商;眼科医疗;医美概念;脑机接口;深股通,003020,8,33,003020.SZ
