所属概念,market_code,股票代码,所属概念数量,code
风电;海工装备;储能;融资融券;金属锌;专精特新,151,920634.BJ,6,920634
飞行汽车(eVTOL);低空经济;军工;碳纤维;专精特新;军民融合;大飞机;新能源汽车;小米概念;融资融券,151,920642.BJ,10,920642
创新药;融资融券,17,688163.SH,2,688163
芯片概念;传感器;消费电子概念;核污染防治;稀土永磁;专精特新;新能源汽车;安防;华为概念;机器人概念;智能家居;粤港澳大湾区;人民币贬值受益;食品安全;医疗器械概念;建筑节能;中俄贸易概念;一带一路;锂电池概念;三胎概念;俄乌冲突概念;深股通;股权转让(并购重组);融资融券,33,301323.SZ,24,301323
Web3.0;数字货币;互联网金融;华为鲲鹏;区块链;AI应用;信创;华为昇腾;AI智能体;腾讯概念;阿里巴巴概念;DeepSeek概念;人工智能;华为概念;机器人概念;粤港澳大湾区;深股通;股权转让(并购重组);融资融券,33,300377.SZ,19,300377
PCB概念;MiniLED;汽车电子;锂电池概念;融资融券,33,301176.SZ,5,301176
光刻机;MicroLED概念;机器视觉;卫星导航;商业航天;安防;专精特新;华为概念;军工;无人驾驶;机器人概念;军民融合;海峡两岸;福建自贸区;区块链;沪股通;融资融券,17,688010.SH,17,688010
存储芯片;芯片概念;先进封装;消费电子概念;华为概念;第三代半导体;东数西算(算力);无人机;数据中心(AIDC);粤港澳大湾区;新能源汽车;锂电池概念;深股通;融资融券,33,301348.SZ,14,301348
军民融合;军工;航空发动机;无人机;卫星导航;专精特新;西部大开发;融资融券;深股通,33,300581.SZ,9,300581
传感器;人形机器人;数字孪生;商业航天;机器人概念;低空经济;军工;AI智能体;AI应用;在线教育;人工智能;海工装备;股权转让(并购重组);沪股通;融资融券,17,688507.SH,15,688507
军民融合;航空发动机;专精特新;融资融券;军工;无人机;减速器,151,920006.BJ,7,920006
减速器;注册制次新股;小米汽车;新能源汽车;小米概念;深股通;新股与次新股;融资融券,33,301656.SZ,8,301656
数字经济;人工智能;云计算;物联网;海峡两岸;机器人概念;专精特新;人民币贬值受益;储能;光伏概念;电子纸;消费电子概念;芯片概念;深股通;融资融券,33,301275.SZ,15,301275
AIGC概念;ChatGPT概念;AI应用;多模态AI;DRG/DIP;AI智能体;数据要素;阿里巴巴概念;DeepSeek概念;智能医疗;职业教育;人工智能;养老概念;基因测序;医疗器械概念;猴痘概念;共同富裕示范区;华为概念;三胎概念;辅助生殖;细胞免疫治疗;CRO概念;肝炎概念;阿尔茨海默概念;冷链物流;深股通;融资融券,33,300244.SZ,27,300244
共封装光学(CPO);芯片概念;5G;储能;融资融券,17,688662.SH,5,688662
军工信息化;华为昇腾;军工;无人机;无人驾驶;人工智能;芯片概念;粤港澳大湾区;沪股通;融资融券,17,688788.SH,10,688788
空间计算;阿里巴巴概念;机器人概念;专精特新;大飞机;特斯拉概念;比亚迪概念;3D打印;宁德时代概念;沪股通;融资融券,17,688583.SH,11,688583
钠离子电池;固态电池;锂电池概念;储能;粤港澳大湾区;新能源汽车;飞行汽车(eVTOL);小米概念;机器人概念;低空经济;华为概念;人民币贬值受益;家用电器;无人机;DeepSeek概念;人形机器人;消费电子概念;苹果概念;华为手机;智能穿戴;同花顺果指数;数据中心(AIDC);融资融券;沪股通,17,688772.SH,24,688772
钠离子电池;固态电池;氟化工概念;锂电池概念;有机硅概念;宁德时代概念;储能;比亚迪概念;专精特新;沪股通;融资融券,17,688353.SH,11,688353
金属锌;黄金概念;金属镍;金属铜;汽车拆解概念;小金属概念;金属回收;广东自贸区;固废处理;2025年报预增;碳中和;比亚迪概念;粤港澳大湾区;DeepSeek概念;深股通;融资融券,33,301500.SZ,16,301500
军民融合;军工信息化;成飞概念;大飞机;军工;低空经济;无人机;飞行汽车(eVTOL);信创;商业航天;高端装备;专精特新;京津冀一体化;碳纤维;虚拟现实,33,300719.SZ,15,300719
三胎概念;体育产业;IP经济(谷子经济);融资融券,33,301276.SZ,4,301276
大飞机;军工;飞行汽车(eVTOL);航空发动机;商业航天;专精特新;高端装备;核电;小金属概念;国企改革;沪股通;融资融券,17,688750.SH,12,688750
脑机接口;基因测序;机器人概念;智能医疗;AI智能体;医疗器械概念;合成生物;沪股通;融资融券,17,688114.SH,9,688114
军民融合;军工;商业航天;专精特新;西部大开发;沪股通;融资融券,17,688708.SH,7,688708
2025年报预增;商业航天;融资融券;核电;风电;成飞概念;高铁;跨境电商;军民融合;军工;共同富裕示范区;专精特新;人民币贬值受益,151,920169.BJ,13,920169
OLED;富士康概念;柔性屏(折叠屏);消费电子概念;智能穿戴;小米概念;比亚迪概念;华为概念;虚拟现实;新能源汽车;固态电池;机器人概念;石墨烯,33,300686.SZ,13,300686
OLED;MiniLED;柔性屏(折叠屏);富士康概念;AI眼镜;智能穿戴;小米概念;光伏概念;虚拟现实;TOPCON电池;华为概念;锂电池概念;POE胶膜;深股通;融资融券,33,300566.SZ,15,300566
PET铜箔;共封装光学(CPO);PCB概念;固态电池;宁德时代概念;2026一季报预增;锂电池概念;新能源汽车;储能;光伏概念;低空经济;飞行汽车(eVTOL);沪股通;融资融券,17,688388.SH,14,688388
动力电池回收;固态电池;锂电池概念;宁德时代概念;金属回收;比亚迪概念;机器人概念;特斯拉概念;人形机器人;芯片概念;融资融券,17,688148.SH,11,688148
创新药;沪股通;融资融券,17,688428.SH,3,688428
ChatGPT概念;鸿蒙概念;AI应用;互联网金融;腾讯概念;人工智能;数字经济;沪股通;融资融券,17,688318.SH,9,688318
PET铜箔;PCB概念;5G;固态电池;宁德时代概念;锂电池概念;比亚迪概念;储能;国企改革;深股通;融资融券,33,301217.SZ,11,301217
央企国企改革;军民融合;成飞概念;国企改革;大飞机;西部大开发;军工;低空经济;无人机;DeepSeek概念;商业航天;机器人概念;专精特新;人形机器人;传感器;融资融券;股权转让(并购重组);深股通;中字头股票,33,302132.SZ,19,302132
第三代半导体;先进封装;PCB概念;英伟达概念;苹果概念;芯片概念;消费电子概念;小米概念;机器视觉;光伏概念;专精特新;人形机器人;无人驾驶;新能源汽车;新型工业化;高端装备;机器人概念;低空经济;车联网(车路协同);百度概念;人工智能;智能物流;DeepSeek概念;沪股通;融资融券,17,688003.SH,25,688003
人形机器人;机器人概念;换电概念;光伏概念;智能电网;储能;东数西算(算力);新型城镇化;光热发电;虚拟电厂;光伏建筑一体化;绿色电力;融资融券,33,301046.SZ,13,301046
创投;碳中和;乡村振兴;西部大开发;土地流转;农业种植;融资融券,17,601996.SH,7,601996
MiniLED;MicroLED概念;消费电子概念;OLED;汽车电子;虚拟现实;华为概念;融资融券,33,301321.SZ,8,301321
物业管理;沪股通;融资融券;养老概念;民营医院;京津冀一体化;粤港澳大湾区,17,600162.SH,7,600162
两轮车;创投;福建自贸区;储能;氢能源;参股银行;锂电池概念;海峡两岸;长安汽车概念;新能源汽车;机器人概念;比亚迪概念;无人机;人形机器人;融资融券;股权转让(并购重组),17,600067.SH,16,600067
期货概念;国企改革;京津冀一体化;雄安新区;百度概念;融资融券;沪股通,17,600906.SH,7,600906
金属铜;黄金概念;金属镍;小金属概念;PCB概念;5G;锂电池概念;新能源汽车;国企改革;深股通;融资融券,33,000630.SZ,11,000630
烟草,17,603020.SH,1,603020
两轮车;飞行汽车(eVTOL);华为汽车;独角兽概念;共同富裕示范区;低空经济;航空发动机;无人机;一体化压铸;海工装备;碳中和;同花顺新质50;碳纤维;特斯拉概念;商业航天;风电;新能源汽车;比亚迪概念;锂电池概念;5G;融资融券;深股通,33,002085.SZ,22,002085
IP经济(谷子经济);NFT概念;高股息精选;黄金概念;2025年报预增;小金属概念;深股通;培育钻石,33,002345.SZ,8,002345
小红书概念;AI应用;股权转让(并购重组);海峡两岸;净水概念;锂电池概念;污水处理;机器视觉;跨境电商;宠物经济;光伏概念,17,600539.SH,11,600539
专精特新;职业教育;光伏概念,17,603065.SH,3,603065
智慧城市;华为鲲鹏;鸿蒙概念;数据安全;职业教育;ChatGPT概念;数据要素;AI应用;在线教育;信创;车联网(车路协同);人工智能;物联网;DeepSeek概念;华为昇腾;机器人概念;低空经济;机器视觉;人形机器人;无人驾驶;专精特新;比亚迪概念;新能源汽车;东数西算(算力);充电桩;卫星导航;智能电网;储能;光伏概念;参股银行;高压快充;芯片概念;沪股通,17,603528.SH,33,603528
大飞机;航空发动机;军工;低空经济;央企国企改革;商业航天;飞行汽车(eVTOL);无人机;高铁;高端装备;国企改革;创投;碳纤维;人形机器人;工业母机;沪股通;中字头股票;融资融券,17,600862.SH,18,600862
黄金概念;参股银行;共同富裕示范区;股权转让(并购重组),17,600857.SH,4,600857
职业教育;一带一路;水泥概念;西部大开发;幽门螺杆菌概念;流感;减肥药;摘帽,33,002742.SZ,8,002742
宠物经济;养老概念;三胎概念;跨境电商;京津冀一体化;一带一路;人民币贬值受益,33,001206.SZ,7,001206
地下管网;新型城镇化;水利;乡村振兴;参股银行;京津冀一体化;新疆振兴;西部大开发;互联网金融;风电,33,002457.SZ,10,002457
固废处理;污水处理;碳中和;国企改革;京津冀一体化;中俄贸易概念;央企国企改革;一带一路;储能;人民币贬值受益;光伏概念;融资融券;股权转让(并购重组);中字头股票,33,000151.SZ,14,000151
农机;军民融合;航空发动机;两轮车;乡村振兴;数字经济;军工;低空经济;飞行汽车(eVTOL);无人机;西部大开发;工业互联网;燃料电池;商业航天;机器人概念;氢能源;专精特新;新能源汽车;比亚迪概念;储能;锂电池概念;钠离子电池;深股通;融资融券,33,001696.SZ,24,001696
黄金概念;金属铜;金属镍;金属钴;小金属概念;盐湖提锂;同花顺出海50;宁德时代概念;人民币贬值受益;磷化工;沪股通;融资融券;同花顺漂亮100,17,603993.SH,13,603993
PPP概念;西部大开发;污水处理;国企改革;特色小镇;摘帽,33,002200.SZ,6,002200
黄金概念;金属铜;小金属概念;股权转让(并购重组);一带一路;国企改革;人民币贬值受益;深股通,33,000506.SZ,8,000506
军工信息化;军民融合;卫星导航;商业航天;军工;无人机;低空经济;安防;网络安全;海工装备;信创;数据安全;华为鲲鹏;智慧政务;华为欧拉;多模态AI;元宇宙;人工智能;虚拟现实;华为概念;5G;数字经济;MR(混合现实);DeepSeek概念;海峡两岸;福建自贸区;芯片概念;央企国企改革;风电;乡村振兴;国企改革;深股通;融资融券,33,000547.SZ,33,000547
锂电池概念;固态电池;粤港澳大湾区;比亚迪概念;核电;无人机;深股通,33,002882.SZ,7,002882
长三角一体化;煤炭概念;2025年报预增;互联网金融;沪股通;融资融券,17,601233.SH,6,601233
大飞机;军民融合;低空经济;军工;成飞概念;京津冀一体化;无人机;高铁;商业航天;卫星导航;高端装备;2025年报预增;芯片概念;融资融券;深股通,33,002985.SZ,15,002985
军工信息化;卫星导航;商业航天;军民融合;军工;智能穿戴;量子科技;华为概念;芯片概念;存储芯片;医疗器械概念;西部大开发;央企国企改革;国企改革;融资融券;深股通,33,002935.SZ,16,002935
国产航母;军民融合;央企国企改革;大飞机;国企改革;西部大开发;军工;低空经济;证金持股;无人机;商业航天;深股通;融资融券;中字头股票,33,000768.SZ,14,000768
期货概念;沪股通;融资融券,17,601696.SH,3,601696
氟化工概念;有机硅概念;天然气;氢能源;燃料电池;专精特新;芯片概念;深股通,33,002971.SZ,8,002971
风电;绿色电力;央企国企改革;污水处理;土壤修复;碳中和;PPP概念;国企改革;西部大开发;乡村振兴;期货概念;锂电池概念;融资融券;动力电池回收;沪股通;股权转让(并购重组),17,600292.SH,16,600292
虚拟数字人;创投;AIGC概念;一带一路;人工智能;AI智能体;家用电器;智能家居;福建自贸区;多模态AI;工业互联网;海峡两岸;智能音箱,17,603180.SH,13,603180
高铁;专精特新;沪股通,17,605298.SH,3,605298
光刻胶;芯片概念;专精特新;环氧丙烷;融资融券,17,603120.SH,5,603120
5G;汽车电子;车联网(车路协同);储能;比亚迪概念;无人驾驶;锂电池概念;富士康概念;新能源汽车;一带一路;智能座舱;飞行汽车(eVTOL);特斯拉概念;长安汽车概念,33,002976.SZ,14,002976
石墨烯;固态电池;钠离子电池;5G;动力电池回收;锂电池概念;新能源汽车;燃料电池;储能;数据中心(AIDC);粤港澳大湾区;专精特新;无人机;氢能源;军工;东数西算(算力);人民币贬值受益;一带一路;阿里巴巴概念;百度概念;深股通;融资融券,33,002733.SZ,22,002733
算力租赁;数据安全;云计算;东数西算(算力);华为鲲鹏;智谱AI;数据确权;信创;国产操作系统;智慧政务;AI语料;国资云;阿里巴巴概念;数据中心(AIDC);数据要素;AI智能体;抖音概念(字节概念);智慧城市;安防;元宇宙;数字孪生;AI应用;数字乡村;DeepSeek概念;人工智能;数字经济;低空经济;中芯国际概念;工业互联网;商业航天;芯片概念;智能医疗;专精特新;粤港澳大湾区;可控核聚变;柔性屏(折叠屏);高铁;碳中和;绿色电力;体育产业;乡村振兴;央企国企改革;国企改革;融资融券;深股通,33,000032.SZ,45,000032
固态电池;锂电池概念;宁德时代概念;同花顺漂亮100;烟草;西部大开发;储能;比亚迪概念;充电桩;人工智能;专精特新;新能源汽车;深股通;消费电子概念;钠离子电池;融资融券,33,002812.SZ,16,002812
免税店;预制菜;统一大市场;IP经济(谷子经济);农业种植;冷链物流;跨境电商;乡村振兴;国企改革;可降解塑料;智能物流;一带一路;抖音概念(字节概念);腾讯概念;深股通,33,000759.SZ,15,000759
小金属概念;OLED;军工;沪股通;融资融券;西部大开发;国企改革,17,601958.SH,7,601958
创投;家用电器;高股息精选;第三代半导体,17,603519.SH,4,603519
啤酒概念;海峡两岸;股权转让(并购重组),33,002969.SZ,3,002969
金属锌;金属铅;金属铜;黄金概念;小金属概念;金属回收;央企国企改革;国企改革;融资融券;沪股通,17,600961.SH,10,600961
金属铜;黄金概念;小金属概念;PCB概念;国企改革;融资融券;深股通,33,000737.SZ,7,000737
PCB概念;特斯拉概念;新能源汽车;宁德时代概念;汽车热管理;储能;高铁;固态电池;深股通;融资融券,33,001359.SZ,10,001359
金属锌;金属铅;黄金概念;金属铜;小金属概念;金属回收;核电;锂电池概念;固废处理;国企改革;沪股通;融资融券,17,600531.SH,12,600531
特高压;高端装备;专精特新;机器人概念;工业母机;绿色电力;深股通;融资融券,33,002270.SZ,8,002270
注册制次新股;海峡两岸;人民币贬值受益;专精特新;高端装备;中俄贸易概念;一带一路;俄乌冲突概念;深股通;新股与次新股;融资融券,33,001233.SZ,11,001233
乡村振兴;人民币贬值受益;沪股通,17,605198.SH,3,605198
军民融合;商业航天;军工;无人机;可控核聚变;专精特新;央企国企改革;西部大开发;光伏概念;国企改革;中字头股票;深股通,33,003009.SZ,12,003009
医疗器械概念;一带一路;股权转让(并购重组);融资融券,17,603014.SH,4,603014
一体化压铸;华为汽车;新型工业化;小米汽车;机器人概念;人工智能;新能源汽车;专精特新;比亚迪概念;深股通;融资融券,33,002997.SZ,11,002997
成飞概念;军工;大飞机;航空发动机;无人机;低空经济;国企改革;西部大开发;商业航天;长安汽车概念;储能;专精特新;新能源汽车;华为汽车;锂电池概念;融资融券;深股通,33,002190.SZ,17,002190
PET铜箔;PCB概念;固态电池;小金属概念;液冷服务器;锂电池概念;金属镍;特斯拉概念;金属铜;钒电池;华为概念;绿色电力;参股银行;深股通;融资融券,33,002203.SZ,15,002203
粤港澳大湾区;参股银行;锂电池概念;消费电子概念;融资融券,33,001378.SZ,5,001378
金属铜;小金属概念;石墨烯;芯片概念;化债概念(AMC概念);西部大开发,33,000510.SZ,6,000510
金属铅;金属锌;金属铜;小金属概念;注册制次新股;国企改革;深股通;新股与次新股;融资融券,33,001257.SZ,9,001257
共封装光学(CPO);光刻机;6G概念;WiFi 6;华为海思概念股;芯片概念;汽车芯片;5G;卫星导航;AI眼镜;消费电子概念;MCU芯片;汽车电子;军工;智能穿戴;无人机;专精特新;人形机器人;智能座舱;数据中心(AIDC);比亚迪概念;宁德时代概念;无人驾驶;华为概念;机器人概念;创投;融资融券;沪股通,17,603738.SH,28,603738
