股票代码,code,所属概念,所属概念数量,market_code
300505.SZ,300505,磷化工;化肥;锂电池概念;固废处理;2025年报预增;2025三季报预增;一带一路;西部大开发;人民币贬值受益;宠物经济;深股通;融资融券,12,33
301373.SZ,301373,专精特新;光伏概念;融资融券,3,33
300658.SZ,300658,三胎概念;海峡两岸;人民币贬值受益;福建自贸区;股权转让(并购重组),5,33
688432.SH,688432,存储芯片;中芯国际概念;芯片概念;硅能源;沪股通;融资融券,6,17
301100.SZ,301100,专精特新;可降解塑料;一带一路;光伏概念;POE胶膜;融资融券,6,33
688661.SH,688661,芯片概念;消费电子概念;专精特新;英伟达概念;传感器;机器人概念;沪股通;融资融券,8,17
300788.SZ,300788,知识产权保护;文化传媒概念;AIGC概念;抖音概念(字节概念);IP经济(谷子经济);元宇宙;AI智能体;百度概念;数据要素;职业教育;DeepSeek概念;人工智能;三胎概念;国企改革;深股通;中字头股票,16,33
300821.SZ,300821,硅能源;有机硅概念;燃料电池;融资融券;深股通,5,33
300437.SZ,300437,磷化工;消毒剂;碳中和;工业互联网;净水概念;新型城镇化;土壤修复;PPP概念;污水处理;融资融券,10,33
300395.SZ,300395,PCB概念;OLED;5G;芯片概念;光伏概念;同花顺新质50;融资融券;深股通,8,33
688125.SH,688125,光刻胶;苹果概念;工业母机;消费电子概念;宁德时代概念;机器视觉;汽车电子;比亚迪概念;专精特新;新型工业化;机器人概念;人形机器人;一带一路;融资融券,14,17
300739.SZ,300739,共封装光学(CPO);PCB概念;5G;MiniLED;芯片概念;6G概念;新能源汽车;无人机;储能;粤港澳大湾区;2025年报预增;人民币贬值受益;深股通;融资融券,14,33
688031.SH,688031,MLOps概念;华为昇腾;多模态AI;商业航天;数字水印;AIGC概念;华为鲲鹏;AI智能体;数据要素;数据安全;信创;人工智能;DeepSeek概念;独角兽概念;华为概念;AI PC;AI应用;工业互联网;沪股通;融资融券,20,17
688480.SH,688480,小金属概念;土壤修复;净水概念;污水处理;融资融券,5,17
