股票代码,所属概念数量,code,所属概念,market_code
300912.SZ,11,300912,碳中和;中俄贸易概念;工业互联网;汽车热管理;新能源汽车;机器人概念;比亚迪概念;传感器;人形机器人;股权转让(并购重组);融资融券,33
300461.SZ,9,300461,苹果概念;新型烟草(电子烟);新型工业化;无线充电;长三角一体化;比亚迪概念;消费电子概念;汽车电子;无线耳机,33
301312.SZ,26,301312,共封装光学(CPO);MiniLED;MicroLED概念;苹果概念;新型烟草(电子烟);AI PC;MR(混合现实);数据中心;AI眼镜;华为海思概念股;消费电子概念;汽车电子;新型工业化;粤港澳大湾区;芯片概念;华为概念;机器视觉;专精特新;高端装备;虚拟现实;机器人概念;空间计算;比亚迪概念;元宇宙;深股通;融资融券,33
300264.SZ,15,300264,文化传媒概念;在线教育;空间计算;虚拟数字人;Web3.0;AIGC概念;元宇宙;云游戏;百度概念;虚拟现实;国产操作系统;MR(混合现实);华为概念;专精特新;股权转让(并购重组),33
300953.SZ,16,300953,人形机器人;小米汽车;新能源汽车;小米概念;比亚迪概念;机器人概念;飞行汽车(eVTOL);宁德时代概念;低空经济;储能;2025三季报预增;2025年报预增;锂电池概念;一带一路;深股通;融资融券,33
301268.SZ,17,301268,光伏概念;储能;新型烟草(电子烟);充电桩;新能源汽车;一体化压铸;比亚迪概念;回购增持再贷款概念;机器人概念;特斯拉概念;宁德时代概念;人形机器人;低空经济;华为概念;液冷服务器;深股通;融资融券,33
300158.SZ,13,300158,创新药;仿制药一致性评价;肝炎概念;流感;医药电商;维生素;毛发医疗;医美概念;乡村振兴;农业种植;土地流转;融资融券;深股通,33
688530.SH,7,688530,HJT电池;钙钛矿电池;光伏概念;PET铜箔;芯片概念;专精特新;融资融券,17
301636.SZ,7,301636,钙钛矿电池;光伏概念;注册制次新股;新能源汽车;专精特新;新股与次新股;融资融券,33
300927.SZ,5,300927,丙烯酸;草甘膦;国企改革;股权转让(并购重组);融资融券,33
301529.SZ,9,301529,传感器;新能源汽车;汽车电子;比亚迪概念;5G;中俄贸易概念;回购增持再贷款概念;深股通;融资融券,33
300483.SZ,3,300483,俄乌冲突概念;天然气;股权转让(并购重组),33
300617.SZ,15,300617,特高压;智能电网;虚拟电厂;电力物联网;光伏概念;风电;充电桩;核电;储能;腾讯概念;数据中心;宁德时代概念;专精特新;氟化工概念;深股通,33
688275.SH,13,688275,钠离子电池;固态电池;锂电池概念;宁德时代概念;储能;比亚迪概念;碳中和;污水处理;新能源汽车;充电桩;专精特新;沪股通;融资融券,17
000056.SZ,7,000056,租售同权;物业管理;智能物流;物联网;固态电池;芯片概念;融资融券,33
688428.SH,3,688428,创新药;沪股通;融资融券,17
002506.SZ,19,002506,钙钛矿电池;HJT电池;TOPCON电池;BC电池;光伏建筑一体化;光伏概念;钒电池;碳交易;储能;碳中和;雄安新区;华为数字能源;蚂蚁集团概念;数字经济;长三角一体化;华为概念;区块链;深股通;融资融券,33
600722.SH,5,600722,煤化工概念;国企改革;京津冀一体化;融资融券;风电,17
002519.SZ,23,002519,军工信息化;商业航天;军民融合;军工;人工智能;安防;核电;无人驾驶;创投;机器人概念;专精特新;新型工业化;智能家居;充电桩;智能电网;长安汽车概念;储能;比亚迪概念;新能源汽车;锂电池概念;宁德时代概念;深股通;融资融券,33
002634.SZ,3,002634,TOPCON电池;光伏概念;互联网金融,33
002728.SZ,9,002728,流感;幽门螺杆菌概念;肝炎概念;仿制药一致性评价;医药电商;医美概念;NMN概念;2025年报预增;深股通,33
002015.SZ,31,002015,虚拟电厂;光伏概念;智能电网;华为数字能源;充电桩;储能;高压快充;换电概念;风电;新能源汽车;宁德时代概念;水利;碳中和;抽水蓄能;碳交易;华为概念;绿色电力;数据中心;长三角一体化;锂电池概念;动力电池回收;东数西算(算力);数字经济;区块链;英伟达概念;蚂蚁集团概念;生物质能发电;百度概念;算力租赁;融资融券;深股通,33
002361.SZ,16,002361,卫星导航;商业航天;军民融合;航空发动机;军工;低空经济;无人机;高铁;3D打印;高端装备;国企改革;污水处理;石墨烯;深股通;股权转让(并购重组);融资融券,33
603618.SH,15,603618,特高压;光纤概念;智能电网;抽水蓄能;光伏概念;风电;储能;PET铜箔;石墨烯;新能源汽车;锂电池概念;共同富裕示范区;5G;沪股通;融资融券,17
603876.SH,9,603876,钠离子电池;固态电池;锂电池概念;宁德时代概念;储能;比亚迪概念;2025年报预增;沪股通;融资融券,17
600884.SH,25,600884,钠离子电池;动力电池回收;固态电池;氟化工概念;石墨电极;锂电池概念;宁德时代概念;石墨烯;超级电容;储能;光伏概念;新能源汽车;比亚迪概念;金属镍;小金属概念;共同富裕示范区;OLED;消费电子概念;MiniLED;参股银行;苹果概念;创投;虚拟现实;沪股通;融资融券,17
603138.SH,10,603138,横琴新区;数据要素;人工智能;华为鲲鹏;数据安全;信创;华为概念;雄安新区;数据中心;融资融券,17
600686.SH,16,600686,燃料电池;长安汽车概念;新能源汽车;氢能源;智能物流;安防;海峡两岸;车联网(车路协同);福建自贸区;国企改革;无人驾驶;华为概念;百度概念;2025年报预增;融资融券;沪股通,17
603607.SH,6,603607,烟草;小米概念;消费电子概念;专精特新;知识产权保护;IP经济(谷子经济),17
002207.SZ,6,002207,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;国企改革,33
600230.SH,5,600230,国企改革;央企国企改革;沪股通;融资融券;京津冀一体化,17
002326.SZ,8,002326,氟化工概念;钠离子电池;锂电池概念;宁德时代概念;液冷服务器;仿制药一致性评价;深股通;融资融券,33
003018.SZ,0,003018,,33
002957.SZ,28,002957,液冷服务器;苹果概念;共封装光学(CPO);宁德时代概念;固态电池;新型烟草(电子烟);消费电子概念;锂电池概念;芯片概念;AI眼镜;比亚迪概念;2025年报预增;新型工业化;智能穿戴;机器视觉;无线耳机;人形机器人;机器人概念;粤港澳大湾区;华为概念;工业互联网;无人机;虚拟现实;物联网;低空经济;智能物流;融资融券;深股通,33
002830.SZ,3,002830,粤港澳大湾区;物业管理;华为概念,33
002842.SZ,3,002842,金属铜;小金属概念;光伏概念,33
600345.SH,16,600345,卫星导航;商业航天;光纤概念;车联网(车路协同);安防;信创;智慧城市;数据要素;华为概念;人工智能;DeepSeek概念;央企国企改革;国企改革;股权转让(并购重组);沪股通;融资融券,17
002624.SZ,21,002624,云游戏;电子竞技;手机游戏;AIGC概念;虚拟数字人;网络游戏;短剧游戏;NFT概念;元宇宙;AI智能体;文化传媒概念;鸿蒙概念;英伟达概念;虚拟现实;区块链;人工智能;IP经济(谷子经济);华为概念;AI应用;深股通;融资融券,33
603667.SH,15,603667,减速器;汽车热管理;人形机器人;特斯拉概念;大飞机;新能源汽车;高端装备;机器人概念;无人机;商业航天;军工;风电;特钢概念;沪股通;融资融券,17
002150.SZ,10,002150,光伏概念;储能;风电;充电桩;一带一路;农机;人民币贬值受益;乡村振兴;深股通;融资融券,33
002921.SZ,10,002921,光热发电;光伏概念;燃料电池;氢能源;农机;减速器;新能源汽车;机器人概念;乡村振兴;人民币贬值受益,33
002943.SZ,12,002943,HJT电池;TOPCON电池;第三代半导体;光伏概念;芯片概念;AI眼镜;工业母机;智能穿戴;比亚迪概念;稀土永磁;深股通;融资融券,33
001360.SZ,10,001360,黄金概念;金属回收;固废处理;一带一路;雅下水电概念;锂电池概念;高端装备;专精特新;机器视觉;融资融券,33
002339.SZ,31,002339,特高压;智能电网;虚拟电厂;电力物联网;高压快充;光伏概念;充电桩;风电;核电;换电概念;储能;绿色电力;动力电池回收;新能源汽车;碳中和;水利;机器人概念;工业互联网;地下管网;数字孪生;物联网;华为概念;车联网(车路协同);智慧城市;新型城镇化;数字经济;人工智能;网络安全;天然气;养老概念;融资融券,33
600759.SH,8,600759,海南自贸区;俄乌冲突概念;土地流转;天然气;一带一路;融资融券;人民币贬值受益;沪股通,17
603823.SH,4,603823,光刻胶;PEEK材料;钠离子电池;沪股通,17
002009.SZ,30,002009,新型工业化;人形机器人;富士康概念;特斯拉概念;华为汽车;光伏概念;新能源汽车;长安汽车概念;比亚迪概念;储能;机器人概念;工业互联网;风电;垃圾分类;智能物流;腾讯概念;无人驾驶;锂电池概念;固废处理;动力电池回收;车联网(车路协同);汽车拆解概念;无人零售;脑机接口;金属回收;金属镍;小金属概念;金属钴;深股通;融资融券,33
002112.SZ,10,002112,智能电网;光伏概念;风电;核电;储能;数据中心;共同富裕示范区;国企改革;专精特新;融资融券,33
002412.SZ,9,002412,医药电商;流感;幽门螺杆菌概念;仿制药一致性评价;肝炎概念;创新药;农业种植;参股银行;融资融券,33
603881.SH,14,603881,算力租赁;腾讯概念;云计算;中国AI 50;阿里巴巴概念;百度概念;国资云;东数西算(算力);蚂蚁集团概念;数据中心;液冷服务器;国企改革;沪股通;融资融券,17
600814.SH,7,600814,国企改革;体育产业;共同富裕示范区;IP经济(谷子经济);元宇宙;MR(混合现实);沪股通,17
002812.SZ,15,002812,固态电池;宁德时代概念;锂电池概念;比亚迪概念;储能;烟草;新能源汽车;充电桩;消费电子概念;专精特新;同花顺漂亮100;西部大开发;人工智能;深股通;融资融券,33
603663.SH,13,603663,芯片概念;小金属概念;固态电池;宁德时代概念;专精特新;稀土永磁;一体化压铸;氢能源;回购增持再贷款概念;核电;海峡两岸;沪股通;融资融券,17
002759.SZ,10,002759,氟化工概念;钠离子电池;磷化工;固态电池;锂电池概念;宁德时代概念;比亚迪概念;家用电器;深股通;融资融券,33
002440.SZ,5,002440,染料;氟化工概念;2025年报预增;深股通;融资融券,33
605488.SH,8,605488,人形机器人;传感器;机器人概念;苹果概念;专精特新;消费电子概念;华为概念;沪股通,17
002772.SZ,5,002772,农业种植;乡村振兴;西部大开发;回购增持再贷款概念;2025年报预增,33
603626.SH,20,603626,富士康概念;特斯拉概念;AI PC;苹果概念;新型烟草(电子烟);柔性屏(折叠屏);机器人概念;智能音箱;智能穿戴;消费电子概念;无线耳机;储能;华为概念;固态电池;人民币贬值受益;虚拟现实;海峡两岸;元宇宙;沪股通;融资融券,17
002345.SZ,7,002345,黄金概念;小金属概念;培育钻石;2025年报预增;IP经济(谷子经济);NFT概念;深股通,33
603331.SH,7,603331,家用电器;共同富裕示范区;新能源汽车;光伏概念;TOPCON电池;机器人概念;人形机器人,17
002455.SZ,13,002455,石墨电极;磷化工;金属回收;钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;光刻胶;储能;新能源汽车;深股通;融资融券,33
