股票代码,market_code,所属概念,所属概念数量,code
688206.SH,17,存储芯片;芯片概念;专精特新;股权转让(并购重组);沪股通;融资融券,6,688206
301317.SZ,33,数据中心(AIDC);专精特新;新能源汽车;空气能热泵;人工智能;中俄贸易概念;共同富裕示范区;污水处理;深股通;融资融券,10,301317
688039.SH,17,华为欧拉;华为鲲鹏;华为昇腾;AI语料;AI视频;多模态AI;信创;智慧政务;云计算;Web3.0;AIGC概念;人脸识别;鸿蒙概念;腾讯概念;阿里巴巴概念;AI应用;虚拟数字人;元宇宙;AI PC;安防;人工智能;DeepSeek概念;虚拟现实;星闪概念;文化传媒概念;低空经济;脑机接口;英伟达概念;机器人概念;卫星导航;人形机器人;无人机;专精特新;比亚迪概念;智能座舱;商业航天;沪股通;融资融券,38,688039
301191.SZ,33,F5G概念;WiFi 6;6G概念;芯片概念;5G;汽车电子;数据中心(AIDC);网络安全;小米概念;智能座舱;华为概念;安防;信创;车联网(车路协同);粤港澳大湾区;创投;深股通;融资融券,18,301191
300684.SZ,33,AI PC;富士康概念;液冷服务器;消费电子概念;共封装光学(CPO);5G;苹果概念;汽车电子;无线充电;同花顺果指数;智能座舱;小米概念;数据中心(AIDC);MR(混合现实);华为概念;比亚迪概念;虚拟现实;光伏概念;无人机;新能源汽车;充电桩;储能;汽车热管理;石墨烯;一带一路;京津冀一体化;深股通,27,300684
688496.SH,22,电子纸;ST板块;华为概念;智能家居;专精特新;小米概念;AI眼镜;OLED,8,688496
300716.SZ,33,HJT电池;TOPCON电池;智能音箱;钙钛矿电池;光伏概念;华为汽车;新能源汽车;长安汽车概念;可降解塑料;军民融合;碳中和;储能;ST板块,13,300716
688689.SH,17,先进封装;第三代半导体;芯片概念;汽车芯片;专精特新;传感器;汽车电子;5G;比亚迪概念;新能源汽车;无人驾驶;融资融券,12,688689
688103.SH,17,芯片概念;高压快充;可控核聚变;商业航天;宁德时代概念;新能源汽车;军工;华为概念;特高压;大飞机;柔性直流输电;低空经济;飞行汽车(eVTOL);培育钻石;沪股通;融资融券,16,688103
920699.BJ,151,家用电器;华为概念;融资融券;东数西算(算力);比亚迪概念,5,920699
688197.SH,17,创新药;沪股通;融资融券,3,688197
301269.SZ,33,国家大基金持股;先进封装;存储芯片;芯片概念;小米概念;专精特新;华为概念;信创;AI应用;京津冀一体化;国企改革;深股通;融资融券,13,301269
920211.BJ,151,专精特新;机器人概念;新股与次新股;融资融券,4,920211
920344.BJ,151,医药电商;重组蛋白;细胞免疫治疗;肝炎概念;三胎概念;京津冀一体化;专精特新;创新药;融资融券,9,920344
300821.SZ,33,有机硅概念;硅能源;2026一季报预增;燃料电池;2026中报预增;融资融券;深股通,7,300821
301201.SZ,33,细胞免疫治疗;CRO概念;创新药;肝炎概念;合成生物;专精特新;减肥药;深股通;融资融券,9,301201
920230.BJ,151,合成生物;维生素;专精特新;西部大开发;融资融券,5,920230
688767.SH,17,人民币贬值受益;脑机接口;医疗器械概念;芬太尼;幽门螺杆菌概念;辅助生殖;猴痘概念;流感;肝炎概念;沪股通;融资融券,11,688767
688629.SH,17,共封装光学(CPO);铜缆高速连接;5G;卫星导航;数据中心(AIDC);商业航天;高压快充;华为概念;比亚迪概念;无人机;军工;低空经济;新能源汽车;核电;腾讯概念;阿里巴巴概念;机器人概念;高铁;西部大开发;国企改革;液冷服务器;沪股通;融资融券,23,688629
301345.SZ,33,两轮车;跨境电商;人民币贬值受益;无人驾驶;2026一季报预增;人形机器人;机器人概念;专精特新;2026中报预增;深股通;融资融券,11,301345
688372.SH,17,存储芯片;先进封装;汽车芯片;MCU芯片;芯片概念;消费电子概念;沪股通;融资融券,8,688372
688175.SH,17,网络安全;军工信息化;物联网;5G;6G概念;军工;人工智能;商业航天;数据要素;股权转让(并购重组);融资融券,11,688175
688071.SH,17,人形机器人;华为汽车;长安汽车概念;机器人概念;车联网(车路协同);比亚迪概念;无人驾驶;专精特新;新能源汽车;高端装备;无人机;燃料电池;宁德时代概念;融资融券,14,688071
301296.SZ,33,食品安全;股权转让(并购重组);融资融券,3,301296
920161.BJ,151,专精特新;新股与次新股;融资融券,3,920161
920725.BJ,151,比亚迪概念;第三代半导体;6G概念;芯片概念;专精特新;融资融券;培育钻石,7,920725
301108.SZ,33,宠物经济;三胎概念;合成生物;重组蛋白;融资融券,5,301108
301379.SZ,33,存储芯片;MiniLED;消费电子概念;PCB概念;汽车电子;比亚迪概念;智能家居;无人机;海峡两岸;低空经济;长安汽车概念;人工智能;西部大开发;深股通;融资融券,15,301379
301308.SZ,33,存储芯片;国家大基金持股;先进封装;AI手机;芯片概念;AI PC;EDR概念;AI眼镜;消费电子概念;数据中心(AIDC);智能穿戴;智能座舱;小米概念;华为概念;专精特新;数据安全;信创;华为鲲鹏;小米汽车;机器人概念;人民币贬值受益;2026中报预增;深股通;融资融券,24,301308
688702.SH,17,国家大基金持股;芯片概念;5G;中国AI 50;数据中心(AIDC);网络安全;沪股通;融资融券,8,688702
300338.SZ,33,职业教育;ST板块;在线教育;虚拟数字人;元宇宙;ChatGPT概念;百度概念;储能;虚拟电厂;钠离子电池,10,300338
000545.SZ,33,钛白粉概念;磷化工;锂电池概念;股权转让(并购重组);融资融券,5,000545
300499.SZ,33,液冷服务器;数据中心(AIDC);东数西算(算力);汽车电子;特高压;柔性直流输电;可控核聚变;专精特新;光伏概念;比亚迪概念;军工;抖音概念(字节概念);充电桩;腾讯概念;阿里巴巴概念;新能源汽车;储能;宁德时代概念;核电;粤港澳大湾区;锂电池概念;风电;一带一路;中俄贸易概念;天然气;深股通;融资融券,27,300499
002329.SZ,33,乳业;绿色电力;生态农业;乡村振兴;跨境电商;三胎概念;西部大开发;文化传媒概念;数字经济;智慧城市;一带一路;冷链物流;光伏概念;融资融券,14,002329
603815.SH,17,新型城镇化;地下管网;乡村振兴;PPP概念;水利;一带一路;沪股通,7,603815
301139.SZ,33,ST板块;AI应用;数字乡村;数字经济;数据要素;车联网(车路协同);京津冀一体化;人工智能;智慧城市;机器人概念;西部大开发;算力租赁;华为概念;东数西算(算力);充电桩;储能;光伏概念;5G,18,301139
600215.SH,17,数字经济;装配式建筑;智能物流;新型工业化;人工智能;机器人概念;物业管理;人民币贬值受益;特斯拉概念;新能源汽车,10,600215
603789.SH,22,生态农业;乡村振兴;共同富裕示范区;新疆振兴;数据要素;ST板块;农机;无人机;机器人概念;无人驾驶,10,603789
000078.SZ,33,医药电商;仿制药一致性评价;维生素;流感;创新药;ST板块;冷链物流;医疗器械概念;粤港澳大湾区,9,000078
000301.SZ,33,环氧丙烷;POE胶膜;煤化工概念;碳纤维;同花顺漂亮100;锂电池概念;工业互联网;光伏概念;深股通;2026中报预增;融资融券,11,000301
600288.SH,17,太赫兹;量子科技;机器视觉;专精特新;无人机;6G概念;机器人概念;华为概念;人工智能;元宇宙;芯片概念;腾讯概念;数据要素;AIGC概念;京津冀一体化;智能医疗;宁德时代概念;AI视频;虚拟数字人;华为手机;眼科医疗;期货概念;融资融券;沪股通,24,600288
603020.SH,17,烟草,1,603020
603903.SH,17,污水处理;氢能源;雄安新区;京津冀一体化;PPP概念;股权转让(并购重组),6,603903
600470.SH,17,化肥;磷化工;煤化工概念;乡村振兴;污水处理;锂电池概念;融资融券,7,600470
603819.SH,17,安防;新能源汽车;风电;股权转让(并购重组),4,603819
603861.SH,17,柔性直流输电;智能电网;华为数字能源;特高压;东数西算(算力);核电;数据中心(AIDC);一带一路;储能;华为概念;新能源汽车;光伏概念;宁德时代概念;沪股通,14,603861
002860.SZ,33,HJT电池;TOPCON电池;光伏概念;传感器;5G;军民融合;比亚迪概念;无人机;新能源汽车;家用电器;光伏建筑一体化;储能;ETC;数据中心(AIDC);垃圾分类;共同富裕示范区;融资融券,17,002860
002919.SZ,33,手机游戏;网络游戏;虚拟现实;元宇宙;抖音概念(字节概念);深股通,6,002919
600172.SH,17,培育钻石;第三代半导体;沪股通;国企改革;物业管理;旅游概念;融资融券,7,600172
002815.SZ,33,PCB概念;共封装光学(CPO);先进封装;华为手机;AI PC;汽车电子;5G;毫米波雷达;消费电子概念;芯片概念;6G概念;柔性屏(折叠屏);传感器;数据中心(AIDC);商业航天;东数西算(算力);华为概念;比亚迪概念;无人驾驶;无人机;特斯拉概念;人形机器人;军工;机器人概念;粤港澳大湾区;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;一带一路;深股通,31,002815
600246.SH,17,存储芯片;芯片概念;5G;毫米波雷达;卫星导航;商业航天;创投;数字经济;京津冀一体化;物业管理;云计算;沪股通;融资融券,13,600246
603201.SH,17,跨境电商;专精特新;人民币贬值受益;比亚迪概念;新能源汽车;汽车电子,6,603201
002989.SZ,33,芯片概念;粤港澳大湾区;人工智能;新型城镇化;国企改革;深股通,6,002989
002457.SZ,33,地下管网;新型城镇化;水利;乡村振兴;参股银行;京津冀一体化;互联网金融;新疆振兴;西部大开发;风电,10,002457
603155.SH,17,光刻胶;有机硅概念;芯片概念;锂电池概念;国企改革;沪股通;股权转让(并购重组),7,603155
002774.SZ,33,中俄贸易概念;一带一路;粤港澳大湾区;人工智能;物联网;高股息精选,6,002774
000938.SZ,33,WiFi 6;算力租赁;中国AI 50;东数西算(算力);6G概念;英伟达概念;液冷服务器;数据中心(AIDC);共封装光学(CPO);云计算;国资云;5G;网络安全;国产操作系统;数据安全;阿里巴巴概念;芯片概念;抖音概念(字节概念);智慧政务;物联网;车联网(车路协同);数字乡村;智慧城市;数字孪生;储能;AI智能体;数据要素;DeepSeek概念;AIGC概念;人工智能;AI应用;机器人概念;深股通;融资融券;智能医疗,35,000938
603800.SH,17,PET铜箔;PCB概念;先进封装;光刻机;芯片概念;机器视觉;锂电池概念;固态电池;海工装备;页岩气;天然气;沪股通;融资融券,13,603800
603375.SH,17,存储芯片;汽车芯片;芯片概念;PVDF概念;传感器;专精特新;比亚迪概念;低空经济;机器人概念;民爆概念;融资融券,11,603375
605060.SH,17,液冷服务器;数据中心(AIDC);专精特新;高端装备;风电;农机;沪股通,7,605060
603087.SH,17,创新药;减肥药;眼科医疗;医疗器械概念;智能医疗;虚拟数字人;沪股通;融资融券,8,603087
603757.SH,17,液冷服务器;数据中心(AIDC);空气能热泵;专精特新;储能;商业航天;新能源汽车;高端装备;核电;海工装备;燃料电池;氢能源;水利;沪股通,14,603757
600180.SH,22,大豆;煤化工概念;煤炭概念;粮食概念;航运概念;ST板块;统一大市场;一带一路;互联网金融;数据要素;工业互联网,11,600180
603118.SH,17,F5G概念;WiFi 6;共封装光学(CPO);6G概念;华为海思概念股;5G;汽车芯片;芯片概念;PCB概念;数据中心(AIDC);先进封装;传感器;汽车电子;东数西算(算力);毫米波雷达;华为概念;物联网;粤港澳大湾区;无人驾驶;充电桩;虚拟现实;网络安全;智能座舱;智能家居;人民币贬值受益;机器人概念;工业互联网;基因测序;智能医疗;国企改革;沪股通;股权转让(并购重组);融资融券,33,603118
603722.SH,17,丙烯酸;专精特新;人民币贬值受益;燃料电池,4,603722
002396.SZ,33,WiFi 6;F5G概念;共封装光学(CPO);5G;数据中心(AIDC);网络安全;物联网;华为概念;信创;车联网(车路协同);机器人概念;智能家居;阿里巴巴概念;抖音概念(字节概念);腾讯概念;海峡两岸;脑机接口;数字货币;移动支付;鸿蒙概念;人工智能;福建自贸区;DeepSeek概念;AIGC概念;AI应用;在线教育;互联网金融;文化传媒概念;国企改革;深股通;融资融券;证金持股,32,002396
603067.SH,17,军工;储能;钒电池;锂电池概念;固态电池;钛白粉概念;小金属概念;维生素;沪股通;融资融券,10,603067
605196.SH,17,一带一路;中俄贸易概念;人民币贬值受益;工业互联网;海工装备;智能电网;光伏概念;沪股通,8,605196
002607.SZ,33,职业教育;乡村振兴;旅游概念;在线教育;虚拟数字人;AI应用;AIGC概念;DeepSeek概念;人工智能;阿里巴巴概念;百度概念;超级品牌;融资融券;深股通,14,002607
603268.SH,17,高端装备;在线教育;海工装备;人民币贬值受益;股权转让(并购重组);跨境电商;沪股通;摘帽,8,603268
