股票代码,market_code,所属概念,所属概念数量,code
301655.SZ,33,长三角一体化;新能源汽车;专精特新,6,301655
920344.BJ,151,医药电商;重组蛋白;融资融券;肝炎概念;细胞免疫治疗;创新药;京津冀一体化;专精特新;三胎概念,9,920344
301166.SZ,33,医疗器械概念;跨境电商;猴痘概念;基因测序;合成生物;细胞免疫治疗;医药电商;重组蛋白;海峡两岸;减肥药;融资融券,11,301166
688276.SH,17,生物疫苗;流感;阿尔茨海默概念;国企改革;沪股通;融资融券,6,688276
300710.SZ,33,光纤概念;芯片概念;WiFi 6;5G;毫米波雷达;无人驾驶;物联网;拼多多概念;阿里巴巴概念;水利;创投;手机游戏;电子竞技;股权转让(并购重组),14,300710
688185.SH,17,猴痘概念;生物疫苗;CRO概念;流感;合成生物;三胎概念;京津冀一体化;沪股通;融资融券,9,688185
688137.SH,17,重组蛋白;CRO概念;细胞免疫治疗;流感;合成生物;专精特新;融资融券,7,688137
688114.SH,17,基因测序;脑机接口;智能医疗;AI智能体;合成生物;机器人概念;医疗器械概念;AI应用;重组蛋白;沪股通;融资融券,11,688114
688356.SH,17,创新药;医美概念;医疗器械概念;人民币贬值受益;3D打印;沪股通;融资融券,7,688356
688433.SH,17,3D打印;商业航天;专精特新;碳纤维;高端装备;机器人概念;低空经济;飞行汽车(eVTOL);2026中报预增;沪股通;融资融券,11,688433
300363.SZ,33,CRO概念;减肥药;细胞免疫治疗;创新药;流感;西部大开发;人民币贬值受益;新型烟草(电子烟);融资融券;深股通,10,300363
300765.SZ,33,减肥药;创新药;生物疫苗;维生素;猴痘概念;融资融券;深股通,7,300765
300006.SZ,33,创新药;细胞免疫治疗;眼科医疗;仿制药一致性评价;幽门螺杆菌概念;医药电商;辅助生殖;肝炎概念;医疗器械概念;西部大开发;知识产权保护;国企改革;深股通;融资融券,14,300006
300142.SZ,33,生物疫苗;流感;创新药;合成生物;西部大开发;深股通;融资融券,7,300142
300841.SZ,33,动物疫苗;生物疫苗;合成生物;西部大开发;融资融券;深股通,6,300841
688426.SH,17,基因测序;猴痘概念;医疗器械概念;幽门螺杆菌概念;流感;融资融券,6,688426
688658.SH,17,细胞免疫治疗;创新药;仿制药一致性评价;幽门螺杆菌概念;生物疫苗;医药电商;智能医疗;人工智能;华为概念;融资融券;沪股通,11,688658
300601.SZ,33,生物疫苗;肝炎概念;流感;创新药;合成生物;深股通;融资融券,7,300601
688105.SH,17,猴痘概念;基因测序;CRO概念;流感;减肥药;合成生物;重组蛋白;阿尔茨海默概念;军工信息化;人工智能;医疗器械概念;沪股通;融资融券,13,688105
300009.SZ,33,生物疫苗;仿制药一致性评价;创新药;肝炎概念;流感;辅助生殖;细胞免疫治疗;民营医院;基因测序;医疗器械概念;智能医疗;人工智能;深股通;融资融券,14,300009
300109.SZ,33,基因测序;智能医疗;固态电池;消毒剂;细胞免疫治疗;创新药;生物疫苗;深股通;融资融券,9,300109
300122.SZ,33,生物疫苗;猴痘概念;重组蛋白;肝炎概念;创新药;流感;合成生物;减肥药;同花顺漂亮100;西部大开发;创投;深股通;融资融券,13,300122
688238.SH,17,细胞免疫治疗;智能医疗;CRO概念;基因测序;重组蛋白;人工智能;上海自贸区;专精特新;融资融券,9,688238
688143.SH,17,光纤概念;共封装光学(CPO);芯片概念;专精特新;特高压;商业航天;汽车热管理;军工;海工装备;DeepSeek概念;沪股通;融资融券,12,688143
300570.SZ,33,共封装光学(CPO);光纤概念;F5G概念;铜缆高速连接;芯片概念;5G;传感器;数据中心(AIDC);人民币贬值受益;融资融券;深股通,11,300570
301047.SZ,33,细胞免疫治疗;肝炎概念;猴痘概念;流感;重组蛋白;合成生物;CRO概念;智能医疗;京津冀一体化;人民币贬值受益;人工智能;深股通;融资融券,13,301047
301122.SZ,33,医疗器械概念;人民币贬值受益;辅助生殖;融资融券,4,301122
300112.SZ,33,新型工业化;人工智能;机器人概念;物联网;专精特新;机器视觉;军工;华为概念;新能源汽车;工业母机;氢能源;传感器;核电;光热发电;毫米波雷达;太赫兹,16,300112
688617.SH,17,医疗器械概念;专精特新;融资融券;沪股通,4,688617
300676.SZ,33,基因测序;猴痘概念;肝炎概念;智能医疗;辅助生殖;阿尔茨海默概念;三胎概念;流感;合成生物;医疗器械概念;数据要素;区块链;创投;医药电商;粤港澳大湾区;一带一路;深股通;融资融券,18,300676
301093.SZ,33,人工智能;创投;医疗器械概念;创新药;深股通;融资融券,6,301093
301207.SZ,33,禽流感;生物疫苗;肝炎概念;流感;深股通;融资融券,6,301207
688536.SH,17,汽车芯片;MCU芯片;共封装光学(CPO);芯片概念;5G;传感器;智能座舱;专精特新;无人机;储能;人形机器人;安防;机器人概念;股权转让(并购重组);沪股通;融资融券,16,688536
688315.SH,17,基因测序;AI应用;医疗器械概念;量子科技;智能医疗;沪股通;融资融券,7,688315
688670.SH,17,流感;生物疫苗;融资融券,3,688670
301205.SZ,33,共封装光学(CPO);5G;芯片概念;数据中心(AIDC);人民币贬值受益;深股通;融资融券,7,301205
688266.SH,17,重组蛋白;创新药;细胞免疫治疗;智能医疗;沪股通;融资融券,6,688266
920009.BJ,151,专精特新;基因测序;猴痘概念;流感;宠物经济;人工智能;新股与次新股;融资融券,8,920009
300976.SZ,33,柔性屏(折叠屏);芯片概念;苹果概念;消费电子概念;智能穿戴;汽车电子;液冷服务器;小米概念;碳纤维;虚拟现实;比亚迪概念;华为概念;光伏概念;新能源汽车;特斯拉概念;东数西算(算力);脑机接口;粤港澳大湾区;宁德时代概念;抖音概念(字节概念);储能;创投;深股通;融资融券,24,300976
301080.SZ,33,重组蛋白;细胞免疫治疗;猴痘概念;人民币贬值受益;人工智能;专精特新;智能医疗;创新药;深股通;融资融券,10,301080
301081.SZ,33,共同富裕示范区;专精特新;污水处理;融资融券,4,301081
301529.SZ,33,传感器;汽车电子;比亚迪概念;新能源汽车;5G;中俄贸易概念;深股通;融资融券,8,301529
300545.SZ,33,柔性屏(折叠屏);MR(混合现实);新型工业化;苹果概念;消费电子概念;MiniLED;虚拟现实;5G;智能穿戴;富士康概念;汽车电子;MicroLED概念;OLED;专精特新;芯片概念;华为手机;AI眼镜;智能座舱;先进封装;华为概念;机器人概念;华为汽车;光伏概念;钙钛矿电池;锂电池概念;固态电池;钠离子电池;高端装备;玻璃基板;深股通,30,300545
301196.SZ,33,光纤概念;消费电子概念;新型烟草(电子烟);专精特新;PEEK材料;新能源汽车;海峡两岸;储能;机器人概念;家用电器;福建自贸区;医疗器械概念;养老概念;三胎概念;宠物经济;深股通;融资融券,17,301196
688628.SH,17,芯片概念;核污染防治;PM2.5;专精特新;光伏概念;人民币贬值受益;AI智能体;DeepSeek概念;光纤概念;沪股通;融资融券,11,688628
300171.SZ,33,细胞免疫治疗;生物疫苗;合成生物;基因测序;医疗器械概念;智能医疗;DeepSeek概念;独角兽概念;机器人概念;华为概念;融资融券;深股通,12,300171
920946.BJ,151,锂电池概念;融资融券;国企改革;专精特新,4,920946
688289.SH,17,猴痘概念;流感;肝炎概念;宠物经济;基因测序;创新药;智能医疗;医疗器械概念;数字经济;创投;DeepSeek概念;AI智能体;人工智能;一带一路;阿里巴巴概念;专精特新;沪股通;融资融券,18,688289
301335.SZ,33,宠物经济;跨境电商;一带一路;股权转让(并购重组);融资融券,5,301335
301550.SZ,33,减速器;人形机器人;机器人概念;新能源汽车;农机;工业互联网;专精特新;数字经济;人民币贬值受益;深股通;融资融券,11,301550
688653.SH,17,芯片概念;WiFi 6;AI眼镜;消费电子概念;5G;专精特新;智能音箱;星闪概念;智能座舱;无人机;物联网;上海自贸区;智能家居;低空经济;车联网(车路协同);沪股通;股权转让(并购重组);融资融券,18,688653
920045.BJ,151,英伟达概念;一带一路;铜缆高速连接;数据中心(AIDC);粤港澳大湾区;无人驾驶;光纤概念;新股与次新股;融资融券;共封装光学(CPO);人民币贬值受益,11,920045
301419.SZ,33,共封装光学(CPO);富士康概念;5G;存储芯片;液冷服务器;人形机器人;汽车热管理;机器人概念;人民币贬值受益;融资融券,10,301419
688619.SH,17,信创;人脸识别;网络安全;多模态AI;机器视觉;安防;物联网;虚拟现实;智慧城市;智慧灯杆;AI应用;量子科技;机器人概念;专精特新;人工智能;军工;海峡两岸;智能医疗;海工装备;土壤修复;福建自贸区;智慧政务;工业互联网;AI智能体;融资融券,25,688619
300813.SZ,33,细胞免疫治疗;共同富裕示范区;医疗器械概念;食品安全;机器人概念,5,300813
688286.SH,17,传感器;智能穿戴;专精特新;物联网;消费电子概念;汽车电子;芯片概念;小米概念;机器人概念;AI眼镜;人形机器人;无线耳机;新型烟草(电子烟);中芯国际概念;融资融券,15,688286
300149.SZ,33,细胞免疫治疗;重组蛋白;创新药;CRO概念;智能医疗;AI应用;DeepSeek概念;人民币贬值受益;深股通;股权转让(并购重组);融资融券,11,300149
688052.SH,17,汽车芯片;先进封装;MCU芯片;芯片概念;消费电子概念;汽车电子;传感器;物联网;人形机器人;新能源汽车;机器人概念;沪股通;融资融券,13,688052
300486.SZ,33,统一大市场;新型工业化;智能物流;数据要素;数字经济;工业互联网;DeepSeek概念;机器视觉;专精特新;数字孪生;人工智能;新能源汽车;机器人概念;物联网;比亚迪概念;宁德时代概念;深股通;股权转让(并购重组),18,300486
301360.SZ,33,富士康概念;华为手机;苹果概念;芯片概念;消费电子概念;AI眼镜;宁德时代概念;东数西算(算力);专精特新;无线充电;MR(混合现实);固态电池;智能穿戴;华为概念;机器视觉;锂电池概念;腾讯概念;钙钛矿电池;人工智能;MLCC概念;融资融券,21,301360
688202.SH,17,CRO概念;减肥药;创新药;合成生物;智能医疗;人工智能;AI应用;沪股通;融资融券,9,688202
600327.SH,17,预制菜;三胎概念;IP经济(谷子经济);民营医院;信托概念;参股银行,6,600327
688222.SH,17,CRO概念;减肥药;重组蛋白;创新药;智能医疗;人民币贬值受益;AI应用;腾讯概念;人工智能;AI智能体;西部大开发;沪股通;融资融券,13,688222
