market_code,所属概念,股票代码,所属概念数量,code
151,独角兽概念;机器视觉;机器人概念;智能医疗;智慧政务;智慧城市;新型工业化;数据要素;数据中心;数字经济;华为概念;信创;云计算;人工智能;东数西算(算力);专精特新;ST板块;DeepSeek概念;ChatGPT概念;AIGC概念,920305.BJ,20,920305
33,数据安全;云计算;互联网金融;信创;光伏建筑一体化;数字经济;智慧城市;DeepSeek概念;东数西算(算力);ST板块;人工智能;数字孪生;数据中心,300344.SZ,13,300344
33,新能源汽车;比亚迪概念;融资融券,301119.SZ,3,301119
33,C2M概念;一带一路;人民币贬值受益;专精特新;生态农业;融资融券,301362.SZ,6,301362
33,钙钛矿电池;TOPCON电池;BC电池;光伏建筑一体化;光伏概念;华为概念;国企改革;AI智能体;深股通;融资融券,300393.SZ,10,300393
17,BC电池;钙钛矿电池;TOPCON电池;光伏概念;储能;DeepSeek概念;同花顺漂亮100;人民币贬值受益;沪股通;融资融券,688223.SH,10,688223
17,BC电池;TOPCON电池;HJT电池;光伏概念;沪股通;融资融券,688429.SH,6,688429
33,碳中和;中俄贸易概念;工业互联网;机器人概念;新能源汽车;传感器;比亚迪概念;汽车热管理;人形机器人;融资融券,300912.SZ,10,300912
33,钙钛矿电池;光伏概念;注册制次新股;专精特新;新能源汽车;新股与次新股;融资融券,301636.SZ,7,301636
33,燃料电池;氢能源;石墨烯;新能源汽车;天然气;回购增持再贷款概念;锂电池概念;融资融券,300985.SZ,8,300985
33,商业航天;可控核聚变;光热发电;虚拟电厂;智能电网;氢能源;智慧灯杆;光伏概念;风电;水利;燃料电池;专精特新;冷链物流;储能;智慧城市;安防;锂电池概念;智慧政务;数据中心;智能家居;股权转让(并购重组),300423.SZ,21,300423
151,石墨电极;融资融券;氢能源;换电概念;光伏概念;储能;TOPCON电池;HJT电池,920985.BJ,8,920985
151,机器视觉;数字孪生;钙钛矿电池;融资融券;机器人概念;无人机;光伏概念;储能;人工智能;云计算;专精特新,920414.BJ,11,920414
33,TOPCON电池;第三代半导体;光伏概念;培育钻石;先进封装;芯片概念;AI眼镜;新型工业化;消费电子概念;存储芯片;智能物流;数字经济;深股通;BC电池;融资融券,300316.SZ,15,300316
33,可燃冰;俄乌冲突概念;页岩气;天然气;雄安新区;人工智能;一带一路;创投;超超临界发电;东数西算(算力);融资融券;军工;氢能源;数据中心;无人机;高端装备;储能;机器人概念,300157.SZ,18,300157
33,高端装备;人工智能;生物质能发电;国企改革;华为概念;智能电网;传感器;股权转让(并购重组),300277.SZ,8,300277
33,MicroLED概念;MiniLED;虚拟现实;华为概念;汽车电子;OLED;消费电子概念;回购增持再贷款概念;融资融券,301321.SZ,9,301321
33,商业航天;卫星导航;军民融合;核电;军工;无人机;氢能源;燃料电池;智慧城市;汽车热管理;传感器;新能源汽车;芯片概念;天然气;股权转让(并购重组);融资融券,300943.SZ,16,300943
17,燃料电池;氢能源;专精特新;京津冀一体化;股权转让(并购重组);沪股通;融资融券,688339.SH,7,688339
33,成飞概念;燃料电池;氢能源;中俄贸易概念;军工;天然气;一带一路;专精特新;创投;西部大开发;物联网;页岩气;融资融券,300471.SZ,13,300471
33,物业管理;建筑节能;长三角一体化;深股通;融资融券,000517.SZ,5,000517
17,医疗器械概念;专精特新;融资融券,688338.SH,3,688338
17,土地流转;特色小镇;物业管理;旅游概念;养老概念;国企改革;京津冀一体化;创投,600683.SH,8,600683
17,海南自贸区;俄乌冲突概念;土地流转;天然气;一带一路;人民币贬值受益;融资融券;沪股通,600759.SH,8,600759
17,煤炭概念;国企改革;沪股通;融资融券,600971.SH,4,600971
17,煤炭概念;煤化工概念;国企改革;沪股通;融资融券,600997.SH,5,600997
33,租售同权;物业管理;AIGC概念;京津冀一体化;西部大开发;数字经济;数据要素;ChatGPT概念;鸿蒙概念;人工智能;华为概念;深股通;融资融券,000560.SZ,13,000560
33,新能源汽车;充电桩;燃料电池;换电概念;储能;光伏概念;比亚迪概念;新型工业化;风电;工业母机;机器人概念;氢能源;人形机器人;核电;海工装备;液冷服务器;工业互联网;数据中心;低空经济;光伏建筑一体化;粤港澳大湾区;物联网;百度概念;稀土永磁;深股通;融资融券,002334.SZ,26,002334
33,时空大数据;网约车;车联网(车路协同);EDR概念;人脸识别;低空经济;无人驾驶;无人机;数据要素;智能座舱;鸿蒙概念;人工智能;长安汽车概念;百度概念;参股银行;粤港澳大湾区;汽车电子;比亚迪概念;算力租赁;东数西算(算力);新能源汽车;5G;融资融券,002355.SZ,23,002355
33,代糖概念;参股银行;中俄贸易概念;合成生物;三胎概念,002286.SZ,5,002286
33,智能电网;充电桩;风电;核电;新能源汽车;机器人概念;物联网;职业教育;数据中心;宁德时代概念;数字经济;深股通;融资融券,002441.SZ,13,002441
33,可燃冰;天然气;航运概念;统一大市场;冷链物流;氢能源;海工装备;同花顺出海50;储能;核电;一带一路;风电;雄安新区;智能物流;机器人概念;数据中心;粤港澳大湾区;商业航天;物联网;机器视觉;无人驾驶;人工智能;AI应用;参股券商;DeepSeek概念;智谱AI;深股通;融资融券,000039.SZ,28,000039
17,光伏概念;超超临界发电;风电;储能;高端装备;氢能源;核电;海工装备;燃料电池;回购增持再贷款概念;一带一路;国企改革;央企国企改革;机器人概念;DeepSeek概念;京津冀一体化;沪股通;融资融券,601226.SH,18,601226
33,西部大开发;2025年报预增;融资融券;深股通,002928.SZ,4,002928
33,网红经济;C2M概念;物联网;粤港澳大湾区;智能家居;股权转让(并购重组),002853.SZ,6,002853
33,光伏建筑一体化;垃圾分类;粤港澳大湾区;智能家居;海峡两岸;光伏概念;雄安新区;融资融券;深股通,002791.SZ,9,002791
33,锂电池概念;专精特新;人民币贬值受益;融资融券;深股通,002810.SZ,5,002810
33,可燃冰;页岩气;俄乌冲突概念;天然气;海工装备;人工智能;商业航天;一带一路;中俄贸易概念;碳纤维;无人机;高端装备;氢能源;机器人概念;专精特新;2025年报预增,002278.SZ,16,002278
33,煤炭概念;煤化工概念;国企改革;小金属概念;深股通;融资融券;人形机器人,000983.SZ,7,000983
17,煤炭概念;国企改革;沪股通;融资融券,600403.SH,4,600403
17,煤炭概念;煤化工概念;国企改革;参股银行;小金属概念;风电;同花顺漂亮100;沪股通;融资融券,600188.SH,9,600188
17,海峡两岸;福建自贸区;钛白粉概念;专精特新;沪股通;融资融券,603826.SH,6,603826
33,钙钛矿电池;POE胶膜;光伏建筑一体化;建筑节能;光伏概念;绿色电力;一带一路;特斯拉概念;融资融券,002623.SZ,9,002623
33,特高压;核电;海峡两岸;海工装备;军工;风电;充电桩;光伏概念;融资融券,002300.SZ,9,002300
33,F5G概念;光纤概念;共封装光学(CPO);算力租赁;6G概念;国资云;5G;抖音概念(字节概念);东数西算(算力);阿里巴巴概念;深圳国企改革;信创;百度概念;腾讯概念;卫星导航;数据中心;军工信息化;智慧灯杆;华为概念;成飞概念;智慧城市;无人机;人工智能;低空经济;军工;粤港澳大湾区;传感器;创投;大飞机;物业管理;一带一路;高铁;特高压;智能电网;光伏概念;国企改革;绿色电力;深股通;摘帽,000070.SZ,39,000070
33,多模态AI;人工智能;鸿蒙概念;毫米波雷达;EDR概念;星闪概念;云计算;人脸识别;无人驾驶;比亚迪概念;智能座舱;物联网;汽车电子;车联网(车路协同);机器视觉;专精特新;新能源汽车;垃圾分类;卫星导航;深股通,002970.SZ,20,002970
