code,所属概念数量,market_code,所属概念,股票代码
000686,5,33,期货概念;证金持股;2025年报预增;深股通;融资融券,000686.SZ
603225,4,17,长三角一体化;工业互联网;沪股通;融资融券,603225.SH
688502,13,17,光刻机;光刻胶;芯片概念;专精特新;智能穿戴;机器视觉;无人驾驶;虚拟现实;人民币贬值受益;基因测序;眼科医疗;沪股通;融资融券,688502.SH
000568,11,33,白酒概念;超级品牌;啤酒概念;高股息精选;证金持股;同花顺漂亮100;参股券商;国企改革;西部大开发;深股通;融资融券,000568.SZ
300476,29,33,共封装光学(CPO);PCB概念;富士康概念;AI PC;5G;AI手机;汽车电子;英伟达概念;芯片概念;数据中心(AIDC);小米概念;东数西算(算力);光伏概念;特斯拉概念;新能源汽车;人形机器人;虚拟现实;2025年报预增;储能;智能电网;海峡两岸;机器人概念;粤港澳大湾区;物联网;人民币贬值受益;深股通;同花顺出海50;乡村振兴;融资融券,300476.SZ
002673,5,33,期货概念;国企改革;西部大开发;深股通;融资融券,002673.SZ
002236,57,33,物联网;人脸识别;车联网(车路协同);鸿蒙概念;工业互联网;智慧城市;数字孪生;人工智能;安防;DeepSeek概念;AI应用;智慧灯杆;AI智能体;星闪概念;智能物流;网约车;网络安全;时空大数据;低空经济;华为鲲鹏;智能家居;数字经济;信创;数据要素;养老概念;虚拟现实;多模态AI;机器人概念;云计算;数据安全;新型工业化;充电桩;水利;华为昇腾;智能电网;无人机;机器视觉;人民币贬值受益;乡村振兴;东数西算(算力);无人驾驶;智能座舱;卫星导航;传感器;海工装备;PPP概念;数据中心(AIDC);毫米波雷达;汽车电子;MicroLED概念;5G;证金持股;MiniLED;OLED;存储芯片;深股通;融资融券,002236.SZ
688307,15,17,光刻机;智能穿戴;智能座舱;专精特新;机器视觉;虚拟现实;无人驾驶;无人机;华为概念;海峡两岸;机器人概念;安防;人工智能;沪股通;融资融券,688307.SH
603175,21,17,PCB概念;消费电子概念;存储芯片;毫米波雷达;汽车电子;OLED;芯片概念;东数西算(算力);注册制次新股;数据中心(AIDC);智能座舱;无人驾驶;海峡两岸;比亚迪概念;新能源汽车;特斯拉概念;机器人概念;人民币贬值受益;一带一路;新股与次新股;融资融券,603175.SH
300835,7,33,消费电子概念;稀土永磁;数据中心(AIDC);光伏概念;专精特新;新能源汽车;深股通,300835.SZ
300676,18,33,基因测序;猴痘概念;肝炎概念;智能医疗;辅助生殖;阿尔茨海默概念;三胎概念;流感;合成生物;医疗器械概念;数据要素;区块链;创投;医药电商;粤港澳大湾区;一带一路;深股通;融资融券,300676.SZ
601985,16,17,中字头股票;同花顺中特估100;证金持股;绿色电力;央企国企改革;国企改革;风电;沪股通;融资融券;核电;DeepSeek概念;可控核聚变;储能;光伏概念;机器人概念;钙钛矿电池,601985.SH
688766,8,17,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;融资融券;沪股通,688766.SH
605089,3,17,预制菜;冷链物流;长三角一体化,605089.SH
688143,12,17,光纤概念;共封装光学(CPO);芯片概念;专精特新;特高压;商业航天;汽车热管理;军工;海工装备;DeepSeek概念;沪股通;融资融券,688143.SH
601888,14,17,免税店;证金持股;同花顺中特估100;自由贸易港;旅游概念;同花顺漂亮100;跨境电商;国企改革;央企国企改革;一带一路;数字经济;沪股通;融资融券;中字头股票,601888.SH
002549,12,33,氟化工概念;光刻机;俄乌冲突概念;芯片概念;氢能源;啤酒概念;专精特新;眼科医疗;碳中和;冷链物流;融资融券;深股通,002549.SZ
600392,9,17,稀土永磁;小金属概念;苹果概念;2025年报预增;西部大开发;国企改革;参股保险;沪股通;融资融券,600392.SH
300332,12,33,页岩气;天然气;俄乌冲突概念;地下管网;净水概念;PPP概念;污水处理;京津冀一体化;创投;PVDF概念;融资融券;深股通,300332.SZ
600545,11,17,华为概念;人民币贬值受益;新型工业化;机器人概念;沪股通;融资融券;一带一路;AI智能体;西部大开发;DeepSeek概念;新疆振兴,600545.SH
301345,11,33,两轮车;跨境电商;人民币贬值受益;无人驾驶;2025年报预增;2026一季报预增;人形机器人;机器人概念;专精特新;深股通;融资融券,301345.SZ
002345,8,33,黄金概念;小金属概念;IP经济(谷子经济);NFT概念;高股息精选;2025年报预增;培育钻石;深股通,002345.SZ
601136,5,17,期货概念;国企改革;京津冀一体化;沪股通;融资融券,601136.SH
603995,5,17,小金属概念;特钢概念;专精特新;沪股通;融资融券,603995.SH
601236,6,17,期货概念;国企改革;西部大开发;2025年报预增;沪股通;融资融券,601236.SH
603959,9,22,ST板块;机器人概念;燃料电池;氢能源;新能源汽车;锂电池概念;宁德时代概念;煤化工概念;固态电池,603959.SH
300873,20,33,新型工业化;工业互联网;数字孪生;机器人概念;人工智能;AI智能体;人形机器人;新能源汽车;粤港澳大湾区;DeepSeek概念;智能物流;数字经济;芯片概念;一带一路;跨境电商;冷链物流;统一大市场;航运概念;深股通;融资融券,300873.SZ
600768,4,17,共同富裕示范区;2025年报预增;2026一季报预增;股权转让(并购重组),600768.SH
300903,28,33,共封装光学(CPO);存储芯片;先进封装;PCB概念;MiniLED;芯片概念;消费电子概念;5G;汽车电子;毫米波雷达;小米概念;数据中心(AIDC);比亚迪概念;专精特新;血氧仪;新能源汽车;锂电池概念;无人机;充电桩;储能;军工;机器人概念;粤港澳大湾区;钠离子电池;低空经济;工业互联网;深股通;融资融券,300903.SZ
600378,29,17,氟化工概念;PVDF概念;中芯国际概念;磷化工;PCB概念;俄乌冲突概念;芯片概念;煤化工概念;2026一季报预增;固态电池;锂电池概念;页岩气;钠离子电池;液冷服务器;燃料电池;氢能源;新能源汽车;西部大开发;国企改革;商业航天;军工;碳中和;国产航母;央企国企改革;大飞机;碳交易;股权转让(并购重组);沪股通;融资融券,600378.SH
600864,11,17,期货概念;参股券商;碳交易;互联网金融;参股银行;国企改革;黑龙江自贸区;碳中和;创投;沪股通;融资融券,600864.SH
600821,18,17,华为数字能源;算力租赁;东数西算(算力);绿色电力;碳交易;风电;天津自贸区;储能;智慧城市;DeepSeek概念;华为概念;数字经济;京津冀一体化;新疆振兴;国企改革;煤化工概念;沪股通;融资融券,600821.SH
