所属同花顺行业,market_code,股票代码,code
医药生物-化学制药-原料药,151,920230.BJ,920230
基础化工-塑料制品-改性塑料,33,300834.SZ,300834
石油石化-石油加工贸易-石油加工,33,300839.SZ,300839
医药生物-化学制药-化学制剂,33,300086.SZ,300086
石油石化-油气开采及服务-油服工程,151,920088.BJ,920088
医药生物-医疗器械-医疗耗材,33,301188.SZ,301188
医药生物-生物制品-其他生物制品,17,688336.SH,688336
通信-通信设备-通信网络设备及器件,17,688618.SH,688618
医药生物-生物制品-其他生物制品,151,920047.BJ,920047
机械设备-通用设备-仪器仪表,33,300667.SZ,300667
汽车-汽车零部件-底盘与发动机系统,33,300547.SZ,300547
医药生物-化学制药-化学制剂,17,688553.SH,688553
电子-光学光电子-LED,33,300632.SZ,300632
医药生物-化学制药-原料药,151,920367.BJ,920367
通信-通信设备-通信线缆及配套,17,688143.SH,688143
石油石化-油气开采及服务-油服工程,17,600339.SH,600339
医药生物-中药-中药Ⅲ,17,600594.SH,600594
医药生物-化学制药-化学制剂,17,600488.SH,600488
医药生物-化学制药-化学制剂,33,000788.SZ,000788
医药生物-化学制药-化学制剂,33,002038.SZ,002038
电力设备-电网设备-线缆部件及其他,33,002560.SZ,002560
公用事业-电力-热力,17,605162.SH,605162
农林牧渔-养殖业-生猪养殖,17,603477.SH,603477
轻工制造-造纸-造纸Ⅲ,17,603863.SH,603863
通信-通信设备-通信线缆及配套,17,603042.SH,603042
公用事业-电力-电能综合服务,17,600644.SH,600644
通信-通信设备-通信线缆及配套,33,000586.SZ,000586
石油石化-石油加工贸易-油品石化贸易,17,603353.SH,603353
医药生物-医药商业-医药流通,17,603122.SH,603122
基础化工-塑料制品-膜材料,33,002263.SZ,002263
石油石化-石油加工贸易-石油加工,17,603798.SH,603798
医药生物-医药商业-医药流通,33,000950.SZ,000950
有色金属-能源金属-锂,33,000762.SZ,000762
建筑装饰-建筑装饰-专业工程,33,002051.SZ,002051
公用事业-电力-新能源发电,33,000155.SZ,000155
石油石化-油气开采及服务-油气开采,33,000968.SZ,000968
电力设备-电网设备-线缆部件及其他,33,000720.SZ,000720
石油石化-油气开采及服务-油服工程,33,002828.SZ,002828
医药生物-医疗器械-医疗耗材,17,603222.SH,603222
电力设备-电网设备-线缆部件及其他,33,002309.SZ,002309
医药生物-医药商业-医药流通,17,600829.SH,600829
机械设备-自动化设备-机器人,17,688090.SH,688090
医药生物-医疗器械-医疗设备,17,688805.SH,688805
机械设备-专用设备-纺织服装设备,17,688789.SH,688789
医药生物-化学制药-化学制剂,33,300255.SZ,300255
交通运输-港口航运-航运,17,601872.SH,601872
公用事业-燃气-燃气Ⅲ,33,000593.SZ,000593
石油石化-石油加工贸易-石油加工,33,300055.SZ,300055
医药生物-医药商业-药店,33,301408.SZ,301408
计算机-软件开发-垂直应用软件,17,688479.SH,688479
通信-通信设备-通信线缆及配套,17,601869.SH,601869
食品饮料-食品加工制造-休闲食品,17,603057.SH,603057
医药生物-化学制药-化学制剂,33,002437.SZ,002437
机械设备-专用设备-能源及重型设备,33,002353.SZ,002353
电子-半导体-分立器件,17,688693.SH,688693
电力设备-电网设备-输变电设备,17,603016.SH,603016
基础化工-化学制品-食品及饲料添加剂,151,920970.BJ,920970
电子-电子化学品-电子化学品Ⅲ,17,688268.SH,688268
农林牧渔-养殖业-动物保健,17,600195.SH,600195
建筑装饰-建筑装饰-工程咨询服务,33,300668.SZ,300668
通信-通信设备-通信网络设备及器件,33,300620.SZ,300620
电子-光学光电子-光学元件,33,002273.SZ,002273
美容护理-美容护理-个护用品,33,300658.SZ,300658
医药生物-化学制药-化学制剂,33,300436.SZ,300436
