股票代码,所属同花顺行业,code,market_code
920305.BJ,计算机-IT服务-IT服务Ⅲ,920305,151
301520.SZ,医药生物-医疗服务-医疗研发外包,301520,33
300214.SZ,基础化工-化学制品-其他化学制品,300214,33
300534.SZ,医药生物-中药-中药Ⅲ,300534,33
920943.BJ,机械设备-通用设备-金属制品,920943,151
301310.SZ,汽车-汽车零部件-汽车电子电气系统,301310,33
300039.SZ,医药生物-中药-中药Ⅲ,300039,33
688176.SH,医药生物-化学制药-化学制剂,688176,17
301092.SZ,基础化工-塑料制品-合成树脂,301092,33
920266.BJ,医药生物-中药-中药Ⅲ,920266,151
000004.SZ,计算机-软件开发-横向通用软件,000004,37
301277.SZ,医药生物-化学制药-原料药,301277,33
600664.SH,医药生物-化学制药-化学制剂,600664,17
688206.SH,计算机-软件开发-垂直应用软件,688206,17
603313.SH,轻工制造-家居用品-成品家居,603313,17
000078.SZ,医药生物-医药商业-医药流通,000078,33
000989.SZ,医药生物-中药-中药Ⅲ,000989,33
600992.SH,机械设备-通用设备-金属制品,600992,17
600629.SH,建筑装饰-建筑装饰-工程咨询服务,600629,17
000920.SZ,基础化工-塑料制品-膜材料,000920,33
603318.SH,公用事业-燃气-燃气Ⅲ,603318,17
002379.SZ,有色金属-工业金属-铝,002379,33
603669.SH,医药生物-化学制药-化学制剂,603669,17
603677.SH,家用电器-白色家电-家电零部件,603677,17
603065.SH,基础化工-化学制品-其他化学制品,603065,17
603137.SH,建筑装饰-建筑装饰-装饰园林,603137,17
003030.SZ,农林牧渔-农产品加工-其他农产品加工,003030,33
603933.SH,机械设备-自动化设备-工控设备,603933,17
600513.SH,医药生物-化学制药-化学制剂,600513,17
605090.SH,公用事业-燃气-燃气Ⅲ,605090,17
603120.SH,基础化工-化学制品-其他化学制品,603120,17
002581.SZ,医药生物-生物制品-其他生物制品,002581,33
600881.SH,综合-综合-综合Ⅲ,600881,17
001388.SZ,电力设备-电网设备-电气自控设备,001388,33
600671.SH,医药生物-中药-中药Ⅲ,600671,17
600536.SH,计算机-IT服务-IT服务Ⅲ,600536,17
001395.SZ,机械设备-专用设备-其他专用设备,001395,33
003020.SZ,医药生物-化学制药-化学制剂,003020,33
601002.SH,机械设备-通用设备-金属制品,601002,17
601608.SH,机械设备-专用设备-能源及重型设备,601608,17
600801.SH,建筑材料-建筑材料-水泥,600801,17
