股票代码,code,所属同花顺行业,market_code
920634.BJ,920634,有色金属-工业金属-铅锌,151
920642.BJ,920642,国防军工-军工装备-航空装备,151
688163.SH,688163,医药生物-生物制品-血液制品,17
301323.SZ,301323,有色金属-金属新材料-磁性材料,33
300377.SZ,300377,计算机-软件开发-垂直应用软件,33
301176.SZ,301176,电子-元件-印制电路板,33
688010.SH,688010,电子-光学光电子-光学元件,17
301348.SZ,301348,电子-半导体-集成电路封测,33
300581.SZ,300581,国防军工-军工装备-航空装备,33
688507.SH,688507,计算机-软件开发-垂直应用软件,17
920006.BJ,920006,国防军工-军工装备-航空装备,151
301656.SZ,301656,汽车-汽车零部件-汽车电子电气系统,33
301275.SZ,301275,电子-其他电子-其他电子Ⅲ,33
300244.SZ,300244,医药生物-医疗服务-其他医疗服务,33
688662.SH,688662,电子-其他电子-其他电子Ⅲ,17
688788.SH,688788,国防军工-军工电子-军工电子Ⅲ,17
688583.SH,688583,机械设备-通用设备-仪器仪表,17
688772.SH,688772,电力设备-电池-锂电池,17
688353.SH,688353,电力设备-电池-电池化学品,17
301500.SZ,301500,环保-环境治理-固废治理,33
300719.SZ,300719,国防军工-军工装备-航空装备,33
301276.SZ,301276,纺织服饰-服装家纺-服装,33
688750.SH,688750,有色金属-小金属-其他小金属,17
688114.SH,688114,医药生物-医疗器械-医疗设备,17
688708.SH,688708,国防军工-军工装备-航空装备,17
920169.BJ,920169,机械设备-通用设备-金属制品,151
300686.SZ,300686,电子-消费电子-消费电子零部件及组装,33
300566.SZ,300566,电子-光学光电子-光学元件,33
688388.SH,688388,电力设备-电池-锂电池,17
688148.SH,688148,电力设备-电池-电池化学品,17
688428.SH,688428,医药生物-生物制品-其他生物制品,17
688318.SH,688318,计算机-软件开发-垂直应用软件,17
301217.SZ,301217,电力设备-电池-锂电池,33
302132.SZ,302132,国防军工-军工装备-航空装备,33
688003.SH,688003,机械设备-自动化设备-其他自动化设备,17
301046.SZ,301046,建筑装饰-建筑装饰-基础建设,33
601996.SH,601996,农林牧渔-种植业与林业-林业,17
301321.SZ,301321,电子-光学光电子-面板,33
600162.SH,600162,商贸零售-零售-商业物业经营,17
600067.SH,600067,电力设备-电网设备-线缆部件及其他,17
600906.SH,600906,非银金融-证券-证券Ⅲ,17
000630.SZ,000630,有色金属-工业金属-铜,33
603020.SH,603020,基础化工-化学制品-食品及饲料添加剂,17
002085.SZ,002085,汽车-汽车零部件-轮胎轮毂,33
002345.SZ,002345,纺织服饰-服装家纺-饰品,33
600539.SH,600539,商贸零售-互联网电商-互联网电商Ⅲ,17
603065.SH,603065,基础化工-化学制品-其他化学制品,17
603528.SH,603528,计算机-软件开发-垂直应用软件,17
600862.SH,600862,国防军工-军工装备-航空装备,17
600857.SH,600857,商贸零售-零售-百货零售,17
002742.SZ,002742,医药生物-化学制药-化学制剂,33
001206.SZ,001206,美容护理-美容护理-个护用品,33
002457.SZ,002457,建筑材料-建筑材料-管材,33
000151.SZ,000151,商贸零售-贸易-贸易Ⅲ,33
001696.SZ,001696,机械设备-通用设备-其他通用设备,33
603993.SH,603993,有色金属-工业金属-铜,17
002200.SZ,002200,建筑装饰-建筑装饰-装饰园林,33
000506.SZ,000506,有色金属-贵金属-贵金属Ⅲ,33
000547.SZ,000547,国防军工-军工电子-军工电子Ⅲ,33
002882.SZ,002882,电力设备-电网设备-线缆部件及其他,33
601233.SH,601233,基础化工-化学纤维-涤纶,17
002985.SZ,002985,国防军工-军工装备-航空装备,33
002935.SZ,002935,国防军工-军工电子-军工电子Ⅲ,33
000768.SZ,000768,国防军工-军工装备-航空装备,33
601696.SH,601696,非银金融-证券-证券Ⅲ,17
002971.SZ,002971,基础化工-化学制品-其他化学制品,33
600292.SH,600292,公用事业-电力-水电,17
603180.SH,603180,轻工制造-家居用品-定制家居,17
605298.SH,605298,机械设备-轨交设备-轨交设备Ⅲ,17
603120.SH,603120,基础化工-化学制品-其他化学制品,17
002976.SZ,002976,汽车-汽车零部件-其他汽车零部件,33
002733.SZ,002733,电力设备-电池-其他电池,33
000032.SZ,000032,建筑装饰-建筑装饰-专业工程,33
002812.SZ,002812,电力设备-电池-电池化学品,33
000759.SZ,000759,商贸零售-零售-百货零售,33
603519.SH,603519,家用电器-白色家电-家电零部件,17
002969.SZ,002969,轻工制造-包装印刷-包装,33
601958.SH,601958,有色金属-小金属-钼,17
600531.SH,600531,有色金属-工业金属-铅锌,17
600961.SH,600961,有色金属-工业金属-铅锌,17
000737.SZ,000737,有色金属-工业金属-铜,33
001359.SZ,001359,基础化工-非金属材料-非金属材料Ⅲ,33
002270.SZ,002270,电力设备-电网设备-输变电设备,33
001233.SZ,001233,汽车-汽车零部件-轮胎轮毂,33
605198.SH,605198,食品饮料-饮料制造-软饮料,17
003009.SZ,003009,国防军工-军工装备-航天装备,33
603014.SH,603014,医药生物-医疗器械-医疗耗材,17
002997.SZ,002997,汽车-汽车零部件-其他汽车零部件,33
002190.SZ,002190,汽车-汽车零部件-其他汽车零部件,33
002203.SZ,002203,有色金属-工业金属-铜,33
001378.SZ,001378,基础化工-塑料制品-膜材料,33
000510.SZ,000510,基础化工-化学原料-氯碱,33
001257.SZ,001257,有色金属-小金属-钼,33
603738.SH,603738,电子-元件-被动元件,17
601609.SH,601609,有色金属-工业金属-铜,17
300803.SZ,300803,计算机-软件开发-垂直应用软件,33
600391.SH,600391,国防军工-军工装备-航空装备,17
002597.SZ,002597,基础化工-化学制品-食品及饲料添加剂,33
002215.SZ,002215,农林牧渔-种植业与林业-其他种植业,33
600962.SH,600962,食品饮料-饮料制造-软饮料,17
600500.SH,600500,基础化工-化学制品-其他化学制品,17
603225.SH,603225,基础化工-化学纤维-涤纶,17
600601.SH,600601,电子-元件-印制电路板,17
000969.SZ,000969,有色金属-金属新材料-其他金属新材料,33
000099.SZ,000099,交通运输-机场航运-航空运输,33
001299.SZ,001299,公用事业-燃气-燃气Ⅲ,33
603990.SH,603990,计算机-软件开发-垂直应用软件,17
002927.SZ,002927,电力设备-电网设备-输变电设备,33
001360.SZ,001360,机械设备-专用设备-能源及重型设备,33
002637.SZ,002637,基础化工-化学制品-其他化学制品,33
002830.SZ,002830,建筑装饰-建筑装饰-装饰园林,33
603335.SH,603335,汽车-汽车零部件-轮胎轮毂,17
603036.SH,603036,机械设备-专用设备-能源及重型设备,17
600576.SH,600576,社会服务-旅游及酒店-自然景点,17
603815.SH,603815,建筑装饰-建筑装饰-基础建设,17
001330.SZ,001330,传媒-影视院线-影视院线Ⅲ,33
000758.SZ,000758,有色金属-工业金属-铅锌,33
600497.SH,600497,有色金属-工业金属-铅锌,17
002088.SZ,002088,建筑材料-建筑材料-耐火材料,33
600229.SH,600229,传媒-文化传媒-出版,17
000751.SZ,000751,有色金属-工业金属-铅锌,33
600869.SH,600869,电力设备-电网设备-线缆部件及其他,17
600567.SH,600567,轻工制造-造纸-造纸Ⅲ,17
600711.SH,600711,有色金属-工业金属-铜,17
002552.SZ,002552,电子-元件-印制电路板,33
688237.SH,688237,国防军工-军工装备-航空装备,17
300234.SZ,300234,建筑材料-建筑材料-其他建材,33
600163.SH,600163,公用事业-电力-新能源发电,17
688411.SH,688411,电力设备-其他电源设备-其他电源设备Ⅲ,17
301309.SZ,301309,机械设备-通用设备-金属制品,33
300697.SZ,300697,有色金属-工业金属-铜,33
000809.SZ,000809,电力设备-风电设备-风电零部件,33
688536.SH,688536,电子-半导体-模拟芯片设计,17
301377.SZ,301377,机械设备-通用设备-金属制品,33
920505.BJ,920505,机械设备-通用设备-金属制品,151
301306.SZ,301306,社会服务-其他社会服务-专业服务,33
603629.SH,603629,计算机-IT服务-IT服务Ⅲ,17
688117.SH,688117,医药生物-化学制药-化学制剂,17
688382.SH,688382,医药生物-化学制药-化学制剂,17
000958.SZ,000958,公用事业-电力-新能源发电,33
301067.SZ,301067,电子-消费电子-消费电子零部件及组装,33
300263.SZ,300263,机械设备-通用设备-其他通用设备,33
300084.SZ,300084,机械设备-专用设备-能源及重型设备,33
603976.SH,603976,医药生物-医疗器械-医疗耗材,17
688621.SH,688621,医药生物-医疗服务-医疗研发外包,17
920019.BJ,920019,建筑装饰-建筑装饰-专业工程,151
300784.SZ,300784,电子-消费电子-消费电子零部件及组装,33
688084.SH,688084,国防军工-军工电子-军工电子Ⅲ,17
300614.SZ,300614,环保-环境治理-固废治理,33
300353.SZ,300353,通信-通信设备-其他通信设备,33
301150.SZ,301150,电力设备-电池-锂电池,33
688331.SH,688331,医药生物-生物制品-其他生物制品,17
688377.SH,688377,机械设备-专用设备-能源及重型设备,17
601872.SH,601872,交通运输-港口航运-航运,17
920033.BJ,920033,基础化工-化学制品-其他化学制品,151
601777.SH,601777,汽车-汽车整车-乘用车,17
002611.SZ,002611,机械设备-专用设备-印刷包装机械,33
300420.SZ,300420,机械设备-通用设备-其他通用设备,33
002416.SZ,002416,商贸零售-零售-专业连锁,33
000612.SZ,000612,有色金属-工业金属-铝,33
000960.SZ,000960,有色金属-小金属-其他小金属,33
300416.SZ,300416,社会服务-其他社会服务-专业服务,33
301227.SZ,301227,轻工制造-家居用品-定制家居,33
603608.SH,603608,纺织服饰-服装家纺-鞋帽及其他,17
920171.BJ,920171,计算机-IT服务-IT服务Ⅲ,151
300085.SZ,300085,计算机-软件开发-垂直应用软件,33
603955.SH,603955,建筑装饰-建筑装饰-装饰园林,17
688281.SH,688281,国防军工-军工装备-航空装备,17
301491.SZ,301491,电子-消费电子-消费电子零部件及组装,33
301162.SZ,301162,计算机-软件开发-垂直应用软件,33
600826.SH,600826,社会服务-其他社会服务-专业服务,17
603050.SH,603050,电力设备-电网设备-电气自控设备,17
600301.SH,600301,有色金属-小金属-其他小金属,17
600208.SH,600208,房地产-房地产-住宅开发,17
688020.SH,688020,电子-电子化学品-电子化学品Ⅲ,17
000973.SZ,000973,基础化工-塑料制品-膜材料,33
300438.SZ,300438,电力设备-电池-锂电池,33
688819.SH,688819,电力设备-电池-其他电池,17
001301.SZ,001301,电力设备-电池-电池化学品,33
301526.SZ,301526,建筑材料-建筑材料-玻璃玻纤,33
603269.SH,603269,机械设备-通用设备-其他通用设备,17
688631.SH,688631,计算机-软件开发-垂直应用软件,17
300033.SZ,300033,计算机-软件开发-垂直应用软件,33
600988.SH,600988,有色金属-贵金属-贵金属Ⅲ,17
688330.SH,688330,电力设备-电网设备-电气自控设备,17
002984.SZ,002984,汽车-汽车零部件-轮胎轮毂,33
002192.SZ,002192,有色金属-能源金属-锂,33
000878.SZ,000878,有色金属-工业金属-铜,33
688349.SH,688349,电力设备-风电设备-风电整机,17
688323.SH,688323,基础化工-塑料制品-膜材料,17
603882.SH,603882,医药生物-医疗服务-其他医疗服务,17
300689.SZ,300689,通信-通信设备-通信终端及配件,33
603057.SH,603057,食品饮料-食品加工制造-休闲食品,17
688082.SH,688082,电子-半导体-半导体设备,17
688777.SH,688777,机械设备-自动化设备-工控设备,17
688066.SH,688066,国防军工-军工装备-航天装备,22
688299.SH,688299,电子-光学光电子-面板,17
600362.SH,600362,有色金属-工业金属-铜,17
002741.SZ,002741,电子-电子化学品-电子化学品Ⅲ,33
000893.SZ,000893,基础化工-农化制品-钾肥,33
000738.SZ,000738,国防军工-军工装备-航空装备,33
688363.SH,688363,美容护理-美容护理-医疗美容,17
002043.SZ,002043,建筑材料-建筑材料-其他建材,33
603499.SH,603499,轻工制造-包装印刷-包装,17
600760.SH,600760,国防军工-军工装备-航空装备,17
600346.SH,600346,石油石化-石油加工贸易-石油加工,17
603916.SH,603916,基础化工-化学制品-其他化学制品,17
301292.SZ,301292,电力设备-电池-电池化学品,33
300455.SZ,300455,计算机-计算机设备-其他计算机设备,33
300586.SZ,300586,基础化工-塑料制品-改性塑料,33
301107.SZ,301107,机械设备-通用设备-其他通用设备,33
605580.SH,605580,公用事业-电力-热力,17
002930.SZ,002930,交通运输-物流-物流Ⅲ,33
301588.SZ,301588,基础化工-塑料制品-其他塑料制品,33
301177.SZ,301177,纺织服饰-服装家纺-饰品,33
688231.SH,688231,国防军工-军工装备-航空装备,17
920726.BJ,920726,食品饮料-食品加工制造-调味发酵品,151
002083.SZ,002083,纺织服饰-纺织制造-棉纺,33
603083.SH,603083,通信-通信设备-通信终端及配件,17
688690.SH,688690,医药生物-化学制药-原料药,17
600490.SH,600490,有色金属-工业金属-铜,17
301381.SZ,301381,商贸零售-互联网电商-互联网电商Ⅲ,33
603175.SH,603175,电子-元件-印制电路板,17
300096.SZ,300096,计算机-软件开发-垂直应用软件,33
688249.SH,688249,电子-半导体-集成电路制造,17
600352.SH,600352,基础化工-化学制品-纺织化学用品,17
603733.SH,603733,轻工制造-造纸-造纸Ⅲ,17
300530.SZ,300530,电力设备-电池-锂电池,33
688026.SH,688026,医药生物-医疗器械-医疗耗材,17
