code,market_code,股票代码,所属同花顺行业
301583,33,301583.SZ,电子-半导体-半导体设备
920943,151,920943.BJ,机械设备-通用设备-金属制品
920267,151,920267.BJ,电子-消费电子-消费电子零部件及组装
920081,151,920081.BJ,家用电器-小家电-小家电Ⅲ
300065,33,300065.SZ,国防军工-军工装备-航海装备
688523,17,688523.SH,国防军工-军工装备-航天装备
688710,17,688710.SH,医药生物-医疗服务-医疗研发外包
300255,33,300255.SZ,医药生物-化学制药-化学制剂
301117,33,301117.SZ,计算机-计算机设备-安防设备
300069,33,300069.SZ,电力设备-电网设备-线缆部件及其他
688722,17,688722.SH,基础化工-化学纤维-其他纤维
300786,33,300786.SZ,环保-环保设备-环保设备Ⅲ
300918,33,300918.SZ,纺织服饰-纺织制造-其他纺织
920885,151,920885.BJ,机械设备-自动化设备-工控设备
300071,33,300071.SZ,传媒-文化传媒-广告营销
300105,33,300105.SZ,环保-环保设备-环保设备Ⅲ
301326,33,301326.SZ,电子-消费电子-消费电子零部件及组装
688238,17,688238.SH,医药生物-医疗服务-医疗研发外包
301367,33,301367.SZ,医药生物-医疗器械-医疗设备
688328,17,688328.SH,机械设备-专用设备-其他专用设备
301092,33,301092.SZ,基础化工-塑料制品-合成树脂
920576,151,920576.BJ,有色金属-金属新材料-其他金属新材料
301588,33,301588.SZ,基础化工-塑料制品-其他塑料制品
300487,33,300487.SZ,基础化工-塑料制品-合成树脂
300911,33,300911.SZ,家用电器-厨卫电器-厨卫电器Ⅲ
300933,33,300933.SZ,电力设备-电网设备-线缆部件及其他
688539,17,688539.SH,机械设备-通用设备-仪器仪表
301230,33,301230.SZ,医药生物-医疗服务-医疗研发外包
300129,33,300129.SZ,电力设备-风电设备-风电零部件
688202,17,688202.SH,医药生物-医疗服务-医疗研发外包
920169,151,920169.BJ,机械设备-通用设备-金属制品
688293,17,688293.SH,医药生物-医疗服务-医疗研发外包
300102,33,300102.SZ,电子-光学光电子-LED
301218,33,301218.SZ,计算机-IT服务-IT服务Ⅲ
301005,33,301005.SZ,汽车-汽车零部件-其他汽车零部件
300244,33,300244.SZ,医药生物-医疗服务-其他医疗服务
688319,17,688319.SH,医药生物-生物制品-疫苗
301310,33,301310.SZ,汽车-汽车零部件-汽车电子电气系统
688101,17,688101.SH,环保-环境治理-水务及水治理
688102,17,688102.SH,有色金属-金属新材料-其他金属新材料
688726,17,688726.SH,电力设备-光伏设备-光伏加工设备
920478,151,920478.BJ,医药生物-化学制药-原料药
300680,33,300680.SZ,汽车-汽车零部件-底盘与发动机系统
300528,33,300528.SZ,传媒-影视院线-影视院线Ⅲ
002808,37,002808.SZ,电子-光学光电子-光学元件
300984,33,300984.SZ,机械设备-通用设备-其他通用设备
688511,17,688511.SH,国防军工-军工电子-军工电子Ⅲ
000573,33,000573.SZ,房地产-房地产-住宅开发
920925,151,920925.BJ,医药生物-医疗器械-医疗设备
600664,17,600664.SH,医药生物-化学制药-化学制剂
002121,33,002121.SZ,电力设备-电网设备-电气自控设备
600821,17,600821.SH,公用事业-电力-新能源发电
600192,17,600192.SH,电力设备-电网设备-输变电设备
002115,33,002115.SZ,通信-通信服务-通信工程及服务
601608,17,601608.SH,机械设备-专用设备-能源及重型设备
603578,17,603578.SH,家用电器-白色家电-家电零部件
002828,33,002828.SZ,石油石化-油气开采及服务-油服工程
002606,33,002606.SZ,电力设备-电网设备-线缆部件及其他
002342,33,002342.SZ,机械设备-通用设备-金属制品
600428,17,600428.SH,交通运输-港口航运-航运
002774,33,002774.SZ,机械设备-专用设备-楼宇设备
002623,33,002623.SZ,电力设备-光伏设备-光伏辅材
600410,17,600410.SH,计算机-IT服务-IT服务Ⅲ
002544,33,002544.SZ,通信-通信服务-通信工程及服务
002361,33,002361.SZ,基础化工-塑料制品-合成树脂
