所属同花顺行业,股票代码,market_code,code
电子-半导体-数字芯片设计,920138.BJ,151,920138
机械设备-专用设备-其他专用设备,920856.BJ,151,920856
食品饮料-食品加工制造-预加工食品,920826.BJ,151,920826
电子-半导体-分立器件,688167.SH,17,688167
通信-通信设备-通信线缆及配套,688635.SH,17,688635
计算机-软件开发-横向通用软件,301315.SZ,33,301315
环保-环保设备-环保设备Ⅲ,300862.SZ,33,300862
医药生物-医疗器械-医疗设备,301602.SZ,33,301602
环保-环境治理-综合环境治理,300197.SZ,33,300197
机械设备-通用设备-仪器仪表,301129.SZ,33,301129
基础化工-非金属材料-非金属材料Ⅲ,688300.SH,17,688300
医药生物-医疗器械-医疗设备,300246.SZ,33,300246
计算机-软件开发-垂直应用软件,300935.SZ,33,300935
计算机-IT服务-IT服务Ⅲ,300167.SZ,33,300167
通信-通信设备-通信终端及配件,300615.SZ,33,300615
机械设备-专用设备-印刷包装机械,920553.BJ,151,920553
机械设备-自动化设备-工控设备,688320.SH,17,688320
通信-通信设备-通信线缆及配套,688143.SH,17,688143
电力设备-电机-电机Ⅲ,300626.SZ,33,300626
电子-电子化学品-电子化学品Ⅲ,688371.SH,17,688371
环保-环境治理-水务及水治理,301148.SZ,33,301148
医药生物-生物制品-疫苗,920575.BJ,151,920575
机械设备-通用设备-仪器仪表,688115.SH,17,688115
机械设备-通用设备-其他通用设备,301107.SZ,33,301107
电子-光学光电子-光学元件,300489.SZ,33,300489
通信-通信设备-通信网络设备及器件,688182.SH,17,688182
国防军工-军工装备-航空装备,688685.SH,17,688685
电子-元件-印制电路板,301282.SZ,33,301282
通信-通信设备-通信网络设备及器件,301486.SZ,33,301486
社会服务-其他社会服务-专业服务,300795.SZ,33,300795
电力设备-电池-锂电专用设备,688392.SH,17,688392
房地产-房地产-住宅开发,002146.SZ,33,002146
综合-综合-综合Ⅲ,600881.SH,17,600881
环保-环境治理-水务及水治理,002573.SZ,33,002573
食品饮料-食品加工制造-其他食品,920273.BJ,151,920273
建筑装饰-建筑装饰-装饰园林,002047.SZ,33,002047
房地产-房地产-产业地产,600604.SH,17,600604
家用电器-小家电-小家电Ⅲ,002005.SZ,33,002005
电力设备-电网设备-线缆部件及其他,000720.SZ,33,000720
建筑装饰-建筑装饰-装饰园林,002081.SZ,33,002081
交通运输-物流-物流Ⅲ,002682.SZ,33,002682
传媒-影视院线-影视院线Ⅲ,000802.SZ,33,000802
房地产-房地产-住宅开发,600266.SH,17,600266
房地产-房地产-住宅开发,002244.SZ,33,002244
农林牧渔-农产品加工-水产饲料,001313.SZ,33,001313
医药生物-医疗服务-医疗研发外包,600721.SH,17,600721
电力设备-电网设备-输变电设备,600379.SH,17,600379
房地产-房地产-商业地产,601155.SH,17,601155
机械设备-通用设备-机床工具,002248.SZ,33,002248
机械设备-通用设备-其他通用设备,603269.SH,17,603269
计算机-软件开发-横向通用软件,603232.SH,17,603232
商贸零售-零售-商业物业经营,600162.SH,17,600162
交通运输-公路铁路运输-公交,002357.SZ,33,002357
基础化工-化学制品-食品及饲料添加剂,002562.SZ,33,002562
机械设备-专用设备-其他专用设备,603076.SH,17,603076
机械设备-通用设备-制冷空调设备,603277.SH,17,603277
建筑装饰-建筑装饰-装饰园林,600234.SH,17,600234
房地产-房地产-住宅开发,600683.SH,17,600683
机械设备-通用设备-机床工具,002520.SZ,33,002520
汽车-汽车零部件-底盘与发动机系统,603758.SH,17,603758
公用事业-燃气-燃气Ⅲ,000593.SZ,33,000593
机械设备-专用设备-其他专用设备,603289.SH,17,603289
汽车-汽车零部件-车身附件及饰件,001260.SZ,33,001260
通信-通信设备-通信线缆及配套,600105.SH,17,600105
机械设备-专用设备-楼宇设备,605286.SH,17,605286
汽车-汽车零部件-其他汽车零部件,000887.SZ,33,000887
电子-消费电子-消费电子零部件及组装,603052.SH,17,603052
电子-半导体-半导体材料,600641.SH,17,600641
汽车-汽车零部件-汽车电子电气系统,002870.SZ,33,002870
建筑装饰-建筑装饰-装饰园林,605289.SH,17,605289
电子-元件-印制电路板,603228.SH,17,603228
有色金属-工业金属-铝,002379.SZ,33,002379
房地产-房地产-房地产服务,000736.SZ,33,000736
医药生物-医药商业-医药流通,600272.SH,17,600272
电力设备-电网设备-输变电设备,603191.SH,17,603191
机械设备-通用设备-金属制品,002164.SZ,33,002164
医药生物-化学制药-原料药,603538.SH,17,603538
电力设备-电网设备-线缆部件及其他,601700.SH,17,601700
电子-元件-印制电路板,002552.SZ,33,002552
计算机-软件开发-垂直应用软件,600602.SH,17,600602
轻工制造-家居用品-其他家居用品,603615.SH,17,603615
食品饮料-食品加工制造-调味发酵品,603696.SH,17,603696
食品饮料-食品加工制造-其他食品,603102.SH,17,603102
电子-半导体-半导体设备,603690.SH,17,603690
食品饮料-白酒-白酒Ⅲ,603369.SH,17,603369
食品饮料-饮料制造-乳品,605179.SH,17,605179
通信-通信设备-通信网络设备及器件,002792.SZ,33,002792
机械设备-通用设备-其他通用设备,001696.SZ,33,001696
电力设备-电网设备-线缆部件及其他,603897.SH,17,603897
医药生物-化学制药-原料药,600216.SH,17,600216
电力设备-光伏设备-光伏加工设备,603396.SH,17,603396
通信-通信设备-通信线缆及配套,002491.SZ,33,002491
农林牧渔-养殖业-生猪养殖,000048.SZ,33,000048
通信-通信服务-通信应用增值服务,603887.SH,17,603887
商贸零售-零售-百货零售,600857.SH,17,600857
机械设备-专用设备-能源及重型设备,600397.SH,17,600397
医药生物-化学制药-化学制剂,002437.SZ,33,002437
医药生物-医疗服务-医院,002172.SZ,33,002172
机械设备-专用设备-纺织服装设备,603095.SH,17,603095
建筑装饰-建筑装饰-装饰园林,601886.SH,17,601886
电力设备-光伏设备-光伏电池组件,300051.SZ,33,300051
计算机-IT服务-IT服务Ⅲ,002229.SZ,33,002229
社会服务-教育-教育Ⅲ,003032.SZ,33,003032
