code,market_code,股票代码,所属同花顺行业
920125,151,920125.BJ,机械设备-自动化设备-其他自动化设备
300196,33,300196.SZ,建筑材料-建筑材料-玻璃玻纤
688001,17,688001.SH,机械设备-专用设备-其他专用设备
688110,17,688110.SH,电子-半导体-数字芯片设计
300835,33,300835.SZ,有色金属-金属新材料-磁性材料
688362,17,688362.SH,电子-半导体-集成电路封测
300868,33,300868.SZ,电子-消费电子-消费电子零部件及组装
688347,17,688347.SH,电子-半导体-集成电路制造
300275,33,300275.SZ,机械设备-专用设备-能源及重型设备
300975,33,300975.SZ,电子-其他电子-其他电子Ⅲ
300779,33,300779.SZ,环保-环境治理-固废治理
300939,33,300939.SZ,电子-光学光电子-面板
300626,33,300626.SZ,电力设备-电机-电机Ⅲ
688981,17,688981.SH,电子-半导体-集成电路制造
300735,33,300735.SZ,电子-消费电子-消费电子零部件及组装
688082,17,688082.SH,电子-半导体-半导体设备
300593,33,300593.SZ,电力设备-其他电源设备-其他电源设备Ⅲ
688072,17,688072.SH,电子-半导体-半导体设备
301563,33,301563.SZ,电子-其他电子-其他电子Ⅲ
688261,17,688261.SH,电子-半导体-分立器件
688352,17,688352.SH,电子-半导体-集成电路封测
300602,33,300602.SZ,电子-消费电子-消费电子零部件及组装
301269,33,301269.SZ,计算机-软件开发-垂直应用软件
300567,33,300567.SZ,机械设备-通用设备-仪器仪表
301071,33,301071.SZ,基础化工-非金属材料-非金属材料Ⅲ
688122,17,688122.SH,国防军工-军工装备-航空装备
300179,33,300179.SZ,机械设备-通用设备-磨具磨料
688170,17,688170.SH,机械设备-自动化设备-激光设备
688507,17,688507.SH,计算机-软件开发-垂直应用软件
920045,151,920045.BJ,通信-通信设备-通信网络设备及器件
300576,33,300576.SZ,电子-电子化学品-电子化学品Ⅲ
688820,17,688820.SH,电子-半导体-集成电路封测
688662,17,688662.SH,电子-其他电子-其他电子Ⅲ
920932,151,920932.BJ,计算机-软件开发-垂直应用软件
688358,17,688358.SH,医药生物-医疗器械-医疗设备
688368,17,688368.SH,电子-半导体-模拟芯片设计
300041,33,300041.SZ,基础化工-化学制品-有机硅
300757,33,300757.SZ,机械设备-自动化设备-其他自动化设备
688206,17,688206.SH,计算机-软件开发-垂直应用软件
301486,33,301486.SZ,通信-通信设备-通信网络设备及器件
300814,33,300814.SZ,电子-元件-印制电路板
688720,17,688720.SH,电子-半导体-半导体材料
688401,17,688401.SH,电子-半导体-半导体材料
