所属同花顺行业,market_code,股票代码,code
机械设备-通用设备-金属制品,151,920510.BJ,920510
机械设备-自动化设备-机器人,151,920211.BJ,920211
电力设备-电池-电池化学品,151,920193.BJ,920193
机械设备-工程机械-工程机械Ⅲ,151,920002.BJ,920002
机械设备-自动化设备-其他自动化设备,151,920096.BJ,920096
机械设备-自动化设备-机器人,33,301199.SZ,301199
汽车-汽车零部件-底盘与发动机系统,33,300580.SZ,300580
机械设备-通用设备-金属制品,33,300985.SZ,300985
环保-环境治理-固废治理,33,300779.SZ,300779
汽车-汽车零部件-汽车电子电气系统,33,301499.SZ,301499
汽车-汽车零部件-其他汽车零部件,33,300912.SZ,300912
电子-光学光电子-面板,33,301379.SZ,301379
机械设备-通用设备-金属制品,33,300718.SZ,300718
机械设备-通用设备-其他通用设备,33,301596.SZ,301596
国防军工-军工电子-军工电子Ⅲ,17,688311.SH,688311
电力设备-电网设备-电气自控设备,33,300018.SZ,300018
电力设备-风电设备-风电零部件,33,300129.SZ,300129
机械设备-自动化设备-机器人,17,688017.SH,688017
电子-消费电子-消费电子零部件及组装,33,301051.SZ,301051
机械设备-通用设备-其他通用设备,33,300503.SZ,300503
机械设备-通用设备-金属制品,33,300817.SZ,300817
国防军工-军工装备-航天装备,17,688523.SH,688523
家用电器-白色家电-家电零部件,33,300403.SZ,300403
轻工制造-家居用品-其他家居用品,33,300163.SZ,300163
汽车-汽车零部件-底盘与发动机系统,33,301225.SZ,301225
国防军工-军工装备-航空装备,33,300777.SZ,300777
电力设备-电机-电机Ⅲ,33,300660.SZ,300660
机械设备-通用设备-金属制品,33,301368.SZ,301368
国防军工-军工电子-军工电子Ⅲ,17,688636.SH,688636
计算机-软件开发-垂直应用软件,151,920932.BJ,920932
机械设备-专用设备-其他专用设备,33,300549.SZ,300549
医药生物-医疗器械-医疗设备,17,688114.SH,688114
电子-半导体-模拟芯片设计,22,688270.SH,688270
机械设备-自动化设备-机器人,33,300607.SZ,300607
电子-光学光电子-光学元件,17,688322.SH,688322
农林牧渔-养殖业-动物保健,17,688098.SH,688098
医药生物-医疗服务-医疗研发外包,33,301520.SZ,301520
机械设备-自动化设备-机器人,151,920578.BJ,920578
汽车-汽车零部件-轮胎轮毂,33,300695.SZ,300695
有色金属-贵金属-贵金属Ⅲ,33,300139.SZ,300139
汽车-汽车零部件-车身附件及饰件,151,920187.BJ,920187
纺织服饰-服装家纺-鞋帽及其他,33,300952.SZ,300952
电力设备-电机-电机Ⅲ,151,920100.BJ,920100
汽车-汽车零部件-其他汽车零部件,33,301005.SZ,301005
机械设备-通用设备-机床工具,33,300809.SZ,300809
机械设备-自动化设备-机器人,151,920593.BJ,920593
电力设备-风电设备-风电零部件,33,301232.SZ,301232
医药生物-医疗器械-体外诊断,17,688068.SH,688068
机械设备-通用设备-仪器仪表,33,301413.SZ,301413
电子-消费电子-消费电子零部件及组装,17,688661.SH,688661
汽车-汽车零部件-汽车电子电气系统,33,300745.SZ,300745
通信-通信设备-通信网络设备及器件,33,301165.SZ,301165
机械设备-自动化设备-工控设备,17,688698.SH,688698
医药生物-化学制药-化学制剂,17,688192.SH,688192
汽车-汽车零部件-车身附件及饰件,33,301529.SZ,301529
汽车-汽车零部件-其他汽车零部件,33,300969.SZ,300969
电力设备-电机-电机Ⅲ,151,920011.BJ,920011
通信-通信设备-通信网络设备及器件,17,688387.SH,688387
电子-消费电子-消费电子零部件及组装,33,300115.SZ,300115
机械设备-专用设备-其他专用设备,33,300415.SZ,300415
医药生物-中药-中药Ⅲ,33,300878.SZ,300878
电子-半导体-数字芯片设计,33,300223.SZ,300223
机械设备-通用设备-机床工具,33,301603.SZ,301603
汽车-汽车零部件-轮胎轮毂,33,301539.SZ,301539
基础化工-塑料制品-合成树脂,33,300487.SZ,300487
基础化工-塑料制品-其他塑料制品,33,301588.SZ,301588
机械设备-自动化设备-其他自动化设备,17,688310.SH,688310
基础化工-塑料制品-合成树脂,17,688716.SH,688716
房地产-房地产-住宅开发,33,000656.SZ,000656
房地产-房地产-住宅开发,17,600376.SH,600376
医药生物-化学制药-化学制剂,33,000908.SZ,000908
家用电器-厨卫电器-厨卫电器Ⅲ,33,002677.SZ,002677
通信-通信服务-通信应用增值服务,33,002148.SZ,002148
汽车-汽车零部件-底盘与发动机系统,33,002434.SZ,002434
电子-元件-印制电路板,33,002141.SZ,002141
电子-消费电子-消费电子零部件及组装,17,603327.SH,603327
农林牧渔-养殖业-生猪养殖,17,603717.SH,603717
公用事业-电力-新能源发电,33,000595.SZ,000595
公用事业-燃气-燃气Ⅲ,33,002700.SZ,002700
商贸零售-贸易-贸易Ⅲ,33,002072.SZ,002072
电力设备-电机-电机Ⅲ,33,002249.SZ,002249
石油石化-石油加工贸易-石油加工,33,002377.SZ,002377
食品饮料-食品加工制造-其他食品,17,600530.SH,600530
汽车-汽车零部件-底盘与发动机系统,17,603178.SH,603178
轻工制造-造纸-造纸Ⅲ,17,600793.SH,600793
机械设备-通用设备-金属制品,17,600592.SH,600592
建筑装饰-建筑装饰-装饰园林,17,603137.SH,603137
汽车-汽车零部件-底盘与发动机系统,17,603013.SH,603013
轻工制造-造纸-造纸Ⅲ,17,603165.SH,603165
传媒-文化传媒-数字媒体,17,603466.SH,603466
基础化工-塑料制品-改性塑料,17,600143.SH,600143
建筑材料-建筑材料-水泥,17,600801.SH,600801
有色金属-贵金属-贵金属Ⅲ,17,601069.SH,601069
机械设备-通用设备-金属制品,17,603915.SH,603915
汽车-汽车零部件-车身附件及饰件,17,605068.SH,605068
汽车-汽车零部件-汽车电子电气系统,33,002664.SZ,002664
电力设备-电机-电机Ⅲ,17,600580.SH,600580
通信-通信设备-通信网络设备及器件,33,002396.SZ,002396
汽车-汽车零部件-底盘与发动机系统,33,002765.SZ,002765
家用电器-白色家电-家电零部件,33,003028.SZ,003028
有色金属-贵金属-贵金属Ⅲ,33,001337.SZ,001337
汽车-汽车零部件-其他汽车零部件,17,603211.SH,603211
汽车-汽车零部件-底盘与发动机系统,17,601689.SH,601689
汽车-汽车零部件-底盘与发动机系统,33,002715.SZ,002715
纺织服饰-纺织制造-印染,17,605189.SH,605189
纺织服饰-服装家纺-鞋帽及其他,33,300577.SZ,300577
电力设备-光伏设备-光伏辅材,33,002623.SZ,002623
机械设备-工程机械-工程机械Ⅲ,17,603338.SH,603338
国防军工-军工电子-军工电子Ⅲ,17,600990.SH,600990
农林牧渔-养殖业-动物保健,33,002868.SZ,002868
汽车-汽车零部件-底盘与发动机系统,17,603286.SH,603286
基础化工-塑料制品-其他塑料制品,17,603580.SH,603580
有色金属-贵金属-贵金属Ⅲ,17,600988.SH,600988
国防军工-军工装备-航空装备,17,600391.SH,600391
国防军工-军工电子-军工电子Ⅲ,33,001270.SZ,001270
机械设备-专用设备-能源及重型设备,33,002353.SZ,002353
汽车-汽车零部件-底盘与发动机系统,17,600841.SH,600841
机械设备-通用设备-仪器仪表,33,002767.SZ,002767
国防军工-军工装备-地面兵装,33,000576.SZ,000576
机械设备-工程机械-工程机械Ⅲ,17,601100.SH,601100
环保-环境治理-水务及水治理,17,600769.SH,600769
机械设备-自动化设备-机器人,33,002747.SZ,002747
机械设备-工程机械-工程机械Ⅲ,17,605305.SH,605305
电力设备-电池-锂电池,33,002850.SZ,002850
轻工制造-家居用品-瓷砖地板,33,003011.SZ,003011
家用电器-黑色家电-其他黑色家电,33,301578.SZ,301578
机械设备-专用设备-其他专用设备,33,001400.SZ,001400
汽车-汽车零部件-底盘与发动机系统,17,605255.SH,605255
交通运输-物流-物流Ⅲ,17,603713.SH,603713
电力设备-电机-电机Ⅲ,33,003021.SZ,003021
电子-光学光电子-LED,17,603303.SH,603303
机械设备-自动化设备-机器人,33,002979.SZ,002979
机械设备-通用设备-金属制品,33,002896.SZ,002896
电力设备-电网设备-输变电设备,33,002270.SZ,002270
家用电器-白色家电-家电零部件,33,001268.SZ,001268
交通运输-物流-物流Ⅲ,33,001317.SZ,001317
机械设备-通用设备-金属制品,33,001306.SZ,001306
机械设备-通用设备-金属制品,17,601177.SH,601177
计算机-IT服务-IT服务Ⅲ,33,002771.SZ,002771
有色金属-贵金属-贵金属Ⅲ,33,000506.SZ,000506
汽车-汽车零部件-底盘与发动机系统,33,002536.SZ,002536
机械设备-通用设备-金属制品,17,603278.SH,603278
公用事业-电力-热力,17,605028.SH,605028
家用电器-白色家电-家电零部件,17,603726.SH,603726
汽车-汽车零部件-底盘与发动机系统,33,002472.SZ,002472
基础化工-化学制品-其他化学制品,17,603051.SH,603051
电子-消费电子-消费电子零部件及组装,33,002981.SZ,002981
汽车-汽车零部件-底盘与发动机系统,33,002283.SZ,002283
医药生物-化学制药-化学制剂,33,002294.SZ,002294
通信-通信服务-通信工程及服务,17,603559.SH,603559
有色金属-工业金属-铝,33,002988.SZ,002988
汽车-汽车零部件-底盘与发动机系统,17,603596.SH,603596
汽车-汽车零部件-车身附件及饰件,17,603730.SH,603730
电子-消费电子-消费电子零部件及组装,33,002635.SZ,002635
有色金属-贵金属-贵金属Ⅲ,33,000975.SZ,000975
电力设备-电网设备-电气自控设备,33,002090.SZ,002090
机械设备-专用设备-能源及重型设备,17,603012.SH,603012
机械设备-通用设备-机床工具,33,002520.SZ,002520
石油石化-石油加工贸易-石油加工,17,603798.SH,603798
电力设备-电网设备-线缆部件及其他,33,002471.SZ,002471
传媒-影视院线-影视院线Ⅲ,33,002292.SZ,002292
轻工制造-造纸-造纸Ⅲ,33,002067.SZ,002067
汽车-汽车零部件-底盘与发动机系统,33,300680.SZ,300680
机械设备-自动化设备-机器人,17,688165.SH,688165
机械设备-通用设备-金属制品,33,300946.SZ,300946
基础化工-农化制品-农药,33,002496.SZ,002496
国防军工-军工电子-军工电子Ⅲ,17,688375.SH,688375
计算机-软件开发-横向通用软件,37,000004.SZ,000004
环保-环境治理-水务及水治理,33,300929.SZ,300929
汽车-汽车零部件-其他汽车零部件,33,300926.SZ,300926
医药生物-生物制品-疫苗,17,688319.SH,688319
轻工制造-家居用品-瓷砖地板,17,603725.SH,603725
汽车-汽车零部件-底盘与发动机系统,151,920418.BJ,920418
机械设备-通用设备-制冷空调设备,33,301018.SZ,301018
计算机-IT服务-IT服务Ⅲ,33,301316.SZ,301316
机械设备-通用设备-仪器仪表,33,300007.SZ,300007
医药生物-医疗器械-体外诊断,17,688767.SH,688767
机械设备-通用设备-金属制品,33,301261.SZ,301261
家用电器-白色家电-家电零部件,33,002050.SZ,002050
机械设备-自动化设备-其他自动化设备,17,688400.SH,688400
机械设备-自动化设备-机器人,17,688255.SH,688255
机械设备-自动化设备-机器人,33,300853.SZ,300853
医药生物-化学制药-化学制剂,17,688513.SH,688513
国防军工-军工电子-军工电子Ⅲ,17,688011.SH,688011
汽车-汽车零部件-车身附件及饰件,33,002048.SZ,002048
汽车-汽车零部件-底盘与发动机系统,33,301007.SZ,301007
汽车-汽车零部件-车身附件及饰件,151,920533.BJ,920533
电力设备-电池-锂电专用设备,151,920522.BJ,920522
电子-元件-印制电路板,17,603228.SH,603228
电子-半导体-数字芯片设计,33,001309.SZ,001309
汽车-汽车零部件-轮胎轮毂,33,300428.SZ,300428
国防军工-军工装备-航空装备,151,920642.BJ,920642
汽车-汽车零部件-底盘与发动机系统,33,301119.SZ,301119
纺织服饰-服装家纺-服装,17,603518.SH,603518
国防军工-军工装备-航空装备,33,300900.SZ,300900
有色金属-金属新材料-磁性材料,17,688077.SH,688077
机械设备-通用设备-金属制品,17,603667.SH,603667
医药生物-化学制药-化学制剂,33,300558.SZ,300558
电子-消费电子-消费电子零部件及组装,33,300543.SZ,300543
机械设备-专用设备-能源及重型设备,33,300865.SZ,300865
家用电器-白色家电-家电零部件,33,300342.SZ,300342
农林牧渔-种植业与林业-其他种植业,33,002772.SZ,002772
机械设备-通用设备-金属制品,33,300421.SZ,300421
机械设备-自动化设备-其他自动化设备,17,605186.SH,605186
电力设备-电池-锂电池,17,600110.SH,600110
机械设备-自动化设备-机器人,151,920579.BJ,920579
机械设备-通用设备-仪器仪表,17,603662.SH,603662
机械设备-自动化设备-其他自动化设备,33,301360.SZ,301360
电力设备-风电设备-风电零部件,33,300690.SZ,300690
医药生物-中药-中药Ⅲ,17,600222.SH,600222
机械设备-自动化设备-工控设备,33,300484.SZ,300484
机械设备-通用设备-金属制品,33,301255.SZ,301255
有色金属-金属新材料-其他金属新材料,33,300855.SZ,300855
医药生物-医疗服务-医疗研发外包,33,002821.SZ,002821
医药生物-医疗器械-医疗设备,33,301367.SZ,301367
电力设备-电网设备-电气自控设备,17,688611.SH,688611
电子-半导体-模拟芯片设计,17,688141.SH,688141
机械设备-通用设备-仪器仪表,151,920491.BJ,920491
电力设备-电池-锂电池,33,300953.SZ,300953
汽车-汽车零部件-底盘与发动机系统,33,001380.SZ,001380
机械设备-通用设备-其他通用设备,33,301032.SZ,301032
电力设备-电机-电机Ⅲ,33,301023.SZ,301023
医药生物-化学制药-原料药,33,300199.SZ,300199
国防军工-军工装备-航海装备,17,600150.SH,600150
环保-环境治理-水务及水治理,17,603903.SH,603903
汽车-汽车零部件-其他汽车零部件,33,301000.SZ,301000
电力设备-电机-电机Ⅲ,33,002576.SZ,002576
电力设备-光伏设备-光伏电池组件,33,300716.SZ,300716
国防军工-军工装备-航空装备,33,300696.SZ,300696
医药生物-化学制药-原料药,33,300966.SZ,300966
机械设备-自动化设备-工控设备,151,920425.BJ,920425
轻工制造-造纸-造纸Ⅲ,33,002235.SZ,002235
基础化工-塑料制品-改性塑料,151,920089.BJ,920089
电力设备-光伏设备-光伏辅材,22,688033.SH,688033
汽车-汽车零部件-底盘与发动机系统,33,000559.SZ,000559
国防军工-军工装备-航空装备,17,688231.SH,688231
机械设备-专用设备-其他专用设备,33,300836.SZ,300836
汽车-汽车零部件-其他汽车零部件,17,603119.SH,603119
电子-消费电子-品牌消费电子,33,002841.SZ,002841
有色金属-贵金属-贵金属Ⅲ,17,600547.SH,600547
电力设备-电网设备-输变电设备,33,002028.SZ,002028
机械设备-自动化设备-机器人,33,300276.SZ,300276
机械设备-工程机械-工程机械Ⅲ,17,603638.SH,603638
家用电器-白色家电-家电零部件,33,002860.SZ,002860
纺织服饰-纺织制造-其他纺织,33,300918.SZ,300918
汽车-汽车零部件-底盘与发动机系统,17,603809.SH,603809
机械设备-自动化设备-其他自动化设备,17,688306.SH,688306
机械设备-专用设备-其他专用设备,151,920091.BJ,920091
电力设备-其他电源设备-其他电源设备Ⅲ,33,002534.SZ,002534
汽车-汽车零部件-底盘与发动机系统,151,920220.BJ,920220
机械设备-通用设备-仪器仪表,151,920961.BJ,920961
汽车-汽车零部件-车身附件及饰件,33,300100.SZ,300100
汽车-汽车零部件-汽车电子电气系统,151,920978.BJ,920978
轻工制造-家居用品-定制家居,33,301227.SZ,301227
国防军工-军工装备-航天装备,17,688818.SH,688818
基础化工-农化制品-钾肥,33,000893.SZ,000893
