market_code,股票代码,所属同花顺行业,code
17,688206.SH,计算机-软件开发-垂直应用软件,688206
33,301317.SZ,机械设备-通用设备-其他通用设备,301317
17,688039.SH,计算机-IT服务-IT服务Ⅲ,688039
33,301191.SZ,通信-通信设备-通信终端及配件,301191
33,300684.SZ,电子-电子化学品-电子化学品Ⅲ,300684
22,688496.SH,电子-光学光电子-面板,688496
33,300716.SZ,电力设备-光伏设备-光伏电池组件,300716
17,688689.SH,电子-半导体-分立器件,688689
17,688103.SH,电子-其他电子-其他电子Ⅲ,688103
151,920699.BJ,家用电器-白色家电-家电零部件,920699
17,688197.SH,医药生物-化学制药-化学制剂,688197
33,301269.SZ,计算机-软件开发-垂直应用软件,301269
151,920211.BJ,机械设备-自动化设备-机器人,920211
151,920344.BJ,医药生物-生物制品-其他生物制品,920344
33,300821.SZ,基础化工-化学制品-有机硅,300821
33,301201.SZ,医药生物-医疗服务-医疗研发外包,301201
151,920230.BJ,医药生物-化学制药-原料药,920230
17,688767.SH,医药生物-医疗器械-体外诊断,688767
17,688629.SH,国防军工-军工电子-军工电子Ⅲ,688629
33,301345.SZ,汽车-汽车服务及其他-其他运输设备,301345
17,688372.SH,电子-半导体-集成电路封测,688372
17,688175.SH,国防军工-军工电子-军工电子Ⅲ,688175
17,688071.SH,机械设备-专用设备-其他专用设备,688071
33,301296.SZ,轻工制造-包装印刷-包装,301296
151,920161.BJ,电子-电子化学品-电子化学品Ⅲ,920161
151,920725.BJ,机械设备-通用设备-磨具磨料,920725
33,301108.SZ,美容护理-美容护理-个护用品,301108
33,301379.SZ,电子-光学光电子-面板,301379
33,301308.SZ,电子-半导体-数字芯片设计,301308
17,688702.SH,电子-半导体-数字芯片设计,688702
33,300338.SZ,社会服务-教育-教育Ⅲ,300338
33,000545.SZ,基础化工-化学原料-钛白粉,000545
33,300499.SZ,机械设备-专用设备-其他专用设备,300499
33,002329.SZ,食品饮料-饮料制造-乳品,002329
17,603815.SH,建筑装饰-建筑装饰-基础建设,603815
33,301139.SZ,通信-通信服务-通信工程及服务,301139
17,600215.SH,机械设备-自动化设备-机器人,600215
22,603789.SH,机械设备-专用设备-农用机械,603789
33,000078.SZ,医药生物-医药商业-医药流通,000078
33,000301.SZ,石油石化-石油加工贸易-石油加工,000301
17,600288.SH,计算机-软件开发-横向通用软件,600288
17,603020.SH,基础化工-化学制品-食品及饲料添加剂,603020
17,603903.SH,环保-环境治理-水务及水治理,603903
17,600470.SH,基础化工-农化制品-磷肥及磷化工,600470
17,603819.SH,电力设备-电机-电机Ⅲ,603819
17,603861.SH,电力设备-电网设备-输变电设备,603861
33,002860.SZ,家用电器-白色家电-家电零部件,002860
33,002919.SZ,传媒-游戏-游戏Ⅲ,002919
17,600172.SH,机械设备-通用设备-磨具磨料,600172
33,002815.SZ,电子-元件-印制电路板,002815
17,600246.SH,房地产-房地产-住宅开发,600246
17,603201.SH,机械设备-通用设备-其他通用设备,603201
33,002989.SZ,建筑装饰-建筑装饰-装饰园林,002989
33,002457.SZ,建筑材料-建筑材料-管材,002457
17,603155.SH,基础化工-化学制品-有机硅,603155
33,002774.SZ,机械设备-专用设备-楼宇设备,002774
33,000938.SZ,计算机-IT服务-IT服务Ⅲ,000938
17,603800.SH,机械设备-专用设备-其他专用设备,603800
17,603375.SH,电子-半导体-模拟芯片设计,603375
17,605060.SH,机械设备-通用设备-其他通用设备,605060
17,603087.SH,医药生物-生物制品-其他生物制品,603087
17,603757.SH,机械设备-通用设备-其他通用设备,603757
22,600180.SH,交通运输-物流-物流Ⅲ,600180
17,603118.SH,通信-通信设备-通信终端及配件,603118
17,603722.SH,基础化工-化学制品-其他化学制品,603722
33,002396.SZ,通信-通信设备-通信网络设备及器件,002396
17,603067.SH,基础化工-化学原料-无机盐,603067
33,002607.SZ,社会服务-教育-教育Ⅲ,002607
17,603268.SH,国防军工-军工装备-航海装备,603268
17,605196.SH,电力设备-电网设备-线缆部件及其他,605196
33,000656.SZ,房地产-房地产-住宅开发,000656
17,601101.SH,煤炭-煤炭开采加工-煤炭开采,601101
33,002025.SZ,国防军工-军工电子-军工电子Ⅲ,002025
17,603931.SH,电子-电子化学品-电子化学品Ⅲ,603931
33,001287.SZ,电子-其他电子-其他电子Ⅲ,001287
17,603090.SH,机械设备-通用设备-其他通用设备,603090
33,000066.SZ,计算机-计算机设备-其他计算机设备,000066
17,600793.SH,轻工制造-造纸-造纸Ⅲ,600793
17,603477.SH,农林牧渔-养殖业-生猪养殖,603477
33,000593.SZ,公用事业-燃气-燃气Ⅲ,000593
33,002910.SZ,食品饮料-饮料制造-乳品,002910
33,002403.SZ,家用电器-小家电-小家电Ⅲ,002403
17,603221.SH,轻工制造-家居用品-瓷砖地板,603221
17,603211.SH,汽车-汽车零部件-其他汽车零部件,603211
17,603137.SH,建筑装饰-建筑装饰-装饰园林,603137
17,600791.SH,房地产-房地产-住宅开发,600791
17,603823.SH,基础化工-化学制品-涂料油墨,603823
33,002828.SZ,石油石化-油气开采及服务-油服工程,002828
33,002245.SZ,电力设备-电池-锂电池,002245
33,002767.SZ,机械设备-通用设备-仪器仪表,002767
17,605377.SH,轻工制造-造纸-造纸Ⅲ,605377
33,002793.SZ,医药生物-化学制药-化学制剂,002793
17,603269.SH,机械设备-通用设备-其他通用设备,603269
33,002042.SZ,纺织服饰-纺织制造-棉纺,002042
33,002175.SZ,机械设备-通用设备-仪器仪表,002175
17,601368.SH,环保-环境治理-水务及水治理,601368
33,000892.SZ,传媒-影视院线-影视院线Ⅲ,000892
17,600241.SH,电力设备-电池-锂电池,600241
33,002141.SZ,电子-元件-印制电路板,002141
22,600759.SH,石油石化-油气开采及服务-油气开采,600759
151,920526.BJ,电子-半导体-半导体材料,920526
17,688068.SH,医药生物-医疗器械-体外诊断,688068
33,301398.SZ,汽车-汽车零部件-车身附件及饰件,301398
33,002726.SZ,食品饮料-食品加工制造-肉制品,002726
33,300929.SZ,环保-环境治理-水务及水治理,300929
33,300677.SZ,医药生物-医疗器械-医疗耗材,300677
17,688699.SH,电子-半导体-模拟芯片设计,688699
17,688488.SH,医药生物-生物制品-其他生物制品,688488
17,688238.SH,医药生物-医疗服务-医疗研发外包,688238
17,600521.SH,医药生物-化学制药-化学制剂,600521
17,688156.SH,农林牧渔-农产品加工-畜禽饲料,688156
33,000601.SZ,公用事业-电力-水电,000601
17,601918.SH,煤炭-煤炭开采加工-煤炭开采,601918
33,300943.SZ,机械设备-通用设备-金属制品,300943
151,920367.BJ,医药生物-化学制药-原料药,920367
17,688820.SH,电子-半导体-集成电路封测,688820
33,300600.SZ,国防军工-军工装备-航海装备,300600
17,688799.SH,医药生物-化学制药-化学制剂,688799
17,688347.SH,电子-半导体-集成电路制造,688347
33,300145.SZ,机械设备-通用设备-其他通用设备,300145
17,688176.SH,医药生物-化学制药-化学制剂,688176
33,300671.SZ,电子-半导体-模拟芯片设计,300671
151,920662.BJ,机械设备-通用设备-其他通用设备,920662
17,688380.SH,电子-半导体-数字芯片设计,688380
33,301595.SZ,轻工制造-家居用品-其他家居用品,301595
17,688091.SH,医药生物-化学制药-化学制剂,688091
17,688172.SH,电子-半导体-分立器件,688172
17,688733.SH,电力设备-电池-电池化学品,688733
22,600084.SH,食品饮料-饮料制造-其他酒类,600084
33,300833.SZ,机械设备-专用设备-其他专用设备,300833
33,301516.SZ,电力设备-其他电源设备-其他电源设备Ⅲ,301516
33,002217.SZ,电子-光学光电子-面板,002217
17,688141.SH,电子-半导体-模拟芯片设计,688141
17,603928.SH,基础化工-塑料制品-合成树脂,603928
17,603032.SH,电力设备-电池-锂电专用设备,603032
22,601718.SH,纺织服饰-服装家纺-服装,601718
151,920198.BJ,计算机-计算机设备-安防设备,920198
151,920478.BJ,医药生物-化学制药-原料药,920478
33,300536.SZ,计算机-IT服务-IT服务Ⅲ,300536
151,920199.BJ,家用电器-小家电-小家电Ⅲ,920199
33,000826.SZ,环保-环境治理-综合环境治理,000826
17,688231.SH,国防军工-军工装备-航空装备,688231
17,601177.SH,机械设备-通用设备-金属制品,601177
33,000876.SZ,农林牧渔-农产品加工-畜禽饲料,000876
33,301165.SZ,通信-通信设备-通信网络设备及器件,301165
33,000838.SZ,房地产-房地产-住宅开发,000838
33,003037.SZ,建筑材料-建筑材料-水泥,003037
17,601225.SH,煤炭-煤炭开采加工-煤炭开采,601225
22,600107.SH,纺织服饰-服装家纺-服装,600107
151,920790.BJ,计算机-IT服务-IT服务Ⅲ,920790
17,603538.SH,医药生物-化学制药-原料药,603538
33,301161.SZ,机械设备-工程机械-工程机械Ⅲ,301161
151,920047.BJ,医药生物-生物制品-其他生物制品,920047
33,301520.SZ,医药生物-医疗服务-医疗研发外包,301520
33,003033.SZ,汽车-汽车服务及其他-其他运输设备,003033
33,002452.SZ,电力设备-电网设备-输变电设备,002452
17,600379.SH,电力设备-电网设备-输变电设备,600379
33,301068.SZ,环保-环境治理-固废治理,301068
17,603855.SH,机械设备-专用设备-其他专用设备,603855
33,301307.SZ,通信-通信设备-通信网络设备及器件,301307
17,603983.SH,美容护理-美容护理-化妆品,603983
17,688512.SH,电子-半导体-模拟芯片设计,688512
33,002485.SZ,交通运输-物流-物流Ⅲ,002485
33,002124.SZ,农林牧渔-养殖业-生猪养殖,002124
17,688362.SH,电子-半导体-集成电路封测,688362
33,002148.SZ,通信-通信服务-通信应用增值服务,002148
17,688448.SH,机械设备-通用设备-其他通用设备,688448
33,300602.SZ,电子-消费电子-消费电子零部件及组装,300602
33,300249.SZ,计算机-计算机设备-其他计算机设备,300249
17,603380.SH,电子-消费电子-消费电子零部件及组装,603380
33,000007.SZ,商贸零售-零售-商业物业经营,000007
33,002064.SZ,基础化工-化学纤维-氨纶,002064
33,301509.SZ,医药生物-医疗服务-医疗研发外包,301509
33,300163.SZ,轻工制造-家居用品-其他家居用品,300163
17,603222.SH,医药生物-医疗器械-医疗耗材,603222
33,301038.SZ,建筑装饰-建筑装饰-工程咨询服务,301038
17,688339.SH,电力设备-电池-其他电池,688339
33,300363.SZ,医药生物-医疗服务-医疗研发外包,300363
33,300768.SZ,计算机-软件开发-横向通用软件,300768
33,301367.SZ,医药生物-医疗器械-医疗设备,301367
33,300530.SZ,电力设备-电池-锂电池,300530
17,603578.SH,家用电器-白色家电-家电零部件,603578
17,688525.SH,电子-半导体-数字芯片设计,688525
17,600749.SH,社会服务-旅游及酒店-自然景点,600749
17,600520.SH,机械设备-专用设备-其他专用设备,600520
33,301489.SZ,电子-电子化学品-电子化学品Ⅲ,301489
33,002922.SZ,电子-其他电子-其他电子Ⅲ,002922
33,002977.SZ,国防军工-军工电子-军工电子Ⅲ,002977
33,300972.SZ,商贸零售-零售-百货零售,300972
33,300505.SZ,基础化工-农化制品-磷肥及磷化工,300505
17,601107.SH,交通运输-公路铁路运输-高速公路,601107
33,301018.SZ,机械设备-通用设备-制冷空调设备,301018
22,600187.SH,环保-环境治理-水务及水治理,600187
22,603377.SH,社会服务-教育-教育Ⅲ,603377
17,600449.SH,建筑材料-建筑材料-水泥,600449
17,603990.SH,计算机-软件开发-垂直应用软件,603990
33,001309.SZ,电子-半导体-数字芯片设计,001309
33,000680.SZ,机械设备-工程机械-工程机械Ⅲ,000680
17,688035.SH,电子-电子化学品-电子化学品Ⅲ,688035
33,301293.SZ,医药生物-医疗服务-医院,301293
33,002353.SZ,机械设备-专用设备-能源及重型设备,002353
17,688653.SH,电子-半导体-模拟芯片设计,688653
17,600499.SH,轻工制造-家居用品-瓷砖地板,600499
33,002289.SZ,通信-通信服务-通信应用增值服务,002289
17,601898.SH,煤炭-煤炭开采加工-煤炭开采,601898
22,603557.SH,纺织服饰-服装家纺-服装,603557
33,002538.SZ,基础化工-农化制品-复合肥,002538
17,688601.SH,电子-半导体-模拟芯片设计,688601
33,002536.SZ,汽车-汽车零部件-底盘与发动机系统,002536
22,600624.SH,医药生物-化学制药-化学制剂,600624
17,688411.SH,电力设备-其他电源设备-其他电源设备Ⅲ,688411
33,301617.SZ,基础化工-化学制品-其他化学制品,301617
33,301098.SZ,建筑装饰-建筑装饰-装饰园林,301098
151,920083.BJ,基础化工-非金属材料-非金属材料Ⅲ,920083
22,600734.SH,计算机-IT服务-IT服务Ⅲ,600734
33,000909.SZ,房地产-房地产-产业地产,000909
33,002429.SZ,家用电器-黑色家电-彩电,002429
33,300557.SZ,机械设备-通用设备-仪器仪表,300557
33,000818.SZ,基础化工-化学原料-氯碱,000818
17,688062.SH,医药生物-生物制品-其他生物制品,688062
17,603039.SH,计算机-软件开发-横向通用软件,603039
33,002897.SZ,通信-通信设备-通信网络设备及器件,002897
17,603950.SH,汽车-汽车零部件-底盘与发动机系统,603950
33,002931.SZ,机械设备-通用设备-金属制品,002931
33,002317.SZ,医药生物-中药-中药Ⅲ,002317
