所属同花顺行业,股票代码,market_code,code
电子-元件-印制电路板,920821.BJ,151,920821
计算机-IT服务-IT服务Ⅲ,920305.BJ,151,920305
石油石化-油气开采及服务-油服工程,920088.BJ,151,920088
医药生物-医疗器械-医疗耗材,920072.BJ,151,920072
计算机-IT服务-IT服务Ⅲ,300532.SZ,33,300532
石油石化-油气开采及服务-油服工程,300164.SZ,33,300164
电子-光学光电子-光学元件,300566.SZ,33,300566
医药生物-医药商业-医药流通,300937.SZ,33,300937
电子-半导体-集成电路封测,688216.SH,17,688216
医药生物-化学制药-化学制剂,688192.SH,17,688192
商贸零售-互联网电商-互联网电商Ⅲ,300209.SZ,33,300209
基础化工-化学制品-其他化学制品,301100.SZ,33,301100
汽车-汽车零部件-其他汽车零部件,300912.SZ,33,300912
环保-环境治理-综合环境治理,301259.SZ,33,301259
机械设备-自动化设备-其他自动化设备,920125.BJ,151,920125
电子-元件-印制电路板,688519.SH,17,688519
电子-半导体-模拟芯片设计,688458.SH,17,688458
石油石化-油气开采及服务-油气开采,300191.SZ,33,300191
医药生物-中药-中药Ⅲ,300534.SZ,33,300534
电子-光学光电子-LED,301362.SZ,33,301362
医药生物-化学制药-化学制剂,688189.SH,22,688189
建筑材料-建筑材料-玻璃玻纤,301526.SZ,33,301526
机械设备-通用设备-其他通用设备,301125.SZ,33,301125
机械设备-通用设备-制冷空调设备,300990.SZ,33,300990
计算机-软件开发-垂直应用软件,688479.SH,17,688479
电子-光学光电子-光学元件,300489.SZ,33,300489
电子-元件-印制电路板,688183.SH,17,688183
环保-环境治理-水务及水治理,688069.SH,17,688069
公用事业-燃气-燃气Ⅲ,920010.BJ,151,920010
机械设备-专用设备-其他专用设备,920014.BJ,151,920014
医药生物-医药商业-医药流通,301584.SZ,33,301584
电子-半导体-分立器件,688048.SH,17,688048
电子-元件-印制电路板,301176.SZ,33,301176
机械设备-通用设备-金属制品,301377.SZ,33,301377
电子-半导体-分立器件,688498.SH,17,688498
通信-通信设备-通信网络设备及器件,301205.SZ,33,301205
机械设备-通用设备-金属制品,688257.SH,17,688257
基础化工-化学制品-有机硅,920015.BJ,151,920015
电力设备-电池-锂电池,301217.SZ,33,301217
机械设备-通用设备-其他通用设备,300157.SZ,33,300157
电子-其他电子-其他电子Ⅲ,301099.SZ,33,301099
石油石化-油气开采及服务-油气开采,300483.SZ,33,300483
电力设备-电池-锂电池,301511.SZ,33,301511
通信-通信设备-通信网络设备及器件,300502.SZ,33,300502
机械设备-通用设备-其他通用设备,301448.SZ,33,301448
交通运输-港口航运-航运,920571.BJ,151,920571
电力设备-电池-锂电池,688388.SH,17,688388
基础化工-化学制品-纺织化学用品,300107.SZ,33,300107
机械设备-通用设备-仪器仪表,920491.BJ,151,920491
基础化工-化学原料-煤化工,600844.SH,17,600844
医药生物-医药商业-药店,301408.SZ,33,301408
机械设备-轨交设备-轨交设备Ⅲ,000008.SZ,33,000008
环保-环保设备-环保设备Ⅲ,688309.SH,17,688309
机械设备-专用设备-能源及重型设备,002523.SZ,33,002523
建筑装饰-建筑装饰-基础建设,002628.SZ,33,002628
煤炭-煤炭开采加工-煤炭开采,600403.SH,17,600403
基础化工-农化制品-磷肥及磷化工,603077.SH,17,603077
医药生物-医药商业-医药流通,000078.SZ,33,000078
医药生物-生物制品-血液制品,688163.SH,17,688163
轻工制造-家居用品-瓷砖地板,002162.SZ,33,002162
石油石化-石油加工贸易-油品石化贸易,000554.SZ,33,000554
石油石化-油气开采及服务-油气开采,600759.SH,22,600759
传媒-文化传媒-数字媒体,603466.SH,17,603466
煤炭-煤炭开采加工-煤炭开采,601101.SH,17,601101
环保-环境治理-水务及水治理,301127.SZ,33,301127
电力设备-光伏设备-光伏辅材,603806.SH,17,603806
医药生物-医药商业-医药流通,600829.SH,17,600829
机械设备-通用设备-其他通用设备,603201.SH,17,603201
有色金属-工业金属-铝,600595.SH,17,600595
汽车-汽车零部件-车身附件及饰件,603730.SH,17,603730
电力设备-电网设备-线缆部件及其他,605196.SH,17,605196
基础化工-化学制品-其他化学制品,603255.SH,17,603255
钢铁-钢铁-冶钢原料,601969.SH,17,601969
电力设备-电池-锂电池,001283.SZ,33,001283
电力设备-电网设备-线缆部件及其他,603577.SH,17,603577
石油石化-油气开采及服务-油气开采,603619.SH,17,603619
汽车-汽车零部件-底盘与发动机系统,002536.SZ,33,002536
机械设备-工程机械-工程机械Ⅲ,001226.SZ,33,001226
通信-通信设备-通信线缆及配套,603042.SH,17,603042
电子-元件-被动元件,603989.SH,17,603989
医药生物-医疗器械-医疗设备,002432.SZ,33,002432
汽车-汽车零部件-底盘与发动机系统,605255.SH,17,605255
