股票代码,所属同花顺行业,market_code,code
920580.BJ,建筑材料-建筑材料-耐火材料,151,920580
688281.SH,国防军工-军工装备-航空装备,17,688281
688146.SH,电子-电子化学品-电子化学品Ⅲ,17,688146
300715.SZ,建筑材料-建筑材料-其他建材,33,300715
688478.SH,电子-半导体-半导体设备,17,688478
688596.SH,机械设备-专用设备-其他专用设备,17,688596
688143.SH,通信-通信设备-通信线缆及配套,17,688143
300965.SZ,国防军工-军工装备-航空装备,33,300965
688458.SH,电子-半导体-模拟芯片设计,17,688458
688234.SH,电子-半导体-半导体材料,17,688234
920181.BJ,电子-其他电子-其他电子Ⅲ,151,920181
300721.SZ,基础化工-化学制品-其他化学制品,33,300721
688368.SH,电子-半导体-模拟芯片设计,17,688368
688301.SH,医药生物-医疗器械-医疗设备,17,688301
300776.SZ,电力设备-光伏设备-光伏加工设备,33,300776
688500.SH,计算机-IT服务-IT服务Ⅲ,17,688500
920469.BJ,基础化工-塑料制品-改性塑料,151,920469
300553.SZ,机械设备-通用设备-仪器仪表,33,300553
688512.SH,电子-半导体-模拟芯片设计,17,688512
300959.SZ,通信-通信服务-通信应用增值服务,33,300959
301197.SZ,机械设备-通用设备-仪器仪表,33,301197
301286.SZ,基础化工-化学制品-其他化学制品,33,301286
300323.SZ,电子-光学光电子-LED,33,300323
300080.SZ,电力设备-光伏设备-光伏辅材,33,300080
300761.SZ,农林牧渔-养殖业-肉鸡养殖,33,300761
300782.SZ,电子-半导体-模拟芯片设计,33,300782
688323.SH,基础化工-塑料制品-膜材料,17,688323
920429.BJ,食品饮料-食品加工制造-其他食品,151,920429
688172.SH,电子-半导体-分立器件,17,688172
002506.SZ,电力设备-光伏设备-光伏电池组件,33,002506
000159.SZ,电力设备-光伏设备-光伏辅材,33,000159
300903.SZ,电子-元件-印制电路板,33,300903
600903.SH,公用事业-燃气-燃气Ⅲ,17,600903
002840.SZ,食品饮料-食品加工制造-肉制品,33,002840
002124.SZ,农林牧渔-养殖业-生猪养殖,33,002124
603717.SH,农林牧渔-养殖业-生猪养殖,17,603717
600578.SH,公用事业-电力-火电,17,600578
002971.SZ,基础化工-化学制品-其他化学制品,33,002971
603082.SH,机械设备-通用设备-其他通用设备,17,603082
002976.SZ,汽车-汽车零部件-其他汽车零部件,33,002976
600509.SH,公用事业-电力-火电,17,600509
600449.SH,建筑材料-建筑材料-水泥,17,600449
603344.SH,电力设备-电机-电机Ⅲ,17,603344
605086.SH,基础化工-非金属材料-非金属材料Ⅲ,17,605086
603118.SH,通信-通信设备-通信终端及配件,17,603118
003018.SZ,轻工制造-包装印刷-包装,33,003018
002980.SZ,电力设备-电网设备-电气自控设备,33,002980
003022.SZ,电力设备-光伏设备-光伏辅材,33,003022
