股票代码,所属同花顺行业,code,market_code
301655.SZ,汽车-汽车零部件-汽车电子电气系统,301655,33
920344.BJ,医药生物-生物制品-其他生物制品,920344,151
301166.SZ,医药生物-生物制品-其他生物制品,301166,33
688276.SH,医药生物-生物制品-疫苗,688276,17
300710.SZ,通信-通信设备-通信网络设备及器件,300710,33
688185.SH,医药生物-生物制品-疫苗,688185,17
688137.SH,医药生物-生物制品-其他生物制品,688137,17
688114.SH,医药生物-医疗器械-医疗设备,688114,17
688356.SH,医药生物-化学制药-原料药,688356,17
688433.SH,机械设备-通用设备-其他通用设备,688433,17
300363.SZ,医药生物-医疗服务-医疗研发外包,300363,33
300765.SZ,医药生物-化学制药-原料药,300765,33
300006.SZ,医药生物-化学制药-化学制剂,300006,33
300142.SZ,医药生物-生物制品-疫苗,300142,33
300841.SZ,医药生物-生物制品-疫苗,300841,33
688426.SH,医药生物-医疗器械-体外诊断,688426,17
688658.SH,医药生物-化学制药-化学制剂,688658,17
300601.SZ,医药生物-生物制品-疫苗,300601,33
688105.SH,医药生物-生物制品-其他生物制品,688105,17
300009.SZ,医药生物-生物制品-其他生物制品,300009,33
300109.SZ,基础化工-化学制品-其他化学制品,300109,33
300122.SZ,医药生物-生物制品-疫苗,300122,33
688238.SH,医药生物-医疗服务-医疗研发外包,688238,17
688143.SH,通信-通信设备-通信线缆及配套,688143,17
300570.SZ,通信-通信设备-通信网络设备及器件,300570,33
301047.SZ,医药生物-生物制品-其他生物制品,301047,33
301122.SZ,医药生物-医疗器械-医疗耗材,301122,33
300112.SZ,机械设备-通用设备-仪器仪表,300112,33
688617.SH,医药生物-医疗器械-医疗耗材,688617,17
300676.SZ,医药生物-医疗服务-其他医疗服务,300676,33
301093.SZ,医药生物-医疗器械-医疗耗材,301093,33
301207.SZ,医药生物-生物制品-疫苗,301207,33
688536.SH,电子-半导体-模拟芯片设计,688536,17
688315.SH,医药生物-医疗服务-其他医疗服务,688315,17
688670.SH,医药生物-生物制品-疫苗,688670,17
301205.SZ,通信-通信设备-通信网络设备及器件,301205,33
688266.SH,医药生物-化学制药-化学制剂,688266,17
920009.BJ,医药生物-医疗器械-体外诊断,920009,151
300976.SZ,电子-消费电子-消费电子零部件及组装,300976,33
301080.SZ,医药生物-生物制品-其他生物制品,301080,33
301081.SZ,环保-环保设备-环保设备Ⅲ,301081,33
301529.SZ,汽车-汽车零部件-车身附件及饰件,301529,33
300545.SZ,电子-光学光电子-面板,300545,33
301196.SZ,基础化工-塑料制品-其他塑料制品,301196,33
688628.SH,机械设备-通用设备-仪器仪表,688628,17
300171.SZ,医药生物-医疗器械-医疗设备,300171,33
920946.BJ,医药生物-化学制药-原料药,920946,151
688289.SH,医药生物-医疗器械-体外诊断,688289,17
301335.SZ,轻工制造-家居用品-文娱用品,301335,33
301550.SZ,汽车-汽车零部件-底盘与发动机系统,301550,33
688653.SH,电子-半导体-模拟芯片设计,688653,17
920045.BJ,通信-通信设备-通信网络设备及器件,920045,151
301419.SZ,通信-通信设备-通信网络设备及器件,301419,33
688619.SH,计算机-计算机设备-安防设备,688619,17
300813.SZ,机械设备-专用设备-其他专用设备,300813,33
688286.SH,电子-半导体-模拟芯片设计,688286,17
300149.SZ,医药生物-医疗服务-医疗研发外包,300149,33
688052.SH,电子-半导体-模拟芯片设计,688052,17
300486.SZ,机械设备-自动化设备-其他自动化设备,300486,33
301360.SZ,机械设备-自动化设备-其他自动化设备,301360,33
688202.SH,医药生物-医疗服务-医疗研发外包,688202,17
600327.SH,医药生物-医疗服务-医院,600327,17
688222.SH,医药生物-医疗服务-医疗研发外包,688222,17
002038.SZ,医药生物-化学制药-化学制剂,002038,33
300843.SZ,电子-消费电子-消费电子零部件及组装,300843,33
002726.SZ,食品饮料-食品加工制造-肉制品,002726,33
688210.SH,电子-消费电子-消费电子零部件及组装,688210,17
920206.BJ,基础化工-化学制品-涂料油墨,920206,151
600649.SH,房地产-房地产-住宅开发,600649,17
000017.SZ,纺织服饰-服装家纺-饰品,000017,33
002399.SZ,医药生物-化学制药-化学制剂,002399,33
603801.SH,轻工制造-家居用品-定制家居,603801,17
600539.SH,商贸零售-互联网电商-互联网电商Ⅲ,600539,17
600613.SH,医药生物-化学制药-化学制剂,600613,17
002313.SZ,通信-通信设备-通信终端及配件,002313,33
001360.SZ,机械设备-专用设备-能源及重型设备,001360,33
300936.SZ,电子-元件-印制电路板,300936,33
600683.SH,房地产-房地产-住宅开发,600683,17
002667.SZ,有色金属-能源金属-锂,002667,33
001210.SZ,公用事业-电力-热力,001210,33
603637.SH,建筑装饰-建筑装饰-专业工程,603637,17
603988.SH,电力设备-电机-电机Ⅲ,603988,17
001333.SZ,基础化工-塑料制品-合成树脂,001333,33
603882.SH,医药生物-医疗服务-其他医疗服务,603882,17
603036.SH,机械设备-专用设备-能源及重型设备,603036,17
600211.SH,医药生物-生物制品-其他生物制品,600211,17
603958.SH,纺织服饰-服装家纺-鞋帽及其他,603958,17
002552.SZ,电子-元件-印制电路板,002552,33
001277.SZ,机械设备-专用设备-能源及重型设备,001277,33
000007.SZ,商贸零售-零售-商业物业经营,000007,33
002903.SZ,机械设备-通用设备-机床工具,002903,33
601877.SH,电力设备-电网设备-输变电设备,601877,17
603016.SH,电力设备-电网设备-输变电设备,603016,17
603580.SH,基础化工-塑料制品-其他塑料制品,603580,17
002437.SZ,医药生物-化学制药-化学制剂,002437,33
002880.SZ,医药生物-生物制品-血液制品,002880,33
603666.SH,机械设备-自动化设备-机器人,603666,17
603578.SH,家用电器-白色家电-家电零部件,603578,17
605116.SH,医药生物-化学制药-原料药,605116,17
603177.SH,环保-环境治理-大气治理,603177,17
600250.SH,社会服务-旅游及酒店-旅游综合,600250,17
002581.SZ,医药生物-生物制品-其他生物制品,002581,33
002579.SZ,电子-元件-印制电路板,002579,33
603285.SH,基础化工-化学制品-其他化学制品,603285,17
603590.SH,医药生物-生物制品-其他生物制品,603590,17
603392.SH,医药生物-医疗器械-体外诊断,603392,17
003010.SZ,商贸零售-互联网电商-互联网电商Ⅲ,003010,33
605080.SH,轻工制造-家居用品-文娱用品,605080,17
603626.SH,电子-消费电子-消费电子零部件及组装,603626,17
603376.SH,汽车-汽车零部件-汽车电子电气系统,603376,17
002811.SZ,建筑装饰-建筑装饰-工程咨询服务,002811,33
000590.SZ,医药生物-中药-中药Ⅲ,000590,33
002491.SZ,通信-通信设备-通信线缆及配套,002491,33
002940.SZ,医药生物-化学制药-化学制剂,002940,33
603716.SH,医药生物-医药商业-医药流通,603716,17
603519.SH,家用电器-白色家电-家电零部件,603519,17
002365.SZ,医药生物-化学制药-原料药,002365,33
000710.SZ,医药生物-医疗服务-其他医疗服务,000710,33
002412.SZ,医药生物-中药-中药Ⅲ,002412,33
000931.SZ,医药生物-化学制药-化学制剂,000931,33
000520.SZ,交通运输-港口航运-航运,000520,33
600127.SH,农林牧渔-农产品加工-粮油加工,600127,17
601700.SH,电力设备-电网设备-线缆部件及其他,601700,17
000523.SZ,食品饮料-饮料制造-软饮料,000523,33
002743.SZ,建筑装饰-建筑装饰-专业工程,002743,33
002030.SZ,医药生物-医疗器械-体外诊断,002030,33
603828.SH,建筑装饰-建筑装饰-装饰园林,603828,22
601118.SH,农林牧渔-种植业与林业-其他种植业,601118,17
688710.SH,医药生物-医疗服务-医疗研发外包,688710,17
002172.SZ,医药生物-医疗服务-医院,002172,33
300725.SZ,医药生物-医疗服务-医疗研发外包,300725,33
688057.SH,环保-环境治理-水务及水治理,688057,17
301183.SZ,电子-光学光电子-光学元件,301183,33
301230.SZ,医药生物-医疗服务-医疗研发外包,301230,33
600491.SH,建筑装饰-建筑装饰-房屋建设,600491,22
688520.SH,医药生物-生物制品-其他生物制品,688520,17
688136.SH,医药生物-生物制品-其他生物制品,688136,17
300661.SZ,电子-半导体-模拟芯片设计,300661,33
600381.SH,食品饮料-食品加工制造-其他食品,600381,22
688096.SH,环保-环境治理-水务及水治理,688096,17
300867.SZ,环保-环境治理-固废治理,300867,33
301201.SZ,医药生物-医疗服务-医疗研发外包,301201,33
688373.SH,医药生物-化学制药-化学制剂,688373,17
688806.SH,医药生物-生物制品-其他生物制品,688806,17
688333.SH,机械设备-通用设备-其他通用设备,688333,17
688788.SH,国防军工-军工电子-军工电子Ⅲ,688788,17
688205.SH,通信-通信设备-通信网络设备及器件,688205,17
688195.SH,电子-光学光电子-光学元件,688195,17
300558.SZ,医药生物-化学制药-化学制剂,300558,33
688758.SH,医药生物-化学制药-原料药,688758,17
000517.SZ,房地产-房地产-住宅开发,000517,33
603838.SH,轻工制造-家居用品-其他家居用品,603838,22
688062.SH,医药生物-生物制品-其他生物制品,688062,17
920026.BJ,机械设备-专用设备-其他专用设备,920026,151
300901.SZ,纺织服饰-服装家纺-鞋帽及其他,300901,33
600547.SH,有色金属-贵金属-贵金属Ⅲ,600547,17
000926.SZ,房地产-房地产-住宅开发,000926,33
001225.SZ,机械设备-专用设备-能源及重型设备,001225,33
300319.SZ,电子-元件-被动元件,300319,33
688180.SH,医药生物-生物制品-其他生物制品,688180,17
688197.SH,医药生物-化学制药-化学制剂,688197,17
603123.SH,非银金融-多元金融-多元金融Ⅲ,603123,17
688313.SH,通信-通信设备-通信网络设备及器件,688313,17
301190.SZ,基础化工-化学原料-其他化学原料,301190,33
688265.SH,医药生物-医疗服务-医疗研发外包,688265,17
301212.SZ,基础化工-化学制品-其他化学制品,301212,33
301266.SZ,电力设备-光伏设备-光伏辅材,301266,33
300358.SZ,医药生物-医疗器械-医疗设备,300358,33
300487.SZ,基础化工-塑料制品-合成树脂,300487,33
300697.SZ,有色金属-工业金属-铜,300697,33
300991.SZ,电子-其他电子-其他电子Ⅲ,300991,33
688098.SH,农林牧渔-养殖业-动物保健,688098,17
600129.SH,医药生物-中药-中药Ⅲ,600129,17
601238.SH,汽车-汽车整车-乘用车,601238,17
300903.SZ,电子-元件-印制电路板,300903,33
002943.SZ,机械设备-通用设备-机床工具,002943,33
600988.SH,有色金属-贵金属-贵金属Ⅲ,600988,17
603400.SH,机械设备-通用设备-其他通用设备,603400,17
301257.SZ,医药生物-医疗服务-医疗研发外包,301257,33
