股票代码,所属同花顺行业,market_code,code
603435.SH,电子-电子化学品-电子化学品Ⅲ,17,603435
920220.BJ,汽车-汽车零部件-底盘与发动机系统,151,920220
001237.SZ,机械设备-通用设备-制冷空调设备,33,001237
300243.SZ,基础化工-塑料制品-其他塑料制品,33,300243
301588.SZ,基础化工-塑料制品-其他塑料制品,33,301588
688260.SH,电子-消费电子-消费电子零部件及组装,17,688260
688020.SH,电子-电子化学品-电子化学品Ⅲ,17,688020
301362.SZ,电子-光学光电子-LED,33,301362
301013.SZ,机械设备-专用设备-其他专用设备,33,301013
688603.SH,电子-电子化学品-电子化学品Ⅲ,17,688603
301628.SZ,电子-元件-印制电路板,33,301628
300174.SZ,基础化工-化学制品-其他化学制品,33,300174
301312.SZ,机械设备-自动化设备-工控设备,33,301312
301377.SZ,机械设备-通用设备-金属制品,33,301377
300069.SZ,电力设备-电网设备-线缆部件及其他,33,300069
300907.SZ,电力设备-电机-电机Ⅲ,33,300907
688512.SH,电子-半导体-模拟芯片设计,17,688512
300179.SZ,机械设备-通用设备-磨具磨料,33,300179
688010.SH,电子-光学光电子-光学元件,17,688010
301093.SZ,医药生物-医疗器械-医疗耗材,33,301093
688025.SH,机械设备-自动化设备-激光设备,17,688025
920078.BJ,有色金属-金属新材料-其他金属新材料,151,920078
300835.SZ,有色金属-金属新材料-磁性材料,33,300835
300408.SZ,电子-元件-被动元件,33,300408
300285.SZ,电子-电子化学品-电子化学品Ⅲ,33,300285
301111.SZ,医药生物-中药-中药Ⅲ,33,301111
688610.SH,机械设备-通用设备-仪器仪表,17,688610
688308.SH,机械设备-通用设备-金属制品,17,688308
688300.SH,基础化工-非金属材料-非金属材料Ⅲ,17,688300
301526.SZ,建筑材料-建筑材料-玻璃玻纤,33,301526
301081.SZ,环保-环保设备-环保设备Ⅲ,33,301081
688700.SH,机械设备-专用设备-其他专用设备,17,688700
688808.SH,机械设备-通用设备-仪器仪表,17,688808
300221.SZ,基础化工-塑料制品-改性塑料,33,300221
688187.SH,机械设备-轨交设备-轨交设备Ⅲ,17,688187
300672.SZ,电子-半导体-数字芯片设计,33,300672
688507.SH,计算机-软件开发-垂直应用软件,17,688507
688133.SH,基础化工-化学制品-其他化学制品,17,688133
688257.SH,机械设备-通用设备-金属制品,17,688257
300259.SZ,机械设备-通用设备-仪器仪表,33,300259
300811.SZ,有色金属-金属新材料-磁性材料,33,300811
300774.SZ,环保-环境治理-水务及水治理,33,300774
301176.SZ,电子-元件-印制电路板,33,301176
920725.BJ,机械设备-通用设备-磨具磨料,151,920725
301188.SZ,医药生物-医疗器械-医疗耗材,33,301188
300476.SZ,电子-元件-印制电路板,33,300476
300286.SZ,电力设备-电网设备-电气自控设备,33,300286
920665.BJ,基础化工-橡胶制品-其他橡胶制品,151,920665
688619.SH,计算机-计算机设备-安防设备,17,688619
688531.SH,机械设备-专用设备-其他专用设备,17,688531
301373.SZ,基础化工-化学制品-其他化学制品,33,301373
300410.SZ,电力设备-电池-锂电专用设备,33,300410
688686.SH,机械设备-自动化设备-其他自动化设备,17,688686
688458.SH,电子-半导体-模拟芯片设计,17,688458
301123.SZ,电子-消费电子-消费电子零部件及组装,33,301123
301281.SZ,医药生物-化学制药-化学制剂,33,301281
300201.SZ,机械设备-工程机械-工程机械Ⅲ,33,300201
688231.SH,国防军工-军工装备-航空装备,17,688231
300731.SZ,基础化工-橡胶制品-其他橡胶制品,33,300731
688079.SH,电子-光学光电子-光学元件,17,688079
