股票代码,所属同花顺行业,market_code,code
920238.BJ,机械设备-通用设备-金属制品,151,920238
300414.SZ,通信-通信设备-其他通信设备,33,300414
300480.SZ,机械设备-专用设备-能源及重型设备,33,300480
688237.SH,国防军工-军工装备-航空装备,17,688237
688622.SH,机械设备-通用设备-仪器仪表,22,688622
301583.SZ,电子-半导体-半导体设备,33,301583
301234.SZ,医药生物-医疗器械-医疗耗材,33,301234
300214.SZ,基础化工-化学制品-其他化学制品,33,300214
688151.SH,医药生物-医疗器械-医疗耗材,17,688151
301535.SZ,汽车-汽车零部件-其他汽车零部件,33,301535
688146.SH,电子-电子化学品-电子化学品Ⅲ,17,688146
301067.SZ,电子-消费电子-消费电子零部件及组装,33,301067
920139.BJ,电子-半导体-集成电路封测,151,920139
301122.SZ,医药生物-医疗器械-医疗耗材,33,301122
300951.SZ,电子-消费电子-消费电子零部件及组装,33,300951
920222.BJ,电力设备-电网设备-输变电设备,151,920222
002303.SZ,轻工制造-包装印刷-包装,33,002303
002388.SZ,电子-其他电子-其他电子Ⅲ,33,002388
002300.SZ,电力设备-电网设备-线缆部件及其他,33,002300
000670.SZ,电子-其他电子-其他电子Ⅲ,33,000670
600617.SH,公用事业-燃气-燃气Ⅲ,17,600617
002298.SZ,电力设备-电网设备-输变电设备,33,002298
000417.SZ,商贸零售-零售-百货零售,33,000417
002208.SZ,房地产-房地产-住宅开发,33,002208
002083.SZ,纺织服饰-纺织制造-棉纺,33,002083
000668.SZ,房地产-房地产-住宅开发,33,000668
002189.SZ,国防军工-军工电子-军工电子Ⅲ,33,002189
000533.SZ,电力设备-电网设备-输变电设备,33,000533
603690.SH,电子-半导体-半导体设备,17,603690
603068.SH,电子-半导体-模拟芯片设计,17,603068
002265.SZ,国防军工-军工装备-地面兵装,33,002265
605198.SH,食品饮料-饮料制造-软饮料,17,605198
603580.SH,基础化工-塑料制品-其他塑料制品,17,603580
603976.SH,医药生物-医疗器械-医疗耗材,17,603976
001229.SZ,计算机-计算机设备-其他计算机设备,33,001229
002879.SZ,电力设备-电网设备-线缆部件及其他,33,002879
603726.SH,家用电器-白色家电-家电零部件,17,603726
000011.SZ,房地产-房地产-房地产服务,33,000011
601606.SH,国防军工-军工装备-地面兵装,17,601606
002498.SZ,电力设备-电网设备-线缆部件及其他,33,002498
600539.SH,商贸零售-互联网电商-互联网电商Ⅲ,17,600539
002012.SZ,轻工制造-造纸-造纸Ⅲ,33,002012
300804.SZ,基础化工-农化制品-农药,33,300804
003001.SZ,建筑装饰-建筑装饰-专业工程,33,003001
603221.SH,轻工制造-家居用品-瓷砖地板,17,603221
002199.SZ,电子-元件-被动元件,33,002199
600698.SH,汽车-汽车零部件-底盘与发动机系统,17,600698
002374.SZ,轻工制造-包装印刷-包装,33,002374
000595.SZ,公用事业-电力-新能源发电,33,000595
600178.SH,汽车-汽车零部件-底盘与发动机系统,17,600178
002218.SZ,公用事业-电力-新能源发电,33,002218
603956.SH,机械设备-专用设备-其他专用设备,17,603956
002211.SZ,基础化工-化学制品-有机硅,33,002211
600984.SH,机械设备-工程机械-工程机械Ⅲ,17,600984
002156.SZ,电子-半导体-集成电路封测,33,002156
300779.SZ,环保-环境治理-固废治理,33,300779
301552.SZ,汽车-汽车零部件-车身附件及饰件,33,301552
301345.SZ,汽车-汽车服务及其他-其他运输设备,33,301345
300261.SZ,基础化工-农化制品-农药,33,300261
003013.SZ,建筑装饰-建筑装饰-工程咨询服务,33,003013
603065.SH,基础化工-化学制品-其他化学制品,17,603065
300922.SZ,国防军工-军工装备-地面兵装,33,300922
301127.SZ,环保-环境治理-水务及水治理,33,301127
688220.SH,电子-半导体-模拟芯片设计,17,688220
301273.SZ,机械设备-通用设备-其他通用设备,33,301273
603843.SH,建筑装饰-建筑装饰-基础建设,22,603843
688596.SH,机械设备-专用设备-其他专用设备,17,688596
300801.SZ,基础化工-化学制品-其他化学制品,33,300801
001258.SZ,公用事业-电力-新能源发电,33,001258
920000.BJ,汽车-汽车零部件-底盘与发动机系统,151,920000
000021.SZ,电子-消费电子-消费电子零部件及组装,33,000021
301382.SZ,通信-通信服务-通信应用增值服务,33,301382
