所属同花顺行业,股票代码,code,market_code
非银金融-证券-证券Ⅲ,601990.SH,601990,17
非银金融-证券-证券Ⅲ,002670.SZ,002670,33
公用事业-电力-新能源发电,002218.SZ,002218,33
家用电器-黑色家电-彩电,600839.SH,600839,17
医药生物-医疗器械-体外诊断,002030.SZ,002030,33
建筑装饰-建筑装饰-专业工程,603959.SH,603959,22
交通运输-港口航运-港口,000088.SZ,000088,33
煤炭-煤炭开采加工-煤炭开采,600925.SH,600925,17
公用事业-电力-热力,001376.SZ,001376,33
公用事业-燃气-燃气Ⅲ,603053.SH,603053,17
基础化工-化学制品-民爆用品,002246.SZ,002246,33
电力设备-光伏设备-硅料硅片,600438.SH,600438,17
医药生物-医疗服务-医疗研发外包,688202.SH,688202,17
基础化工-农化制品-复合肥,002539.SZ,002539,33
医药生物-生物制品-血液制品,002007.SZ,002007,33
国防军工-军工电子-军工电子Ⅲ,300474.SZ,300474,33
基础化工-农化制品-磷肥及磷化工,002312.SZ,002312,33
基础化工-化学制品-食品及饲料添加剂,300741.SZ,300741,33
传媒-文化传媒-数字媒体,002095.SZ,002095,33
非银金融-证券-证券Ⅲ,002500.SZ,002500,33
农林牧渔-农产品加工-畜禽饲料,002100.SZ,002100,33
医药生物-化学制药-化学制剂,002399.SZ,002399,33
银行-银行-城商行,600928.SH,600928,17
公用事业-燃气-燃气Ⅲ,002267.SZ,002267,33
轻工制造-家居用品-其他家居用品,300729.SZ,300729,33
交通运输-港口航运-港口,600017.SH,600017,17
国防军工-军工装备-航海装备,600764.SH,600764,17
医药生物-医药商业-医药流通,000028.SZ,000028,33
非银金融-证券-证券Ⅲ,601881.SH,601881,17
交通运输-公路铁路运输-铁路运输,600125.SH,600125,17
基础化工-农化制品-农药,300261.SZ,300261,33
非银金融-证券-证券Ⅲ,002939.SZ,002939,33
综合-综合-综合Ⅲ,000025.SZ,000025,33
非银金融-证券-证券Ⅲ,000728.SZ,000728,33
交通运输-公路铁路运输-铁路运输,000557.SZ,000557,33
食品饮料-饮料制造-其他酒类,002568.SZ,002568,33
基础化工-农化制品-农药,002258.SZ,002258,33
建筑材料-建筑材料-其他建材,300374.SZ,300374,33
公用事业-电力-热力,000692.SZ,000692,33
计算机-软件开发-垂直应用软件,600880.SH,600880,17
轻工制造-包装印刷-包装,600210.SH,600210,17
环保-环境治理-综合环境治理,600133.SH,600133,17
商贸零售-零售-专业连锁,300755.SZ,300755,33
机械设备-专用设备-能源及重型设备,601106.SH,601106,17
房地产-房地产-产业地产,600639.SH,600639,17
有色金属-工业金属-铜,000737.SZ,000737,33
非银金融-证券-证券Ⅲ,600918.SH,600918,17
钢铁-钢铁-普钢,600782.SH,600782,17
传媒-影视院线-影视院线Ⅲ,300182.SZ,300182,33
医药生物-中药-中药Ⅲ,000423.SZ,000423,33
电力设备-电网设备-电气自控设备,300407.SZ,300407,33
医药生物-医药商业-医药流通,600511.SH,600511,17
计算机-软件开发-垂直应用软件,301195.SZ,301195,33
非银金融-证券-证券Ⅲ,000750.SZ,000750,33
钢铁-钢铁-特钢,002318.SZ,002318,33
有色金属-金属新材料-其他金属新材料,688190.SH,688190,17
医药生物-医疗器械-医疗设备,600055.SH,600055,17
医药生物-中药-中药Ⅲ,002349.SZ,002349,33
有色金属-工业金属-铜,600490.SH,600490,17
机械设备-自动化设备-工控设备,300124.SZ,300124,33
汽车-汽车整车-商用载货车,600166.SH,600166,17
电子-半导体-模拟芯片设计,688508.SH,688508,17
医药生物-中药-中药Ⅲ,300158.SZ,300158,33
通信-通信设备-通信网络设备及器件,300394.SZ,300394,33
建筑装饰-建筑装饰-工程咨询服务,301091.SZ,301091,33
医药生物-医疗器械-体外诊断,300482.SZ,300482,33
银行-银行-农商行,002807.SZ,002807,33
基础化工-农化制品-复合肥,002538.SZ,002538,33
环保-环保设备-环保设备Ⅲ,002658.SZ,002658,33
银行-银行-股份制银行,600015.SH,600015,17
社会服务-旅游及酒店-人工景点,300144.SZ,300144,33
商贸零售-贸易-贸易Ⅲ,601061.SH,601061,17
医药生物-化学制药-化学制剂,300233.SZ,300233,33
房地产-房地产-房地产服务,002285.SZ,002285,33
房地产-房地产-住宅开发,002314.SZ,002314,33
医药生物-化学制药-化学制剂,688566.SH,688566,17
非银金融-多元金融-多元金融Ⅲ,000563.SZ,000563,33
通信-通信服务-通信工程及服务,300310.SZ,300310,33
医药生物-化学制药-原料药,603235.SH,603235,17
传媒-文化传媒-电视广播,600959.SH,600959,17
环保-环境治理-固废治理,301175.SZ,301175,33
环保-环境治理-固废治理,300815.SZ,300815,33
医药生物-医疗器械-医疗耗材,002901.SZ,002901,33
汽车-汽车服务及其他-汽车服务,600335.SH,600335,17
食品饮料-饮料制造-其他酒类,600238.SH,600238,22
有色金属-贵金属-贵金属Ⅲ,002237.SZ,002237,33
有色金属-工业金属-铜,601168.SH,601168,17
医药生物-医药商业-药店,603883.SH,603883,17
非银金融-多元金融-多元金融Ⅲ,002961.SZ,002961,33
传媒-文化传媒-出版,600373.SH,600373,17
基础化工-化学原料-其他化学原料,600610.SH,600610,17
传媒-文化传媒-广告营销,300242.SZ,300242,33
交通运输-港口航运-港口,600018.SH,600018,17
电力设备-光伏设备-光伏加工设备,300724.SZ,300724,33
通信-通信服务-通信工程及服务,002093.SZ,002093,33
食品饮料-食品加工制造-调味发酵品,600298.SH,600298,17
食品饮料-饮料制造-啤酒,002461.SZ,002461,33
非银金融-证券-证券Ⅲ,000783.SZ,000783,33
通信-通信设备-通信网络设备及器件,300098.SZ,300098,33
医药生物-中药-中药Ⅲ,002287.SZ,002287,33
汽车-汽车零部件-车身附件及饰件,600741.SH,600741,17
医药生物-中药-中药Ⅲ,600332.SH,600332,17
基础化工-化学原料-其他化学原料,603113.SH,603113,17
钢铁-钢铁-普钢,600010.SH,600010,17
机械设备-专用设备-能源及重型设备,301158.SZ,301158,33
汽车-汽车零部件-车身附件及饰件,300100.SZ,300100,33
通信-通信服务-通信工程及服务,002929.SZ,002929,33
电子-光学光电子-LED,920339.BJ,920339,151
医药生物-中药-中药Ⅲ,600252.SH,600252,17
轻工制造-包装印刷-包装,603429.SH,603429,22
房地产-房地产-住宅开发,600675.SH,600675,17
传媒-文化传媒-电视广播,601929.SH,601929,17
农林牧渔-养殖业-生猪养殖,603477.SH,603477,17
公用事业-燃气-燃气Ⅲ,600333.SH,600333,17
医药生物-中药-中药Ⅲ,000650.SZ,000650,33
公用事业-燃气-燃气Ⅲ,600635.SH,600635,17
建筑装饰-建筑装饰-基础建设,002060.SZ,002060,33
有色金属-贵金属-贵金属Ⅲ,601069.SH,601069,17
环保-环境治理-水务及水治理,600283.SH,600283,17
商贸零售-零售-百货零售,600859.SH,600859,17
计算机-计算机设备-其他计算机设备,300546.SZ,300546,33
农林牧渔-养殖业-动物保健,600195.SH,600195,17
汽车-汽车零部件-底盘与发动机系统,600933.SH,600933,17
社会服务-旅游及酒店-自然景点,600576.SH,600576,17
计算机-IT服务-IT服务Ⅲ,002474.SZ,002474,33
食品饮料-饮料制造-其他酒类,600059.SH,600059,17
机械设备-通用设备-金属制品,301559.SZ,301559,33
轻工制造-包装印刷-包装,920163.BJ,920163,151
建筑材料-建筑材料-水泥,002302.SZ,002302,33
传媒-文化传媒-电视广播,002238.SZ,002238,33
医药生物-中药-中药Ⅲ,600993.SH,600993,17
国防军工-军工装备-地面兵装,688543.SH,688543,17
有色金属-小金属-其他小金属,301026.SZ,301026,33
基础化工-塑料制品-改性塑料,688219.SH,688219,17
传媒-游戏-游戏Ⅲ,300494.SZ,300494,33
钢铁-钢铁-特钢,002075.SZ,002075,33
电子-消费电子-消费电子零部件及组装,002241.SZ,002241,33
医药生物-化学制药-化学制剂,000915.SZ,000915,33
社会服务-其他社会服务-专业服务,002967.SZ,002967,33
公用事业-电力-新能源发电,002616.SZ,002616,33
公用事业-电力-热力,603071.SH,603071,17
建筑材料-建筑材料-水泥,600585.SH,600585,17
社会服务-旅游及酒店-旅游综合,603402.SH,603402,17
交通运输-公路铁路运输-铁路运输,001213.SZ,001213,33
社会服务-旅游及酒店-旅游综合,000524.SZ,000524,33
农林牧渔-种植业与林业-种子生产,002041.SZ,002041,33
医药生物-中药-中药Ⅲ,002907.SZ,002907,33
汽车-汽车零部件-车身附件及饰件,603418.SH,603418,17
房地产-房地产-住宅开发,600649.SH,600649,17
社会服务-旅游及酒店-旅游综合,002707.SZ,002707,33
银行-银行-农商行,601528.SH,601528,17
医药生物-化学制药-化学制剂,600812.SH,600812,17
公用事业-燃气-燃气Ⅲ,600917.SH,600917,17
计算机-IT服务-IT服务Ⅲ,688227.SH,688227,17
基础化工-化学制品-其他化学制品,000881.SZ,000881,33
房地产-房地产-住宅开发,600606.SH,600606,17
计算机-软件开发-垂直应用软件,300229.SZ,300229,33
银行-银行-城商行,601009.SH,601009,17
医药生物-医疗器械-医疗耗材,688198.SH,688198,17
银行-银行-农商行,601128.SH,601128,17
建筑装饰-建筑装饰-专业工程,000928.SZ,000928,33
交通运输-公路铁路运输-高速公路,000900.SZ,000900,33
电力设备-电池-锂电池,301327.SZ,301327,33
食品饮料-食品加工制造-预加工食品,603237.SH,603237,17
汽车-汽车零部件-轮胎轮毂,002984.SZ,002984,33
汽车-汽车零部件-汽车电子电气系统,603202.SH,603202,17
电力设备-电池-其他电池,601311.SH,601311,17
银行-银行-农商行,601860.SH,601860,17
汽车-汽车整车-商用载货车,600006.SH,600006,17
计算机-计算机设备-其他计算机设备,300847.SZ,300847,33
机械设备-通用设备-其他通用设备,002530.SZ,002530,33
电力设备-电网设备-输变电设备,600885.SH,600885,17
机械设备-自动化设备-工控设备,603583.SH,603583,17
美容护理-美容护理-化妆品,301371.SZ,301371,33
电力设备-电网设备-线缆部件及其他,002276.SZ,002276,33
交通运输-机场航运-航空运输,600221.SH,600221,17
美容护理-美容护理-个护用品,605009.SH,605009,17
传媒-文化传媒-电视广播,600037.SH,600037,17
汽车-汽车零部件-汽车电子电气系统,605333.SH,605333,17
轻工制造-造纸-造纸Ⅲ,600567.SH,600567,17
商贸零售-零售-百货零售,000564.SZ,000564,33
电力设备-风电设备-风电零部件,601218.SH,601218,17
传媒-文化传媒-出版,000719.SZ,000719,33
电力设备-风电设备-风电零部件,300185.SZ,300185,33
汽车-汽车零部件-底盘与发动机系统,603305.SH,603305,17
建筑装饰-建筑装饰-工程咨询服务,301058.SZ,301058,33
商贸零售-零售-商业物业经营,000882.SZ,000882,33
传媒-文化传媒-出版,600551.SH,600551,17
计算机-软件开发-横向通用软件,688023.SH,688023,17
社会服务-旅游及酒店-自然景点,600054.SH,600054,17
医药生物-医药商业-医药流通,002589.SZ,002589,33
基础化工-化学纤维-涤纶,601233.SH,601233,17
电力设备-电池-电池化学品,301358.SZ,301358,33
医药生物-医疗服务-医疗研发外包,300404.SZ,300404,33
建筑装饰-建筑装饰-专业工程,002051.SZ,002051,33
医药生物-生物制品-疫苗,301207.SZ,301207,33
国防军工-军工装备-航空装备,000561.SZ,000561,33
建筑材料-建筑材料-水泥,601992.SH,601992,17
环保-环境治理-固废治理,601200.SH,601200,17
公用事业-电力-新能源发电,600173.SH,600173,17
基础化工-化学原料-其他化学原料,002469.SZ,002469,33
电子-半导体-模拟芯片设计,688220.SH,688220,17
医药生物-医疗服务-其他医疗服务,688315.SH,688315,17
农林牧渔-农产品加工-畜禽饲料,000876.SZ,000876,33
钢铁-钢铁-特钢,002478.SZ,002478,33
计算机-计算机设备-安防设备,300588.SZ,300588,33
汽车-汽车零部件-轮胎轮毂,000589.SZ,000589,33
医药生物-生物制品-血液制品,300294.SZ,300294,33
建筑装饰-建筑装饰-基础建设,002307.SZ,002307,33
交通运输-机场航运-航空运输,601021.SH,601021,17
医药生物-化学制药-化学制剂,688658.SH,688658,17
通信-通信设备-通信网络设备及器件,002296.SZ,002296,33
非银金融-多元金融-多元金融Ⅲ,600783.SH,600783,17
食品饮料-饮料制造-其他酒类,601579.SH,601579,17
机械设备-专用设备-其他专用设备,603855.SH,603855,17
汽车-汽车服务及其他-其他运输设备,603776.SH,603776,17
国防军工-军工装备-地面兵装,300875.SZ,300875,33
建筑装饰-建筑装饰-专业工程,002140.SZ,002140,33
国防军工-军工装备-航空装备,300581.SZ,300581,33
纺织服饰-服装家纺-饰品,300945.SZ,300945,33
电力设备-电池-锂电专用设备,300450.SZ,300450,33
汽车-汽车整车-商用载客车,600686.SH,600686,17
汽车-汽车零部件-轮胎轮毂,000599.SZ,000599,33
钢铁-钢铁-普钢,002110.SZ,002110,33
汽车-汽车零部件-其他汽车零部件,300926.SZ,300926,33
基础化工-化学制品-纺织化学用品,300798.SZ,300798,33
汽车-汽车零部件-其他汽车零部件,002190.SZ,002190,33
医药生物-中药-中药Ⅲ,000989.SZ,000989,33
医药生物-化学制药-化学制剂,300006.SZ,300006,33
电力设备-电网设备-输变电设备,600192.SH,600192,17
机械设备-专用设备-能源及重型设备,601399.SH,601399,17
传媒-文化传媒-电视广播,600637.SH,600637,17
医药生物-生物制品-疫苗,688739.SH,688739,17
电力设备-电机-电机Ⅲ,603370.SH,603370,17
食品饮料-饮料制造-软饮料,600300.SH,600300,17
计算机-计算机设备-其他计算机设备,300130.SZ,300130,33
电力设备-电网设备-电气自控设备,300510.SZ,300510,33
公用事业-燃气-燃气Ⅲ,605169.SH,605169,17
交通运输-机场航运-机场,600004.SH,600004,17
非银金融-证券-证券Ⅲ,601555.SH,601555,17
国防军工-军工电子-军工电子Ⅲ,002383.SZ,002383,33
农林牧渔-种植业与林业-粮食种植,601952.SH,601952,17
建筑装饰-建筑装饰-专业工程,600496.SH,600496,17
电子-光学光电子-光学元件,301183.SZ,301183,33
汽车-汽车零部件-底盘与发动机系统,300611.SZ,300611,33
社会服务-其他社会服务-专业服务,601588.SH,601588,17
房地产-房地产-住宅开发,000090.SZ,000090,33
汽车-汽车零部件-车身附件及饰件,600626.SH,600626,17
医药生物-化学制药-化学制剂,000813.SZ,000813,33
环保-环境治理-固废治理,603568.SH,603568,17
计算机-IT服务-IT服务Ⅲ,000409.SZ,000409,33
交通运输-公路铁路运输-高速公路,000828.SZ,000828,33
通信-通信服务-通信应用增值服务,603887.SH,603887,17
房地产-房地产-产业地产,600848.SH,600848,17
医药生物-中药-中药Ⅲ,600479.SH,600479,17
非银金融-证券-证券Ⅲ,601066.SH,601066,17
通信-通信设备-通信终端及配件,003040.SZ,003040,33
计算机-软件开发-垂直应用软件,300451.SZ,300451,33
交通运输-机场航运-航空运输,600029.SH,600029,17
基础化工-化学纤维-涤纶,600370.SH,600370,22
医药生物-中药-中药Ⅲ,002275.SZ,002275,33
基础化工-橡胶制品-其他橡胶制品,002224.SZ,002224,33
汽车-汽车服务及其他-汽车服务,301215.SZ,301215,33
电子-光学光电子-LED,603303.SH,603303,17
交通运输-港口航运-港口,601018.SH,601018,17
轻工制造-家居用品-成品家居,600337.SH,600337,22
机械设备-专用设备-能源及重型设备,603325.SH,603325,17
农林牧渔-农产品加工-果蔬加工,600251.SH,600251,17
计算机-软件开发-垂直应用软件,688296.SH,688296,17
计算机-软件开发-垂直应用软件,688326.SH,688326,17
交通运输-公路铁路运输-高速公路,600035.SH,600035,17
机械设备-通用设备-其他通用设备,300470.SZ,300470,33
建筑装饰-建筑装饰-基础建设,002061.SZ,002061,33
基础化工-农化制品-复合肥,002470.SZ,002470,33
石油石化-石油加工贸易-石油加工,300055.SZ,300055,33
机械设备-通用设备-仪器仪表,603700.SH,603700,17
医药生物-化学制药-化学制剂,688189.SH,688189,22
计算机-软件开发-垂直应用软件,300830.SZ,300830,33
有色金属-工业金属-铅锌,000758.SZ,000758,33
房地产-房地产-住宅开发,000718.SZ,000718,33
家用电器-白色家电-冰洗,600983.SH,600983,17
建筑装饰-建筑装饰-基础建设,600820.SH,600820,17
社会服务-其他社会服务-专业服务,301508.SZ,301508,33
石油石化-石油加工贸易-石油加工,000819.SZ,000819,33
农林牧渔-种植业与林业-农业综合,300021.SZ,300021,33
基础化工-化学原料-无机盐,603299.SH,603299,17
美容护理-美容护理-个护用品,300888.SZ,300888,33
医药生物-医疗器械-医疗耗材,688050.SH,688050,17
汽车-汽车整车-商用载货车,600375.SH,600375,17
电子-其他电子-其他电子Ⅲ,002130.SZ,002130,33
纺织服饰-纺织制造-棉纺,000726.SZ,000726,33
基础化工-化学制品-其他化学制品,603334.SH,603334,17
交通运输-机场航运-航空运输,601111.SH,601111,17
医药生物-医药商业-医药流通,603368.SH,603368,17
公用事业-燃气-燃气Ⅲ,600903.SH,600903,17
非银金融-多元金融-多元金融Ⅲ,600643.SH,600643,17
非银金融-多元金融-多元金融Ⅲ,603123.SH,603123,17
基础化工-化学制品-其他化学制品,300641.SZ,300641,33
环保-环境治理-固废治理,002034.SZ,002034,33
医药生物-生物制品-疫苗,300841.SZ,300841,33
国防军工-军工装备-航空装备,002985.SZ,002985,33
电力设备-电池-电池化学品,000009.SZ,000009,33
计算机-软件开发-横向通用软件,300579.SZ,300579,33
传媒-文化传媒-出版,601811.SH,601811,17
交通运输-机场航运-航空运输,603885.SH,603885,17
电力设备-电网设备-线缆部件及其他,601096.SH,601096,17
基础化工-化学制品-氟化工,603310.SH,603310,17
通信-通信设备-通信终端及配件,002017.SZ,002017,33
社会服务-旅游及酒店-自然景点,002033.SZ,002033,33
传媒-文化传媒-电视广播,600996.SH,600996,17
汽车-汽车整车-乘用车,002594.SZ,002594,33
房地产-房地产-商业地产,000031.SZ,000031,33
社会服务-其他社会服务-专业服务,920160.BJ,920160,151
基础化工-非金属材料-非金属材料Ⅲ,603612.SH,603612,17
建筑装饰-建筑装饰-基础建设,002629.SZ,002629,33
房地产-房地产-房地产服务,000560.SZ,000560,33
商贸零售-零售-商业物业经营,002818.SZ,002818,33
医药生物-医疗服务-医院,000516.SZ,000516,33
通信-通信服务-通信应用增值服务,300113.SZ,300113,33
基础化工-化学原料-纯碱,000707.SZ,000707,33
医药生物-化学制药-化学制剂,002332.SZ,002332,33
商贸零售-零售-商业物业经营,000785.SZ,000785,33
计算机-软件开发-垂直应用软件,300542.SZ,300542,33
计算机-软件开发-垂直应用软件,300226.SZ,300226,33
环保-环境治理-固废治理,000035.SZ,000035,33
医药生物-中药-中药Ⅲ,600351.SH,600351,17
通信-通信设备-通信终端及配件,300638.SZ,300638,33
食品饮料-白酒-白酒Ⅲ,002646.SZ,002646,33
医药生物-化学制药-化学制剂,600420.SH,600420,17
医药生物-医疗器械-医疗耗材,603301.SH,603301,17
商贸零售-零售-百货零售,600729.SH,600729,17
通信-通信服务-通信应用增值服务,300895.SZ,300895,33
基础化工-化学制品-民爆用品,002226.SZ,002226,33
石油石化-石油加工贸易-石油加工,002986.SZ,002986,33
基础化工-塑料制品-合成树脂,300487.SZ,300487,33
有色金属-工业金属-铅锌,000816.SZ,000816,33
房地产-房地产-住宅开发,600657.SH,600657,17
汽车-汽车零部件-汽车电子电气系统,301656.SZ,301656,33
医药生物-化学制药-化学制剂,600613.SH,600613,17
机械设备-自动化设备-工控设备,603025.SH,603025,17
医药生物-医疗器械-医疗设备,301602.SZ,301602,33
机械设备-专用设备-能源及重型设备,002483.SZ,002483,33
建筑装饰-建筑装饰-基础建设,000498.SZ,000498,33
汽车-汽车零部件-汽车电子电气系统,600651.SH,600651,17
汽车-汽车零部件-其他汽车零部件,002510.SZ,002510,33
汽车-汽车零部件-车身附件及饰件,603730.SH,603730,17
医药生物-医疗器械-医疗耗材,300981.SZ,300981,33
纺织服饰-服装家纺-服装,600177.SH,600177,17
房地产-房地产-房地产服务,300917.SZ,300917,33
建筑装饰-建筑装饰-工程咨询服务,300284.SZ,300284,33
计算机-IT服务-IT服务Ⅲ,600845.SH,600845,17
计算机-IT服务-IT服务Ⅲ,002368.SZ,002368,33
交通运输-港口航运-港口,000905.SZ,000905,33
轻工制造-包装印刷-包装,002014.SZ,002014,33
有色金属-金属新材料-磁性材料,000795.SZ,000795,33
