股票代码,所属同花顺行业,market_code,code
920222.BJ,电力设备-电网设备-输变电设备,151,920222
300044.SZ,计算机-IT服务-IT服务Ⅲ,33,300044
300269.SZ,电子-光学光电子-LED,33,300269
688728.SH,电子-半导体-数字芯片设计,17,688728
300270.SZ,计算机-计算机设备-安防设备,33,300270
300540.SZ,机械设备-专用设备-其他专用设备,33,300540
688355.SH,机械设备-通用设备-金属制品,17,688355
300518.SZ,商贸零售-互联网电商-互联网电商Ⅲ,33,300518
300873.SZ,交通运输-物流-物流Ⅲ,33,300873
301045.SZ,电子-光学光电子-面板,33,301045
301607.SZ,汽车-汽车零部件-汽车电子电气系统,33,301607
301513.SZ,电力设备-电池-锂电专用设备,33,301513
301165.SZ,通信-通信设备-通信网络设备及器件,33,301165
688286.SH,电子-半导体-模拟芯片设计,17,688286
688048.SH,电子-半导体-分立器件,17,688048
301379.SZ,电子-光学光电子-面板,33,301379
688589.SH,电子-半导体-数字芯片设计,17,688589
300545.SZ,电子-光学光电子-面板,33,300545
688352.SH,电子-半导体-集成电路封测,17,688352
688328.SH,机械设备-专用设备-其他专用设备,17,688328
688502.SH,电子-光学光电子-光学元件,17,688502
300671.SZ,电子-半导体-模拟芯片设计,33,300671
688220.SH,电子-半导体-模拟芯片设计,17,688220
300321.SZ,基础化工-塑料制品-其他塑料制品,33,300321
300020.SZ,计算机-IT服务-IT服务Ⅲ,33,300020
300503.SZ,机械设备-通用设备-其他通用设备,33,300503
300980.SZ,基础化工-塑料制品-其他塑料制品,33,300980
300563.SZ,通信-通信设备-通信线缆及配套,33,300563
688596.SH,机械设备-专用设备-其他专用设备,17,688596
688503.SH,电力设备-光伏设备-光伏辅材,17,688503
920662.BJ,机械设备-通用设备-其他通用设备,151,920662
301603.SZ,机械设备-通用设备-机床工具,33,301603
688593.SH,电子-半导体-数字芯片设计,17,688593
300932.SZ,电力设备-电网设备-输变电设备,33,300932
301191.SZ,通信-通信设备-通信终端及配件,33,301191
920339.BJ,电子-光学光电子-LED,151,920339
688147.SH,电子-半导体-半导体设备,17,688147
688209.SH,电子-半导体-模拟芯片设计,17,688209
300975.SZ,电子-其他电子-其他电子Ⅲ,33,300975
300619.SZ,电力设备-电池-锂电专用设备,33,300619
301365.SZ,建筑装饰-建筑装饰-工程咨询服务,33,301365
688689.SH,电子-半导体-分立器件,17,688689
688017.SH,机械设备-自动化设备-机器人,17,688017
300964.SZ,电子-元件-印制电路板,33,300964
688620.SH,电子-半导体-数字芯片设计,17,688620
300948.SZ,环保-环境治理-综合环境治理,33,300948
688797.SH,电子-半导体-半导体材料,17,688797
300812.SZ,电子-消费电子-消费电子零部件及组装,33,300812
688115.SH,机械设备-通用设备-仪器仪表,17,688115
688071.SH,机械设备-专用设备-其他专用设备,17,688071
301520.SZ,医药生物-医疗服务-医疗研发外包,33,301520
688319.SH,医药生物-生物制品-疫苗,17,688319
688080.SH,通信-通信设备-其他通信设备,17,688080
688691.SH,电子-半导体-集成电路制造,17,688691
301680.SZ,汽车-汽车零部件-其他汽车零部件,33,301680
301421.SZ,电子-光学光电子-光学元件,33,301421
300242.SZ,传媒-文化传媒-广告营销,33,300242
688361.SH,电子-半导体-半导体设备,17,688361
688699.SH,电子-半导体-模拟芯片设计,17,688699
