code,market_code,股票代码,所属同花顺行业
920368,151,920368.BJ,电力设备-光伏设备-光伏加工设备
920414,151,920414.BJ,电力设备-光伏设备-光伏加工设备
300861,33,300861.SZ,机械设备-通用设备-磨具磨料
688323,17,688323.SH,基础化工-塑料制品-膜材料
688726,17,688726.SH,电力设备-光伏设备-光伏加工设备
300102,33,300102.SZ,电子-光学光电子-LED
300436,33,300436.SZ,医药生物-化学制药-化学制剂
301232,33,301232.SZ,电力设备-风电设备-风电零部件
688270,17,688270.SH,电子-半导体-模拟芯片设计
300051,33,300051.SZ,电力设备-光伏设备-光伏电池组件
300118,33,300118.SZ,电力设备-光伏设备-光伏电池组件
688223,17,688223.SH,电力设备-光伏设备-光伏电池组件
301149,33,301149.SZ,基础化工-化学制品-其他化学制品
300986,33,300986.SZ,建筑材料-建筑材料-其他建材
300751,33,300751.SZ,电力设备-光伏设备-光伏加工设备
300724,33,300724.SZ,电力设备-光伏设备-光伏加工设备
300780,33,300780.SZ,机械设备-通用设备-金属制品
688002,17,688002.SH,国防军工-军工电子-军工电子Ⅲ
688516,17,688516.SH,电力设备-光伏设备-光伏加工设备
300316,33,300316.SZ,电力设备-光伏设备-光伏加工设备
300385,33,300385.SZ,环保-环保设备-环保设备Ⅲ
688556,17,688556.SH,电力设备-光伏设备-光伏加工设备
300345,33,300345.SZ,电力设备-光伏设备-硅料硅片
300391,33,300391.SZ,医药生物-中药-中药Ⅲ
688005,17,688005.SH,电力设备-电池-电池化学品
300842,33,300842.SZ,电力设备-光伏设备-光伏辅材
688387,17,688387.SH,通信-通信设备-通信网络设备及器件
688668,17,688668.SH,通信-通信设备-通信网络设备及器件
688599,17,688599.SH,电力设备-光伏设备-光伏电池组件
688326,17,688326.SH,计算机-软件开发-垂直应用软件
300461,33,300461.SZ,机械设备-自动化设备-其他自动化设备
920007,151,920007.BJ,电力设备-光伏设备-光伏辅材
688568,17,688568.SH,计算机-IT服务-IT服务Ⅲ
300136,33,300136.SZ,电子-消费电子-消费电子零部件及组装
301005,33,301005.SZ,汽车-汽车零部件-其他汽车零部件
688375,17,688375.SH,国防军工-军工电子-军工电子Ⅲ
300433,33,300433.SZ,电子-消费电子-消费电子零部件及组装
300707,33,300707.SZ,汽车-汽车零部件-其他汽车零部件
301636,33,301636.SZ,电力设备-光伏设备-光伏电池组件
920116,151,920116.BJ,计算机-IT服务-IT服务Ⅲ
300331,33,300331.SZ,电子-光学光电子-光学元件
300344,33,300344.SZ,计算机-软件开发-垂直应用软件
920056,151,920056.BJ,基础化工-塑料制品-其他塑料制品
688155,17,688155.SH,电力设备-电池-锂电池
300337,33,300337.SZ,有色金属-工业金属-铝
688032,17,688032.SH,电力设备-光伏设备-逆变器
688523,17,688523.SH,国防军工-军工装备-航天装备
688315,17,688315.SH,医药生物-医疗服务-其他医疗服务
300053,33,300053.SZ,电子-半导体-数字芯片设计
301093,33,301093.SZ,医药生物-医疗器械-医疗耗材
688045,17,688045.SH,电子-半导体-模拟芯片设计
300393,33,300393.SZ,电力设备-光伏设备-光伏电池组件
920770,151,920770.BJ,电力设备-光伏设备-光伏电池组件
300776,33,300776.SZ,电力设备-光伏设备-光伏加工设备
301617,33,301617.SZ,基础化工-化学制品-其他化学制品
300943,33,300943.SZ,机械设备-通用设备-金属制品
688768,17,688768.SH,机械设备-通用设备-仪器仪表
301595,33,301595.SZ,轻工制造-家居用品-其他家居用品
301662,33,301662.SZ,电力设备-电池-锂电专用设备
300749,33,300749.SZ,轻工制造-家居用品-定制家居
300447,33,300447.SZ,国防军工-军工电子-军工电子Ⅲ
300816,33,300816.SZ,汽车-汽车零部件-其他汽车零部件
688472,17,688472.SH,电力设备-光伏设备-光伏电池组件
688408,17,688408.SH,电力设备-光伏设备-光伏辅材
688292,17,688292.SH,通信-通信设备-其他通信设备
300490,33,300490.SZ,电力设备-其他电源设备-其他电源设备Ⅲ
300617,33,300617.SZ,电力设备-电网设备-输变电设备
920394,151,920394.BJ,轻工制造-造纸-造纸Ⅲ
300575,33,300575.SZ,基础化工-农化制品-农药
688627,17,688627.SH,机械设备-专用设备-其他专用设备
920985,151,920985.BJ,电力设备-光伏设备-光伏电池组件
688560,17,688560.SH,电力设备-光伏设备-光伏辅材
920522,151,920522.BJ,电力设备-电池-锂电专用设备
688071,17,688071.SH,机械设备-专用设备-其他专用设备
688031,17,688031.SH,计算机-软件开发-横向通用软件
300004,33,300004.SZ,机械设备-专用设备-其他专用设备
300837,33,300837.SZ,机械设备-专用设备-能源及重型设备
002506,33,002506.SZ,电力设备-光伏设备-光伏电池组件
300508,33,300508.SZ,计算机-计算机设备-其他计算机设备
