股票代码,所属同花顺行业,market_code,code
920471.BJ,基础化工-化学制品-其他化学制品,151,920471
301261.SZ,机械设备-通用设备-金属制品,33,301261
300905.SZ,基础化工-化学纤维-其他纤维,33,300905
300540.SZ,机械设备-专用设备-其他专用设备,33,300540
300187.SZ,环保-环境治理-综合环境治理,33,300187
688530.SH,电子-半导体-半导体材料,17,688530
688191.SH,计算机-IT服务-IT服务Ⅲ,17,688191
301217.SZ,电力设备-电池-锂电池,33,301217
688328.SH,机械设备-专用设备-其他专用设备,17,688328
688268.SH,电子-电子化学品-电子化学品Ⅲ,17,688268
300550.SZ,计算机-软件开发-垂直应用软件,33,300550
300067.SZ,基础化工-化学制品-纺织化学用品,33,300067
300586.SZ,基础化工-塑料制品-改性塑料,33,300586
300571.SZ,通信-通信服务-通信应用增值服务,33,300571
300931.SZ,机械设备-专用设备-楼宇设备,33,300931
688549.SH,电子-电子化学品-电子化学品Ⅲ,17,688549
688087.SH,基础化工-塑料制品-其他塑料制品,17,688087
688029.SH,医药生物-医疗器械-医疗耗材,17,688029
300317.SZ,公用事业-电力-新能源发电,33,300317
300243.SZ,基础化工-塑料制品-其他塑料制品,33,300243
300596.SZ,基础化工-化学制品-其他化学制品,33,300596
301317.SZ,机械设备-通用设备-其他通用设备,33,301317
601828.SH,商贸零售-零售-商业物业经营,17,601828
600248.SH,建筑装饰-建筑装饰-房屋建设,17,600248
000889.SZ,通信-通信服务-通信工程及服务,33,000889
688246.SH,计算机-软件开发-垂直应用软件,17,688246
600770.SH,综合-综合-综合Ⅲ,17,600770
600227.SH,基础化工-农化制品-氮肥,17,600227
002575.SZ,综合-综合-综合Ⅲ,33,002575
600726.SH,煤炭-煤炭开采加工-煤炭开采,17,600726
600152.SH,电力设备-电池-锂电池,17,600152
603095.SH,机械设备-专用设备-纺织服装设备,17,603095
600744.SH,公用事业-电力-火电,17,600744
603399.SH,有色金属-能源金属-锂,17,603399
601177.SH,机械设备-通用设备-金属制品,17,601177
002218.SZ,公用事业-电力-新能源发电,33,002218
002715.SZ,汽车-汽车零部件-底盘与发动机系统,33,002715
603336.SH,农林牧渔-种植业与林业-其他种植业,17,603336
002412.SZ,医药生物-中药-中药Ⅲ,33,002412
603317.SH,食品饮料-食品加工制造-调味发酵品,17,603317
001266.SZ,机械设备-自动化设备-工控设备,33,001266
001358.SZ,基础化工-化学制品-其他化学制品,33,001358
601101.SH,煤炭-煤炭开采加工-煤炭开采,17,601101
003026.SZ,电子-半导体-半导体材料,33,003026
603931.SH,电子-电子化学品-电子化学品Ⅲ,17,603931
000967.SZ,环保-环保设备-环保设备Ⅲ,33,000967
605168.SH,传媒-文化传媒-广告营销,17,605168
605287.SH,建筑装饰-建筑装饰-装饰园林,17,605287
605289.SH,建筑装饰-建筑装饰-装饰园林,17,605289
002313.SZ,通信-通信设备-通信终端及配件,33,002313
603215.SH,家用电器-小家电-小家电Ⅲ,17,603215
600379.SH,电力设备-电网设备-输变电设备,17,600379
603629.SH,计算机-IT服务-IT服务Ⅲ,17,603629
603283.SH,机械设备-自动化设备-工控设备,17,603283
603779.SH,食品饮料-饮料制造-其他酒类,17,603779
002821.SZ,医药生物-医疗服务-医疗研发外包,33,002821
603259.SH,医药生物-医疗服务-医疗研发外包,17,603259
002902.SZ,通信-通信设备-通信网络设备及器件,33,002902
002989.SZ,建筑装饰-建筑装饰-装饰园林,33,002989
001298.SZ,电子-其他电子-其他电子Ⅲ,33,001298
603338.SH,机械设备-工程机械-工程机械Ⅲ,17,603338
002647.SZ,非银金融-多元金融-多元金融Ⅲ,33,002647
002733.SZ,电力设备-电池-其他电池,33,002733
000593.SZ,公用事业-燃气-燃气Ⅲ,33,000593
002297.SZ,国防军工-军工装备-航空装备,33,002297
002652.SZ,建筑材料-建筑材料-其他建材,33,002652
603318.SH,公用事业-燃气-燃气Ⅲ,17,603318
600623.SH,基础化工-化学原料-煤化工,17,600623
002923.SZ,医药生物-化学制药-化学制剂,33,002923
600156.SH,纺织服饰-纺织制造-其他纺织,17,600156
600488.SH,医药生物-化学制药-化学制剂,17,600488
