所属同花顺行业,market_code,股票代码,code
电力设备-电池-锂电专用设备,151,920779.BJ,920779
电力设备-光伏设备-逆变器,33,301658.SZ,301658
医药生物-医疗器械-医疗设备,33,300246.SZ,300246
通信-通信设备-通信终端及配件,33,300504.SZ,300504
基础化工-塑料制品-其他塑料制品,33,300243.SZ,300243
电力设备-电网设备-输变电设备,33,301361.SZ,301361
电力设备-电池-锂电池,33,301150.SZ,301150
基础化工-化学纤维-其他纤维,17,688295.SH,688295
电力设备-风电设备-风电零部件,33,301040.SZ,301040
电力设备-其他电源设备-其他电源设备Ⅲ,17,688411.SH,688411
电力设备-电网设备-输变电设备,33,301291.SZ,301291
机械设备-专用设备-其他专用设备,151,920091.BJ,920091
电子-元件-印制电路板,33,301251.SZ,301251
电力设备-光伏设备-逆变器,17,688717.SH,688717
机械设备-通用设备-仪器仪表,17,688600.SH,688600
电力设备-光伏设备-逆变器,33,300763.SZ,300763
基础化工-化学制品-其他化学制品,33,301518.SZ,301518
机械设备-专用设备-其他专用设备,17,688001.SH,688001
汽车-汽车零部件-其他汽车零部件,17,688021.SH,688021
电力设备-电池-锂电池,33,301511.SZ,301511
公用事业-电力-新能源发电,17,601016.SH,601016
机械设备-通用设备-金属制品,33,002445.SZ,002445
商贸零售-贸易-贸易Ⅲ,33,000626.SZ,000626
基础化工-化学原料-钛白粉,33,000545.SZ,000545
基础化工-化学原料-氯碱,33,002092.SZ,002092
农林牧渔-种植业与林业-其他种植业,17,600108.SH,600108
电力设备-电网设备-线缆部件及其他,17,601700.SH,601700
环保-环境治理-水务及水治理,17,600769.SH,600769
电力设备-电网设备-输变电设备,33,300932.SZ,300932
机械设备-通用设备-机床工具,33,002248.SZ,002248
基础化工-化学制品-食品及饲料添加剂,17,600873.SH,600873
机械设备-通用设备-磨具磨料,17,600172.SH,600172
基础化工-化学原料-煤化工,17,600989.SH,600989
电子-其他电子-其他电子Ⅲ,33,002782.SZ,002782
基础化工-化学制品-食品及饲料添加剂,17,600299.SH,600299
基础化工-化学原料-氯碱,17,600075.SH,600075
公用事业-电力-火电,33,000899.SZ,000899
轻工制造-包装印刷-包装,33,002831.SZ,002831
石油石化-石油加工贸易-油品石化贸易,17,603353.SH,603353
基础化工-化学制品-其他化学制品,33,002455.SZ,002455
电力设备-光伏设备-逆变器,33,002150.SZ,002150
基础化工-化学原料-其他化学原料,17,603938.SH,603938
电力设备-电池-其他电池,33,002733.SZ,002733
电力设备-光伏设备-逆变器,17,605117.SH,605117
传媒-文化传媒-出版,17,601858.SH,601858
基础化工-化学纤维-其他纤维,33,001369.SZ,001369
轻工制造-造纸-造纸Ⅲ,17,600433.SH,600433
医药生物-医疗器械-医疗设备,33,002432.SZ,002432
通信-通信设备-通信终端及配件,17,603803.SH,603803
电子-消费电子-消费电子零部件及组装,17,603629.SH,603629
有色金属-能源金属-锂,33,002667.SZ,002667
机械设备-通用设备-其他通用设备,17,603757.SH,603757
电子-光学光电子-面板,17,603773.SH,603773
综合-综合-综合Ⅲ,33,000833.SZ,000833
电子-其他电子-其他电子Ⅲ,33,000062.SZ,000062
基础化工-橡胶制品-炭黑,33,001207.SZ,001207
通信-通信设备-通信网络设备及器件,17,603421.SH,603421
商贸零售-零售-商业物业经营,33,002177.SZ,002177
环保-环境治理-固废治理,17,601330.SH,601330
电子-元件-印制电路板,17,603936.SH,603936
电力设备-光伏设备-光伏电池组件,17,603778.SH,603778
基础化工-化学原料-煤化工,17,600722.SH,600722
机械设备-通用设备-仪器仪表,33,002175.SZ,002175
煤炭-煤炭开采加工-煤炭开采,17,600726.SH,600726
汽车-汽车零部件-底盘与发动机系统,17,603158.SH,603158
公用事业-电力-新能源发电,33,000537.SZ,000537
基础化工-化学原料-无机盐,17,600328.SH,600328
基础化工-化学原料-纯碱,17,600409.SH,600409
通信-通信服务-通信应用增值服务,33,000839.SZ,000839
建筑装饰-建筑装饰-房屋建设,17,601789.SH,601789
医药生物-化学制药-化学制剂,33,301281.SZ,301281
建筑装饰-建筑装饰-基础建设,17,601868.SH,601868
机械设备-专用设备-能源及重型设备,151,920158.BJ,920158
机械设备-专用设备-纺织服装设备,33,301053.SZ,301053
电力设备-光伏设备-逆变器,33,300274.SZ,300274
环保-环境治理-固废治理,33,301265.SZ,301265
机械设备-自动化设备-激光设备,33,000988.SZ,000988
机械设备-专用设备-其他专用设备,17,688700.SH,688700
石油石化-石油加工贸易-石油加工,33,300135.SZ,300135
电子-光学光电子-LED,33,002638.SZ,002638
电力设备-电网设备-输变电设备,33,002452.SZ,002452
基础化工-农化制品-农药,17,600389.SH,600389
计算机-IT服务-IT服务Ⅲ,33,301638.SZ,301638
电力设备-电池-电池化学品,33,002709.SZ,002709
电力设备-电池-电池化学品,33,301292.SZ,301292
电力设备-电池-锂电池,33,300438.SZ,300438
