股票代码,code,market_code,涨停原因类别[20260128]
002848.SZ,002848,33,定增易主+潍坊国资+高频覆铜板
002716.SZ,002716,33,银价上涨+白银冶炼+湖南国资
600987.SH,600987,17,黄金首饰+印染龙头
000638.SZ,000638,33,
000506.SZ,000506,33,扭亏为盈+黄金+国企
001360.SZ,001360,33,黄金+海外订单+矿山服务
000630.SZ,000630,33,铜价上涨+铜箔+黄金+国企
601069.SH,601069,17,金价新高+黄金采选冶+新疆国资
601212.SH,601212,17,黄金+白银+铜冶炼+锂电材料
002816.SZ,002816,33,
603256.SH,603256,17,AI服务器+PCB材料+定增扩产
000573.SZ,000573,33,2025年报预增+金属铅+东莞地产
300139.SZ,300139,33,黄金+非洲金矿+金价新高
600313.SH,600313,17,种子龙头+年报预增+定增落地+央企
600961.SH,600961,17,黄金+有色金属+央企控股
000807.SZ,000807,33,有色金属+绿色铝+央企
002169.SZ,002169,33,2025年报预增+高压储能+参投粤芯半导体
603619.SH,603619,17,伊拉克中标+油气一体化+民营龙头
002496.SZ,002496,33,
600869.SH,600869,17,2025年报预增+AI芯片供应链+机器人线缆+液冷业务
688216.SH,688216,17,定增获批+存储芯片+先进封装
603958.SH,603958,17,机器人+消费电子+钛合金粉
601702.SH,601702,17,铝板带箔+有色金属+特斯拉
600531.SH,600531,17,白银涨价+黄金+铅铜龙头+国企改革
603637.SH,603637,17,
002155.SZ,002155,33,重组复牌+黄金预增+湖南国资
002342.SZ,002342,33,商业航天+深海系泊+索具龙头
603559.SH,603559,22,ST摘帽预期+通信服务+重整完成
603188.SH,603188,17,拟挂牌转让+染料龙头+国资改革
000609.SZ,000609,33,
002130.SZ,002130,33,
600262.SH,600262,17,矿山装备+央企
001337.SZ,001337,33,金价新高+金精矿+四川国资
000751.SZ,000751,33,有色金属+锌铜冶炼+黄金概念
605599.SH,605599,17,黄金饰品+直营扩张+北京国资
000004.SZ,000004,33,
603828.SH,603828,22,
002620.SZ,002620,33,
601799.SH,601799,17,H股递表+车灯龙头+智能车灯+回购
600735.SH,600735,22,
603680.SH,603680,17,2025年报预增+高铁+商业航天+一带一路
600489.SH,600489,17,金价新高+业绩预增+央企黄金
003042.SZ,003042,33,供销社+草甘膦+农药原药
002114.SZ,002114,33,有色金属+锗矿复产+曲靖国资
603516.SH,603516,17,
002119.SZ,002119,33,存储芯片+封装材料+回购完成
603077.SH,603077,17,矿产资源+磷矿+草甘膦
301500.SZ,301500,33,2025年报预增+黄金+危废资源化+新能源材料
000878.SZ,000878,33,收购凉山矿业+黄金+有色金属+央企
600871.SH,600871,17,CCUS+央企油服+海外大单
000972.SZ,000972,33,
000737.SZ,000737,33,黄金+铜+山西国资+压延铜箔
603511.SH,603511,17,
002207.SZ,002207,33,油服龙头+国资+定增推进
603052.SH,603052,17,硅光芯片+光模块+消费电子
603601.SH,603601,17,SpaceX传闻+玻璃微纤维+高效滤材
600599.SH,600599,22,
002569.SZ,002569,33,
002080.SZ,002080,33,低介电纤维布+商业航天+风电叶片+2025年报预增
603261.SH,603261,22,
002231.SZ,002231,33,
600759.SH,600759,17,油气开采+哈萨克斯坦油田+海南自贸区
002160.SZ,002160,33,有色金属+固态电池+洁净室系统+国企
300164.SZ,300164,33,油气+北美巨头合作+射孔技术
000711.SZ,000711,33,ITO靶材+有色金属+金属铟+资产注入
001270.SZ,001270,33,商业航天+低轨卫星+T/R芯片
603988.SH,603988,17,黄金+风光电储+电机
600355.SH,600355,22,
601600.SH,601600,17,工业金属+稀土参股+央企
600170.SH,600170,17,数据中心+钍基核能+上海国资
002440.SZ,002440,33,2025年报预增+染料龙头+H酸+半导体投资
603132.SH,603132,17,有色金属+资源增储+前三季度业绩增长
002578.SZ,002578,33,有色金属+光伏+国企改革
002532.SZ,002532,33,电解铝+铝产业链+回购注销
001376.SZ,001376,33,安哥拉电解铝+热电联产+供热+境外投资
301177.SZ,301177,33,黄金+DR钻戒+单店提效+海南门店
600696.SH,600696,22,
002455.SZ,002455,33,磷酸铁锂+锂电材料+精细化工
600916.SH,600916,17,黄金销售+培育钻石+央企
600230.SH,600230,17,化工+特种PC+TDI涨价+国企改革
002898.SZ,002898,33,
003004.SZ,003004,33,
600490.SH,600490,17,黄金+铜+有色金属
600740.SH,600740,17,焦炭+甲醇+山西国资
601388.SH,601388,17,2025年报预增+再生铝龙头+汽车拆解
601015.SH,601015,17,煤炭板块+煤焦化+LNG
002667.SZ,002667,33,有色金属+钨锡铅锌+郴州锂矿+股权转让
002237.SZ,002237,33,黄金+稀散金属+江西铜业+国企
002724.SZ,002724,33,2025年报预增+核电+专业照明
002047.SZ,002047,33,
002842.SZ,002842,33,2025年报预增+钨价上涨+光伏钨丝
002582.SZ,002582,33,
000518.SZ,000518,33,
600655.SH,600655,17,培育钻石+黄金+豫园灯会
000620.SZ,000620,33,拟收购半导体+存储芯片+文旅地产
002058.SZ,002058,33,
600988.SH,600988,17,2025年报预增+黄金+资源扩张
603900.SH,603900,17,黄金概念+艺术黄金+扭亏为盈
002721.SZ,002721,33,数字人民币+AI金融+黄金珠宝+海淀国资
603843.SH,603843,22,
600219.SH,600219,17,印尼扩产+航空铝材+回购注销
300798.SZ,300798,33,算力租赁+活性染料
600352.SH,600352,17,染料龙头+德司达收购+创投
600459.SH,600459,17,铂族金属+黄金+铂抗癌药+云南国资
002199.SZ,002199,33,
000603.SZ,000603,33,黄金+白银+并购扩张
000599.SZ,000599,33,拟并购锦湖+轮胎+青岛国资+机器人
000815.SZ,000815,33,云计算+央企+绿色数据中心
002528.SZ,002528,33,
000758.SZ,000758,33,有色金属+国际工程承包+央企
000962.SZ,000962,33,定增过审+钽铌龙头+商业航天+央企
601068.SH,601068,17,有色金属+电解铝中标+境外大单+央企
