market_code,股票代码,code,涨停原因类别[20260413]
33,002418.SZ,002418,液冷+算力租赁+家电制冷
33,002957.SZ,002957,光模块+半导体设备+精密零部件制造+业绩预增
22,600165.SH,600165,ST板块+长链二元酸+重整完成
17,603800.SH,603800,固态电池+铜箔设备+复合集流体+光刻机
33,000638.SZ,000638,
22,600608.SH,600608,花卉转型+扭亏预告+昆明国资
17,603256.SH,603256,电子布+AI算力+净利暴增
33,000791.SZ,000791,东数西算二期+绿电装机+算电协同+甘肃国资
33,002580.SZ,002580,液冷储能+固态电池+山东国资
33,300561.SZ,300561,摘帽申请+金融科技+内控整改
17,600743.SH,600743,实控人筹划重组+物业管理+北京国资
17,603950.SH,603950,重大资产重组+柴油动力单元+发动机零部件
33,002822.SZ,002822,IDC算力+光伏新能源+重整完成
17,688667.SH,688667,并购锐能+年报增长+新能源汽车+理想零跑
17,600982.SH,600982,绿电+光伏+国企
33,000968.SZ,000968,油气涨价+煤层气+山西国资
33,000612.SZ,000612,一季报预增+电解铝涨价+金属镓
17,603283.SH,603283,HBM检测+半导体设备+存储芯片
17,603803.SH,603803,CPO+智算中心+高速光模块
33,002321.SZ,002321,实控人拟变更+羽绒出口+预制菜+鸭业龙头
33,000609.SZ,000609,ST板块+半导体创投+房地产回款
17,600654.SH,600654,算力中心+智慧安防+三季报暴增
33,002789.SZ,002789,珠海国资+储能+建筑装饰
33,002980.SZ,002980,光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表
33,000688.SZ,000688,锂矿+钼矿+有色金属+年报增长
17,600299.SH,600299,蛋氨酸涨价+动物营养添加剂+产能扩张+央企改革
17,605255.SH,605255,中昊芯英入主+汽车管路+多次风险提示
33,002439.SZ,002439,一季报预增+AI安全+央企
22,600381.SH,600381,退市博弈+高端白酒+虫草龙头
17,601019.SH,601019,
33,002515.SZ,002515,光模块+火腿
22,603828.SH,603828,控制权变更+光伏建筑一体化+装配化装修
33,000929.SZ,000929,申请撤销退市风险警示+啤酒饮料+果汁扩产+扭亏预期
17,688081.SH,688081,视频指挥+军工AI+航天某研究所合作
33,000793.SZ,000793,海南国资入主+重整计划+文旅传媒
33,002529.SZ,002529,ST板块+汽车轻量化+光伏组件
33,000669.SZ,000669,
22,600636.SH,600636,
33,002467.SZ,002467,云网融合基础设施+商业航天+数据中心+AI数字人
17,601908.SH,601908,硅片+绿色电力+光伏设备
33,002297.SZ,002297,业绩预增+商业航天+C919+湖南国资
