market_code,股票代码,code,涨停原因类别[20260714]
33,002250.SZ,002250,中报预增+创新药CDMO+六氟磷酸锂+新能源
17,600746.SH,600746,中报预增+醋酸+国企改革
17,688192.SH,688192,授权阿斯利康+创新药+业绩增长
33,002141.SZ,002141,覆铜板+PCB上游+盐湖钾肥参股
17,603577.SH,603577,特高压+电网设备+光伏支架
33,002731.SZ,002731,
17,600118.SH,600118,
33,002636.SZ,002636,半年报预增+覆铜板+满产满销
17,600227.SH,600227,中报预计扭亏+尿素+甲醇
33,001283.SZ,001283,AI端侧电池+固态电池+机器人+储能定增
33,000968.SZ,000968,煤层气+同业竞争解决+山西国资
17,603619.SH,603619,油气开采+霍尔木兹海峡局势+海外区块
17,603806.SH,603806,半年报预增+光伏胶膜+感光干膜
22,600180.SH,600180,庭外重组+海外煤炭+ST板块
17,603065.SH,603065,磷化铟衬底+光稳定剂+终止减持
17,688216.SH,688216,半导体封装测试+先进封装+半年报扭亏
17,601969.SH,601969,中报预增+油气+锂矿+萤石矿收购
33,301259.SZ,301259,算力租赁+参股AI芯片+环保
22,600302.SH,600302,
33,002536.SZ,002536,液冷服务器+汽车热管理+芯片概念
17,603012.SH,603012,智慧矿山+煤机装备+华为合作+定增获批
33,002342.SZ,002342,
17,600354.SH,600354,中报预增+转基因+玉米种业+甘肃国资
17,603989.SH,603989,MLPC+AI服务器+铝电解电容+薄膜电容
17,605255.SH,605255,中昊芯英+汽车管路+外部流通盘小
33,000703.SZ,000703,石油化工+海外炼化+煤制乙二醇+中报预增
17,600058.SH,600058,
33,002162.SZ,002162,中报预增+康养服务+银发经济+机器人
17,600664.SH,600664,中报预增+基药目录+化学制药+创新药
33,002128.SZ,002128,绿电铝投产+煤炭+白音华并表+央企
33,002628.SZ,002628,萤石矿+氟化工+机器人+西部基建
17,600183.SH,600183,半年报预增+AI算力+覆铜板
33,000759.SZ,000759,商业零售+本地生活+国企改革
151,920305.BJ,920305,退市整理期+大数据存储+AI大模型
17,605189.SH,605189,半年报预增+PEEK材料+人形机器人+筒子纱龙头
17,601101.SH,601101,中报预增+煤炭+甲醇+北京国资
17,605133.SH,605133,人形机器人+行星滚柱丝杠+员工持股解锁
17,605028.SH,605028,协议转让+热电联产+扣非增长
17,603516.SH,603516,半年报扭亏+持有沐曦股份+自研ASIC芯片
33,002549.SZ,002549,
17,603077.SH,603077,中报预增+草甘膦+蛋氨酸+磷矿
17,603222.SH,603222,集成电路+AI芯片+创新药+医疗器械
33,001388.SZ,001388,高送转+防冰机器人+电网设备
17,600829.SH,600829,医药零售+医药流通+黑龙江国资
17,600497.SH,600497,半年度业绩预增+锗价上涨+铅锌龙头+央企
17,600186.SH,600186,
33,002838.SZ,002838,机器人材料+乙丙橡胶扩产+DVA商业化
33,002484.SZ,002484,AI服务器电源+超级电容+浙江国资
17,603949.SH,603949,
33,002379.SZ,002379,中报预增+电解铝+铝全产业链
33,002357.SZ,002357,2026中报预增+股权转让+客运龙头+低空经济
33,002829.SZ,002829,
17,603137.SH,603137,拟收购存储公司+建筑幕墙+跨界转型
22,600759.SH,600759,油气开采+控制权风险解除+ST板块
17,600293.SH,600293,电子玻璃+高端玻璃转型+汽车玻璃+宜昌国资
33,300164.SZ,300164,油气开采+阿尔及利亚中标+射孔服务
17,600255.SH,600255,半年报预增+高速铜连接+铜合金板带+四川国资
33,000677.SZ,000677,第一大股东增持+低空经济+帘子布
33,001270.SZ,001270,
33,001226.SZ,001226,钛合金+工程机械+一季报增长
17,605196.SH,605196,电解铝+线缆与油服+一季报增长
33,000554.SZ,000554,油气+国企改革
17,600785.SH,600785,
33,002523.SZ,002523,业绩预增+机器人+铝电解专用起重设备+株洲国资
17,600470.SH,600470,
33,001229.SZ,001229,
33,300444.SZ,300444,
22,600491.SH,600491,要约收购+建筑总包+绿色建筑
33,002532.SZ,002532,电解铝+铝箔+中报预增+回购
17,600992.SH,600992,
33,003001.SZ,003001,岩土固化剂+可控核聚变+核电
33,300209.SZ,300209,算力租赁涨价+AI硬件+中报预增
33,301100.SZ,301100,POE催化剂+化工+亏损收窄
33,002243.SZ,002243,东方算芯融资+AI投资+深圳国资
33,002384.SZ,002384,光芯片+光模块+AI PCB
33,002718.SZ,002718,集成吊顶+智能家居+实控人变更
33,001389.SZ,001389,算力PCB+中报预增+海外产能释放
17,600343.SH,600343,
33,000636.SZ,000636,MLCC+半年报预增+广东国资
17,603580.SH,603580,控制权拟变更+复牌+轻型输送带+消费电子
33,000008.SZ,000008,控制权变更+复牌+轨道交通+浙江国资
17,600844.SH,600844,半年报预计扭亏+草酸扩产+煤化工
17,603489.SH,603489,中报预增+电踏车电机+力矩传感器
33,000078.SZ,000078,肿瘤早筛+高管增持+医药商业
17,603367.SH,603367,创新药+化学制药+特医食品
33,002208.SZ,002208,
33,002137.SZ,002137,
33,000036.SZ,000036,房地产开发+物业管理+盐湖提锂
17,603466.SH,603466,具身智能+AI体验经济+中报预增
151,920821.BJ,920821,PCB概念+光模块+AI眼镜
22,603398.SH,603398,
33,002463.SZ,002463,半年报预增+AI算力PCB+产能扩张
17,600403.SH,600403,中报减亏+煤炭+国企改革
17,605598.SH,605598,
17,603042.SH,603042,半年报预盈+光纤光缆+FPGA芯片
17,603197.SH,603197,2026中报预增+智能驾驶+机器人+传感器
17,603730.SH,603730,中报预增+特斯拉产业链+人形机器人+遮阳板龙头
33,000639.SZ,000639,中报扭亏+资产剥离+玉米油+高管增持
17,603698.SH,603698,
33,002432.SZ,002432,参股月之暗面+拟投资阶跃星辰+AI医疗
