market_code,股票代码,code,涨停原因类别[20260512]
33,002491.SZ,002491,合资投建+光纤涨价+数据中心+通信电缆
33,002193.SZ,002193,
33,001259.SZ,001259,股份转让+小家电+露营经济
33,301310.SZ,301310,
17,600076.SH,600076,半导体并购+集装箱地板+无锡国资
33,002840.SZ,002840,
33,002501.SZ,002501,军工+汽车铝型材+退市风险
33,001359.SZ,001359,玻纤涨价+云母绝缘+固态电池
22,600082.SH,600082,天津国资+工业地产+利空落地+ST板块
33,000767.SZ,000767,山西最大电力+国企背景
17,600869.SH,600869,算力AI+光纤+商业航天+中标大单
22,600180.SH,600180,
22,600302.SH,600302,控制权变更+缝制设备+机器人概念+西安国资
33,000601.SZ,000601,算电协同+储能+绿电直供
22,603559.SH,603559,摘帽申请+通信工程+扭亏为盈
33,000909.SZ,000909,ST博弈+房地产+杭州国资+智慧交通
33,000609.SZ,000609,
17,600488.SH,600488,甾体激素+原料药出口
33,002560.SZ,002560,特高压线缆+航空零部件+券商上调评级
33,002522.SZ,002522,光纤油膏+POF热收缩膜+一季报增长+常德国资
33,300004.SZ,300004,3D打印+航空航天+核电+佛山国资
33,002789.SZ,002789,珠海国资+储能+建筑装饰
17,600719.SH,600719,热电联产+新能源注入预期+业绩增长+大连国资
17,605198.SH,605198,浓缩果汁龙头+NFC果汁+一带一路出口
33,002082.SZ,002082,
33,002294.SZ,002294,
17,603007.SH,603007,更名+机器人+储能+摘帽
22,600381.SH,600381,申请摘帽+酒水高增+虫草龙头
17,603211.SH,603211,人形机器人+机器人零部件+定增扩产
33,000950.SZ,000950,医药商业+药品获批+央企背景
22,688496.SH,688496,
33,001211.SZ,001211,金钢瓷放量+竹基禾塑托盘+全竹产业链
17,603061.SH,603061,半导体设备+测试分选机+可转债扩产+一季报高增
33,002431.SZ,002431,超跌反弹+不减持+生态园林+河南国资
22,600818.SH,600818,
22,600735.SH,600735,资金占用清偿+石墨新材料+发制品出口
33,000632.SZ,000632,ST反弹+跨境电商+国资背景
33,300449.SZ,300449,GPU大单+算力+数字水印
33,002175.SZ,002175,广西国资拟入主+智能物流+*ST博弈
22,600678.SH,600678,
17,603688.SH,603688,光纤材料+半导体石英+高纯石英砂
33,300265.SZ,300265,光纤光缆+长飞合作+商业航天+特高压
33,002606.SZ,002606,特高压中标+瓷绝缘子龙头+沙特基地
33,002190.SZ,002190,航天+中航工业+飞行汽车
17,600172.SH,600172,重大突破+金刚石散热+培育钻石+半导体
22,600084.SH,600084,葡萄酒+一季报增长+ST反弹
22,603021.SH,603021,日用玻璃+委托贷款+ST博弈
33,000672.SZ,000672,半导体封装基板+创投+水泥
33,002866.SZ,002866,
17,600667.SH,600667,存储芯片+半导体封测+SK海力士+国企
33,002498.SZ,002498,500kV海缆+特高压+海上风电+一季报增长
22,600537.SH,600537,预重整协议+TOPCon电池+ST板块
33,000007.SZ,000007,
33,002538.SZ,002538,
33,002323.SZ,002323,
22,600730.SH,600730,ST投机+AI教育+国资背景
17,603895.SH,603895,人形机器人+固态电池+锂电池装备
33,002207.SZ,002207,ST板块+油气服务+新疆国资
33,301196.SZ,301196,MPO+光纤连接头+机器人+精密模具
17,603052.SH,603052,牛散举牌+硅光芯片+消费电子
33,000010.SZ,000010,庭外重组+算力+市政基建
33,002552.SZ,002552,PCB铜箔+黄金采选+Q1业绩大增
22,603378.SH,603378,ST反弹+退市风险+涂装业务
22,600759.SH,600759,
17,603269.SH,603269,液冷服务器+核电冷却塔+订单高增
33,002254.SZ,002254,光纤+芳纶涂覆+半固态电池+国企
17,600530.SH,600530,保健品+宠物新品+益生菌+养老护理
33,000677.SZ,000677,
33,000006.SZ,000006,地产开发+城中村改造+深圳国资
33,002693.SZ,002693,多肽出口+申请撤销退市风险警示+扭亏为盈
33,000711.SZ,000711,铟靶材+一季度扭亏+摘帽预期
33,000029.SZ,000029,房地产+深圳国资+新房成交激增
33,002726.SZ,002726,
33,001270.SZ,001270,
33,002428.SZ,002428,磷化铟扩产+光纤级锗产品+光伏锗+商业航天
22,603189.SH,603189,低空经济+AI巡检+ST摘帽预期
22,600370.SH,600370,
17,603682.SH,603682,城市更新+出租率修复+轻资产运营
33,002787.SZ,002787,半导体设备+温控设备+并购扩张
33,000908.SZ,000908,石药入主+创新药+摘星
33,301139.SZ,301139,
22,601010.SH,601010,
17,600722.SH,600722,
33,002102.SZ,002102,维生素E+回购注销+国企
22,603721.SH,603721,
33,002918.SZ,002918,建筑陶瓷+地产链+先进陶瓷布局
33,002289.SZ,002289,摘帽申请+一季报暴增+IDC并表+算力租赁
33,002300.SZ,002300,海缆+数据中心+特高压
33,002346.SZ,002346,电网设备+应用于集成电路+锂资源
17,603203.SH,603203,先进封装+TCB设备+AI芯片
22,603272.SH,603272,*ST+墙布+流通盘小+回购
33,000668.SZ,000668,
22,603813.SH,603813,
17,603037.SH,603037,机器人领域探索+聚氨酯材料+拟收购拓盛
17,600396.SH,600396,绿电+央企+火电
22,600337.SH,600337,拟收购万德溙+铜缆高速连接+重整预期+回购延期
33,300959.SZ,300959,股东转让+移动信息服务+数字营销+拼多多概念
17,603320.SH,603320,压缩机电机+空气能热泵+出口增长
33,002667.SZ,002667,
22,603580.SH,603580,年报扭亏+轻型输送带+新能源电池配件
17,600683.SH,600683,拟收购奇芯光电+TOD轨道物业+北京国资
33,000078.SZ,000078,
33,002856.SZ,002856,国资背景+建筑装饰+ST摘帽预期
22,600187.SH,600187,污水处理+退市风险+一季度扭亏
17,603070.SH,603070,数据中心+电气机柜+储能+沙特设厂
33,002208.SZ,002208,间接持有长鑫科技+房地产+合肥国资
33,000925.SZ,000925,磷化铟+算力租赁+商业航天
33,301197.SZ,301197,智慧供热+回购+激励
22,603398.SH,603398,预重整+光伏硅片+ST板块
22,600745.SH,600745,
33,002081.SZ,002081,半导体洁净室+商业航天配套+中标2.32亿
33,000826.SZ,000826,预重整+数字环卫+ST板块
33,002109.SZ,002109,
33,002514.SZ,002514,人形机器人+光伏+智能制造
22,603959.SH,603959,庭外重组+锂电产线+ST板块
33,000903.SZ,000903,
22,600289.SH,600289,
22,600734.SH,600734,智算中心+福建国资+摘帽预期
33,002199.SZ,002199,碳酸锂+石英晶体+申请撤销退市风险警
17,603331.SH,603331,人形机器人+银河通用合作+汽车零部件
33,000591.SZ,000591,算电+光伏+储能+央企
33,002528.SZ,002528,庭外重组+深圳国资+智慧城市+AI安防
17,603186.SH,603186,覆铜板+AI算力+定增扩产
17,601991.SH,601991,蒙电入苏+绿电直供+央企
22,603557.SH,603557,童装童鞋+三胎概念+ST板块+复牌
17,605287.SH,605287,
