股票代码,market_code,涨停原因类别[20260707],code
603001.SH,17,,603001
603458.SH,17,,603458
600360.SH,17,功率半导体+摘帽+吉林国资,600360
300716.SZ,33,,300716
301516.SZ,33,服务器电源+液冷超充+央企,301516
603618.SH,17,,603618
688121.SH,22,,688121
603020.SH,17,,603020
603137.SH,17,拟收购存储公司+建筑幕墙+跨界转型,603137
603861.SH,17,变压器出海+AIDC直流配电+电网设备,603861
002774.SZ,33,,002774
603823.SH,17,光刻胶颜料+PEEK材料+有机颜料龙头,603823
600288.SH,17,机器视觉+机器人+半导体,600288
002211.SZ,33,,002211
002731.SZ,33,,002731
600630.SH,17,,600630
605399.SH,17,功能性硅烷+产能释放+气凝胶,605399
600246.SH,17,高速交换芯片+AI算力+PCIe5.0量产,600246
603166.SH,17,,603166
600397.SH,17,,600397
001229.SZ,33,AI视觉+边缘计算+光纤KVMS+商业航天,001229
001365.SZ,33,人形机器人+汽车线束龙头+广州国资,001365
002547.SZ,33,,002547
002148.SZ,33,,002148
600180.SH,22,,600180
603065.SH,17,磷化铟衬底+光稳定剂+终止减持,603065
600791.SH,17,,600791
603178.SH,17,机器人关节驱动+飞行汽车+泵类龙头,603178
002585.SZ,33,MLCC离型膜+复合铜箔+聚酯薄膜,002585
603033.SH,17,,603033
000838.SZ,33,,000838
603272.SH,22,,603272
301251.SZ,33,AI电源+PCB+产能释放,301251
003009.SZ,33,,003009
002931.SZ,33,,002931
002657.SZ,33,,002657
002789.SZ,33,,002789
001230.SZ,33,无人环卫+机器人+智慧环卫,001230
003004.SZ,33,光电信息并购+低空安全+智能安防,003004
002038.SZ,33,,002038
002497.SZ,33,中报预增+锂盐+硫化锂,002497
002185.SZ,33,先进封装+存储芯片+并购重组,002185
603678.SH,17,,603678
000566.SZ,33,,000566
000973.SZ,33,锂电池隔膜+一季报增长+广东国资,000973
002403.SZ,33,,002403
002667.SZ,33,,002667
600301.SH,17,,600301
600353.SH,17,,600353
002808.SZ,37,,002808
000078.SZ,33,miRNA肿瘤早筛+摘帽预期+医药全产业链,000078
002856.SZ,33,,002856
600187.SH,22,,600187
002951.SZ,33,超级电容+间接投资光纤公司+投建多孔炭产线+储能,002951
002137.SZ,33,间接持股宇树科技+参股六度人和（腾讯投资）+先进封装,002137
603032.SH,17,,603032
603629.SH,17,,603629
605118.SH,17,光学镜头+机器人+低空经济,605118
600376.SH,17,,600376
600793.SH,17,TAC膜+醋酸纤维素+竹基新材料+宜宾国资,600793
001206.SZ,33,宠物卫生用品+产品提价+海外产能,001206
600206.SH,17,终止定增+半导体靶材+存储芯片+央企,600206
601121.SH,17,中报预增+铁矿石+黄金+新疆国资,601121
002719.SZ,33,,002719
603843.SH,22,,603843
600120.SH,17,中报预增+金融控股+浙江国资,600120
002514.SZ,33,,002514
002129.SZ,33,半导体硅片+BC电池+光伏硅片,002129
600182.SH,17,,600182
002729.SZ,33,,002729
603610.SH,17,,603610
603257.SH,17,,603257
600843.SH,17,,600843
002841.SZ,33,中报预增+AI教育+机器人,002841
002989.SZ,33,,002989
688432.SH,17,收购晶隆半导体+半导体硅片+产能扩张,688432
603356.SH,17,电梯对重块+光伏支架+股份转让,603356
600094.SH,17,6G通信+低空经济+算力运营+地产转型,600094
001311.SZ,33,机器人概念+特斯拉产业链+终止减持,001311
