market_code,股票代码,code,涨停原因类别[20260210]
33,002848.SZ,002848,定增易主+潍坊国资+高频覆铜板
17,603888.SH,603888,文化传媒+安全合规+国企改革
33,002739.SZ,002739,春节档影片+IP潮玩+院线龙头+扭亏为盈
17,600207.SH,600207,光伏玻璃+光热玻璃+高纯石英砂+河南国资
33,000638.SZ,000638,军工+退市风险+粮食
33,002292.SZ,002292,AI玩具+IP经济+影视院线
33,002905.SZ,002905,影视投资+预计扭亏
33,000711.SZ,000711,
33,000818.SZ,000818,算力租赁+800G光模块+化工+武汉国资
33,002731.SZ,002731,
33,002485.SZ,002485,文旅复苏+ST摘帽预期+供应链扩张
33,002806.SZ,002806,实控人变更+新能源商用车+百度概念+电极箔
22,600355.SH,600355,
33,300749.SZ,300749,商业航天+扭亏为盈+大家居定制
33,301025.SZ,301025,文化传媒+字节合作+IP孵化
17,603980.SH,603980,控制权变更+染料涨价+宇树科技
17,605060.SH,605060,燃气轮机+AIDC+风电+精密零部件
33,002655.SZ,002655,车载声学+AI声学+股份转让完成
33,000070.SZ,000070,CPO+光纤光缆+商业航天+深圳国资
17,601599.SH,601599,AI影视+短剧+浙江国资
33,000559.SZ,000559,人形机器人+机器人轴承+汽车零部件
33,000859.SZ,000859,光刻胶+拟收购金张科技+合肥国资
17,603115.SH,603115,AI服务器+储能+电极箔+股权激励
33,000156.SZ,000156,AI应用+数字电视+低空经济+杭州国资
17,601595.SH,601595,AI影视+即梦合作+上海国资
17,603960.SH,603960,机器人+AI应用+汽车电子
22,603721.SH,603721,AI微短剧+扭亏为盈+长沙国资
33,300182.SZ,300182,AI漫剧+影视版权+文化传媒
22,600696.SH,600696,酱香型白酒+退市风险+ST板块
33,002159.SZ,002159,旅游客运索道+国企改革+千岛湖项目
33,002455.SZ,002455,锂电闭环+TMP涨价+负极产能
33,002723.SZ,002723,短剧游戏+电子烟+一带一路+控制权拟变更
17,603058.SH,603058,拟收购半导体资产（已终止）+烟标酒盒+管制药品
33,000609.SZ,000609,司法拍卖+房地产+创投
33,001330.SZ,001330,AI短剧+春节档IP+影视院线
33,000681.SZ,000681,AI数据+版权交易+MiniMax上市
17,603968.SH,603968,染料中间体+醋酸衍生物+食品防腐+亏损收窄
33,301085.SZ,301085,算力租赁+昇腾一体机+字节合作
17,603301.SH,603301,注销回购+医疗器械+跨境电商+出口龙头
17,601869.SH,601869,空芯光纤+算力网络+光纤光缆
17,603999.SH,603999,AIGC+文创产品+直播电商+甘肃国资
17,603729.SH,603729,拟收购愚恒影业58%股权+影视内容+复牌
17,600715.SH,600715,AI漫剧+小程序游戏+北京国资
33,002082.SZ,002082,阿尔茨海默+孤儿药+创新药+AI应用
17,603320.SH,603320,压缩机电机+空气能热泵+出口增长
17,605599.SH,605599,
22,600381.SH,600381,ST板块+高端白酒+中药大健康
33,000004.SZ,000004,
17,600814.SH,600814,
33,002181.SZ,002181,AI营销+全运会IP+广州国资
33,000892.SZ,000892,AIGC短剧+影视制作+春节档
33,000839.SZ,000839,AI数据标注+业绩预增+央企背景
17,603103.SH,603103,春节档+AI漫剧+影视院线
33,002969.SZ,002969,追觅入主+三片罐龙头+饮料灌装
17,603533.SH,603533,AI短剧+数字阅读+海外扩张
33,301231.SZ,301231,AI互动玩具+阿里合作+少儿图书
17,603466.SH,603466,文生视频+豆包合作+数字体验+人形机器人
33,000608.SZ,000608,摘星脱帽预期+控制权变更+商业地产
17,603598.SH,603598,AI营销+短剧出海+业绩预增
33,000669.SZ,000669,预重整+天然气+扭亏
22,603398.SH,603398,
33,300251.SZ,300251,春节档+IP运营+动画电影+AI应用
22,603268.SH,603268,VLCC大单+船舶制造+业绩预增
17,600088.SH,600088,影视院线+AI融媒体+央企
17,603000.SH,603000,AI安全+内容风控+央媒+国企
33,002597.SZ,002597,三氯蔗糖饲料+固态电池+甜味剂龙头
22,603021.SH,603021,
33,300364.SZ,300364,AI短剧+海外短剧+腾讯合作+文生视频
22,603843.SH,603843,
22,600107.SH,600107,服装+出售资产+*ST风险
33,002429.SZ,002429,CPO+AI应用+MiniLED+深圳国资
17,600589.SH,600589,算力租赁+东数西算+IDC
17,600482.SH,600482,柴油机+军工舰船动力+固态电池+央企
33,000056.SZ,000056,零售+功率半导体+固态电池
33,000821.SZ,000821,
33,002302.SZ,002302,火箭基地签约+预拌混凝土+央企
33,002323.SZ,002323,光伏建筑一体化+光伏设备+枣庄国资
17,600977.SH,600977,影视院线+央企
33,000815.SZ,000815,东数西算+扭亏为盈+央企
33,300528.SZ,300528,影视院线+春节档+江苏国资
17,605287.SH,605287,AI漫剧+城市更新+扭亏为盈
