code,涨停原因类别[20260701],股票代码,market_code
002193,ST摘帽预期+精纺呢绒+外销,002193.SZ,33
603351,创新药+合成润滑油+产能扩张,603351.SH,17
002273,澄清客户影响+光学元件+AI光学+消费电子光学,002273.SZ,33
000521,空调+电器+估值提升+国企,000521.SZ,33
002840,猪肉+肉牛布局+全产业链,002840.SZ,33
300481,电子化学品+顺酐酸酐衍生物+OLED材料,300481.SZ,33
300343,氟化工+第四代制冷剂+PVDF,300343.SZ,33
002542,保壳措施+低空经济+四川国资,002542.SZ,33
300561,金融科技+AI应用+摘帽,300561.SZ,33
001331,七腾机器人+LNG运贸+实控人变更+此前复牌,001331.SZ,33
600909,证券+间接持有长鑫存储股份+财富管理+安徽国资,600909.SH,17
001313,特种水产饲料+生物科技+越南投产,001313.SZ,33
002822,申请撤销ST+物业管理+固废资源化,002822.SZ,33
002547,ST板块+破产重整预期+5G通信技术,002547.SZ,33
001365,人形机器人+战略合作+汽车线束龙头+广州国资,001365.SZ,33
001256,回购+包装印刷+一季报增长,001256.SZ,33
000876,猪肉+饲料龙头+成本下降,000876.SZ,33
600199,白酒+亏损收窄+国企改革,600199.SH,17
002977,商业航天+固态微波前端+摘帽预期,002977.SZ,33
000068,土地补偿款+工业机器人销售+海绵城市+山西国资,000068.SZ,33
002759,六氟磷酸锂+一季报扭亏+固态电池,002759.SZ,33
603379,氟化工+在建项目+业绩增长,603379.SH,17
301279,人形机器人+杭叉合作+叉车变速箱,301279.SZ,33
002329,水牛奶+新消费+种源突破+光伏+引入战投,002329.SZ,33
002868,动物保健+剥离光伏+扭亏为盈,002868.SZ,33
002232,具身智能+人工智能+工业互联网+央企,002232.SZ,33
002123,AI算力+5G阅信+AI通信,002123.SZ,33
002881,端侧AI+算力模组+AI服务器+人形机器人,002881.SZ,33
000601,业绩预增+清洁能源改造+算电协同,000601.SZ,33
000909,资产整合+杭州国资+大功率充电桩,000909.SZ,33
000016,追偿1.67亿+华润保壳预期+PCB存储芯片+央企,000016.SZ,33
600784,高端MIM粉末+人形机器人+锂电池正极材料粉+山东国资,600784.SH,17
002656,撤销退市风险警示+电工产品+服装,002656.SZ,33
600228,,600228.SH,17
603729,实控人变更+AIGC+广告营销,603729.SH,22
600446,金融科技+AI应用+数字人民币,600446.SH,17
688553,创新药+临床试验获批+仿制药,688553.SH,17
000004,退市整理期+减亏+移动安全,000004.SZ,37
603173,电子化学品+深冷装备+海外业务,603173.SH,17
002403,人形机器人+工业机器人+炊具龙头,002403.SZ,33
603363,股东增持+生猪销售增长+饲料+猪肉,603363.SH,17
605189,人形机器人+PEEK材料+业绩增长+筒子纱龙头,605189.SH,17
603499,可转债+烟包扩产+出售金泰克股权,603499.SH,17
002747,人形机器人+工业机器人出货量第一+一季报增长,002747.SZ,33
002175,控制权变更+复牌+碳基新材料+智能制造,002175.SZ,33
600783,参股蓝箭航天+创投+山东国资,600783.SH,17
002691,机器人概念+煤矿机械+ST板块,002691.SZ,33
000669,实控人变更+天然气+ST板块,000669.SZ,33
002360,债务重整+招募重整投资人+民爆一体化,002360.SZ,33
002719,ST板块+乳制品+烘焙食品,002719.SZ,33
002198,ST摘帽+中成药+ST板块,002198.SZ,33
300287,智能会议+CPO+物联网+算力租赁,300287.SZ,33
603505,制冷剂涨价+萤石龙头+AI液冷,603505.SH,17
002943,机器人灵巧手+半导体设备+实控人拟增持,002943.SZ,33
002971,电子特气+六氟化钨+氟化工+华中气体龙头,002971.SZ,33
001269,半导体石英坩埚+大尺寸光伏坩埚+亏损收窄,001269.SZ,33
600509,算力+电力+碳化硅,600509.SH,17
600857,零售+黄金+杭州金帝入主,600857.SH,17
603666,人形机器人+具身智能+华为合作,603666.SH,17
600113,农批市场+国企+回购注销,600113.SH,17
605178,存储芯片+拟收购嘉合劲威+夜间经济,605178.SH,17
601718,澄清无退市风险+军需品+ST板块+央企,601718.SH,22
600543,资产处置+一季报营收增长+葡萄酒+甘肃国资,600543.SH,22
002524,聚焦眼科主业+剥离非核心资产+连锁医疗网络,002524.SZ,33
000010,庭外重组+一季报扭亏+工程施工,000010.SZ,33
603922,,603922.SH,22
002569,控制权变更+男装品牌+ST板块,002569.SZ,33
002305,摘帽预期+扭亏为盈+城市运营+央企,002305.SZ,33
603378,ST板块+建筑涂料+超跌反弹,603378.SH,22
688106,海力士供应+高纯二氧化碳+电子特气,688106.SH,17
600759,ST板块+油气开采+控制权变更预期,600759.SH,22
002670,证券+期货+江西国资,002670.SZ,33
000677,第一大股东增持+低空经济+帘子布,000677.SZ,33
603615,电子元器件分销+一季报增长+东南亚出海,603615.SH,17
603120,光刻胶+半导体清洗+季铵化合物,603120.SH,17
603682,城市更新+轻资产运营+商业物业经营,603682.SH,17
000757,股份回购注销+债务担保解除+新能源曲轴+汽车服务,000757.SZ,33
688728,显示驱动芯片+5000万像素CIS+CMOS图像传感器,688728.SH,17
002717,重大诉讼终审+面值退市博弈+生态文旅+中山国资,002717.SZ,33
601010,ST板块+零售+回购注销,601010.SH,22
600491,面退博弈+基建投资+绿色建筑,600491.SH,22
002102,维生素E+国资+回购+ST板块,002102.SZ,33
600665,房地产+资产出售+跨界并购+国企,600665.SH,17
301092,半导体超纯水树脂+超纯水制备+可转债,301092.SZ,33
