股票代码,market_code,涨停原因类别[20260309],code
600851.SH,17,医药制造+投资并购+物业租赁,600851
002575.SZ,33,算力租赁+腾讯合作+酒类销售,002575
301606.SZ,33,AI NAS+出海+业绩预增+H股上市,301606
001339.SZ,33,LPU+算力租赁+人形机器人+英伟达生态,001339
600599.SH,22,,600599
000862.SZ,33,风电技改+绿电直连+智能电网+资产注入预期,000862
601877.SH,17,低压电器+光伏+虚拟电厂,601877
003035.SZ,33,虚拟电厂+零碳园区+扭亏为盈+央企,003035
688158.SH,17,OpenClaw+AI算力+云计算+回购完成,688158
002068.SZ,33,炭黑龙头+固态电池+国企改革,002068
002112.SZ,33,电网设备+算力+地方国资,002112
600355.SH,22,,600355
688229.SH,17,AI运维+APM龙头+信创适配,688229
002229.SZ,33,算力租赁+“算力+新能源”,002229
600525.SH,22,储能中标+智能电网+海外微电网,600525
600227.SH,17,甲醇+尿素+化肥+煤炭,600227
002930.SZ,33,石化仓储+交割资质+智能物流,002930
600714.SH,17,,600714
601969.SH,17,油气项目+拟收购萤石矿+铁矿石+回购,601969
002300.SZ,33,海缆+数据中心+特高压,002300
000488.SZ,33,复工复产+山东国资+浆纸一体化,000488
600753.SH,22,ST摘帽预期+液化石油气+充电桩,600753
600602.SH,17,松江智算中心+AI智能体+上海国资,600602
603121.SH,17,,603121
000601.SZ,33,电力+抽水蓄能+生物质发电,000601
002730.SZ,33,算力租赁+智能矿山+矿用防爆电器,002730
601567.SH,17,荷兰9.49亿订单+智能电网+康复连锁,601567
300113.SZ,33,AI云电脑+算力租赁+AI应用+业绩预增,300113
605268.SH,17,安全门锁+数据要素+智能制造+华为概念,605268
000534.SZ,33,燃气轮机零部件+低空经济+微生态活菌,000534
688316.SH,17,Clawdbot 应用+算力租赁+AI算力+混合云,688316
601789.SH,17,算力租赁+宁波国资整合+房屋建设,601789
002445.SZ,33,拟购苏龙热电+火电转型+江阴国资,002445
002082.SZ,33,一季报预增+阿尔茨海默+创新药,002082
000504.SZ,33,细胞治疗+动力电池回收+湖南国资,000504
002015.SZ,33,算电协同+虚拟电厂+分布式光伏,002015
000973.SZ,33,锂电隔膜+超薄隔膜+广东国资,000973
000004.SZ,33,,000004
002512.SZ,33,,002512
002903.SZ,33,机器人+军工+工业母机,002903
600135.SH,17,TAC膜+锂电隔膜+航天系,600135
301396.SZ,33,算力租赁+扭亏为盈+智慧城市,301396
002047.SZ,33,扭亏为盈+光耦合器+珠海国资,002047
601233.SH,17,,601233
600821.SH,17,算电协同+绿电+煤化工+天津国资,600821
002261.SZ,33,华为昇腾+算力租赁+扭亏,002261
000533.SZ,33,算力基建+北美出口+干式变压器,000533
603268.SH,22,,603268
001258.SZ,33,储能扩张+疆电外送+新疆国资+风电光伏,001258
000066.SZ,33,AI服务器+智算产业+服务器电源+央企,000066
002306.SZ,33,,002306
603138.SH,17,向量数据库+国产替代+信创,603138
600289.SH,22,4亿合同+算力概念+ST保壳,600289
600568.SH,22,医药制造+地产去化,600568
603165.SH,17,间接投资宇树科技+芯片+再生纸+高股息,603165
000815.SZ,33,东数西算+算电协同+扭亏为盈+央企,000815
002528.SZ,33,深圳国资+智慧城市+减亏预期,002528
301179.SZ,33,电网设备+智能巡检+AI大模型,301179
600268.SH,17,虚拟电厂+AI电力+电网设备+央企,600268
