涨停原因类别[20260211],code,market_code,股票代码
重整完成+医疗美容+毛发医疗,000615,33,000615.SZ
SpaceX传闻+玻璃微纤维+高效滤材,603601,17,603601.SH
AI纤维布+风电叶片+央企重组,002080,33,002080.SZ
玻纤涨价+电子细纱+风电纱+云南国资,301526,33,301526.SZ
固态电池+镍资源+金属回收+业绩预增,002340,33,002340.SZ
糖宁通络+苗药龙头+创新药,002424,33,002424.SZ
机器人+固态电池+超细纤维,300819,33,300819.SZ
军工+退市风险+粮食,000638,33,000638.SZ
芳纶涂覆+半固态电池+机器人+国企,002254,33,002254.SZ
,002905,33,002905.SZ
钨矿增储+PCB钻针棒扩产+西南研发中心,000657,33,000657.SZ
染料+苯二胺投产+硝酸龙头,001217,33,001217.SZ
玻璃纤维布+AI算力+业绩预增,603256,17,603256.SH
,001270,33,001270.SZ
,002731,33,002731.SZ
控制权拟变更+AIGC+女鞋多品牌,603608,17,603608.SH
实控人宣判+文旅复苏+ST摘帽预期,002485,33,002485.SZ
退市博弈+地天板,600355,22,600355.SH
城市更新+AI运营+扭亏,603682,17,603682.SH
控制权变更+染料涨价+宇树科技,603980,17,603980.SH
磁选设备+江西国资+国企改革,600397,17,600397.SH
CPO+光纤光缆+商业航天+深圳国资,000070,33,000070.SZ
,601599,17,601599.SH
玻纤布+云母绝缘+三季报增长,001359,33,001359.SZ
算力中心+重整完成+家装AI,002713,33,002713.SZ
甲醇+风电+国企改革,600722,17,600722.SH
特高压+外资调研+电力设备,002270,33,002270.SZ
ST保壳+动保兽药+资产剥离完成,002868,33,002868.SZ
CPO硅光模块+鄂州投产+业绩预增,001267,33,001267.SZ
安哥拉电解铝+热电联产+境外投资,001376,33,001376.SZ
光刻胶+特种单体+风电,603125,17,603125.SH
TMP涨价+锂电闭环+负极产能,002455,33,002455.SZ
短剧游戏+电子烟+一带一路,002723,33,002723.SZ
先进封装+液冷服务器+人形机器人,688035,17,688035.SH
海工装备+央企+油价上行,600583,17,600583.SH
AI智慧工厂+纺织机械+回购,600545,17,600545.SH
半导体的人来了+房地产+创投,000609,33,000609.SZ
染料中间体+醋酸衍生物+食品防腐+亏损收窄,603968,17,603968.SH
,603813,22,603813.SH
氯碱龙头+钽铌锡矿+有色金属,000510,33,000510.SZ
化肥+磷矿建设+复合肥龙头,002470,33,002470.SZ
拟收购愚恒影业58%股权+影视内容+复牌,603729,17,603729.SH
PET瓶+饮料代工+横琴新区,000659,33,000659.SZ
,000004,33,000004.SZ
农药制剂+原药一体化+西部大开发,605033,17,605033.SH
水电资产注入+央企+锂电回收,600292,17,600292.SH
AIGC短剧+影视制作+春节档,000892,33,000892.SZ
,603103,17,603103.SH
储能系统+超级电容+风电应用,002951,33,002951.SZ
钨价上涨+光伏钨丝+年报预增,002842,33,002842.SZ
算力租赁+年报预增+英伟达合作,603629,17,603629.SH
AI短剧+字节概念+数字阅读,603533,17,603533.SH
预重整+天然气+扭亏,000669,33,000669.SZ
钨价上涨+钨产业链+商业航天+业绩预增,002378,33,002378.SZ
收购葱岭能源+铁矿储量+新疆国资,601121,17,601121.SH
稀土永磁+机器人+央企,600980,17,600980.SH
,002830,33,002830.SZ
IDC+AI智能体+机器人+家具机械,002757,33,002757.SZ
国产数据库+向量数据库+信创,603138,17,603138.SH
算力租赁+东数西算+IDC,600589,17,600589.SH
玻纤+董事长变更+山东国资,605006,17,605006.SH
,600243,22,600243.SH
液冷收购+瓶盖龙头+业绩承诺,003018,33,003018.SZ
,000056,33,000056.SZ
算力租赁+味精+业绩预增,600186,17,600186.SH
光伏建筑一体化+光伏设备+枣庄国资,002323,33,002323.SZ
股东增持+玻纤龙头+风电纱+央企,600176,17,600176.SH
参股算力+绿电储备+河南国资,001896,33,001896.SZ
钽铌制品+定增注册获批+商业航天,000962,33,000962.SZ
AI漫剧+城市更新+扭亏为盈,605287,17,605287.SH
