股票代码,market_code,涨停原因类别[20260721],code
003031.SZ,33,电子陶瓷+光模块+央企,003031
000426.SZ,33,白银+锡+中报预增,000426
603890.SH,17,液冷服务器+人形机器人+AIPC,603890
688809.SH,17,MEMS探针卡+AI算力测试+存储芯片+国产替代,688809
301012.SZ,33,算力服务合同+非晶变压器+一季报增长,301012
000048.SZ,33,生猪养殖+机器人+股权转让,000048
600884.SH,17,安徽国资入主+负极材料+中报预增,600884
603118.SH,17,数据中心交换机+机器人+国企改革+回购,603118
301310.SZ,33,高速铜缆连接+人形机器人线缆+可控核聚变,301310
002141.SZ,33,,002141
002273.SZ,33,AI光学+CPO+苹果产业链,002273
301583.SZ,33,半导体设备+精密零部件+次新股,301583
688328.SH,17,半导体设备+存储芯片+中报预增,688328
002409.SZ,33,半导体前驱体+存储芯片+HBM+客户长鑫,002409
603663.SH,17,锆铪分离+半导体+固态电池+业绩预增,603663
603124.SH,17,PCB铜基新材料+AI算力+半年报预增,603124
603256.SH,17,特种电子布+PCB概念+AI算力,603256
600460.SH,17,SiC+中报预增+IDM,600460
002731.SZ,33,,002731
603929.SH,17,半导体洁净室+中报预增+新加坡项目,603929
002745.SZ,33,LED封装+PCB涨价+实控人增持+中报预增,002745
600227.SH,17,,600227
603407.SH,17,存储芯片材料+氧氯化锆涨价+牙科医疗,603407
600552.SH,17,氧化锆涨价+锆系列产品+央企,600552
603950.SH,17,并购重组+柴油动力单元,603950
002008.SZ,33,中报业绩大增+AI算力PCB+激光设备+消费电子,002008
002759.SZ,33,,002759
688120.SH,17,半导体设备+存储芯片+先进封装+定增获批,688120
603065.SH,17,,603065
600302.SH,22,,600302
301282.SZ,33,半年度业绩预增+AI算力PCB+新能源汽车PCB,301282
002677.SZ,33,,002677
002138.SZ,33,被动电子元器件+TLVR电感+光模块上游,002138
000555.SZ,33,跨境支付+银行IT龙头+AI应用,000555
600744.SH,17,火电+新能源+定增获批+央企,600744
000938.SZ,33,超节点+CPO交换机+AI服务器+中报预增,000938
301421.SZ,33,中报预增+半导体光学+PCB光学,301421
600664.SH,17,创新药+化学制药+基药目录+中报预增,600664
601038.SH,17,农机龙头+出海增长+高端装备+央企改革,601038
603061.SH,17,半导体测试设备+中报预增+超跌反弹+可转债募资,603061
688627.SH,17,存储芯片+HBM测试,688627
600183.SH,17,覆铜板+存储芯片+产能扩张+半年报预增,600183
002213.SZ,33,半导体存储+定增获批+锂矿审批推进,002213
300814.SZ,33,AI电源PCB+定增扩产,300814
920305.BJ,151,,920305
002156.SZ,33,先进封装+AMD产业链+定增获批,002156
603391.SH,17,蒸汽锅炉+工业互联网,603391
300137.SZ,33,算力+零碳园区+环保AI,300137
603629.SH,17,算力租赁+英伟达合作+中报预增,603629
688072.SH,17,半导体设备+薄膜沉积设备+PVD设备+资产收购,688072
605133.SH,17,人形机器人+行星滚柱丝杠+员工持股解锁,605133
688596.SH,17,特种气体+碳化硅陶瓷+订单增长,688596
603669.SH,17,,603669
920267.BJ,151,半导体元件分销+回购注销+专精特新,920267
688110.SH,17,GPU+存储芯片+业绩扭亏,688110
603986.SH,17,长鑫+存储芯片+中报预增,603986
605288.SH,17,机器人+智能线性驱动+新能源汽车,605288
603516.SH,17,董事长提议回购+自研ASIC芯片+持有沐曦股份+半年报扭亏,603516
002167.SZ,33,氧化锆粉体涨价+中报预增+固态电池,002167
600206.SH,17,半导体靶材+存储芯片+客户长鑫+终止定增,600206
001258.SZ,33,风电光伏+定增获批+半年报预增+新疆国资,001258
001388.SZ,33,,001388
301273.SZ,33,永磁电机+eVTOL+设备更新,301273
600846.SH,17,建设工程+城市更新+上海国资,600846
600667.SH,17,存储芯片+先进封装+无锡国资,600667
688361.SH,17,半导体量检测+HBM+先进封装,688361
001399.SZ,33,先进封装+半导体显示面板,001399
603123.SH,17,跨境支付+数字人民币+半年报减亏+北京国资,603123
603683.SH,17,,603683
002371.SZ,33,半导体设备+平台型龙头+北京国资,002371
605111.SH,17,功率半导体+超跌反弹+封测,605111
688002.SH,17,中报预增+商业航天+红外芯片,688002
600730.SH,22,,600730
000779.SZ,33,,000779
688729.SH,17,半导体设备+干法去胶+北京国资,688729
002484.SZ,33,AI服务器电源+超级电容+浙江国资,002484
603519.SH,17,,603519
002396.SZ,33,数据中心交换机+CPO+半年报预增+福建国资,002396
002036.SZ,33,CPO光学器件+车载光学+机器视觉+江西国资拟入主,002036
605318.SH,17,AI智算+装配式建筑+集成吊顶,605318
002632.SZ,33,,002632
603378.SH,22,,603378
002197.SZ,33,算力租赁+数据中心REITs+金融科技+中报扭亏,002197
688347.SH,17,晶圆代工+存储芯片+并购重组获批+上海国资,688347
301205.SZ,33,光模块+NPO+海外产能,301205
603005.SH,17,先进封装+分拆上市+车规CIS,603005
000021.SZ,33,高端存储封测+扩产+央企,000021
603303.SH,17,,603303
603435.SH,17,BOPP电工膜+电容膜+复合铜箔+次新股,603435
002669.SZ,33,PCB概念+电子级环氧树脂+风电胶粘剂龙头+唐山国资,002669
603936.SH,17,PCB+光模块+存储芯片,603936
688141.SH,17,模拟芯片+AI服务器电源+虚拟IDM,688141
002068.SZ,33,超级电容+导电炭黑+炭黑龙头+景德镇国资,002068
688003.SH,17,半导体量检测+CPO检测+具身智能,688003
002319.SZ,33,凹印油墨+中报预增,002319
605376.SH,17,MLCC镍粉+H股上市,605376
301369.SZ,33,半导体测试设备+存储芯片+中报预增,301369
603120.SH,17,,603120
300093.SZ,33,算力+HJT电池+风电+控股股东增持,300093
688636.SH,17,,688636
000889.SZ,33,算力销售+通信网络维护+追索款项确认+中报预计扭亏,000889
688728.SH,17,CMOS图像传感器+12英寸产线,688728
688797.SH,17,存储芯片+半导体零部件+中报预增+次新股,688797
300604.SZ,33,半导体测试设备+定增落地+中报预增,300604
603306.SH,17,资产重组+光通信+董事增持,603306
600992.SH,17,,600992
603773.SH,17,TGV玻璃基板+先进封装+PET铜箔,603773
002723.SZ,33,,002723
002987.SZ,33,金融科技+数字人民币+AI应用,002987
002448.SZ,33,人形机器人+中报预增+制动鼓+气缸套,002448
