涨停原因类别[20260710],code,market_code,股票代码
退市整理期+移动安全+减亏,000004,37,000004.SZ
机器人+生猪养殖+股权转让,000048,33,000048.SZ
商业航天+蓝军装备+航天科工集团,000547,33,000547.SZ
房地产+再生铅+创投+转型预期,000573,33,000573.SZ
收购完成+存储芯片+封装测试,000620,33,000620.SZ
中报预增+AI智能终端+机顶盒龙头,000810,33,000810.SZ
重整投资人招募+房地产+ST板块,000838,33,000838.SZ
人形机器人+液冷服务器+汽车零部件,000887,33,000887.SZ
互动影游+AI应用+短剧,000892,33,000892.SZ
商业航天+航天应用+央企,000901,33,000901.SZ
半导体超纯水膜+盐湖提锂+膜材料扩产+央企,000920,33,000920.SZ
中报预增+电解铝+电池铝箔+国企,000933,33,000933.SZ
商业航天+英伟达液冷+机器人+湖南国资,001208,33,001208.SZ
2026中报预增+人造板装备+海外业务,001395,33,001395.SZ
创新药+GLP-1+独家品种,002038,33,002038.SZ
2026中报预增+短剧/漫剧+卫星通信,002115,33,002115.SZ
拟向美的集团定增+储能+智能电网,002121,33,002121.SZ
碳纤维+AI超声+汽车内饰,002144,33,002144.SZ
,002192,33,002192.SZ
商业航天+参股蓝箭航天+风电,002202,33,002202.SZ
减肥药+MASH创新药+抗流感,002317,33,002317.SZ
商业航天+索具龙头+深海系泊+信披违规处罚落地,002342,33,002342.SZ
成套开关设备+集成电路+订单新高,002346,33,002346.SZ
商业航天+北斗导航+军民融合+芜湖国资,002361,33,002361.SZ
商业航天+机器人+智能控制器,002402,33,002402.SZ
半年报预增+红外芯片+型号产品交付,002414,33,002414.SZ
中报预增+热电联产+锡+南昌国资,002479,33,002479.SZ
眼科医疗+剥离非核心资产+连锁医疗网络,002524,33,002524.SZ
商业航天+卫星互联网+PCB+央企,002544,33,002544.SZ
生猪养殖+饲料+机器人,002548,33,002548.SZ
2026中报预增+特高压+海外业务,002606,33,002606.SZ
,002617,33,002617.SZ
股东增持+玻璃基板+光伏玻璃,002623,33,002623.SZ
人形机器人+智能穿戴+智能音箱,002681,33,002681.SZ
CRO+阿尔茨海默概念+多肽药+许可协议,002693,33,002693.SZ
,002731,33,002731.SZ
AI电梯+旧梯更新+海外业务,002774,33,002774.SZ
退市整理期+OPC感光鼓+光伏,002808,37,002808.SZ
一体化油服+加拿大油气暂缓+内部转让,002828,33,002828.SZ
中报扭亏+商业航天+无人系统,002829,33,002829.SZ
商业航天+太空光伏+光伏电池,002865,33,002865.SZ
,002903,33,002903.SZ
HVDC电源+数字能源+Robobus自动驾驶+商用车AIoT,002970,33,002970.SZ
FCBGA封装基板+HBM+半导体转型+浙江国资,002989,33,002989.SZ
岩土固化剂+可控核聚变+核电,003001,33,003001.SZ
商业航天+增雨防雹火箭+小型制导火箭+央企,003009,33,003009.SZ
基药目录新增+精麻药+缓控释制剂,003020,33,003020.SZ
,003043,33,003043.SZ
火箭回收+海底数据中心+资产重组,300065,33,300065.SZ
商业航天+并购重组+特高压玻璃绝缘子,300069,33,300069.SZ
创新药+肝素+集采续标,300255,33,300255.SZ
半导体设备+先进封装+臭氧+一季报扭亏,300786,33,300786.SZ
商业航天+华为昇腾+芯片+此前立案,301117,33,301117.SZ
中船系+风电制氢氨醇+风电整机,600072,17,600072.SH
农批市场+国企+回购注销,600113,17,600113.SH
商业航天+卫星互联网+央企,600118,17,600118.SH
应用载人航天+输变电设备+核电+国企改革,600192,17,600192.SH
电子玻璃+高端玻璃转型+汽车玻璃+宜昌国资,600293,17,600293.SH
商业航天+氢能+央企+泵及液力传动,600343,17,600343.SH
间接持股宇树科技+金石基金扩募+城市更新+北京国资,600376,17,600376.SH
AI算力+智算中心+大模型合作,600410,17,600410.SH
中报预增+特种船运输+央企,600428,17,600428.SH
要约收购+宁波国资+建筑+绿色建筑,600491,22,600491.SH
创新药+LH-1801申报+扬州国资,600513,17,600513.SH
子公司重整获批+工程设计+上海微电子相关+上海国资,600629,17,600629.SH
中报预增+创新药+医药工业,600664,17,600664.SH
