股票代码,market_code,涨停原因类别[20260708],code
001207.SZ,33,炭黑+高压电缆屏蔽料+固态电池+股份变动,001207
603380.SH,17,AI服务器+人形机器人+柔性EMS龙头,603380
603789.SH,22,控制权变更+新能源+农业机械,603789
000506.SZ,33,黄金+一季报扭亏+国企,000506
002642.SZ,33,算力服务+AI应用+股份转让+国企,002642
603179.SH,17,,603179
603313.SH,17,智能家居+跨境电商+美国产能,603313
600110.SH,17,,600110
600288.SH,17,机器视觉+半导体+机器人,600288
002731.SZ,33,,002731
603608.SH,17,,603608
603898.SH,17,,603898
600749.SH,17,智慧旅游+入境游,600749
603906.SH,17,,603906
002674.SZ,33,磷化铟收购+机器人电子皮肤+汽车内饰皮革,002674
002542.SZ,33,保壳+低空经济+成都国资,002542
001365.SZ,33,人形机器人+汽车线束龙头+广州国资,001365
920857.BJ,151,扫地机器人+AI PC+高精度电子线组件,920857
000524.SZ,33,资产重组+复牌+旅游综合+广州国资,000524
000593.SZ,33,,000593
002427.SZ,33,,002427
600602.SH,17,算力租赁+人工智能+上海国资,600602
000838.SZ,33,重整+房地产,000838
002677.SZ,33,AI厨电+集成灶龙头+智能驾驶,002677
301251.SZ,33,AI电源PCB+DC/DC订单+产能释放,301251
002931.SZ,33,,002931
600379.SH,17,,600379
603026.SH,17,,603026
002057.SZ,33,,002057
600129.SH,17,藿香正气口服液+创新药+央企,600129
002810.SZ,33,,002810
603661.SH,17,投资GPU公司+培育钻石+家居用品+出口,603661
000977.SZ,33,中报预增+AI服务器+液冷服务器+山东国资,000977
300454.SZ,33,AI算力网关+算力租赁+间接持股宇树,300454
000759.SZ,33,商业零售+本地生活+国企,000759
002733.SZ,33,,002733
002747.SZ,33,,002747
002951.SZ,33,超级电容+间接投资光纤公司+投建多孔炭产线+储能,002951
603032.SH,17,,603032
301321.SZ,33,湿电子化学品+Mini-LED+车载显示+一季报扭亏,301321
002467.SZ,33,数据中心+云网融合+AI数字人,002467
002167.SZ,33,,002167
002490.SZ,33,油气装备+海外大单+山东国资,002490
002518.SZ,33,,002518
603881.SH,17,算力租赁+智算业务+上海国资,603881
300369.SZ,33,AI安全+数据安全+算力,300369
603610.SH,17,,603610
002841.SZ,33,中报预增+AI教育+机器人,002841
603496.SH,17,算力租赁+华为昇腾+拟收购数珩科技,603496
002249.SZ,33,,002249
000519.SZ,33,,000519
002396.SZ,33,半年报预增+数据中心交换机+CPO+福建国资,002396
002466.SZ,33,,002466
300017.SZ,33,CDN涨价+液冷+算力租赁+边缘AI,300017
688121.SH,22,,688121
603137.SH,17,拟收购存储公司+建筑幕墙+跨界转型,603137
600759.SH,22,控制权变动风险消除+油气开采+ST板块,600759
600756.SH,17,浪潮系联动+AI政务+山东国资,600756
002812.SZ,33,,002812
600458.SH,17,,600458
002240.SZ,33,,002240
603638.SH,17,,603638
002428.SZ,33,,002428
002546.SZ,33,中报预增+虚拟电厂+用电信息采集,002546
605580.SH,17,,605580
001229.SZ,33,AI视觉+边缘计算+光纤KVMS+商业航天,001229
002192.SZ,33,,002192
601010.SH,22,ST板块+航天科技+回购注销+零售,601010
001208.SZ,33,英伟达液冷+商业航天+机器人+湖南国资,001208
301202.SZ,33,液冷+数据中心+算力+维谛合作,301202
002885.SZ,33,,002885
600350.SH,17,高速公路+高股息+山东国资,600350
600562.SH,17,,600562
603538.SH,17,,603538
002910.SZ,33,乳业+文创联名+国企改革,002910
603183.SH,17,数据中心+成立人工智能公司+城市更新+工程检测,603183
002497.SZ,33,,002497
603678.SH,17,,603678
000566.SZ,33,,000566
603937.SH,17,,603937
002512.SZ,33,控股权变更+卫星通信+一季报扭亏,002512
600301.SH,17,,600301
002808.SZ,37,,002808
000078.SZ,33,miRNA肿瘤早筛+摘帽预期+医药全产业链,000078
600187.SH,22,增持+中报扭亏+污水处理,600187
603296.SH,17,超节点+AI服务器+增持,603296
002709.SZ,33,,002709
000948.SZ,33,数据中心+金融科技+诉讼回款+国企改革,000948
002152.SZ,33,华为昇腾+算力+具身智能+广州国资,002152
603285.SH,17,高分子助剂+电磁线漆+AI算力+自动化设备收购,603285
603843.SH,22,,603843
002757.SZ,33,算力租赁+CDN+家具智造,002757
002534.SZ,33,,002534
000639.SZ,33,高管增持+玉米油龙头+资产剥离,000639
603826.SH,17,,603826
002350.SZ,33,储能出海+电网中标+配电设备,002350
603339.SH,17,液冷服务器+冷链装备+员工持股,603339
002520.SZ,33,,002520
600094.SH,17,算力运营+6G通信+低空经济+地产转型,600094
603928.SH,17,半导体光刻胶+CVD硅碳负极+铸造树脂,603928
