code,涨停原因类别[20260126],股票代码,market_code
002716,银价上涨+白银冶炼+湖南国资,002716.SZ,33
000426,银锡龙头+有色金属,000426.SZ,33
603271,重大资产重组+铝板带+锂电池基材,603271.SH,17
603869,,603869.SH,22
000638,,000638.SZ,33
000506,扭亏为盈+黄金+国企,000506.SZ,33
000629,钒储能+钛白粉+央企,000629.SZ,33
000630,铜箔+黄金+国企,000630.SZ,33
601212,黄金+白银+锂电材料,601212.SH,17
601069,金价新高+黄金采选冶+新疆国资,601069.SH,17
002816,半导体设备+储能线束+扭亏+国企,002816.SZ,33
002995,持股艺莲文创+AI营销+数字人+海南陵发战投,002995.SZ,33
688670,流感疫苗+狂犬疫苗+产能扩张,688670.SH,17
600789,创新药+生物农药+国企,600789.SH,17
600118,,600118.SH,17
300139,黄金+非洲金矿+金价新高,300139.SZ,33
001316,,001316.SZ,33
601226,海上风电+绿色甲醇+核电+央企,601226.SH,17
600686,,600686.SH,17
301548,核电+燃气轮机+燃机轴承+出口增长,301548.SZ,33
000859,,000859.SZ,33
001277,煤炭设备+维修再制造+数据中心+并购预期,001277.SZ,33
002465,,002465.SZ,33
603619,油气一体化+伊拉克区块+民营龙头,603619.SH,17
002201,风电叶片+玻纤新材+商业航天,002201.SZ,33
603958,机器人+消费电子+钛合金粉,603958.SH,17
600531,黄金+白银+铅铜龙头+国企改革,600531.SH,17
000593,控制权变更+氢能中心+天然气,000593.SZ,33
002155,重组复牌+黄金预增+湖南国资,002155.SZ,33
605056,人形机器人+电网MRO+AI巡检,605056.SH,17
001288,人形机器人+华为昇腾+输送机械,001288.SZ,33
601137,,601137.SH,17
001337,金价新高+金精矿+四川国资,001337.SZ,33
002009,银河通用+人形机器人+优必选,002009.SZ,33
605255,,605255.SH,17
300871,2025年报预增+原料药+创新药,300871.SZ,33
000751,有色金属+锌铜冶炼,000751.SZ,33
001400,,001400.SZ,33
002728,2025年报预增+流感+止咳宝片,002728.SZ,33
000929,,000929.SZ,33
000547,,000547.SZ,33
600078,磷化工+新材料+扭亏,600078.SH,17
600735,控股股东破产重整+发制品出口+退市风险,600735.SH,22
600489,金价新高+铜价上涨+前三季度业绩增长+央企,600489.SH,17
601958,钼价高位+有色金属+陕西国资,601958.SH,17
003042,供销社+中俄贸易+农药原药,003042.SZ,33
600783,,600783.SH,17
300463,体外诊断+出海,300463.SZ,33
002218,回购注销+自持电站+钙钛矿+商业航天,002218.SZ,33
600107,,600107.SH,22
603578,光伏玻璃+低温储藏设备+定增推进,603578.SH,17
002623,钙钛矿电池+特斯拉+超薄光伏玻璃,002623.SZ,33
603895,人形机器人+固态电池+年报预增,603895.SH,17
002524,AI医疗+眼科连锁+天然气,002524.SZ,33
001202,,001202.SZ,33
002575,智算业务+腾讯概念+酒类销售+重组推进,002575.SZ,33
002569,,002569.SZ,33
300017,边缘AI+算力租赁+液冷,300017.SZ,33
600736,商业航天+产业园运营+脑机接口+国企,600736.SH,17
002231,,002231.SZ,33
600759,油气开采+哈萨克斯坦油田+海南自贸区,600759.SH,17
605299,,605299.SH,17
000657,钨矿增储+PCB微钻+央企,000657.SZ,33
000820,,000820.SZ,33
002022,体外诊断+检测试剂盒,002022.SZ,33
000711,拟更名铟靶新材+资产注入鑫联环保+稀有金属回收,000711.SZ,33
001270,商业航天+低轨卫星+T/R芯片,001270.SZ,33
688158,云主机+太空算力+脑机接口,688158.SH,17
601698,,601698.SH,17
603095,,603095.SH,17
002165,环氧丙烷+技改试产+硬泡聚醚,002165.SZ,33
000700,,000700.SZ,33
603132,有色金属+资源增储+前三季度业绩增长,603132.SH,17
600986,AI营销+GEO概念+浙江国资,600986.SH,17
605336,,605336.SH,17
600791,北京国资+国企改革+房地产,600791.SH,17
603696,,603696.SH,17
002289,,002289.SZ,33
600696,,600696.SH,22
603119,,603119.SH,17
300639,尼帕病毒检测+体外诊断+流感检测+HPV检测,300639.SZ,33
600916,金价新高+黄金销售+央企,600916.SH,17
603037,,603037.SH,17
603815,,603815.SH,17
002361,,002361.SZ,33
601869,空芯光纤+算力网络+CPO,601869.SH,17
600173,黄金+风光储氢+房地产去化,600173.SH,17
603353,拟收购奎芯科技+华为超充+油品零售,603353.SH,17
603045,业绩预增+电网设备+海外扩张,603045.SH,17
002030,体外诊断+猴痘检测+广州国资,002030.SZ,33
600343,,600343.SH,17
601615,收购芯片+光伏协同+氢能燃机+风电龙头,601615.SH,17
301207,流感疫苗龙头+带状疱疹疫苗,301207.SZ,33
002667,有色金属+郴州锂矿+钨锡铅锌,002667.SZ,33
002237,黄金+稀散金属+江西铜业+国企,002237.SZ,33
002647,ST板块+金融科技+AI算力+扭亏为盈,002647.SZ,33
605081,算力设备+水环境修复,605081.SH,22
002808,,002808.SZ,33
000078,流感+创新药+医疗器械,000078.SZ,33
002842,钨价上涨+光伏钨丝+业绩预增,002842.SZ,33
002582,,002582.SZ,33
000036,,000036.SZ,33
600391,,600391.SH,17
002378,钨价上调+钨产业链+商业航天,002378.SZ,33
002506,光储一体化+TOPCon,002506.SZ,33
688317,分子诊断+核酸检测+猴痘试剂,688317.SH,17
600581,,600581.SH,17
688323,商业航天+PI薄膜+国产替代,688323.SH,17
603690,,603690.SH,17
603698,,603698.SH,17
600589,算力中心+东数西算+扭亏为盈,600589.SH,17
000821,钙钛矿设备+光伏装备+回购,000821.SZ,33
000603,黄金+白银+并购扩张,000603.SZ,33
605488,,605488.SH,17
603331,人形机器人+汽车零部件+粉末冶金,603331.SH,17
000815,云计算+算力+央企,000815.SZ,33
600151,,600151.SH,17
