股票代码,market_code,涨停原因类别[20260428],code
000856.SZ,33,,000856
600608.SH,22,,600608
603336.SH,17,实控人变更+苏州国资+果蔬服务,603336
600156.SH,17,算力租赁+液冷+拟收购易信科技+湖南国资,600156
600053.SH,17,,600053
002731.SZ,33,,002731
603359.SH,17,,603359
600726.SH,17,绿电转型+热电联产+央企,600726
600227.SH,17,尿素涨价+甲醇+煤化工,600227
600265.SH,22,算力租赁+资产赠与+林业,600265
601828.SH,17,一季度扭亏+REITs+厦门国资,601828
603109.SH,17,,603109
600770.SH,17,参股神州龙芯（CPU）+功率半导体+芯片设计+并购吉莱微,600770
920471.BJ,151,一季报扭亏+四氢呋喃+合成生物,920471
002713.SZ,33,,002713
603283.SH,17,HBM检测+半导体设备+一季报增长+10转3派5.4,603283
002253.SZ,33,,002253
603583.SH,17,,603583
002373.SZ,33,,002373
000593.SZ,33,实控人变更+燃气+氢能+网红游资持仓,000593
600841.SH,17,,600841
603360.SH,17,,603360
600623.SH,17,资产置换+绿色甲醇+氟化工+上海国资,600623
000838.SZ,33,江西中久拟入主+固废处理+ST摘帽博弈,000838
000909.SZ,33,,000909
601137.SH,17,,601137
000609.SZ,33,半导体资产注入+ST博弈+房地产,000609
603259.SH,17,一季报大增+CRDMO+创新药,603259
600488.SH,17,创新药炒作+甾体激素+原料药出口,600488
605289.SH,17,一季报大增+AI算力+储能,605289
600379.SH,17,电子特气+氢能+储能+特高压+央企,600379
002789.SZ,33,,002789
600744.SH,17,火电盈利+新能源装机+央企,600744
603399.SH,17,锂盐产能扩张+一季度扭亏+固态电池材料,603399
603655.SH,17,,603655
002592.SZ,33,汽车热管理+年报增长+客户拓展,002592
600381.SH,22,高端白酒+虫草龙头+退市博弈,600381
603338.SH,17,机器人+电动化+一季报增长,603338
600410.SH,17,,600410
002431.SZ,33,,002431
600735.SH,22,资金占用清偿+复牌+石墨新材料+发制品出口,600735
002326.SZ,33,,002326
002733.SZ,33,算力UPS+氢能+钠电,002733
001266.SZ,33,一季报大增+液冷储能+商业航天,001266
603629.SH,17,算力租赁+业绩暴增+高送转,603629
600320.SH,17,一季报增长+港机龙头+央企回购,600320
002175.SZ,33,广西国资拟入主+智能物流+*ST博弈,002175
601101.SH,17,一季报增长+煤炭+高股息+北京国资,601101
300540.SZ,33,氦气+氢能装备+商业航天+四川国资,300540
600248.SH,17,绿色转型+房屋建设+石化工程+国企,600248
600636.SH,22,,600636
002297.SZ,33,一季报增长+商业航天+硬质合金,002297
688287.SH,22,,688287
000972.SZ,33,,000972
002923.SZ,33,一季报高增+创新药获批+原料药一体化,002923
002218.SZ,33,光储融合+商业航天+钙钛矿,002218
600243.SH,22,电梯配件+天然气+退市博弈,600243
603196.SH,17,,603196
002210.SZ,33,一季度扭亏+固废处理+黄金供应链,002210
002323.SZ,33,,002323
603318.SH,17,氦气+燃气轮机掺氢+山东国资,603318
601177.SH,17,一季报增长+船用齿轮箱+人形机器人+杭州国资,601177
000010.SZ,33,,000010
002912.SZ,33,,002912
600421.SH,22,,600421
002036.SZ,33,,002036
002575.SZ,33,算力租赁+腾讯合作+酒类销售,002575
002225.SZ,33,,002225
603779.SH,17,葡萄酒+有机种植+白兰地升级,603779
600496.SH,17,海外订单+装配式建筑+高分红,600496
600599.SH,22,,600599
002569.SZ,33,控制权变更+扭亏预期+男装品牌+宝鸡国资,002569
300187.SZ,33,一季报大增+垃圾焚烧发电+储能,300187
300905.SZ,33,COFs量产+纤维母粒+一季报增长,300905
000917.SZ,33,,000917
000711.SZ,33,铟靶材+固危废资源化+扭亏为盈,000711
001270.SZ,33,,001270
002703.SZ,33,,002703
600152.SH,17,钠电储能+3C电池龙头+高倍率电池扩产,600152
603317.SH,17,一季报高增+火锅调料+员工持股,603317
603095.SH,17,AI验布机+高端装备+提质增效,603095
001358.SZ,33,一季报增长+电子化学品+哌嗪衍生物+CCUS,001358
000889.SZ,33,算力+5G消息+通信运维,000889
002821.SZ,33,GLP-1多肽+CDMO+在手订单,002821
000908.SZ,33,石药入主+创新药+摘星,000908
000752.SZ,33,ST重整+啤酒+业绩预增,000752
603105.SH,17,,603105
600965.SH,17,,600965
301261.SZ,33,业绩大增+人形机器人+RV/谐波减速器,301261
002289.SZ,33,IDC并购+算力租赁+液晶显示,002289
600696.SH,22,,600696
300029.SZ,33,,300029
002652.SZ,33,中芯国际概念+半导体洁净室+有机涂层板,002652
003026.SZ,33,业绩预增+半导体硅片+6-8英寸抛光硅片,003026
001298.SZ,33,存储芯片+AI算力+一季报高增,001298
002782.SZ,33,,002782
603813.SH,22,申请撤销退市风险警示+氢能物流+供应链服务,603813
002898.SZ,33,,002898
601789.SH,17,一季报净利增77%+中标4.99亿+参股中经云+宁波国资,601789
002313.SZ,33,一季度扭亏+无线通信模组+珠海国资,002313
000967.SZ,33,算力租赁+智慧环卫+机器人+业绩预增,000967
603215.SH,17,AI眼镜+定增落地+小家电出口,603215
600238.SH,22,退市博弈+保健酒+海南国资,600238
002647.SZ,33,摘帽+AI算力+第三方支付,002647
002290.SZ,33,,002290
002512.SZ,33,,002512
002779.SZ,33,,002779
605081.SH,22,,605081
002808.SZ,33,,002808
002879.SZ,33,,002879
002412.SZ,33,一季报增长+四磨汤中选集采+中药独家品种,002412
002715.SZ,33,气门+黄金+比亚迪概念,002715
002081.SZ,33,商业航天产业配套+半导体洁净室+越南合作+EPC总包,002081
603008.SH,22,,603008
002902.SZ,33,AI算力+800G光模块+磁性元器件+新能源车载,002902
605168.SH,17,算力租赁+AI营销+年报增长,605168
603931.SH,17,半导体材料+光刻胶+显影液国产替代+客户拓展,603931
603843.SH,22,算力租赁+重整预期+ST板块,603843
000656.SZ,33,,000656
002514.SZ,33,,002514
603959.SH,22,,603959
000903.SZ,33,,000903
000056.SZ,33,,000056
